MirexMajMin
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1002",70.686710,235.998912,70.434585,0.026336,14.568928,2.967597,7,13
"1003",65.559192,202.957319,65.469096,0.482715,15.401841,13.371449,9,13
"1006",85.765015,164.048980,85.637626,2.022086,2.427421,4.035947,3,9
"1007",92.529725,218.331429,92.415396,1.065691,1.929804,1.159714,7,8
"1009",71.421454,180.178299,68.769332,6.063190,11.021893,8.542801,8,14
"1011",91.601079,252.813061,91.502344,1.419604,4.252023,1.312860,5,6
"1012",56.570798,282.229535,56.018539,1.689560,23.803733,17.484420,8,10
"1013",49.166477,218.207052,48.998877,1.348090,7.170371,38.981530,12,20
"1014",63.751028,189.708345,63.622510,11.897102,8.109632,4.332895,4,16
"1016",65.958567,217.372200,65.515906,1.704755,9.668941,19.405934,5,13
"1018",78.800580,159.085714,78.665568,0.668282,11.677439,0.149087,5,7
"1019",75.611430,255.039780,75.572737,1.449856,10.856318,9.992879,7,11
"1020",34.732495,208.173386,34.513595,0.000000,27.980067,35.849600,5,10
"1021",92.588276,160.208980,91.695112,0.898600,0.987599,0.637716,4,7
"1022",85.971327,234.679070,85.466716,1.501955,9.904397,1.686233,9,17
"1024",60.173928,170.499478,59.345909,5.693350,9.003387,8.415710,3,15
"1025",74.821076,246.306420,72.321672,2.480326,16.680710,3.112858,7,16
"1032",65.039351,280.971190,64.928818,2.820156,1.829120,23.681780,6,12
"1033",85.009766,174.711933,84.742296,0.000000,11.141391,2.440058,5,12
"1034",75.657055,199.131429,75.471943,1.115423,18.778309,3.165290,8,11
"1037",69.258945,157.178793,68.481519,6.230349,8.649624,10.486725,16,25
"1039",89.652593,237.871020,89.357305,2.186592,2.284801,1.312478,5,7
"1040",89.556475,230.844082,89.499895,0.201174,5.937247,1.166811,3,12
"1041",89.918498,169.613061,89.800422,0.000000,4.794123,1.541909,4,6
"1042",78.027061,180.146840,77.782074,0.000000,10.295434,10.028245,7,13
"1043",68.197931,200.846519,67.466695,4.677110,20.155906,6.194464,6,13
"1044",72.721771,169.195102,72.219137,0.403511,7.855419,17.447927,15,15
"1045",87.564954,197.877551,87.449076,0.566345,5.856885,3.374685,7,8
"1046",76.517135,145.240816,76.085480,1.027613,4.847719,14.688618,7,13
"1048",77.511683,164.548146,77.372333,1.713057,3.735033,14.457851,6,13
"1051",73.760086,211.173878,73.622641,19.104599,4.726877,1.330863,4,7
