MirexMajMin
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1002",65.318337,235.998912,63.018880,0.220231,18.889951,5.868385,7,15
"1003",55.934387,202.957319,53.896138,5.678044,19.655351,14.789692,9,15
"1006",71.532214,164.048980,69.788491,2.686808,14.817221,6.830560,3,7
"1007",81.505986,218.331429,79.674448,2.409787,4.763842,9.722527,7,7
"1009",60.557851,180.178299,59.138562,5.754716,20.717558,8.786378,8,13
"1011",77.691856,252.813061,76.212009,9.050842,8.605350,3.910700,5,10
"1012",54.664593,282.229535,54.177791,2.021709,27.407678,13.432636,8,13
"1013",41.400597,218.207052,38.644756,3.683280,17.902454,35.374114,12,19
"1014",79.388872,189.708345,76.922549,1.710703,9.971874,8.537018,4,8
"1016",25.496472,217.372200,23.859907,24.830206,8.732979,38.146625,5,12
"1018",57.053311,159.085714,52.879902,0.000000,38.280474,0.000000,5,5
"1019",60.600364,255.039780,59.241455,4.651220,19.818769,13.646584,7,10
"1020",44.082943,208.173386,42.610216,1.727397,14.747090,38.781736,5,12
"1021",84.467219,160.208980,80.961034,1.326502,3.149325,8.469106,4,9
"1022",91.693511,234.679070,90.649686,0.376939,3.663470,3.575185,9,15
"1024",54.566633,170.499478,53.330020,2.485604,20.631293,6.011439,3,9
"1025",64.117157,246.306420,63.724784,0.481218,27.553902,2.835663,7,12
"1032",39.365073,280.971190,37.703674,6.297665,14.805634,37.734960,6,13
"1033",78.336336,174.711933,76.660081,0.573130,17.250468,3.216211,5,7
"1034",67.947429,199.131429,67.009069,2.062505,22.095886,4.554186,8,14
"1037",46.434985,157.178793,45.976688,12.511042,22.163210,13.197278,16,20
"1039",87.261484,237.871020,86.425382,0.189148,4.758855,3.523034,5,6
"1040",71.096404,230.844082,68.658576,2.015211,16.911632,9.219708,3,14
"1041",79.308467,169.613061,77.733943,1.238166,12.698213,4.278804,4,7
"1042",52.508482,180.146840,50.614235,1.115596,26.688204,18.017802,7,10
"1043",61.259659,200.846519,59.978821,5.063262,26.906832,5.651989,6,11
"1044",61.129531,169.195102,59.717132,2.549421,14.623418,21.036024,15,16
"1045",80.099414,197.877551,77.866509,2.234187,13.707587,3.157235,7,9
"1046",56.819364,145.240816,54.747772,1.078423,24.899143,16.159083,7,13
"1048",78.998680,164.548146,76.288971,3.375789,5.934689,11.678825,6,10
"1051",56.228806,211.173878,55.016814,22.663444,13.997634,6.329749,4,13
"1052",42.786920,228.308594,41.486727,9.380181,7.909061,21.437446,5,9
"1053",47.421380,162.535499,46.238705,22.139713,16.280505,3.735134,10,13
"1054",78.592732,200.228571,78.292358,0.225630,13.202185,4.206140,4,9
"1055",61.474352,150.042778,60.512433,3.835287,15.030018,16.598557,7,11
"1056",30.444280,269.509874,29.893810,2.450622,25.864675,37.294428,18,19
"1058",42.112565,126.380408,39.339165,5.683814,10.065746,24.421373,4,7
"1059",78.042820,166.120930,76.922464,0.756519,11.329693,5.991245,11,16
"1061",54.005134,262.606757,52.179378,0.007910,19.151737,25.287909,6,10
"1062",67.521759,202.579592,65.333599,4.546873,25.591338,1.500604,4,11
"1063",74.371046,158.432653,72.230074,2.091744,18.506472,3.831580,9,8
"1066",88.360489,270.101562,85.947531,0.000000,9.200807,0.648031,4,6
