MirexMajMin
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1002",75.457955,235.998912,73.234492,0.686280,9.842396,4.234279,7,8
"1003",69.326438,202.957319,66.283754,1.197531,20.542968,6.189957,9,10
"1006",88.088125,164.048980,85.841852,0.451845,6.138014,1.691368,3,5
"1007",94.000744,218.331429,92.070250,0.827989,2.530318,1.112511,7,6
"1009",77.841789,180.178299,73.673897,1.460477,12.126194,6.783218,8,8
"1011",90.570611,252.813061,89.084996,2.785115,4.505511,1.720575,5,7
"1012",65.295094,282.229535,64.480765,0.660187,18.730570,14.533374,8,9
"1013",62.776219,218.207052,59.446547,1.805079,4.805919,30.441322,12,13
"1014",68.687232,189.708345,66.347275,17.263424,6.719438,2.522670,4,12
"1016",80.962649,217.372200,79.010898,1.698499,4.727926,10.011020,5,10
"1018",74.533701,159.085714,74.385690,1.342385,14.393620,1.038681,5,6
"1019",84.638416,255.039780,83.352343,0.000000,5.529478,8.989969,7,7
"1020",70.597608,208.173386,69.119336,0.000000,0.614266,28.754184,5,6
"1021",97.106128,160.208980,93.432808,0.000000,0.786219,-0.000000,4,4
"1022",92.578217,234.679070,91.171336,0.000000,6.446261,0.724212,9,10
"1024",75.410581,170.499478,59.961574,4.280860,7.165916,10.030088,3,8
"1025",71.815606,246.306420,68.755980,1.821569,22.984470,1.033548,7,12
"1032",59.926899,280.971190,58.815235,13.673310,5.593436,18.753540,6,8
"1033",86.382430,174.711933,85.253211,0.000000,12.414923,0.655611,5,5
"1034",73.322899,199.131429,72.295718,0.241301,23.487768,1.510836,8,9
"1037",72.950385,157.178793,70.656941,2.141425,10.027709,9.665742,16,23
"1039",85.513693,237.871020,82.038801,6.214538,5.219085,1.414303,5,6
"1040",94.085489,230.844082,93.939834,0.000000,2.284834,0.580458,3,5
"1041",92.336446,169.613061,90.231668,0.000000,5.495314,0.056260,4,4
"1042",80.984505,180.146840,79.232042,0.000000,8.774752,9.403546,7,9
"1043",74.638781,200.846519,73.132955,3.667628,16.289753,5.203101,6,11
"1044",77.420509,169.195102,75.422789,0.075481,8.857891,13.428575,15,15
"1045",89.979198,197.877551,87.641601,0.896344,7.130966,1.578079,7,8
"1046",71.274696,145.240816,69.203103,0.966664,14.471859,9.464151,7,8
"1048",75.017147,164.548146,72.696712,0.556075,11.225733,12.799754,6,10
"1051",82.766063,211.173878,82.658984,8.209210,4.585572,1.689940,4,6
"1052",85.444275,228.308594,68.215483,0.000000,0.599184,11.011431,5,7
"1053",68.509754,162.535499,62.016967,13.114672,7.922438,5.274687,10,11
"1054",84.878614,200.228571,82.499247,4.741936,7.963398,0.537725,4,7
"1055",81.930036,150.042778,80.266444,0.919768,9.844844,2.367666,7,8
"1056",66.154689,269.509874,63.078508,2.670253,13.979285,15.312433,18,19
"1058",71.278080,126.380408,66.941750,0.000000,3.492120,9.025025,4,4
"1059",93.829555,166.120930,91.428250,0.347178,3.125065,0.099428,11,12
"1061",70.686469,262.606757,70.599015,0.021958,3.796907,23.751805,6,7
"1062",80.543929,202.579592,78.591335,11.236345,4.796175,3.182577,4,6
"1063",86.367389,158.432653,84.372450,1.275129,9.536150,2.192732,9,8
"1066",91.118667,270.101562,90.988238,0.000000,5.439544,1.145785,4,6
"1067",67.337386,216.982920,65.692147,1.860614,20.934525,9.049805,7,8
"1068",91.574281,159.138934,90.087139,4.467129,1.664477,2.101410,7,8
"1069",87.206811,180.580159,74.308235,0.000000,7.764641,2.981452,6,7
"1070",84.636293,243.304626,83.489712,1.926611,5.329675,7.804953,13,16
"1071",78.391685,215.693991,78.357613,6.727225,10.644356,0.490869,6,6
"1072",86.862222,135.915102,85.108826,0.000000,12.320598,0.000000,3,3
"1073",56.405153,163.484578,54.227023,30.866898,7.746057,4.240998,5,10
"1076",71.605758,197.762109,71.345968,0.822617,15.059023,10.574613,8,11
"1078",54.065793,207.592296,52.574797,9.195003,15.166667,20.852982,7,14
"1082",73.933546,219.495351,73.820238,0.000000,23.989310,1.655955,7,7
"1084",82.572071,253.630992,82.459922,2.850985,3.474501,9.336241,6,8
"1086",84.860926,213.660215,83.274666,2.643144,8.963843,1.939358,8,11
"1087",1.799141,195.134694,0.000000,0.000000,82.154204,15.264395,8,9
"1089",91.460378,245.420408,91.130157,0.604747,6.343240,0.525065,5,6
"1091",91.502796,156.780249,89.716842,0.594577,2.049455,4.240880,10,11
"1094",89.776864,143.177143,87.005928,0.000000,8.106035,1.577358,4,6
"1096",63.023730,195.787755,40.882960,12.261125,6.360967,3.932738,2,7
"1097",66.154689,269.509874,63.078508,2.670253,13.979285,15.312433,18,19
"1098",81.007571,380.567607,80.802078,0.000000,3.874406,13.967973,9,11
"1099",67.000352,117.247985,63.534086,1.277014,8.956674,20.129997,15,20
"1100",68.802571,142.315992,64.160415,0.000000,22.495216,7.441394,10,10
"1101",77.977779,146.677551,73.648725,0.360765,2.843115,1.526395,3,6
"1102",42.132697,204.564898,39.705644,3.775665,30.335864,9.653823,4,13
"1103",93.193760,154.765391,91.190494,0.000000,3.495076,0.638345,3,4
"1106",97.882033,21.564171,0.000000,0.000000,0.000000,0.000000,0,0
"1107",87.804184,186.889615,87.338013,0.000000,4.296892,7.140437,5,5
"1110",63.899612,191.305238,62.342627,14.964765,11.371373,6.206706,6,8
"1111",59.861833,149.133061,58.018495,39.604623,0.405336,0.000000,2,3
"1112",84.290545,267.221223,83.564708,0.493094,4.539010,10.401767,7,10
"1113",71.850568,129.541224,69.933213,0.000000,24.679135,2.528932,4,5
"1114",87.911141,167.517234,85.427489,0.821441,6.618095,3.926546,7,10
"1116",92.684744,185.657085,91.175415,0.000000,4.433695,0.000000,3,3
"1117",68.808180,142.315992,64.166024,0.000000,22.492412,7.438590,10,10
"1118",49.546112,146.001824,45.582059,8.837518,7.570213,16.647707,12,22
"1119",90.764717,222.774830,90.046035,0.000000,5.683146,-0.000000,4,4
"1120",86.095911,236.930612,84.884308,2.800721,5.216307,5.689867,4,9
"1121",65.595956,137.521814,64.369348,0.401106,10.947004,22.136818,6,7
"1123",71.850568,129.541224,69.933213,0.000000,24.929242,2.528932,4,5
"1124",69.081082,210.940006,68.963952,4.646984,5.454420,18.450407,5,8
"1125",84.433876,126.432653,81.646055,4.638503,7.834472,1.451733,3,8
"1126",71.463115,177.371906,68.982579,0.000000,13.456336,14.916095,8,10
"1127",68.273943,192.570146,66.367096,1.000269,10.084093,20.252967,15,16
"1133",87.093896,270.027755,86.367022,0.000000,6.572953,4.290544,5,6
"1134",54.892055,154.266349,52.846961,30.777278,6.823666,2.143492,4,6
"1136",92.214428,276.767347,92.061808,0.000000,5.746614,0.218231,4,5
"1139",89.412737,176.431020,87.878461,0.444336,9.031754,0.000000,2,3
"1141",90.012920,158.511020,87.502711,0.000000,7.269898,2.109655,8,11
"1142",75.723767,151.844898,74.381963,0.743061,12.452422,9.711619,7,8
"1143",73.547405,131.740680,60.576327,0.000000,24.616226,0.700919,4,4
"1145",81.354721,213.859898,81.141641,0.000000,4.912285,8.822124,11,12
"1146",76.290265,190.734501,74.384517,1.094754,6.294272,14.492455,8,9
"1147",72.101379,192.624942,70.524689,10.022815,0.513122,4.908044,6,9
"1148",53.403543,162.794070,52.114141,11.003565,2.534231,4.922466,3,5
"1149",54.074296,240.004406,52.581277,6.658370,12.221936,15.439943,6,21
"1150",42.132697,204.564898,39.705644,3.775665,30.335864,9.653823,4,13
"1151",87.042334,188.786939,86.807586,0.000000,6.490614,3.544077,7,6
"1152",85.070320,165.773061,84.817262,3.339108,2.138939,6.040133,6,10
"1153",92.118007,184.284172,88.872108,0.000000,2.700509,4.275455,4,4
"1154",93.138502,139.937959,88.892370,0.000000,5.052494,1.190550,3,4
"1155",58.283491,299.311020,52.239284,0.000000,35.468822,4.213117,5,5
"1157",74.805363,264.333061,72.488181,0.000000,6.586554,18.273488,12,12
"1160",88.282596,125.309388,85.098965,2.349343,6.042557,0.000000,5,7
"1161",79.274201,180.819592,74.460794,1.246810,4.316527,7.609854,7,8
"1162",87.093896,270.027755,86.367022,0.000000,6.574431,4.289067,5,6
"1163",77.607092,242.175420,77.581923,4.721826,3.627414,10.079000,8,10
"1164",81.152977,120.540646,72.144659,1.615158,14.161292,3.016621,7,10
"1166",86.207544,152.050485,82.415153,0.000000,7.971418,1.623163,3,5
"1167",75.399702,235.859443,68.665811,9.388624,5.139947,8.776847,5,10
"1168",92.788896,242.045686,90.961165,3.679868,2.644757,0.603763,3,7
"1169",43.903567,147.719558,41.627329,0.000000,28.140836,26.302897,4,4
"1170",41.720821,41.611539,17.119354,0.000000,29.758374,6.065793,4,9
"1171",84.801942,325.773061,84.709979,0.147495,10.632814,1.150440,7,8
"1174",46.187843,240.640000,45.015459,0.731626,16.323333,34.907671,8,11
"1177",93.872966,333.871020,93.793583,0.000000,3.534626,1.081756,6,6
"1178",57.254082,179.722449,56.741154,0.617900,21.371291,19.179357,6,9
"1180",81.594477,280.899048,72.267638,9.607742,3.240631,0.671114,4,7
"1182",44.126184,212.234015,38.020785,8.730473,20.711855,15.964364,13,20
"1183",80.828732,380.567607,80.623238,0.000000,3.879650,14.141569,9,11
"1186",66.834843,232.608934,65.311669,2.345591,12.993478,17.598598,12,15
"1188",68.607701,300.838597,68.458963,0.000000,12.429737,15.218170,13,17
"1190",84.497493,166.269388,82.562486,0.499520,8.173127,1.251037,7,7
"1192",79.971724,103.507667,79.566308,0.677877,3.618262,13.288486,7,10
"1193",80.353467,174.733061,75.567573,0.000000,17.749738,0.488085,5,5
"1194",92.751703,165.093878,90.198741,0.000000,5.857235,0.000000,3,3
"1197",76.873114,235.049796,76.757424,1.577830,3.567937,9.728876,9,10
"1200",68.366417,142.582937,68.026749,0.648906,17.590461,11.879023,8,8
"1201",64.360462,177.986774,61.146651,0.000000,15.725849,15.396181,7,12
"1203",74.411397,229.773061,72.992813,6.536852,14.342771,4.606750,5,11
"1204",68.509754,162.535499,62.016967,13.114672,7.922438,5.274687,10,11
"1208",66.973234,268.261831,66.869467,0.000000,20.901698,4.063921,4,6
"1210",74.778511,152.015034,71.883129,5.812074,4.157923,4.005408,5,10
"1211",91.119221,151.849796,88.378537,0.000000,1.299363,6.928245,17,16
"1212",83.693953,188.551837,82.903875,0.000000,14.346751,1.500374,3,2
"1213",81.589537,152.362177,78.195012,1.070713,9.336919,6.981791,9,10
"1217",56.334060,188.716355,54.781381,2.532605,30.267086,8.862199,11,17
"1218",89.493026,171.330652,87.681992,0.000000,5.599647,2.918581,12,13
"1220",76.620968,169.698549,74.846954,2.071680,19.540850,1.686582,8,8
"1221",83.856237,152.534308,79.165017,0.000000,7.574464,7.901664,7,8
"1222",77.954249,107.052042,72.507685,0.444609,6.882383,14.227115,6,10
"1223",77.106605,147.348957,66.697253,2.788774,11.199988,7.105652,7,7
"1227",58.943978,290.017234,58.157090,3.583366,8.642172,28.653225,8,18
