MirexMajMin
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1002",60.534879,235.998912,57.956391,0.000000,24.852473,5.188583,7,5
"1003",62.277224,202.957319,60.284322,0.717682,18.655053,14.094000,9,12
"1006",82.979182,164.048980,80.476784,1.069543,10.730203,1.737545,3,6
"1007",90.508245,218.331429,88.641162,0.827989,4.669201,2.432254,7,6
"1009",77.712811,180.178299,75.881518,2.179140,11.514582,4.076706,8,9
"1011",92.658904,252.813061,91.219213,0.000000,4.257076,2.123060,5,5
"1012",42.949080,282.229535,42.434510,1.355951,15.514473,37.572122,8,10
"1013",55.188762,218.207052,52.395762,0.929345,5.879434,36.223340,12,17
"1014",73.299412,189.708345,70.955487,11.057859,4.916791,9.929620,4,12
"1016",64.968231,217.372200,63.173359,0.425537,11.779549,19.663185,5,9
"1018",91.384012,159.085714,86.758893,0.000000,4.368286,-0.000000,5,5
"1019",74.382053,255.039780,73.014111,0.261473,5.545427,18.281298,7,9
"1020",66.676773,208.173386,65.198500,2.954268,6.121255,23.480253,5,9
"1021",96.091333,160.208980,92.425719,0.000000,0.896767,-0.000000,4,4
"1022",94.816198,234.679070,93.789438,0.196969,2.440440,1.331186,9,10
"1024",45.260855,170.499478,43.500448,3.199716,8.586558,25.985124,3,7
"1025",67.108917,246.306420,67.095080,2.770188,20.528546,4.201752,7,10
"1032",58.799915,280.971190,57.218358,6.010225,6.630042,26.341327,6,12
"1033",85.603360,174.711933,83.927106,0.000000,12.330079,1.527273,5,6
"1034",76.270430,199.131429,75.201297,0.334605,17.492092,2.656887,8,10
"1037",68.851856,157.178793,67.769766,3.497215,5.346461,17.234774,16,18
"1039",90.558262,237.871020,89.650736,0.000000,2.015635,3.217406,5,4
"1040",63.761549,230.844082,60.777985,0.000000,1.684089,34.208027,3,4
"1041",91.576723,169.613061,89.497260,0.000000,6.132949,0.393624,4,5
"1042",74.493538,180.146840,72.741075,0.885389,10.475256,12.327157,7,12
"1043",65.526391,200.846519,64.020565,1.788309,22.696743,9.314820,6,11
"1044",76.892239,169.195102,74.969591,0.041808,12.050149,10.747969,15,16
"1045",92.763182,197.877551,90.113842,1.066809,4.293984,1.499408,7,8
"1046",80.578960,145.240816,78.507367,2.622699,6.377529,9.310918,7,9
"1048",78.760016,164.548146,76.066513,2.277125,5.536613,13.398023,6,9
"1051",85.755181,211.173878,84.540161,4.279512,6.252513,2.835283,4,7
"1052",51.511021,228.308594,51.497523,6.598639,4.848547,17.268707,5,10
"1053",57.071353,162.535499,55.659194,14.894606,7.305536,10.534721,10,13
"1054",84.126198,200.228571,83.299048,0.000000,10.413605,2.022688,4,7
"1055",69.974800,150.042778,68.349209,2.409691,14.719769,10.379292,7,11
"1056",56.204445,269.509874,56.187862,2.740816,15.183576,21.391282,18,22
"1058",62.562787,126.380408,59.688730,0.000000,11.190460,8.321710,4,4
"1059",86.458891,166.120930,84.738988,0.000000,6.992176,3.268758,11,14
"1061",64.512851,262.606757,62.770957,0.010535,3.272334,30.825401,6,9
"1062",74.044787,202.579592,71.851220,14.307017,2.141919,8.644456,4,6
"1063",83.751608,158.432653,81.512210,0.922526,9.668164,4.857160,9,7
"1066",93.391313,270.101562,90.964880,0.000000,2.930185,0.235487,4,4
"1067",60.399586,216.982920,58.809302,1.939363,20.933300,15.279858,7,10
"1068",79.118935,159.138934,77.572290,3.166820,5.480547,11.910523,7,9
"1069",67.382977,180.580159,63.517577,1.981011,6.859939,12.554584,6,7
"1070",71.317219,243.304626,70.125050,16.922840,5.533954,5.193509,13,16
"1071",80.202571,215.693991,80.172903,4.602096,9.788884,1.843519,6,10
"1072",84.388735,135.915102,82.142301,0.000000,7.394799,7.261886,3,5
"1073",46.234015,163.484578,44.039629,34.815564,8.044617,10.440325,5,9
"1076",66.264564,197.762109,64.226068,1.015566,14.598831,16.881623,8,10
"1078",38.861560,207.592296,37.337882,10.210381,17.405219,32.301686,7,14
"1082",68.290357,219.495351,67.755859,0.000000,7.560488,21.497308,7,8
"1084",83.074337,253.630992,81.314285,0.000000,7.118502,9.209900,6,6
"1086",87.941892,213.660215,86.144863,0.462479,8.364340,1.326681,8,10
"1087",2.127027,195.134694,0.000000,0.000000,84.761552,12.280831,8,8
"1089",94.723462,245.420408,93.735939,0.000000,3.737480,0.450617,5,5
"1091",90.668520,156.780249,87.577086,1.822996,2.160630,3.128498,10,12
"1094",94.657697,143.177143,91.953817,0.000000,4.116953,1.032679,4,4
"1096",39.145947,195.787755,36.555290,20.434173,7.371622,11.224239,2,11
"1097",56.208156,269.509874,56.191572,2.740816,15.183576,21.387571,18,22
"1098",63.097265,380.567607,61.899635,0.265101,13.156099,22.233476,9,11
"1099",69.009962,117.247985,65.479874,1.952381,13.805494,14.981411,15,16
"1100",55.604536,142.315992,51.563896,2.605821,31.969153,7.631385,10,13
"1101",66.157226,146.677551,64.118177,8.552063,3.817126,2.150049,3,7
"1102",57.385381,204.564898,55.921348,4.138143,26.799342,10.074951,4,11
"1103",95.094034,154.765391,92.988630,0.000000,4.298302,0.491066,3,5
"1106",11.058908,21.564171,0.000000,0.000000,0.000000,0.000000,0,0
"1107",81.296232,186.889615,80.351145,0.845419,8.026285,9.552493,5,7
"1110",18.950765,191.305238,17.400880,1.110790,8.724742,70.317064,6,7
"1111",98.638206,149.133061,96.740245,0.000000,0.666231,0.295039,2,4
"1112",69.247433,267.221223,68.484666,0.599922,7.238456,21.773169,7,8
"1113",27.045557,129.541224,25.209258,0.000000,22.926724,48.791418,4,5
"1114",78.792277,167.517234,76.388625,0.023932,11.586049,7.647596,7,9
"1116",87.668256,185.657085,85.792953,0.311146,7.131325,2.368526,3,5
"1117",55.604536,142.315992,51.563896,2.605821,31.969153,7.631385,10,13
"1118",60.423071,146.001824,56.698492,9.838102,12.034291,13.303082,12,16
"1119",92.663733,222.774830,90.699943,0.000000,4.239203,0.790035,4,5
"1120",77.367513,236.930612,76.451375,5.914657,4.120796,12.104376,4,8
"1121",63.808555,137.521814,63.105471,1.549356,15.911872,18.082408,6,10
"1123",27.045557,129.541224,25.209258,0.000000,22.926724,48.791418,4,5
"1124",71.762586,210.940006,70.132371,0.000000,10.355908,17.027484,5,4
"1125",58.556468,126.432653,55.636357,25.065611,12.862561,3.396182,3,11
"1126",72.406251,177.371906,70.451201,0.000000,15.921291,9.871670,8,10
"1127",65.054424,192.570146,63.122142,0.934489,11.364728,22.437253,15,15
"1133",75.350985,270.027755,73.370703,2.502928,6.121043,14.617543,5,7
"1134",73.131947,154.266349,71.291857,7.893455,9.977287,3.743048,4,10
"1136",92.937079,276.767347,91.848126,0.000000,4.874731,1.264600,4,5
"1139",83.801491,176.431020,81.179177,0.000000,14.047379,-0.000000,2,2
"1141",89.068659,158.511020,87.273187,0.000000,7.965659,1.643419,8,11
"1142",76.441669,151.844898,74.831145,0.000000,13.193744,8.533898,7,8
"1143",73.091273,131.740680,70.266786,0.000000,8.524774,5.551754,4,5
"1145",73.347575,213.859898,71.162280,0.000000,11.841266,12.406517,11,13
"1146",83.187084,190.734501,80.674242,2.077130,2.455842,11.058784,8,8
"1147",64.823926,192.624942,62.604387,12.444101,0.994619,9.630360,6,13
"1148",58.933587,162.794070,57.644185,15.386501,7.198391,16.733461,3,10
"1149",64.082114,240.004406,62.762028,4.926270,13.036980,15.255762,6,17
"1150",57.387825,204.564898,55.923792,4.138143,26.799342,10.072507,4,11
"1151",91.942356,188.786939,90.200647,0.000000,2.818903,3.773030,7,7
"1152",95.169027,165.773061,92.131833,0.058237,4.024826,0.703746,6,8
"1153",96.596592,184.284172,92.559386,0.000000,2.511129,0.777557,4,6
