MirexMajMin
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1002",26.556786,235.998912,26.471953,0.000000,61.525493,0.000000,7,2
"1003",1.312468,202.957319,1.222482,7.816158,39.927631,45.758830,9,2
"1006",0.127389,164.048980,0.000000,0.000000,94.123080,0.000000,3,2
"1007",17.344014,218.331429,17.250840,0.000000,56.808468,22.511297,7,2
"1009",0.126210,180.178299,0.000000,3.121194,71.568851,19.707170,8,2
"1011",0.071223,252.813061,0.000000,4.207329,81.857149,12.449908,5,2
"1012",4.113548,282.229535,4.038338,0.000000,73.788528,21.169386,8,2
"1013",8.356454,218.207052,8.274169,1.074544,33.189238,53.960917,12,2
"1014",2.858238,189.708345,2.754341,0.000000,94.779336,-0.000000,4,2
"1016",7.207616,217.372200,7.106775,26.346362,28.032653,34.809746,5,2
"1018",8.041000,159.085714,7.906032,0.000000,83.254344,0.000000,5,2
"1019",3.523344,255.039780,3.448422,4.245014,68.277261,21.901094,7,2
"1020",2.334371,208.173386,2.227249,0.000000,69.765719,26.528759,5,2
"1021",0.545678,160.208980,0.435210,0.000000,93.783816,0.000000,4,2
"1022",27.429516,234.679070,27.340459,0.000000,61.233023,9.985819,9,2
"1024",10.345779,170.499478,10.198870,0.000000,72.259486,-0.000000,3,2
"1025",2.499165,246.306420,2.413060,0.000000,92.182506,0.000000,7,2
"1032",0.077377,280.971190,0.000000,0.000000,42.446098,54.400428,6,2
"1033",0.108073,174.711933,0.000000,0.000000,70.770707,27.553039,5,2
"1034",11.539950,199.131429,11.448338,0.000000,83.953121,3.129507,8,2
"1037",2.859327,157.178793,2.732200,12.318684,40.374925,38.422407,16,2
"1039",0.080725,237.871020,0.000000,2.238825,89.902733,2.999619,5,2
"1040",0.096637,230.844082,0.000000,0.000000,96.805127,-0.000000,3,2
"1041",0.117952,169.613061,0.000000,0.308599,95.773614,0.054241,4,2
"1042",0.129253,180.146840,0.000000,1.817870,75.975929,20.311954,7,2
"1043",10.255348,200.846519,10.159855,1.689189,83.533537,3.111593,6,2
"1044",4.804953,169.195102,4.686686,2.059801,42.804763,48.374745,15,2
"1045",0.116007,197.877551,0.000000,7.583394,85.104300,4.559296,7,2
"1046",0.143772,145.240816,0.000000,1.970171,87.266595,8.691642,7,2
"1048",0.111338,164.548146,0.000000,0.000000,79.341294,17.936980,6,2
"1051",7.028635,211.173878,6.935405,0.000000,62.872225,28.977350,4,2
"1052",2.182239,228.308594,2.098223,0.000000,24.369445,53.745748,5,2
"1053",6.074153,162.535499,5.951557,0.000000,56.052330,26.390169,10,2
"1054",22.737781,200.228571,22.632116,0.000000,73.294197,0.000000,4,2
"1055",0.131051,150.042778,0.000000,0.000000,91.599890,4.376405,7,2
"1056",10.661670,269.509874,10.583122,0.305897,32.241250,52.373266,18,2
"1058",0.160949,126.380408,0.000000,0.000000,8.307430,72.854347,4,2
"1059",1.419819,166.120930,1.279488,0.000000,93.331445,0.388988,11,2
"1061",21.674541,262.606757,21.594892,0.000000,43.627887,32.946906,6,2
"1062",42.307770,202.579592,42.211713,0.000000,55.594720,0.000000,4,2
"1063",1.299717,158.432653,1.166126,0.175469,87.987031,8.047835,9,2
"1066",0.070888,270.101562,0.000000,0.000000,94.563563,3.010004,4,2
"1067",10.618661,216.982920,10.526545,0.592868,70.730775,15.686903,7,2
"1068",22.765083,159.138934,22.618914,10.945482,48.011967,16.876992,7,2
"1069",9.740007,180.580159,9.599261,0.000000,59.546005,15.909063,6,2
"1070",4.828894,243.304626,4.750134,8.417367,55.333670,30.208824,13,2
"1071",8.268561,215.693991,8.169814,0.000000,87.489861,0.747729,6,2
"1072",0.160469,135.915102,0.000000,0.000000,97.429424,0.000000,3,2
"1073",8.095262,163.484578,7.974474,0.000000,46.766714,43.064426,5,2
"1076",6.549435,197.762109,6.442457,0.000000,30.873224,60.566851,8,2
"1078",2.259137,207.592296,2.166618,5.259350,69.250633,21.799721,7,2
"1082",26.266172,219.495351,26.184221,0.000000,56.982822,16.298459,7,2
"1084",0.084729,253.630992,0.000000,3.431079,58.704962,36.021512,6,2
"1086",12.125574,213.660215,12.039819,2.074611,69.895065,12.811515,8,2
"1087",6.700415,195.134694,6.608328,2.343008,49.831957,38.635306,8,2
"1089",0.088586,245.420408,0.000000,0.000000,96.919097,1.684111,5,2
"1091",8.566295,156.780249,8.418796,0.000000,62.764048,25.418910,10,2
