MirexMajMinBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1002",70.184743,235.998912,69.932618,0.528303,12.866957,4.669568,7,15
"1003",65.559192,202.957319,65.469096,0.482715,13.239353,15.533937,9,14
"1006",81.603656,164.048980,81.476267,6.183444,2.427421,4.035947,3,11
"1007",90.891906,218.331429,90.777578,2.703510,1.929804,1.159714,7,9
"1009",70.648221,180.178299,67.996099,6.836422,10.300209,9.264484,8,15
"1011",91.601079,252.813061,91.502344,1.419604,4.252023,1.312860,5,6
"1012",51.265987,282.229535,50.713728,6.994371,11.187258,30.100895,11,16
"1013",49.166477,218.207052,48.998877,1.348090,6.393264,39.758637,12,24
"1014",63.751028,189.708345,63.622510,11.897102,6.542935,5.899592,4,17
"1016",65.616739,217.372200,65.174078,2.046583,6.585333,22.489543,7,17
"1018",78.800580,159.085714,78.665568,0.668282,11.035221,0.791306,5,8
"1019",72.629260,255.039780,72.590566,4.432026,8.714173,12.135025,9,14
"1020",34.732495,208.173386,34.513595,0.000000,13.950245,49.879421,6,11
"1021",92.588276,160.208980,91.695112,0.898600,0.581780,1.043535,4,7
"1022",85.971327,234.679070,85.466716,1.501955,4.052549,7.538080,9,19
"1024",60.167581,170.499478,59.339562,5.699697,6.279330,11.139767,4,18
"1025",69.261617,246.306420,66.762213,8.039785,14.657862,5.135706,10,21
"1032",65.039351,280.971190,64.928818,2.820156,1.316158,24.194741,6,14
"1033",85.009766,174.711933,84.742296,0.000000,9.335412,4.246037,5,14
"1034",74.259968,199.131429,74.074856,2.512511,16.396328,5.547272,10,12
"1037",66.482856,157.178793,65.705429,9.006439,4.728158,14.408191,20,31
"1039",89.178180,237.871020,88.882892,2.661005,1.652146,1.945133,7,9
"1040",89.556475,230.844082,89.499895,0.201174,4.689966,2.414092,3,15
"1041",89.918498,169.613061,89.800422,0.000000,4.699104,1.636928,5,6
"1042",75.478526,180.146840,75.233538,2.548535,9.196428,11.127251,8,17
"1043",68.197931,200.846519,67.466695,4.677110,19.554731,6.795638,6,14
"1044",67.659294,169.195102,67.156661,5.465987,7.335888,17.967458,18,17
"1045",86.536525,197.877551,86.420647,1.594774,5.583579,3.647990,8,10
"1046",67.591169,145.240816,67.159515,9.953579,4.629001,14.907337,7,14
"1048",70.201458,164.548146,70.062108,9.023282,2.154314,16.038571,10,17
"1051",70.523115,211.173878,70.385669,22.341570,4.377906,1.679834,4,9
"1052",66.515241,228.308594,57.541080,4.758950,2.120591,15.468646,6,11
"1053",56.862016,162.535499,54.939101,21.151848,9.279506,3.023601,10,10
"1054",84.725945,200.228571,83.390872,3.848223,6.854834,1.832384,4,10
"1055",74.750651,150.042778,74.619638,2.567678,7.351393,11.437587,8,14
"1056",59.757952,269.509874,57.508197,4.518484,9.449771,23.492914,24,25
"1058",69.064917,126.380408,68.573437,1.408661,4.900792,6.278886,4,8
"1059",94.837724,166.120930,92.238738,0.000000,2.074909,0.684554,12,14
"1061",64.440680,262.606757,64.343417,2.243778,5.705530,25.876960,6,12
"1062",89.521868,202.579592,89.311252,2.138450,5.537950,0.818782,4,10
"1063",85.395621,158.432653,84.851515,3.323615,7.031189,2.170141,9,12
"1066",79.128388,270.101562,79.040271,12.378680,4.380006,1.774611,7,5
"1067",66.115921,216.982920,66.045025,3.229129,14.817983,13.444954,7,12
"1068",87.090325,159.138934,87.031961,2.933321,6.032782,2.455291,7,12
"1069",77.981055,180.580159,67.605012,1.413045,7.368729,8.667544,7,9
"1070",80.180187,243.304626,80.044135,3.517338,4.783243,10.365279,14,22
"1071",81.058360,215.693991,80.981227,6.771948,7.724109,0.671754,6,8
"1072",85.366344,135.915102,85.137844,0.000000,7.986372,4.305209,3,6
"1073",47.254167,163.484578,46.991409,27.295171,9.732211,13.190291,5,12
"1076",59.862010,197.762109,59.731376,2.946014,24.373351,10.831791,8,19
"1078",32.474179,207.592296,32.292417,6.746817,25.087374,34.349713,8,21
"1082",73.319750,219.495351,73.110819,1.135268,15.005329,10.214088,9,13
"1084",87.977451,253.630992,87.865302,1.867623,1.235943,7.142910,6,12
"1086",84.571204,213.660215,84.181325,2.587756,6.316931,3.734998,10,14
"1087",0.044623,195.134694,0.000000,0.000000,70.583162,26.835437,8,10
"1089",89.887698,245.420408,89.477314,2.223405,4.321921,2.580569,6,11
"1091",91.017342,156.780249,89.122161,0.000000,2.643799,4.835794,10,11
"1094",87.327941,143.177143,87.228608,0.000000,6.598553,3.332725,4,9
"1096",64.769282,195.787755,46.684340,8.234101,7.846608,6.416129,2,9
"1097",59.757952,269.509874,57.508197,4.518484,9.449771,23.492914,24,25
"1098",72.668463,380.567607,72.559401,3.618131,4.008388,18.458538,10,14
"1099",55.471359,117.247985,54.971305,5.038042,7.048240,29.412325,16,28
"1100",58.896731,142.315992,58.215547,0.586746,24.457763,12.005459,10,13
"1101",74.151871,146.677551,73.680910,1.291787,2.428901,0.865536,3,5
"1102",49.303436,204.564898,49.191345,1.178991,23.383409,21.704421,4,25
"1103",92.211864,154.765391,91.937966,0.014036,3.721063,1.846376,3,7
"1106",90.315358,21.564171,0.000000,0.000000,0.000000,0.000000,0,0
"1107",86.467343,186.889615,86.317801,0.000000,3.709969,8.747573,6,11
"1110",62.833071,191.305238,62.434046,14.345293,12.591957,8.182180,6,15
"1111",80.449272,149.133061,80.346121,15.507678,0.835638,1.339016,2,7
