MirexMajMinBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1002",71.042694,235.998912,69.470067,0.000000,18.405545,0.101695,7,5
"1003",65.782173,202.957319,64.838753,0.000000,9.580945,20.149265,9,12
"1006",89.968722,164.048980,87.957031,0.000000,2.247206,3.907370,3,7
"1007",94.747727,218.331429,92.891399,0.827989,1.733126,1.054665,7,6
"1009",79.933826,180.178299,74.626637,1.189425,10.787153,7.793999,8,9
"1011",93.391180,252.813061,92.541081,1.452491,3.682973,0.737411,5,6
"1012",57.037098,282.229535,56.118601,8.573733,10.452756,23.556721,11,9
"1013",52.031641,218.207052,50.566267,4.822177,5.391591,35.718834,12,18
"1014",39.733710,189.708345,37.389785,46.202943,0.964376,3.125409,4,8
"1016",75.191699,217.372200,71.558965,1.236537,4.685503,18.581916,7,11
"1018",66.031190,159.085714,63.647002,2.839147,23.664624,1.007835,5,6
"1019",69.618502,255.039780,68.561302,3.695705,7.834190,17.780593,9,8
"1020",44.287773,208.173386,42.997945,0.000000,0.605030,54.738652,6,6
"1021",94.579355,160.208980,91.602630,0.000000,1.399235,1.217160,4,5
"1022",94.337602,234.679070,92.914555,0.711610,4.194828,0.708305,9,12
"1024",69.057854,170.499478,66.072813,6.474737,6.903867,3.006938,4,6
"1025",76.049688,246.306420,73.307542,2.089379,16.604519,2.594127,10,11
"1032",69.757800,280.971190,68.176243,0.429933,1.735791,25.494958,6,8
"1033",86.461034,174.711933,85.207075,0.000000,12.433570,0.683100,5,6
"1034",76.600386,199.131429,75.536070,0.307609,16.926744,5.518470,10,9
"1037",73.193695,157.178793,72.181589,3.335989,4.283865,14.046773,20,19
"1039",90.351751,237.871020,87.325301,4.338279,1.210681,2.266087,7,6
"1040",95.017372,230.844082,94.175209,0.000000,2.305023,0.324895,3,5
"1041",93.025209,169.613061,90.895632,0.000000,4.755615,0.390273,5,5
"1042",78.525933,180.146840,76.914323,3.908213,7.045492,10.237726,8,10
"1043",73.597575,200.846519,72.091749,3.742902,15.615325,7.032659,6,10
"1044",72.597446,169.195102,70.523441,5.191056,5.573853,16.504079,18,16
"1045",90.121176,197.877551,87.939246,1.028907,6.377972,1.900866,8,9
"1046",78.438376,145.240816,76.369812,3.173453,10.537794,7.471133,7,8
"1048",73.915511,164.548146,72.280607,5.257669,2.786915,16.953084,10,11
"1051",79.253786,211.173878,79.115266,13.799329,4.574339,1.271724,4,6
