MirexMajMinBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1002",64.996341,235.998912,62.417853,0.000000,25.565810,0.000000,7,4
"1003",61.378724,202.957319,59.385823,0.727036,22.367129,11.271069,9,11
"1006",82.186476,164.048980,79.684078,0.000000,12.245254,2.084743,3,5
"1007",90.344137,218.331429,88.477054,0.827989,4.833309,2.432254,7,6
"1009",78.091014,180.178299,76.259721,1.477058,11.838461,4.076706,8,8
"1011",92.476951,252.813061,91.037260,0.000000,4.439028,2.123060,5,5
"1012",46.621242,282.229535,46.106673,10.273900,19.308531,21.187951,11,11
"1013",50.644693,218.207052,47.851693,6.623984,8.023499,32.928705,12,16
"1014",57.346771,189.708345,55.002846,6.641774,34.348017,0.867121,4,10
"1016",69.024739,217.372200,67.229867,1.035814,13.522137,13.253813,7,8
"1018",91.384012,159.085714,86.758893,0.000000,4.368286,-0.000000,5,5
"1019",72.828882,255.039780,71.460939,4.237442,5.923529,15.480398,9,8
"1020",63.586022,208.173386,62.107749,0.552424,9.636566,25.457537,6,7
"1021",95.754273,160.208980,92.088659,0.000000,1.233826,-0.000000,4,5
"1022",95.008906,234.679070,93.982146,0.000000,2.632191,1.143696,9,10
"1024",62.149871,170.499478,60.389463,1.464170,14.948187,4.470025,4,5
"1025",64.552101,246.306420,64.538264,5.635439,20.963158,3.458706,10,11
"1032",54.692248,280.971190,53.110691,5.752002,8.227102,29.110157,6,14
"1033",85.902749,174.711933,84.226494,0.000000,12.326569,1.231395,5,5
"1034",75.563436,199.131429,74.494303,1.696809,14.422259,5.071509,10,11
"1037",63.989624,157.178793,62.907534,7.328900,6.183669,17.428114,20,17
"1039",87.848150,237.871020,86.940624,3.341688,1.265943,3.335523,7,4
"1040",90.655316,230.844082,87.671752,0.000000,8.190444,0.807905,3,5
"1041",91.576723,169.613061,89.497260,0.000000,6.039019,0.487553,5,5
"1042",71.234418,180.146840,69.481954,3.919667,11.374655,11.652600,8,10
"1043",69.765344,200.846519,68.259518,0.915597,26.424223,2.221100,6,10
"1044",67.923343,169.195102,66.000694,5.181694,7.524642,19.102486,18,15
"1045",91.478913,197.877551,88.829573,1.260939,4.852046,2.031485,8,7
"1046",83.864751,145.240816,81.793159,0.666879,5.064261,9.294215,7,9
"1048",68.448917,164.548146,65.755414,10.045113,5.437081,16.040667,10,10
"1051",87.267600,211.173878,86.052580,4.279512,6.911292,0.664086,4,6
"1052",50.840637,228.308594,49.736510,8.385734,6.882075,15.209096,6,10
"1053",58.699752,162.535499,57.287593,15.261738,8.121290,7.723437,10,14
"1054",83.924801,200.228571,83.097651,0.000000,11.566414,1.071276,4,7
"1055",71.645894,150.042778,70.020303,2.580463,13.532697,9.724498,8,10
"1056",47.779400,269.509874,47.762817,10.559741,10.585368,26.595610,24,21
"1058",64.642474,126.380408,61.768417,0.000000,7.293283,10.139201,4,5
"1059",87.536285,166.120930,85.816382,0.000000,8.131673,1.051866,12,14
"1061",69.452265,262.606757,67.710371,0.010535,6.042342,23.115978,6,7
"1062",81.313674,202.579592,79.120108,7.601854,7.956778,2.265873,4,7
"1063",83.145672,158.432653,80.906275,0.922526,8.756104,6.375155,9,9
"1066",80.167695,270.101562,77.741262,13.223618,2.389906,0.775766,7,4
"1067",62.544645,216.982920,60.954360,3.223428,21.325026,11.459009,7,9
"1068",76.132092,159.138934,74.585446,5.751399,13.909914,3.883421,7,9
"1069",70.700949,180.580159,66.835549,1.608792,6.067212,10.401557,7,5
"1070",69.529705,243.304626,68.337536,17.338908,4.867120,7.231789,14,16
"1071",78.641565,215.693991,78.611898,5.120184,12.114862,0.560460,6,8
"1072",89.306775,135.915102,87.060341,0.000000,7.627033,2.111612,3,5
"1073",50.658358,163.484578,48.463972,32.289155,8.276247,8.310761,5,9
"1076",59.816190,197.762109,57.777695,0.511172,17.648638,20.784583,8,11
