MirexRoot
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1002",73.591544,239.830204,71.630822,0.000000,11.199240,-0.000000,7,5
"1003",70.248175,217.521633,68.388710,0.000000,26.532399,0.000000,7,9
"1006",90.930077,164.048980,88.869619,0.000000,5.241988,-0.000000,3,4
"1007",94.792103,218.331429,93.050975,0.000000,3.519630,-0.000000,6,6
"1009",85.733625,181.482404,81.145079,0.000000,13.292396,-0.000000,7,7
"1011",94.725195,252.813061,94.009622,0.000000,4.504763,0.000000,5,5
"1012",68.373982,295.523265,67.418975,0.000000,31.510087,0.000000,7,7
"1013",64.722150,247.797551,63.871637,0.000000,33.045315,0.000000,10,9
"1014",82.517639,198.635102,81.065176,0.000000,4.615190,-0.000000,4,8
"1016",81.520209,217.372200,79.897852,0.000000,16.224873,0.000000,4,6
"1018",82.573286,159.085714,80.683919,0.000000,10.476457,0.000000,5,5
"1019",84.665443,267.964082,83.699910,0.000000,12.935615,-0.000000,7,7
"1020",76.103464,211.200000,74.986040,0.000000,23.556872,0.000000,5,6
"1021",96.398853,160.208980,93.525119,0.000000,0.693907,0.000000,4,5
"1022",93.139157,256.000000,91.828769,0.000000,6.807391,0.000000,9,9
"1024",83.061198,170.499478,73.797546,0.000000,8.660810,0.000000,3,5
"1025",81.147349,307.644082,77.708283,0.000000,17.418726,0.000000,7,9
"1032",65.055457,286.380408,63.503773,0.000000,33.385664,-0.000000,4,7
"1033",86.152052,207.960816,85.055299,0.000000,13.536446,0.000000,6,6
"1034",79.743024,199.131429,78.844428,0.000000,19.346541,-0.000000,7,7
"1037",80.743055,172.120816,77.389764,0.000000,15.430162,-0.000000,10,12
"1039",94.886249,237.871020,91.816930,0.000000,3.324247,-0.000000,5,5
"1040",95.619180,230.844082,94.945963,0.000000,1.859163,-0.000000,3,4
"1041",92.924850,169.613061,91.160210,0.000000,4.976244,-0.000000,4,4
"1042",83.847825,221.657846,82.576566,0.000000,15.883932,0.000000,7,8
"1043",80.316712,250.409796,79.141609,0.000000,19.647727,0.000000,8,7
"1044",82.667804,169.195102,80.600352,0.000000,17.144151,-0.000000,11,11
"1045",93.674160,197.877551,91.439166,0.000000,5.807824,0.000000,6,6
"1046",70.589900,145.240816,68.838052,0.000000,20.489869,-0.000000,6,6
"1048",78.652824,191.190204,77.305891,0.000000,18.607316,-0.000000,5,7
"1051",93.431543,211.173878,93.230818,0.000000,5.554162,0.000000,4,4
"1052",87.435359,239.960816,70.558121,0.000000,10.096416,0.000000,5,5
"1053",81.154366,207.275261,75.884521,0.000000,10.157732,-0.000000,9,7
"1054",91.534078,200.228571,89.276063,0.000000,3.133079,-0.000000,4,5
"1055",80.216279,155.491633,78.522245,0.000000,16.037058,0.000000,7,6
"1056",68.426138,280.894694,65.374925,0.000000,30.310854,-0.000000,12,12
"1058",78.004389,126.380408,74.546251,0.000000,6.615526,0.000000,4,5
"1059",94.270396,166.767120,91.267982,0.000000,3.502414,0.000000,10,10
"1061",68.212690,274.808163,67.643507,0.000000,30.607444,-0.000000,5,5
"1062",87.585956,202.579592,86.046022,0.000000,11.760411,-0.000000,4,6
"1063",91.114898,158.432653,89.898196,0.000000,7.478265,0.000000,7,7
"1066",93.801170,274.233469,93.664983,0.000000,3.945144,0.000000,4,4
"1067",82.530269,222.693878,80.407478,0.000000,17.189831,-0.000000,5,6
"1068",80.093510,178.050612,79.121532,0.000000,19.496100,0.000000,5,5
"1069",86.480641,180.580159,75.394064,0.000000,9.660265,-0.000000,5,4
"1070",88.059398,243.304626,86.992987,0.000000,11.515614,0.000000,10,10
"1071",88.327921,215.693991,88.302890,0.000000,7.884294,-0.000000,5,5
"1072",93.476040,135.915102,91.930883,0.000000,5.498541,0.000000,3,4
"1073",82.975231,215.353469,81.476714,0.000000,15.886299,-0.000000,6,6
"1076",73.367880,216.482562,72.131031,0.000000,25.934610,0.000000,6,7
"1078",82.067191,216.973061,80.612116,0.000000,17.632376,-0.000000,7,9
"1082",78.971769,223.973878,78.565886,0.000000,20.519719,-0.000000,7,6
"1084",86.380356,269.844898,85.827854,0.000000,12.440405,-0.000000,6,7
"1086",79.540634,221.701224,78.159845,0.000000,18.776465,0.000000,6,7
"1087",1.193890,195.134694,0.000000,0.000000,97.418599,-0.000000,6,6
"1089",96.053742,245.420408,95.138819,0.000000,3.464390,-0.000000,5,5
"1091",3.149739,156.780249,0.061495,0.000000,96.215926,-0.000000,10,10
"1094",2.274904,143.177143,0.000000,0.000000,97.159886,0.000000,4,5
"1096",77.093424,195.787755,54.936509,0.000000,3.021737,0.000000,2,4
"1097",68.426138,280.894694,65.374925,0.000000,30.310854,-0.000000,12,12
"1098",80.400237,433.606531,79.873831,0.000000,18.936436,-0.000000,9,9
"1099",69.260632,136.097959,66.594818,0.000000,29.416292,0.000000,9,12
"1100",70.862205,146.233469,66.276746,0.000000,28.689576,0.000000,8,8
"1101",79.862764,146.677551,74.026269,0.000000,4.147543,-0.000000,3,3
"1102",52.474651,204.564898,51.071851,0.000000,16.827009,0.000000,4,6
"1103",93.775104,156.299456,91.815126,0.000000,4.797857,-0.000000,3,3
"1106",29.223109,265.236032,21.182557,0.000000,10.093838,0.000000,3,4
"1107",92.635790,189.011270,91.558463,0.000000,7.230626,-0.000000,5,6
"1110",82.858227,197.250612,81.633891,0.000000,15.993022,0.000000,6,3
"1111",98.795883,149.133061,97.613676,0.000000,0.414778,-0.000000,2,3
"1112",86.832099,324.497324,86.325612,0.000000,13.027830,0.000000,6,7
"1113",74.078170,129.541224,72.099059,0.000000,25.569418,0.000000,4,4
"1114",84.359097,187.428571,82.705896,0.000000,14.046829,0.000000,6,6
"1116",92.241683,186.266213,91.175353,0.000000,4.448116,0.000000,3,3
"1117",70.209140,146.233469,66.276746,0.000000,29.024657,-0.000000,8,8
"1118",64.425780,164.963265,61.302897,0.000000,28.370258,-0.000000,11,10
"1119",92.675101,222.774830,91.749579,0.000000,3.979603,-0.000000,4,4
"1120",94.740301,236.930612,93.936009,0.000000,4.655195,-0.000000,4,5
"1121",66.809387,137.521814,66.769528,0.000000,31.915879,0.000000,6,6
"1123",74.078170,129.541224,72.099059,0.000000,25.569418,0.000000,4,4
"1124",77.875376,214.778776,77.321888,0.000000,20.238277,-0.000000,4,5
"1125",86.555398,126.432653,83.892879,0.000000,8.843702,-0.000000,3,4
"1126",81.773232,209.345306,79.993729,0.000000,17.878747,-0.000000,7,7
"1127",72.672690,210.703673,71.287487,0.000000,26.946527,0.000000,10,10
"1133",89.005055,270.027755,87.744535,0.000000,9.739978,-0.000000,5,6
"1134",79.194999,158.040816,78.226378,0.000000,15.180981,-0.000000,5,4
"1136",94.676506,276.767347,92.703159,0.000000,5.169297,0.000000,4,5
"1139",92.390331,176.431020,90.924591,0.000000,6.429960,0.000000,2,2
"1141",90.306277,158.511020,88.766308,0.000000,8.115957,0.000000,8,8
"1142",78.573021,153.469388,77.034723,0.000000,20.280709,-0.000000,6,6
"1143",88.780749,190.432653,80.091245,0.000000,10.225768,0.000000,4,4
"1145",85.841609,257.593469,84.858887,0.000000,9.945689,-0.000000,11,11
"1146",87.444340,199.862857,85.754252,0.000000,9.491472,0.000000,7,7
"1147",84.321485,197.773061,82.658943,0.000000,4.172528,-0.000000,6,6
"1148",65.366665,228.126803,64.476133,0.000000,21.435504,-0.000000,4,7
"1149",66.386769,254.223673,65.441434,0.000000,30.636555,0.000000,6,11
"1150",52.474651,204.564898,51.071851,0.000000,16.827009,0.000000,4,6
"1151",94.287821,188.786939,93.414817,0.000000,3.253284,-0.000000,6,6
"1152",94.409070,165.773061,93.607938,0.000000,2.450017,0.000000,5,6
"1153",92.318288,189.361633,89.925178,0.000000,6.034222,-0.000000,4,5
"1154",96.444038,139.937959,92.618801,0.000000,2.516613,0.000000,3,3
"1155",61.761056,299.311020,55.706478,0.000000,36.214745,0.000000,5,6
"1157",75.305614,264.333061,74.288314,0.000000,23.059909,-0.000000,10,10
"1160",91.306153,125.309388,89.455224,0.000000,4.035641,-0.000000,5,6
"1161",82.754174,180.819592,77.627743,0.000000,10.006242,-0.000000,6,7
"1162",89.008759,270.027755,87.744535,0.000000,9.739978,-0.000000,5,6
"1163",81.426821,247.771429,81.195766,0.000000,12.658108,0.000000,6,8
"1164",42.849268,196.388571,40.102891,0.000000,54.334811,-0.000000,7,8
"1166",90.473835,156.238367,87.917890,0.000000,4.306019,0.000000,3,3
"1167",79.276616,290.664490,73.735410,0.000000,17.377236,-0.000000,6,6
"1168",95.049708,256.000000,93.998927,0.000000,4.005665,-0.000000,3,4
"1169",56.510181,185.991837,53.389717,0.000000,42.888703,0.000000,4,5
"1170",72.293303,226.194286,68.653323,0.000000,17.446398,0.000000,11,10
"1171",86.109968,325.773061,85.298317,0.000000,11.340899,-0.000000,7,7
"1174",47.937667,240.640000,46.861776,0.000000,51.886479,0.000000,7,6
"1177",95.528251,333.871020,94.823782,0.000000,3.586184,0.000000,6,6
"1178",65.201097,179.722449,63.402519,0.000000,34.598765,0.000000,6,7
"1180",89.620271,280.899048,83.178794,0.000000,2.608330,-0.000000,4,4
"1182",29.595876,230.347755,24.289658,0.000000,60.215279,0.000000,9,10
"1183",80.399084,433.606531,79.872678,0.000000,18.937589,-0.000000,9,9
"1186",74.812445,239.151020,73.335964,0.000000,24.961263,-0.000000,10,10
"1188",71.656864,320.000476,71.320466,0.000000,19.187691,0.000000,10,12
"1190",83.730522,166.269388,82.317521,0.000000,10.168648,-0.000000,5,5
"1192",71.058404,158.988707,69.694340,0.000000,28.538723,-0.000000,7,9
"1193",77.251623,174.733061,73.901907,0.000000,19.938113,0.000000,5,5
"1194",92.739302,165.093878,91.065177,0.000000,5.138038,0.000000,3,6
"1197",79.841010,235.049796,79.200807,0.000000,12.431260,0.000000,7,8
"1200",58.575088,179.115420,58.170087,0.000000,38.242068,-0.000000,8,7
"1201",68.218605,219.716168,66.477191,0.000000,27.259853,0.000000,7,8
"1203",80.042932,229.773061,79.089191,0.000000,19.463517,0.000000,5,5
"1204",81.154366,207.275261,75.884521,0.000000,10.157732,-0.000000,9,7
"1208",71.875709,273.005714,71.249219,0.000000,20.637505,0.000000,4,6
"1210",82.271446,152.015034,76.705901,0.000000,7.148945,-0.000000,5,5
"1211",91.385041,151.849796,89.946254,0.000000,6.659892,-0.000000,11,11
"1212",83.838611,188.551837,83.105827,0.000000,15.979300,0.000000,3,3
"1213",91.941929,156.160000,88.903379,0.000000,6.788444,-0.000000,7,7
"1217",56.995456,199.653878,55.904129,0.000000,40.771923,-0.000000,8,9
"1218",87.913893,175.542857,87.222975,0.000000,6.385316,0.000000,9,10
"1220",78.801514,169.698549,77.139142,0.000000,20.737311,-0.000000,6,6
"1221",87.037573,152.534308,83.284772,0.000000,11.630796,0.000000,7,7
"1222",78.183946,225.410612,76.668661,0.000000,20.511164,0.000000,6,9
"1223",6.226678,156.003265,0.000000,0.000000,88.588531,-0.000000,7,6
"1227",76.967337,290.017234,76.550730,0.000000,22.636550,-0.000000,7,9
"1232",55.981531,215.745306,53.784354,0.000000,33.201135,0.000000,8,6
"1234",80.119757,255.973878,80.103787,0.000000,15.223500,-0.000000,6,6
"1235",96.234377,218.435918,95.007052,0.000000,3.470187,0.000000,5,5
"1237",82.356660,227.265306,80.747604,0.000000,17.602217,0.000000,6,7
"1239",96.024986,163.578776,94.410309,0.000000,3.800966,0.000000,6,6
"1240",90.997093,245.773129,90.220715,0.000000,8.741263,0.000000,8,8
"1242",56.995456,199.653878,55.904129,0.000000,40.771923,-0.000000,8,9
"1244",93.949757,139.618413,91.248444,0.000000,4.693955,-0.000000,7,7
"1245",91.304576,161.567347,89.331809,0.000000,6.455295,-0.000000,10,10
"1246",88.445111,175.125125,87.716989,0.000000,8.343270,-0.000000,6,6
"1247",87.416113,137.116735,84.484338,0.000000,11.905823,-0.000000,4,5
"1248",94.035147,142.471837,91.220376,0.000000,5.844422,-0.000000,7,7
"1249",89.298258,188.943673,86.929195,0.000000,6.951308,-0.000000,3,4
"1250",67.774758,195.317551,66.122295,0.000000,30.847290,0.000000,6,7
"1253",79.416096,166.373878,74.432436,0.000000,17.021479,-0.000000,7,7
"1256",82.574257,526.837551,80.764980,0.000000,16.814372,0.000000,9,6
"1257",81.677920,203.781224,80.735144,0.000000,16.911242,0.000000,5,7
"1258",75.856869,235.363265,74.278227,0.000000,17.964392,-0.000000,6,6
"1260",56.377230,185.991837,53.406578,0.000000,42.888703,0.000000,4,5
"1261",79.633634,188.525714,78.063177,0.000000,7.414031,0.000000,5,4
"1263",83.173813,170.499478,73.797546,0.000000,8.591605,-0.000000,3,5
"1265",88.538507,181.237551,80.691043,0.000000,8.084872,-0.000000,3,3
"1266",79.286018,182.282449,73.524383,0.000000,13.994505,-0.000000,4,5
"1267",75.664897,505.600000,33.490253,0.000000,7.700770,-0.000000,6,5
"1268",59.372956,208.143673,47.608973,0.000000,13.396858,0.000000,8,8
"1270",93.917743,204.199184,93.519023,0.000000,5.695964,0.000000,5,5
"1271",85.153694,220.691156,85.130514,0.000000,11.779497,-0.000000,5,6
"1272",92.382090,162.379592,86.504586,0.000000,5.143200,-0.000000,8,8
"1273",71.754263,253.648980,70.155999,0.000000,27.767235,0.000000,7,8
"1274",97.704523,228.838458,96.315571,0.000000,1.865502,-0.000000,6,6
"1276",47.006977,388.466939,42.706559,0.000000,22.676648,0.000000,8,8
"1277",95.930492,258.142041,94.748911,0.000000,2.780451,0.000000,5,5
"1280",92.164434,166.191020,90.635458,0.000000,7.139525,0.000000,3,4
"1281",85.312101,322.403265,83.711849,0.000000,12.219828,0.000000,8,8
"1282",72.740550,238.281361,71.797816,0.000000,22.251958,-0.000000,6,6
"1283",71.058404,158.988707,69.694340,0.000000,28.538723,-0.000000,7,9
"1285",94.430807,222.720000,91.806435,0.000000,5.471008,0.000000,5,5
"1286",61.965205,223.242449,61.946190,0.000000,30.900590,0.000000,7,6
"1287",89.782222,141.440612,88.594156,0.000000,9.694446,0.000000,3,4
"1289",77.008092,162.560000,76.991483,0.000000,19.580229,-0.000000,5,5
"1290",93.906209,174.863673,92.874734,0.000000,4.341393,-0.000000,5,5
"1292",85.880891,115.644082,82.941630,0.000000,12.392557,-0.000000,5,5
"1296",95.869414,253.382041,94.682653,0.000000,2.940898,-0.000000,4,4
"1297",92.241683,186.266213,91.175353,0.000000,4.448116,0.000000,3,3
"1300",88.169456,272.538503,86.848724,0.000000,4.728797,0.000000,9,9
