MirexRoot
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1002",69.583403,239.830204,69.335306,0.000000,18.282653,0.000000,7,10
"1003",67.376866,217.521633,67.292802,0.000000,27.785483,0.000000,7,9
"1006",87.787100,164.048980,87.659712,0.000000,6.463368,0.000000,3,6
"1007",93.595416,218.331429,93.481088,0.000000,3.089518,-0.000000,6,7
"1009",77.587148,181.482404,74.954083,0.000000,19.483392,-0.000000,7,8
"1011",93.020683,252.813061,92.921949,0.000000,5.564883,-0.000000,5,5
"1012",59.509548,295.523265,58.982131,0.000000,40.059273,-0.000000,7,7
"1013",49.830326,247.797551,49.682740,0.000000,47.234212,-0.000000,10,11
"1014",76.158028,198.635102,76.035285,0.000000,12.467842,0.000000,4,10
"1016",67.663323,217.372200,67.220662,0.000000,29.074876,-0.000000,4,8
"1018",79.468862,159.085714,79.333850,0.000000,11.826526,0.000000,5,6
"1019",77.712358,267.964082,77.675531,0.000000,20.298905,-0.000000,7,8
"1020",35.639921,211.200000,35.424158,0.000000,62.942845,0.000000,5,7
"1021",93.486876,160.208980,92.593711,0.000000,1.625315,-0.000000,4,5
"1022",80.276852,256.000000,79.814267,0.000000,18.865022,-0.000000,9,11
"1024",65.867278,170.499478,65.039259,0.000000,17.419097,-0.000000,3,8
"1025",75.983185,307.644082,73.982109,0.000000,21.690986,0.000000,7,10
"1032",66.577762,286.380408,66.469316,0.000000,26.917867,0.000000,4,9
"1033",80.376811,207.960816,80.152105,0.000000,18.439641,-0.000000,6,9
"1034",76.772479,199.131429,76.587366,0.000000,21.943599,0.000000,7,8
"1037",72.564299,172.120816,71.854361,0.000000,22.527899,0.000000,10,11
"1039",91.839185,237.871020,91.543897,0.000000,3.597279,-0.000000,5,6
"1040",89.757649,230.844082,89.701069,0.000000,7.104058,0.000000,3,8
"1041",89.918498,169.613061,89.800422,0.000000,6.336032,-0.000000,4,5
"1042",68.346375,221.657846,68.147267,0.000000,30.302756,0.000000,7,8
"1043",70.486013,250.409796,69.899510,0.000000,28.289979,0.000000,8,8
"1044",73.125282,169.195102,72.622649,0.000000,25.303346,0.000000,11,11
"1045",88.131299,197.877551,88.015420,0.000000,9.231570,0.000000,6,6
"1046",77.544748,145.240816,77.113093,0.000000,19.536337,-0.000000,6,7
"1048",75.624297,191.190204,75.504365,0.000000,22.153177,-0.000000,5,6
"1051",92.864686,211.173878,92.727240,0.000000,6.057740,-0.000000,4,5
"1052",68.745417,239.960816,60.207031,0.000000,20.658789,-0.000000,5,7
"1053",78.522392,207.275261,77.014532,0.000000,13.884633,0.000000,9,9
"1054",88.574168,200.228571,87.239095,0.000000,8.687218,0.000000,4,6
"1055",75.120737,155.491633,74.994315,0.000000,21.122981,0.000000,7,9
"1056",62.153946,280.894694,59.995375,0.000000,35.177886,0.000000,12,12
"1058",70.473578,126.380408,69.982099,0.000000,11.179678,-0.000000,4,6
"1059",94.470246,166.767120,91.881330,0.000000,3.136252,0.000000,10,11
"1061",64.099401,274.808163,64.006456,0.000000,34.244495,-0.000000,5,8
"1062",91.660319,202.579592,91.449702,0.000000,6.356731,0.000000,4,7
"1063",88.719236,158.432653,88.175130,0.000000,9.201330,0.000000,7,7
"1066",91.519790,274.233469,91.433001,0.000000,6.177126,0.000000,4,5
"1067",70.066019,222.693878,69.996941,0.000000,27.603310,0.000000,5,7
"1068",80.461768,178.050612,80.409603,0.000000,18.208029,0.000000,5,7
"1069",79.394100,180.580159,69.018057,0.000000,16.036273,0.000000,5,6
"1070",83.697525,243.304626,83.561473,0.000000,15.148522,0.000000,10,10
"1071",87.830308,215.693991,87.753175,0.000000,8.395863,0.000000,5,6
"1072",85.366344,135.915102,85.137844,0.000000,12.291580,0.000000,3,6
"1073",71.897596,215.353469,71.698124,0.000000,26.183163,-0.000000,6,7
"1076",60.754485,216.482562,60.635148,0.000000,37.430493,0.000000,6,8
"1078",40.278773,216.973061,40.104869,0.000000,58.437328,-0.000000,7,10
"1082",72.966233,223.973878,72.761480,0.000000,26.714710,0.000000,7,7
"1084",87.027025,269.844898,86.921614,0.000000,11.303620,0.000000,6,7
"1086",86.140622,221.701224,85.764884,0.000000,11.171426,0.000000,6,8
"1087",0.044623,195.134694,0.000000,0.000000,97.418599,0.000000,6,6
"1089",92.111103,245.420408,91.700719,0.000000,6.902490,-0.000000,5,6
"1091",91.017342,156.780249,89.122161,0.000000,7.479593,0.000000,10,10
"1094",87.327941,143.177143,87.228608,0.000000,9.931278,0.000000,4,8
