MirexRoot
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1002",64.491588,239.830204,62.228864,0.000000,25.960323,0.000000,7,10
"1003",61.832651,217.521633,59.930873,0.000000,34.488799,0.000000,7,10
"1006",74.219022,164.048980,72.475299,0.000000,21.647781,0.000000,3,5
"1007",83.915774,218.331429,82.084235,0.000000,14.486370,-0.000000,6,6
"1009",66.553389,181.482404,65.144299,0.000000,29.293176,-0.000000,7,9
"1011",86.742698,252.813061,85.262851,0.000000,12.516051,0.000000,5,6
"1012",57.685470,295.523265,57.220565,0.000000,39.952409,-0.000000,7,8
"1013",47.167822,247.797551,44.741068,0.000000,51.012675,0.000000,10,11
"1014",81.821912,198.635102,79.466427,0.000000,17.677093,0.000000,4,7
"1016",50.326678,217.372200,48.690113,0.000000,46.879604,0.000000,4,7
"1018",57.053311,159.085714,52.879902,0.000000,38.280474,0.000000,5,5
"1019",66.198408,267.964082,64.905040,0.000000,32.580413,0.000000,7,7
"1020",46.412009,211.200000,44.960387,0.000000,52.936627,0.000000,5,8
"1021",85.793720,160.208980,82.287536,0.000000,11.618431,-0.000000,4,6
"1022",86.176526,256.000000,85.219636,0.000000,13.190120,0.000000,9,12
"1024",57.052237,170.499478,55.815624,0.000000,26.642732,0.000000,3,6
"1025",58.505169,307.644082,58.191027,0.000000,37.482068,-0.000000,7,9
"1032",46.188864,286.380408,44.558847,0.000000,52.048403,0.000000,4,9
"1033",76.256163,207.960816,74.847909,0.000000,23.219724,0.000000,6,5
"1034",70.009934,199.131429,69.071574,0.000000,26.650072,0.000000,7,9
"1037",57.116804,172.120816,56.698292,0.000000,37.683968,-0.000000,10,12
"1039",87.450631,237.871020,86.614530,0.000000,8.281889,-0.000000,5,5
"1040",73.111615,230.844082,70.673787,0.000000,26.131340,-0.000000,3,9
"1041",80.546633,169.613061,78.972109,0.000000,16.977017,0.000000,4,5
"1042",50.526668,221.657846,48.987166,0.000000,48.056048,0.000000,7,7
"1043",61.128845,250.409796,60.101522,0.000000,37.944956,-0.000000,8,10
"1044",63.678951,169.195102,62.266553,0.000000,35.659442,-0.000000,11,10
"1045",82.333601,197.877551,80.100695,0.000000,16.864822,0.000000,6,7
"1046",57.897788,145.240816,55.826195,0.000000,41.058226,-0.000000,6,8
"1048",81.747095,191.190204,79.414979,0.000000,17.462980,-0.000000,5,6
"1051",78.892251,211.173878,77.680259,0.000000,20.327384,0.000000,4,9
"1052",52.045350,239.960816,50.808293,0.000000,30.365937,0.000000,5,7
"1053",69.096924,207.275261,68.169526,0.000000,22.729640,0.000000,9,11
"1054",78.818362,200.228571,78.517988,0.000000,17.408325,-0.000000,4,6
"1055",64.525388,155.491633,63.597177,0.000000,32.520119,-0.000000,7,7
"1056",32.253486,280.894694,31.725327,0.000000,63.960452,0.000000,12,11
"1058",47.796379,126.380408,45.022979,0.000000,34.487119,0.000000,4,5
"1059",78.494007,166.767120,77.377992,0.000000,17.641303,-0.000000,10,10
"1061",52.094196,274.808163,50.349503,0.000000,46.427195,-0.000000,5,7
"1062",72.068633,202.579592,69.880472,0.000000,27.091943,0.000000,4,8
"1063",76.462789,158.432653,74.321817,0.000000,22.338052,0.000000,7,6
"1066",88.535863,274.233469,86.159261,0.000000,9.700444,-0.000000,4,5
"1067",35.477793,222.693878,34.034434,0.000000,62.901709,0.000000,5,7
"1068",55.108453,178.050612,53.827258,0.000000,44.695138,-0.000000,5,7
"1069",64.599374,180.580159,60.571160,0.000000,24.483169,-0.000000,5,6
"1070",79.809819,243.304626,78.519814,0.000000,18.534216,0.000000,10,10
"1071",78.957130,215.693991,78.906603,0.000000,17.378539,0.000000,5,6
"1072",66.326821,135.915102,64.379324,0.000000,32.374140,-0.000000,3,7
"1073",76.170753,215.353469,74.512203,0.000000,23.518096,-0.000000,6,7
"1076",44.238911,216.482562,42.445436,0.000000,54.665245,0.000000,6,8
"1078",39.234159,216.973061,37.776357,0.000000,58.900144,-0.000000,7,10
"1082",65.139497,223.973878,64.622319,0.000000,32.014430,-0.000000,7,7
"1084",75.722397,269.844898,74.000109,0.000000,23.751143,-0.000000,6,8
"1086",67.314316,221.701224,65.525496,0.000000,31.237804,-0.000000,6,8
"1087",86.942288,195.134694,84.548800,0.000000,12.785583,-0.000000,6,6
"1089",93.085492,245.420408,91.913142,0.000000,6.389648,0.000000,5,6
"1091",80.124087,156.780249,77.516378,0.000000,17.479836,-0.000000,10,10
"1094",78.078936,143.177143,76.207470,0.000000,20.952415,0.000000,4,5
"1096",39.419939,195.787755,36.885890,0.000000,39.331855,0.000000,2,12
"1097",32.253486,280.894694,31.725327,0.000000,63.960452,0.000000,12,11
"1098",50.071238,433.606531,49.044350,0.000000,48.868424,-0.000000,9,9
"1099",51.197787,136.097959,48.504416,0.000000,48.284678,0.000000,9,11
"1100",54.080458,146.233469,50.042608,0.000000,45.349740,-0.000000,8,8
"1101",69.962911,146.677551,68.279872,0.000000,10.416668,0.000000,3,4
"1102",41.395502,204.564898,40.509775,0.000000,56.328706,0.000000,4,11
"1103",83.417686,156.299456,81.872210,0.000000,15.930936,-0.000000,3,6
"1106",48.120848,265.236032,47.441602,0.000000,44.428216,0.000000,3,9
"1107",71.790321,189.011270,71.107397,0.000000,27.681692,-0.000000,5,8
"1110",58.059283,197.250612,56.635327,0.000000,40.455596,0.000000,6,9
"1111",1.289479,149.133061,0.000000,0.000000,98.028454,0.000000,2,2
"1112",38.068059,324.497324,37.439926,0.000000,61.304487,0.000000,6,7
"1113",56.702254,129.541224,54.855646,0.000000,41.753330,0.000000,4,6
"1114",73.479666,187.428571,71.515838,0.000000,24.894114,-0.000000,6,8
"1116",83.144601,186.266213,82.059010,0.000000,13.294583,-0.000000,3,5
"1117",53.127040,146.233469,48.900360,0.000000,44.950343,-0.000000,8,8
"1118",48.077243,164.963265,46.048642,0.000000,47.062645,0.000000,11,10
"1119",84.595718,222.774830,82.243922,0.000000,13.485260,-0.000000,4,7
"1120",80.137742,236.930612,79.957700,0.000000,18.633504,0.000000,4,6
"1121",56.866985,137.521814,56.522772,0.000000,42.162636,0.000000,6,7
"1123",56.702254,129.541224,54.855646,0.000000,41.753330,0.000000,4,6
"1124",70.213470,214.778776,68.690919,0.000000,28.712157,-0.000000,4,4
