MirexRoot
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1002",74.927829,239.830204,72.739886,0.000000,14.028757,0.000000,7,5
"1003",72.158591,217.521633,69.319632,0.000000,25.273962,-0.000000,7,8
"1006",88.539971,164.048980,86.293697,0.000000,7.829383,0.000000,3,4
"1007",94.828733,218.331429,92.898239,0.000000,3.642829,-0.000000,6,6
"1009",79.061848,181.482404,74.923906,0.000000,19.162680,0.000000,7,7
"1011",93.355726,252.813061,91.870111,0.000000,6.226086,0.000000,5,5
"1012",67.162493,295.523265,66.384796,0.000000,32.091854,-0.000000,7,7
"1013",66.054949,247.797551,63.122887,0.000000,33.794065,-0.000000,10,9
"1014",86.582040,198.635102,84.347242,0.000000,8.826763,-0.000000,4,9
"1016",82.661147,217.372200,80.709397,0.000000,14.738946,0.000000,4,6
"1018",75.876086,159.085714,75.728074,0.000000,15.432302,0.000000,5,5
"1019",84.757733,267.964082,83.533688,0.000000,14.440748,0.000000,7,7
"1020",71.000644,211.200000,69.543556,0.000000,28.965901,0.000000,5,6
"1021",97.106128,160.208980,93.432808,0.000000,0.786219,-0.000000,4,4
"1022",89.082092,256.000000,87.792383,0.000000,10.687527,0.000000,9,9
"1024",79.691440,170.499478,64.242433,0.000000,17.196004,-0.000000,3,4
"1025",66.951039,307.644082,64.501438,0.000000,30.430541,-0.000000,7,8
"1032",74.098854,286.380408,73.008188,0.000000,23.887105,0.000000,4,5
"1033",82.089194,207.960816,81.140515,0.000000,17.451231,0.000000,6,5
"1034",73.564200,199.131429,72.537018,0.000000,24.998604,-0.000000,7,7
"1037",73.658347,172.120816,71.564000,0.000000,21.579611,-0.000000,10,10
"1039",91.728231,237.871020,88.253340,0.000000,6.633388,0.000000,5,5
"1040",94.085489,230.844082,93.939834,0.000000,2.865293,0.000000,3,5
"1041",92.336446,169.613061,90.231668,0.000000,5.551573,-0.000000,4,4
"1042",76.074334,221.657846,74.650064,0.000000,23.245254,0.000000,7,8
"1043",75.004033,250.409796,73.796253,0.000000,23.423542,-0.000000,8,8
"1044",77.495990,169.195102,75.498270,0.000000,22.286467,0.000000,11,11
"1045",90.875542,197.877551,88.537945,0.000000,8.709045,0.000000,6,6
"1046",72.241360,145.240816,70.169767,0.000000,23.936011,0.000000,6,6
"1048",76.961320,191.190204,74.964235,0.000000,22.693308,0.000000,5,8
"1051",90.975273,211.173878,90.868194,0.000000,6.275512,0.000000,4,4
"1052",85.866173,239.960816,69.473992,0.000000,11.046817,-0.000000,5,6
