MirexSevenths
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1002",61.633053,233.439688,59.308386,4.624021,14.085122,9.848332,8,16
"1003",15.781611,202.957319,13.743361,45.830820,12.173782,22.271261,10,15
"1006",52.356545,164.048980,50.612821,21.862478,7.006353,14.641428,4,7
"1007",79.875308,218.331429,78.043770,4.040466,4.763842,9.722527,8,7
"1009",58.944190,180.178299,57.524901,7.368377,19.578384,9.925552,11,13
"1011",77.691856,252.813061,76.212009,9.050842,8.605350,3.910700,5,10
"1012",50.515349,264.945170,49.996788,5.736521,27.175673,14.307832,10,13
"1013",10.144124,185.823600,6.908024,40.481132,3.418071,44.031391,15,19
"1014",2.466323,189.708345,0.000000,78.633252,0.000000,18.508891,4,8
"1016",16.998226,217.372200,15.361661,33.328452,5.373735,41.505869,7,12
"1018",47.734358,159.085714,43.560949,9.318953,36.844846,1.435628,7,5
"1019",34.219268,239.662816,32.773170,31.489835,13.433191,19.492321,10,10
"1020",3.455795,208.173386,1.983068,42.354545,0.000000,53.528826,7,12
"1021",13.029075,160.208980,9.522891,72.764645,0.559986,11.058445,5,9
"1022",82.176635,234.679070,81.132811,9.893815,3.663470,3.575185,9,15
"1024",1.236613,170.499478,0.000000,55.815624,0.000000,26.642732,3,9
"1025",62.613892,241.200152,62.213212,2.524502,26.384029,3.359410,7,12
"1032",11.870699,280.971190,10.209301,33.792038,4.301825,48.238770,9,13
"1033",86.640114,157.967160,84.786173,0.633883,8.478884,3.557134,4,7
"1034",67.947429,199.131429,67.009069,2.062505,22.095886,4.554186,8,14
"1037",32.759023,152.685998,32.287240,25.585650,18.119919,17.674391,21,21
"1039",85.946124,237.871020,85.110022,1.504508,4.731999,3.549890,6,6
"1040",39.441723,230.844082,37.003895,33.669892,9.778554,16.352785,4,16
"1041",49.144896,169.613061,47.570372,31.401737,7.993117,8.983900,6,7
"1042",25.251813,180.146840,23.357566,28.372265,7.509909,37.196096,10,10
"1043",53.141200,200.846519,51.860362,13.181721,16.585891,15.972930,7,11
"1044",61.129531,169.195102,59.717132,2.549421,14.623418,21.036024,15,16
"1045",66.797823,197.877551,64.564918,15.535778,12.387552,4.477270,7,9
"1046",31.161965,145.240816,29.090372,26.735823,15.689758,25.368468,9,14
"1048",64.360247,164.548146,61.650538,18.014223,2.318388,15.295126,10,12
"1051",56.228806,211.173878,55.016814,22.663444,13.703953,6.623431,4,14
"1052",42.281688,228.308594,40.981495,9.885413,4.853089,24.493418,6,9
"1053",47.421380,162.535499,46.238705,22.139713,16.280505,3.735134,10,13
"1054",64.653279,200.228571,64.352905,14.165083,6.509670,10.898655,6,10
"1055",47.999648,143.565989,46.994333,17.697382,9.011612,22.091444,11,11
"1056",12.712090,243.650691,12.103198,19.539283,7.155707,56.228128,25,19
"1058",2.773400,126.380408,0.000000,45.022979,0.000000,34.487119,4,7
"1059",53.147216,166.120930,52.026860,25.652123,7.110417,10.210521,11,16
"1061",32.961546,242.784837,30.986728,20.373780,11.759585,33.231451,8,9
"1062",67.521759,202.579592,65.333599,4.546873,25.591338,1.500604,4,11
"1063",69.970108,156.534609,67.803176,6.659370,16.668383,5.488440,10,8
"1066",88.360489,270.101562,85.947531,0.000000,9.200807,0.648031,4,6
"1067",26.171143,162.055941,24.187709,4.226106,13.354532,54.933968,9,10
"1068",24.351888,159.138934,22.918439,37.276543,0.021902,38.129917,9,11
"1069",57.198247,180.580159,53.170033,7.401128,15.743045,8.740124,7,9
"1070",62.874952,243.304626,61.584947,16.934867,9.031491,9.502726,13,16
"1071",59.686216,215.693991,59.635689,19.270914,15.119394,2.259145,8,8
"1072",60.180296,135.915102,58.232799,6.146525,8.492885,23.881255,3,8
"1073",51.539533,163.484578,49.354773,30.877644,9.798456,7.374497,5,9
"1076",6.935363,191.625201,4.909240,37.622258,1.031392,53.452847,10,14
"1078",10.513363,205.247105,8.972274,27.312693,3.691270,56.510390,12,15
"1082",59.768090,206.745111,59.207813,6.891015,10.289703,19.967946,9,11
"1084",66.519019,253.630992,64.686630,10.745229,8.980301,13.195337,6,13
"1086",57.957703,213.660215,56.101561,10.403835,23.549298,6.586794,11,12
"1087",86.942288,195.134694,84.548800,0.000000,2.879663,9.905921,8,8
"1089",91.416488,245.420408,90.244137,1.669005,5.912826,0.476822,5,7
"1091",70.326558,156.780249,67.718849,9.797529,5.107940,12.371895,11,12
"1094",78.078936,143.177143,76.207470,0.000000,13.114666,7.837749,4,6
"1096",2.534050,195.787755,0.000000,36.885890,0.000000,39.331855,2,19
"1097",12.712090,243.650691,12.103198,19.539283,7.155707,56.228128,25,19
"1098",18.092434,380.567607,16.922431,35.513656,1.968962,43.216832,12,14
"1099",7.408790,117.247985,4.282406,49.072154,0.000000,42.918317,17,15
"1100",43.836828,142.315992,39.687829,11.033787,30.631111,13.912787,12,14
"1101",58.877083,146.677551,57.194044,11.085828,4.810546,5.606121,3,7
"1102",33.888464,203.333946,32.997376,7.257774,30.838775,25.725417,7,15
"1103",74.929169,154.765391,73.368374,8.324150,10.438393,5.650453,3,8
"1106",8.354626,21.564171,0.000000,0.000000,0.000000,0.000000,0,0
"1107",58.557524,186.889615,57.866847,12.912548,16.535921,11.460026,7,9
"1110",1.468209,191.305238,0.000000,56.362477,0.000000,41.190999,6,17
"1111",1.289479,149.133061,0.000000,0.000000,0.263168,97.765286,2,4
"1112",15.672112,267.221223,14.909345,27.338649,2.076337,54.150960,8,11
"1113",47.948543,129.541224,46.101934,8.753712,31.695369,10.057961,4,10
"1114",67.930861,136.391187,65.232171,12.973110,3.606814,13.254467,9,10
"1116",62.646707,185.657085,61.557553,20.442593,5.216654,8.121547,5,6
"1117",42.802045,142.315992,38.459019,11.088908,30.301658,13.831849,12,14
"1118",6.059554,145.192465,3.754720,42.894819,1.458168,44.065547,19,16
"1119",83.033045,222.774830,80.681248,1.562673,8.172845,5.312415,4,10
"1120",75.243427,236.930612,75.063385,4.894315,8.138237,10.495267,4,8
"1121",44.037329,137.521814,43.693116,12.829655,4.384504,37.778132,10,10
"1123",47.948543,129.541224,46.101934,8.753712,31.695369,10.057961,4,10
"1124",65.437074,181.603206,63.636382,5.742344,6.679271,20.870668,7,5
"1125",2.534139,126.432653,0.000000,44.993587,0.000000,52.086303,3,14
"1126",55.368114,177.371906,53.373740,8.555616,17.649731,16.665075,9,13
"1127",4.670792,167.141567,2.525696,45.079125,1.683245,48.252697,17,17
"1133",50.759683,270.027755,48.784468,21.055845,7.924783,19.081873,5,15
"1134",1.659522,154.266349,0.000000,65.179807,0.000000,27.842546,4,14
"1136",83.158427,276.767347,82.700186,0.000000,15.311227,0.000000,4,5
"1139",78.149014,176.431020,75.503565,1.183564,19.542201,0.284335,2,3
"1141",47.346296,158.511020,45.658235,15.192156,14.660004,21.371869,9,19
"1142",59.481698,151.844898,58.529824,0.000000,23.295456,15.463784,7,10
"1143",55.894192,110.773141,52.547584,4.378657,7.167994,18.773347,5,6
"1145",29.183766,190.453549,26.730719,30.302785,3.123670,34.688795,11,19
"1146",60.990032,190.734501,58.113269,22.876183,4.156096,10.511093,11,11
"1147",44.801979,189.103037,42.632045,19.293748,4.058127,19.504957,7,14
"1148",8.953852,145.166939,7.516192,51.191073,14.002129,24.544390,4,14
"1149",11.244631,238.531288,10.239059,37.206003,6.736431,41.978226,8,19
"1150",33.888464,203.333946,32.997376,7.257774,30.838775,25.725417,7,15
"1151",85.662311,188.786939,84.019542,5.560778,4.565663,2.664991,7,9
