MirexSevenths
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1002",67.865400,233.439688,67.672039,3.943164,9.920459,6.330200,8,6
"1003",13.547834,202.957319,13.547030,49.448262,9.246881,22.482928,10,16
"1006",67.885538,164.048980,65.849463,20.000795,2.590154,5.671195,4,13
"1007",92.545677,218.331429,90.708366,2.575820,1.643827,1.642592,8,8
"1009",78.209258,180.178299,74.239633,3.638563,10.836932,5.682087,11,10
"1011",94.503401,252.813061,93.653302,0.000000,3.984444,0.831586,5,5
"1012",62.173586,264.945170,61.180072,5.328406,20.775920,11.438404,10,9
"1013",26.538233,185.823600,26.538233,34.500021,2.179468,32.671005,15,31
"1014",42.557486,189.708345,42.549525,49.101796,0.000000,5.882356,4,10
"1016",25.031455,217.372200,23.907945,47.986761,6.779892,17.620940,7,14
"1018",62.806970,159.085714,60.598788,9.994662,19.805239,0.759919,7,5
"1019",49.137326,239.662816,48.572331,25.169055,3.294919,20.698937,10,13
"1020",13.717286,208.173386,12.559598,50.216278,0.197774,35.548078,7,10
"1021",77.005752,160.208980,74.865435,18.653442,0.496758,0.203391,5,5
"1022",86.515317,234.679070,85.113576,9.662880,3.177115,0.592772,9,10
"1024",1.647793,170.499478,0.000000,69.872896,0.000000,12.585460,3,7
"1025",73.039650,241.200152,70.372122,3.358818,18.795930,1.954283,7,12
"1032",17.690386,280.971190,16.108830,49.082617,1.054471,30.516369,9,14
"1033",95.642895,157.967160,94.290781,0.000000,3.062500,0.789664,4,6
"1034",76.827350,199.131429,75.763034,0.607061,20.280106,1.663801,8,10
"1037",61.255868,152.685998,60.305672,15.419607,7.277897,10.664024,21,27
"1039",91.222031,237.871020,90.809614,1.313389,1.976207,1.041967,6,6
"1040",46.727756,230.844082,45.902922,47.769524,1.965536,1.167145,4,5
"1041",64.580998,169.613061,62.917187,28.236268,3.838956,1.049109,6,6
"1042",50.671298,180.146840,49.229227,28.244645,3.313524,17.318357,10,18
"1043",61.075592,200.846519,59.569766,18.989666,10.140321,9.782882,7,13
"1044",74.422958,169.195102,72.385058,2.614111,6.906422,15.803449,15,17
"1045",73.878212,197.877551,71.908533,17.025763,6.204359,2.108335,7,8
"1046",67.735757,145.240816,65.729159,12.992587,2.906629,16.020210,9,11
"1048",76.588027,164.548146,74.955286,7.711075,1.621556,12.990357,10,13
"1051",67.491895,211.173878,67.178165,25.640254,4.936878,1.005362,4,6
"1052",62.531615,228.308594,54.780221,10.223430,2.009506,13.200258,6,10
"1053",57.381851,162.535499,55.028359,21.930163,7.299889,4.135646,10,12
"1054",67.450709,200.228571,65.328848,21.653641,4.017774,4.926050,6,9
"1055",66.597318,143.565989,65.203093,15.942127,2.406328,12.243223,11,14
"1056",22.230699,243.650691,18.502126,41.407902,4.436007,29.728098,25,24
"1058",4.455127,126.380408,1.685388,70.929563,0.000000,8.546826,4,6
"1059",70.838459,166.120930,68.044548,23.871391,0.843135,2.237325,11,16
"1061",38.643349,242.784837,38.059226,25.355693,2.637768,31.967563,8,10
