MirexSevenths
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1002",20.954396,233.439688,20.759188,41.062878,6.268304,19.775490,8,12
"1003",41.925989,202.957319,41.784408,22.211140,3.841218,26.888334,10,17
"1006",58.374224,164.048980,58.367147,24.797388,1.412400,9.546145,4,6
"1007",74.730895,218.331429,74.552756,14.906848,3.009334,4.101667,8,11
"1009",57.563402,180.178299,57.276083,20.351434,5.387380,11.382317,11,13
"1011",66.161083,252.813061,66.108271,17.556954,3.399066,11.450095,5,12
"1012",35.870696,264.945170,35.738140,23.502576,6.405779,33.284275,10,13
"1013",43.520767,185.823600,43.489528,12.188293,4.052790,36.158115,15,21
"1014",68.018159,189.708345,67.767243,15.775385,1.725013,12.266037,4,10
"1016",49.708108,217.372200,49.553865,12.947391,5.790987,28.003294,7,16
"1018",74.961179,159.085714,74.767783,9.291038,5.956498,1.145057,7,9
"1019",57.546831,239.662816,57.469322,15.572546,7.807043,16.886331,10,9
"1020",30.261577,208.173386,30.042678,23.510779,0.899883,44.057234,7,9
"1021",76.022987,160.208980,75.899792,1.762395,1.489784,15.067055,5,6
"1022",82.003236,234.679070,81.998289,7.992889,2.743103,5.825019,9,14
"1024",18.808967,170.499478,18.348655,42.621360,1.058110,20.430231,3,10
"1025",41.252465,241.200152,41.175450,13.601177,9.203683,30.500843,7,13
"1032",40.148161,280.971190,40.016967,14.095293,7.110644,35.623623,9,12
"1033",84.178264,157.967160,83.948589,7.875909,3.003491,3.318071,4,7
"1034",56.416434,199.131429,56.377080,10.628336,9.300743,22.224807,8,15
"1037",44.475026,152.685998,44.100537,23.641419,1.700279,24.224965,21,26
"1039",75.105966,237.871020,75.005910,8.679015,3.033408,8.422844,6,11
"1040",52.272792,230.844082,51.999949,17.791769,2.597762,24.415647,4,8
"1041",53.858320,169.613061,53.735110,30.917112,7.938142,3.484485,6,6
"1042",50.601735,180.146840,50.343857,27.776332,3.503332,16.482231,10,13
"1043",25.844853,200.846519,25.752364,39.076554,2.266685,31.398570,7,15
"1044",29.103914,169.195102,28.973538,39.462800,1.301346,28.188310,15,21
"1045",78.572095,197.877551,78.514889,6.713170,8.463713,3.555217,7,10
"1046",46.914538,145.240816,46.602788,33.272238,1.689554,16.363828,9,12
"1048",46.062630,164.548146,46.055574,17.708622,5.969769,27.544310,10,17
"1051",56.479328,211.173878,56.336384,35.134177,3.235065,4.079354,4,11
"1052",35.410299,228.308594,35.303509,25.243871,0.093011,19.573024,6,14
"1053",43.651191,162.535499,43.585467,29.853808,9.860472,5.094310,10,16
"1054",41.830297,200.228571,41.621556,47.194483,2.319209,4.791066,6,8
"1055",34.382266,143.565989,34.358005,39.811831,1.502838,20.122096,11,14
"1056",51.357508,243.650691,51.280077,3.353373,15.031511,25.361355,25,23
"1058",58.167029,126.380408,57.859280,7.180237,5.001473,11.120787,4,7
"1059",28.198384,166.120930,27.827973,59.283704,2.173118,5.715126,11,18
