MirexSevenths
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1002",67.501158,233.439688,65.253319,9.477854,7.699264,5.435424,8,11
"1003",50.682050,202.957319,47.639366,19.841918,6.008953,20.723971,10,18
"1006",67.345031,164.048980,65.098757,21.194940,0.607253,7.222130,4,9
"1007",91.429594,218.331429,89.499100,3.399139,2.413668,1.229161,8,10
"1009",73.845200,180.178299,69.677308,5.457066,11.021979,7.887433,11,11
"1011",83.205533,252.813061,81.719918,10.150193,4.413622,1.812464,5,13
"1012",56.223050,264.945170,55.355596,8.580707,15.014213,19.350319,10,15
"1013",65.093236,185.823600,61.183302,6.630981,4.443114,23.631328,15,19
"1014",65.773564,189.708345,63.433607,20.177092,1.818796,7.423312,4,17
"1016",77.444475,217.372200,75.492725,5.216672,3.521780,11.217166,7,12
"1018",63.283652,159.085714,63.135640,12.592434,12.959297,2.473004,7,7
"1019",63.454267,239.662816,62.085677,20.752631,2.922210,11.974724,10,12
"1020",63.398621,208.173386,61.920349,7.198987,0.281060,29.087390,7,9
"1021",85.590817,160.208980,81.917496,11.515312,0.582856,0.203363,5,5
"1022",90.883175,234.679070,89.476294,1.695042,6.138239,1.032234,9,14
"1024",16.201019,170.499478,0.752012,63.490421,3.168228,14.027776,3,10
"1025",66.301357,241.200152,63.176958,7.288739,21.582646,2.432810,7,15
"1032",44.853401,280.971190,43.741738,28.746807,2.856999,21.489977,9,14
"1033",88.155202,157.967160,86.906284,7.383905,2.725778,1.130093,4,9
"1034",73.322899,199.131429,72.295718,0.241301,23.487768,1.510836,8,9
"1037",60.235492,152.685998,57.874564,14.123393,6.665238,13.607693,21,34
"1039",83.618003,237.871020,80.143111,8.110228,5.158342,1.475045,6,7
"1040",80.524548,230.844082,80.378893,13.560941,1.729070,1.136223,4,7
"1041",72.375389,169.613061,70.270612,19.961057,3.352424,2.199149,6,8
"1042",55.350153,180.146840,53.597690,25.634352,2.115078,16.063219,10,16
"1043",53.782958,200.846519,52.277132,24.523451,7.759436,13.733418,7,19
"1044",66.696702,169.195102,64.698981,10.799288,7.848800,14.437667,15,21
"1045",81.025369,197.877551,78.687773,9.850172,6.551267,2.157778,7,10
