MirexSeventhsBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1002",52.283702,233.439688,52.028813,19.204579,3.952982,12.679488,8,23
"1003",41.131268,202.957319,41.041172,24.910639,3.487631,25.285660,10,27
"1006",54.009251,164.048980,53.881863,33.777849,0.408214,6.055154,4,17
"1007",85.211537,218.331429,85.097209,8.383879,1.034202,2.055316,8,14
"1009",62.710676,180.178299,60.058553,14.773968,8.079122,11.485571,12,25
"1011",87.112218,252.813061,87.013483,5.908466,4.249754,1.315129,5,10
"1012",29.648650,264.945170,29.060362,29.834828,6.662701,33.372879,13,30
"1013",47.059081,185.823600,46.862274,11.850769,1.943038,35.232646,15,36
"1014",60.882381,189.708345,60.753863,14.765750,1.810656,10.631871,4,23
"1016",61.391991,217.372200,60.949329,6.271332,3.597592,25.477284,8,29
"1018",58.731640,159.085714,58.596628,20.737222,8.001467,3.825059,7,13
"1019",51.681617,239.662816,51.640440,24.735997,2.990654,18.368150,12,20
"1020",26.707577,208.173386,26.488677,8.024918,0.396555,63.433111,7,20
"1021",83.151551,160.208980,82.258387,10.335324,0.435825,1.189489,5,9
"1022",85.141765,234.679070,84.637154,2.331517,3.655213,7.935417,9,21
"1024",7.978356,170.499478,7.150337,57.888922,2.532725,14.886373,4,24
"1025",54.309302,241.200152,51.756986,22.763627,10.124393,9.836148,10,31
"1032",44.300980,280.971190,44.190447,23.558527,0.884050,24.626850,9,27
"1033",85.678885,157.967160,85.383063,6.960325,2.291544,3.511128,4,16
"1034",60.596823,199.131429,60.411710,16.175656,9.156297,12.787302,10,25
"1037",53.359566,152.685998,52.559263,21.408500,3.209516,16.489921,26,44
"1039",87.591924,237.871020,87.296637,4.247261,1.603338,1.993941,8,10
"1040",37.430945,230.844082,37.374364,52.326705,0.735583,6.368475,4,22
"1041",71.026723,169.613061,70.908648,18.891774,3.077167,3.258865,7,13
"1042",58.537290,180.146840,58.292302,19.489771,2.322673,18.001006,11,28
"1043",38.633734,200.846519,37.902498,34.241307,6.760724,19.589645,7,25
"1044",52.059983,169.195102,51.557350,21.065299,5.013141,20.290205,18,27
"1045",77.019720,197.877551,76.903842,11.111578,5.188757,4.042813,8,15
"1046",52.046520,145.240816,51.614866,25.498228,0.401134,19.135204,9,20
"1048",55.522985,164.548146,55.383635,23.701755,0.546922,17.645963,15,23
"1051",54.774061,211.173878,54.636615,38.090625,1.809686,4.248054,4,16
"1052",44.790622,228.308594,35.816461,26.483569,1.587801,16.001436,6,21
"1053",48.425989,162.535499,46.503074,29.587875,6.633992,5.669115,10,20
"1054",51.484886,200.228571,50.149813,37.089282,1.346156,7.341062,6,19
"1055",61.177501,143.565989,61.040578,15.808455,3.016696,15.929042,12,21
"1056",57.575884,243.650691,55.087358,10.331537,5.404952,23.611608,28,45
"1058",45.454197,126.380408,44.962718,25.019381,3.225525,7.954153,4,14
"1059",55.722270,166.120930,53.123283,39.115454,0.561485,2.197979,12,22
"1061",41.208866,242.784837,41.103662,24.218393,2.871007,29.827189,8,18
"1062",41.789010,202.579592,41.578394,49.871308,3.066638,3.290093,4,14
"1063",59.175813,156.534609,58.625110,29.439776,3.827903,5.451860,10,19
"1066",76.604370,270.101562,76.516253,14.902698,3.922941,2.231675,7,7
"1067",56.043723,162.055941,55.948797,20.838663,1.985132,17.929724,9,20
"1068",68.221061,159.138934,68.162697,21.802584,0.000000,8.488073,9,17
"1069",68.297220,180.580159,57.921177,11.096880,5.981571,10.054702,8,17
"1070",70.947065,243.304626,70.811013,12.750459,3.822474,11.326048,14,33
"1071",52.537805,215.693991,52.460672,35.292503,4.171535,4.224327,8,16
"1072",78.347530,135.915102,78.119029,7.018814,2.012178,10.279403,3,9
"1073",36.871608,163.484578,36.608849,37.677731,4.855682,18.066820,5,21
"1076",49.855204,191.625201,49.720386,11.780791,12.939249,23.374292,12,34
"1078",19.702386,205.247105,19.518547,19.966757,1.352636,57.620971,13,33
"1082",57.212337,206.745111,56.990521,16.325015,2.321405,23.795599,11,20
"1084",58.237412,253.630992,58.125263,31.607662,1.146116,7.232737,6,18
"1086",67.034240,213.660215,66.644362,20.124719,3.845962,6.205967,13,26
"1087",0.044623,195.134694,0.000000,0.000000,65.795051,31.623547,8,13
"1089",86.784392,245.420408,86.374008,5.326710,3.640707,3.261782,6,14
"1091",81.484196,156.780249,79.589014,9.533147,1.191941,6.287653,11,17
"1094",71.406272,143.177143,71.306939,15.921669,5.491699,4.439579,4,15
"1096",59.503549,195.787755,41.418608,13.499833,2.941162,11.321575,2,14
"1097",57.575884,243.650691,55.087358,10.331537,5.404952,23.611608,28,45
"1098",63.523772,380.567607,63.414709,12.762822,0.898819,21.568107,14,25
"1099",41.941914,117.247985,41.441860,18.567487,1.685868,34.774697,17,40
"1100",41.420384,142.315992,40.739200,18.063093,13.661072,22.802150,12,25
"1101",65.215243,146.677551,64.744282,10.228415,2.197688,1.096749,3,9
"1102",30.545648,203.333946,30.432879,19.637007,1.933272,43.427512,7,41
"1103",67.497772,154.765391,67.223874,24.728128,1.039083,4.528356,3,14
"1106",90.315358,21.564171,0.000000,0.000000,0.000000,0.000000,0,0
"1107",68.628785,186.889615,68.479243,17.838558,1.305658,11.151883,8,17
"1110",5.452589,191.305238,5.053564,71.725775,0.310719,20.463418,6,26
"1111",19.788717,149.133061,19.685566,76.168233,0.000000,2.174655,2,9
"1112",86.061361,267.221223,86.001112,1.944207,4.364139,6.927774,8,12
"1113",30.083461,129.541224,29.601733,38.974263,8.063109,21.370932,4,15
"1114",64.002202,136.391187,63.868134,16.767949,1.985866,13.439879,10,18
"1116",70.049338,185.657085,69.976593,14.660837,0.780013,10.191666,6,15
"1117",41.420384,142.315992,40.739200,18.063093,13.661072,22.802150,12,25
"1118",21.309384,145.192465,21.047506,34.735989,0.684204,35.705556,23,41
"1119",74.420284,222.774830,74.314893,14.696832,4.436248,2.281208,4,14
"1120",52.630017,236.930612,52.358058,36.414681,1.459222,8.359244,4,22
"1121",48.994904,137.521814,48.782660,15.142260,2.849566,31.910923,11,21
"1123",30.083461,129.541224,29.601733,38.974263,8.063109,21.370932,4,15
"1124",47.349799,181.603206,47.122846,23.845080,3.821434,22.325091,7,19
"1125",55.603496,126.432653,55.511669,25.836320,4.469966,11.261936,3,25
"1126",66.102771,177.371906,65.556217,3.892810,6.221175,21.818762,13,19
"1127",53.933529,167.141567,53.902271,15.761065,3.881419,24.228990,18,28
"1133",73.193083,270.027755,73.080219,8.611932,2.272685,13.519677,5,20
"1134",51.608467,154.266349,51.333771,33.526151,3.416576,4.969557,4,17
"1136",39.731194,276.767347,39.501526,50.466308,2.364464,5.694355,4,16
"1139",78.997837,176.431020,78.813481,4.294484,14.063168,0.180230,2,6
"1141",50.827260,158.511020,50.526960,23.890449,5.110962,17.353894,9,37
"1142",59.169524,151.844898,58.597990,18.037508,7.988887,12.664679,7,21
"1143",51.812888,110.773141,46.043175,8.317350,2.363956,26.629273,5,11
"1145",69.722193,190.453549,69.458542,11.536259,2.425325,10.840630,15,27
"1146",58.206313,190.734501,58.019139,29.520109,2.370413,6.356337,12,19
"1147",55.024771,189.103037,54.762307,26.957161,0.246581,4.261668,7,17
"1148",17.246193,145.166939,16.788701,45.868179,1.041150,30.353505,4,29
"1149",22.013264,238.531288,21.580076,48.854189,1.215602,24.509851,8,57
"1150",30.545648,203.333946,30.432879,19.637007,1.933272,43.427512,7,41
"1151",86.857411,188.786939,86.656006,5.611886,1.822041,2.752343,8,13
"1152",62.268582,165.773061,62.054974,30.793969,0.619432,3.494431,8,16
"1153",86.431397,184.284172,86.291221,3.797226,2.803306,2.956318,4,7
"1154",59.690968,139.937959,59.514667,30.488017,0.436511,4.696220,3,9
"1155",55.099006,299.311020,49.759699,8.783142,2.166358,31.212025,8,15
"1157",72.293009,264.333061,72.223833,5.603991,4.027439,15.492961,15,24
"1160",48.013588,125.309388,47.927886,35.067409,2.980809,7.514761,5,17
"1161",42.984181,180.819592,42.839714,27.753401,2.319783,14.721086,15,17
"1162",73.193083,270.027755,73.080219,8.611932,2.272685,13.519677,5,20
"1163",51.128101,242.175420,50.987876,27.298759,1.898573,15.824956,10,20
"1164",61.422357,120.540646,54.954746,7.347876,0.444078,28.191030,9,17
"1166",53.214105,147.862602,53.015845,29.061284,2.611626,7.094671,6,18
"1167",55.964818,235.859443,51.772152,27.147220,0.000000,13.466681,7,28
"1168",30.456875,242.045686,30.293790,63.033778,1.388308,3.173676,5,14
"1169",40.532417,147.719558,40.375227,22.389138,0.763242,32.543454,7,15
"1170",5.174956,41.611539,0.000000,14.324185,1.778698,37.261544,5,20
"1171",71.346094,325.773061,71.247198,12.357928,6.560293,6.475308,9,26
"1174",22.065754,240.640000,21.877594,12.441041,2.804839,60.642726,10,43
"1177",87.114736,333.871020,87.040841,5.273370,3.852555,2.243200,6,13
"1178",39.002513,169.590238,38.372690,23.451833,3.053527,33.003820,10,30
"1180",56.430387,280.899048,56.287277,22.753609,3.151851,3.594387,5,15
"1182",38.706103,208.141108,34.575641,12.118454,10.424128,25.983370,15,31
"1183",63.523772,380.567607,63.414709,12.762822,0.898819,21.568107,14,25
"1186",42.017075,210.138939,41.758786,26.653913,4.484291,25.165150,22,32
"1188",55.253136,300.838597,55.212456,15.667702,4.620956,20.751381,20,41
"1190",59.851577,166.269388,59.731127,20.640495,5.824917,6.289629,9,16
"1192",40.586515,103.507667,40.248397,36.331418,0.423884,20.282270,8,24
"1193",75.252997,174.733061,74.998848,4.610309,11.801276,2.429587,5,10
"1194",67.521155,165.093878,67.436766,19.287940,1.869424,7.609084,6,20
"1197",46.686020,235.049796,46.579824,22.236636,1.401976,21.413631,14,31
"1200",37.970498,140.732477,37.477870,30.315727,6.314094,24.306760,14,25
"1201",58.015974,177.986774,57.932667,11.689635,2.088847,20.557533,12,29
"1203",59.630979,229.773061,59.292441,17.149326,10.130687,11.987487,7,21
"1204",48.425989,162.535499,46.503074,29.587875,6.633992,5.669115,10,20
"1208",60.233045,266.674561,60.046928,10.937162,8.892938,11.909460,9,15
"1210",51.037375,152.015034,50.720557,21.102603,1.471462,13.717522,5,23
"1211",77.996036,151.849796,77.818273,11.817430,0.383187,6.587255,19,23
"1212",73.605302,188.551837,73.429815,10.560020,0.027709,15.141917,3,5
"1213",67.141498,151.096236,66.845670,18.889235,4.109633,5.702903,12,19
"1217",41.193739,188.716355,41.115300,20.729002,6.382628,28.256473,25,38
"1218",69.336014,171.330652,69.227592,16.412001,2.008993,8.551633,13,34
"1220",9.754809,169.698549,9.476952,59.192311,2.427664,27.049138,10,26
"1221",49.818555,135.027152,49.661989,32.252705,1.151054,11.190590,9,17
"1222",50.312778,102.757658,50.050090,20.524300,4.376543,18.862694,7,24
"1223",29.566418,147.348957,18.908346,41.584904,0.577564,26.407130,9,19
"1227",40.975495,231.739297,40.835217,24.827643,0.775862,32.544175,12,45
"1232",19.511711,215.745306,18.377595,41.040874,1.709183,33.410524,10,30
"1234",60.439982,221.568262,60.273615,21.273387,1.838267,11.216429,14,18
"1235",52.001123,194.011991,51.746796,40.865241,0.909801,4.763702,9,20
"1237",60.246232,227.265306,60.026564,21.104029,3.736871,13.492690,7,18
"1239",67.866308,163.578776,67.713712,23.367898,2.909296,4.252467,8,15
"1240",60.638818,226.545695,60.448530,27.440262,2.365730,8.619357,10,23
"1242",41.193739,188.716355,41.115300,20.729002,6.382628,28.256473,25,38
"1244",71.975762,136.469722,71.008248,14.836342,1.170220,8.826966,11,21
"1245",67.590640,161.567347,67.387640,19.194601,4.069768,5.135094,14,20
"1246",68.824272,175.125125,68.771106,19.357486,5.770768,2.081345,7,14
"1247",1.640437,137.116735,1.350435,60.619744,1.460682,33.332544,4,38
"1248",56.721565,141.462137,56.430212,29.044144,4.294745,7.396037,11,25
"1249",63.586619,176.496632,62.677208,20.199407,6.638862,6.896283,6,18
"1250",33.170467,169.826678,33.011521,27.825319,2.743195,32.934687,15,25
"1253",56.293724,151.839657,55.756578,21.712545,2.099334,12.102966,12,23
"1256",29.723944,458.632018,27.663355,42.555420,5.522739,21.483652,18,36
"1257",57.872523,201.812344,57.675487,18.192565,7.562286,15.422090,6,24
"1258",40.653167,222.327593,40.567004,35.056238,0.796427,15.378333,12,22
"1260",40.532417,147.719558,40.375227,22.389138,0.763242,32.543454,7,15
"1261",68.931721,158.702880,68.827474,5.214057,0.138109,8.568500,5,7
"1263",7.978356,170.499478,7.150337,57.888922,2.532725,14.886373,4,24
"1265",59.236543,181.237551,51.533394,21.682526,7.442066,8.117928,3,23
"1266",62.749045,177.771912,60.002832,11.177838,7.868311,12.358054,6,19
"1267",26.166597,397.465878,5.460360,17.949315,0.494389,4.852540,5,23
"1268",24.035544,168.573161,18.886036,17.130638,1.930769,19.660125,19,35
"1270",78.243490,204.199184,77.809962,13.012003,1.114093,7.278928,5,16
"1271",67.558200,205.367800,67.373586,19.393416,4.034933,5.877518,11,10
"1272",71.932068,162.379592,67.483323,18.617674,4.693651,1.663416,9,20
"1273",25.284984,240.736735,24.824417,29.297335,1.449315,42.240777,16,21
"1274",30.649040,228.838458,30.494301,37.901567,2.816312,26.968893,6,26
"1276",5.002117,190.077581,0.000000,15.914267,1.282094,52.984904,13,18
"1277",75.342632,228.813905,74.761661,16.428861,3.490996,2.596290,7,15
"1280",52.838541,166.191020,52.765189,35.324939,2.099434,7.585422,4,21
"1281",65.908009,282.993247,65.754163,12.127936,9.060830,8.422187,9,27
"1282",40.923012,238.281361,40.339088,30.498323,3.356991,19.855372,8,24
"1283",40.586515,103.507667,40.248397,36.331418,0.423884,20.282270,8,24
"1285",56.043424,222.720000,55.879221,24.619154,3.389694,13.389375,6,27
"1286",19.724276,216.120090,19.528198,39.058183,2.865359,31.159303,15,27
"1287",26.856772,141.440612,26.506457,62.288611,0.966184,9.050682,3,11
