Inner
File,DirectionalHammingMeasure,UnderSegmentation,OverSegmentation
"1002",0.785866,0.214134,0.046246
"1003",0.855575,0.115215,0.144425
"1006",0.872622,0.120681,0.127378
"1007",0.944120,0.055880,0.053955
"1009",0.879932,0.120068,0.086639
"1011",0.976269,0.017193,0.023731
"1012",0.419455,0.580545,0.054210
"1013",0.706086,0.293914,0.072421
"1014",0.841708,0.158292,0.097118
"1016",0.885260,0.114740,0.088896
"1018",0.830712,0.091703,0.169288
"1019",0.823493,0.176507,0.067819
"1020",0.681077,0.318923,0.085414
"1021",0.827572,0.172428,0.093172
"1022",0.972370,0.025872,0.027630
"1024",0.815008,0.095405,0.184992
"1025",0.839465,0.160535,0.132758
"1032",0.544894,0.455106,0.117083
"1033",0.935689,0.049586,0.064311
"1034",0.565315,0.434685,0.067774
"1037",0.802320,0.197680,0.099190
"1039",0.935713,0.064287,0.049658
"1040",0.924979,0.075021,0.041329
"1041",0.905878,0.094122,0.073259
"1042",0.878363,0.086354,0.121637
"1043",0.537459,0.462541,0.075692
"1044",0.843778,0.156222,0.090374
"1045",0.946890,0.047557,0.053110
"1046",0.640371,0.359629,0.023463
"1048",0.803858,0.196142,0.045446
"1051",0.942177,0.057823,0.053043
"1052",0.889204,0.088953,0.110796
"1053",0.785971,0.214029,0.086901
"1054",0.796677,0.049295,0.203323
"1055",0.799675,0.200325,0.053741
"1056",0.746951,0.253049,0.100852
"1058",0.890361,0.066987,0.109639
"1059",0.912245,0.032333,0.087755
"1061",0.756235,0.243765,0.063633
"1062",0.710991,0.237978,0.289009
"1063",0.884378,0.115622,0.071164
"1066",0.873816,0.126184,0.046935
"1067",0.821771,0.178229,0.079318
"1068",0.740087,0.259913,0.070259
"1069",0.826192,0.173808,0.075948
"1070",0.939718,0.060282,0.044548
"1071",0.842198,0.157802,0.066116
"1072",0.934426,0.055292,0.065574
"1073",0.837867,0.162133,0.156654
"1076",0.775670,0.116245,0.224330
"1078",0.763376,0.236624,0.087324
"1082",0.784293,0.215707,0.136851
"1084",0.871413,0.098530,0.128587
"1086",0.786442,0.213558,0.127279
