Inner
File,DirectionalHammingMeasure,UnderSegmentation,OverSegmentation
"1002",0.704345,0.295655,0.133330
"1003",0.794487,0.105434,0.205513
"1006",0.855526,0.144474,0.068266
"1007",0.901906,0.098094,0.066739
"1009",0.897334,0.102666,0.096312
"1011",0.894933,0.103319,0.105067
"1012",0.815057,0.184943,0.115302
"1013",0.692223,0.307777,0.219001
"1014",0.681060,0.121571,0.318940
"1016",0.338764,0.057358,0.661236
"1018",0.893857,0.055303,0.106143
"1019",0.726294,0.273706,0.201339
"1020",0.710410,0.145368,0.289590
"1021",0.912872,0.087128,0.024233
"1022",0.872705,0.127295,0.062922
"1024",0.833923,0.080215,0.166077
"1025",0.715006,0.232488,0.284994
"1032",0.626835,0.373165,0.261602
"1033",0.852625,0.147375,0.103467
"1034",0.588213,0.411787,0.059358
"1037",0.732545,0.267455,0.130217
"1039",0.883993,0.116007,0.094204
"1040",0.851584,0.148416,0.048807
"1041",0.773290,0.226710,0.054915
"1042",0.846539,0.153461,0.142536
"1043",0.813137,0.186863,0.110498
"1044",0.774263,0.225737,0.078465
"1045",0.902693,0.097307,0.087522
"1046",0.879947,0.120053,0.094365
"1048",0.684282,0.315718,0.147097
"1051",0.883141,0.116859,0.109869
"1052",0.649659,0.096133,0.350341
"1053",0.779306,0.220694,0.170097
"1054",0.853827,0.146173,0.089467
"1055",0.714738,0.285262,0.080638
"1056",0.723371,0.276629,0.230520
"1058",0.700874,0.156565,0.299126
"1059",0.888939,0.111061,0.083778
"1061",0.705916,0.294084,0.100008
"1062",0.594268,0.405732,0.018229
"1063",0.872577,0.127423,0.066860
"1066",0.780527,0.219473,0.134930
"1067",0.847218,0.152782,0.141898
"1068",0.539733,0.460267,0.055191
"1069",0.787491,0.212509,0.134015
"1070",0.857263,0.142737,0.090350
"1071",0.921821,0.078179,0.039126
"1072",0.876362,0.123638,0.063217
"1073",0.842351,0.157649,0.073526
"1076",0.708832,0.143550,0.291168
"1078",0.769441,0.230559,0.208377
"1082",0.744060,0.255940,0.107048
"1084",0.867572,0.132428,0.106501
"1086",0.831082,0.168918,0.124735
"1087",0.904187,0.095813,0.093768
"1089",0.961322,0.038678,0.029747
"1091",0.929309,0.070691,0.055009
"1094",0.851527,0.148473,0.090109
"1096",0.522012,0.033699,0.477988
"1097",0.723371,0.276629,0.230520
"1098",0.834430,0.165570,0.108083
"1099",0.811076,0.140532,0.188924
"1100",0.825817,0.153784,0.174183
"1101",0.849197,0.062895,0.150803
"1102",0.710058,0.128414,0.289942
"1103",0.888062,0.111938,0.054596
"1106",0.806854,0.085154,0.193146
"1107",0.905912,0.094088,0.049103
"1110",0.836307,0.075507,0.163693
"1111",0.980900,0.019100,0.005385
"1112",0.876015,0.123106,0.123985
"1113",0.235726,0.764274,0.049659
"1114",0.772258,0.227742,0.125382
"1116",0.739023,0.260977,0.073900
"1117",0.825817,0.153784,0.174183
"1118",0.823030,0.174771,0.176970
"1119",0.931995,0.068005,0.025867
"1120",0.920636,0.079364,0.077952
"1121",0.761746,0.113077,0.238254
"1123",0.235726,0.764274,0.049659
"1124",0.713082,0.286918,0.086633
"1125",0.595750,0.040821,0.404250
"1126",0.589070,0.410930,0.086721
"1127",0.622814,0.377186,0.104080
"1133",0.885907,0.076139,0.114093
"1134",0.786925,0.213075,0.195022
"1136",0.948098,0.051902,0.047958
"1139",0.904299,0.095701,0.081078
"1141",0.883430,0.071844,0.116570
"1142",0.893488,0.106512,0.091914
"1143",0.843376,0.087340,0.156624
"1145",0.779705,0.191800,0.220295
"1146",0.824228,0.175772,0.112726
"1147",0.867523,0.085437,0.132477
"1148",0.712635,0.076685,0.287365
"1149",0.602223,0.148263,0.397777
