Inner
File,DirectionalHammingMeasure,UnderSegmentation,OverSegmentation
"1002",0.679991,0.320009,0.144813
"1003",0.797072,0.106729,0.202928
"1006",0.810575,0.189425,0.169939
"1007",0.895575,0.104425,0.072656
"1009",0.834334,0.165666,0.095146
"1011",0.957176,0.042824,0.022769
"1012",0.669922,0.330078,0.253610
"1013",0.756953,0.243047,0.104179
"1014",0.373088,0.028931,0.626912
"1016",0.396147,0.091862,0.603853
"1018",0.934131,0.047615,0.065869
"1019",0.795348,0.204652,0.073827
"1020",0.787296,0.196815,0.212704
"1021",0.932579,0.037446,0.067421
"1022",0.886731,0.113269,0.039969
"1024",0.669809,0.142539,0.330191
"1025",0.716757,0.137154,0.283243
"1032",0.632648,0.110207,0.367352
"1033",0.910572,0.089428,0.083878
"1034",0.696908,0.303092,0.113788
"1037",0.687017,0.312983,0.091085
"1039",0.911455,0.088545,0.012026
"1040",0.707153,0.052287,0.292847
"1041",0.834347,0.165653,0.047453
"1042",0.847231,0.140900,0.152769
"1043",0.799447,0.192618,0.200553
"1044",0.810325,0.189675,0.123056
"1045",0.946220,0.039861,0.053780
"1046",0.883558,0.116442,0.047551
"1048",0.844991,0.155009,0.060694
"1051",0.943728,0.040414,0.056272
"1052",0.492882,0.042033,0.507118
"1053",0.829994,0.170006,0.159565
"1054",0.853828,0.146172,0.126452
"1055",0.802724,0.197276,0.087913
"1056",0.782745,0.217255,0.197716
"1058",0.852964,0.147036,0.128759
"1059",0.881790,0.118210,0.100402
"1061",0.752508,0.247492,0.104016
"1062",0.590048,0.039104,0.409952
"1063",0.871251,0.128749,0.081753
"1066",0.887349,0.112651,0.030780
"1067",0.850508,0.131056,0.149492
"1068",0.757891,0.242109,0.127245
"1069",0.773985,0.226015,0.131998
"1070",0.923566,0.076434,0.060320
"1071",0.849920,0.117903,0.150080
"1072",0.885867,0.067618,0.114133
"1073",0.788231,0.211769,0.144137
"1076",0.713943,0.104311,0.286057
"1078",0.664635,0.109081,0.335365
"1082",0.742228,0.257772,0.103194
"1084",0.855644,0.090374,0.144356
"1086",0.891283,0.108717,0.091190
"1087",0.812814,0.187186,0.093383
"1089",0.966898,0.029964,0.033102
"1091",0.959789,0.015282,0.040211
"1094",0.953670,0.046330,0.045896
"1096",0.234030,0.009540,0.765970
"1097",0.781893,0.218107,0.194476
"1098",0.819631,0.180369,0.139952
"1099",0.801091,0.166608,0.198909
"1100",0.704659,0.295341,0.226256
"1101",0.861834,0.109368,0.138166
"1102",0.636594,0.173250,0.363406
"1103",0.960532,0.031261,0.039468
"1106",0.749822,0.104580,0.250178
"1107",0.830947,0.169053,0.096472
"1110",0.738213,0.261787,0.177986
"1111",0.938219,0.004481,0.061781
"1112",0.824327,0.175673,0.120407
"1113",0.309503,0.690497,0.080825
"1114",0.818158,0.181842,0.070983
"1116",0.787908,0.212092,0.099213
"1117",0.707806,0.292194,0.226375
"1118",0.821761,0.138692,0.178239
"1119",0.946216,0.053784,0.039246
"1120",0.888295,0.111705,0.104275
"1121",0.767218,0.130671,0.232782
"1123",0.309503,0.690497,0.080825
"1124",0.632021,0.367979,0.121328
"1125",0.357445,0.036903,0.642555
"1126",0.687805,0.312195,0.086100
"1127",0.649952,0.350048,0.068614
"1133",0.888332,0.075329,0.111668
"1134",0.739127,0.144740,0.260873
"1136",0.941271,0.046920,0.058729
"1139",0.841354,0.158646,0.101882
"1141",0.860913,0.031967,0.139087
"1142",0.894230,0.093462,0.105770
"1143",0.814373,0.095356,0.185627
"1145",0.825910,0.142239,0.174090
