MirexMajMin
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",94.678912,172.863864,91.739239,0.000000,2.522308,1.139625,3,5
"1302",79.459702,152.328747,76.746228,4.441272,2.259327,10.601603,6,7
"1305",99.193217,280.118277,99.179056,0.000000,0.009625,0.644261,3,5
"1306",74.962199,144.247435,74.085084,0.000000,18.594374,3.649695,9,11
"1309",64.934907,211.202647,61.153619,1.768616,12.098674,14.298787,3,11
"1310",72.255772,126.102248,69.133454,0.373116,2.179914,23.411879,9,13
"1311",22.688490,323.683265,22.350423,68.244768,0.925417,6.004253,2,8
"1312",65.376306,147.644082,53.891971,1.706861,16.291088,11.377549,6,7
"1313",71.588493,167.444898,70.156398,0.000000,6.238731,3.498971,4,5
"1318",61.203396,189.092744,54.632162,2.791312,15.226101,7.054940,6,9
"1319",55.742468,84.627163,55.692381,0.962626,7.714635,34.408620,4,7
"1321",84.841218,138.830927,82.978506,0.412834,6.377817,5.970559,9,10
"1322",23.353643,190.856372,21.928678,2.614943,10.257829,6.191521,2,7
"1324",89.109304,237.533605,87.857437,0.000000,3.708237,6.461809,5,4
"1327",31.591782,171.937959,28.067525,21.427962,9.001309,14.382640,5,9
"1329",81.433848,216.737959,80.892660,0.000000,14.196538,0.212238,6,7
"1330",81.973902,198.542154,78.330925,0.855725,10.242272,5.590838,4,7
"1331",82.303669,128.040249,80.593543,3.439811,8.081760,0.055184,4,6
"1332",86.316062,253.866667,85.642909,1.374394,10.703986,0.226841,6,7
"1333",94.779859,142.106122,92.836858,0.000000,3.442806,1.351055,7,7
"1334",87.285162,160.792092,84.292766,4.697211,4.339463,2.472850,8,10
"1335",70.477867,189.717936,67.310168,0.777267,9.949113,17.793378,8,11
"1336",82.058416,182.229116,80.528608,0.000000,7.800137,7.792145,3,6
"1337",68.853522,163.023596,67.887592,0.310021,8.579326,16.785815,9,14
"1339",73.350882,243.304626,72.284471,13.967384,4.737354,7.720786,13,17
"1340",72.455943,215.652019,71.454267,2.912923,13.701981,9.704864,5,11
"1342",60.816418,188.081633,57.451973,13.801453,8.167516,15.208158,5,11
"1344",89.212741,156.792477,87.005865,0.710950,2.905154,6.320044,9,10
"1345",89.961517,113.343336,86.918478,6.039023,1.355854,0.419976,5,8
"1346",83.676812,210.827269,83.653551,4.054851,3.458146,5.596356,9,15
"1347",80.248210,121.736372,78.994377,0.369796,9.753491,7.686106,13,14
"1350",82.312395,239.194764,80.301823,0.000000,13.837857,0.000000,3,3
"1353",2.410859,120.945113,0.000000,0.000000,96.828737,0.417545,8,10
"1354",85.790461,193.558651,85.198610,1.117317,5.154540,7.593057,6,7
"1355",66.493558,112.550771,66.467502,6.103091,2.247832,0.124716,4,6
"1357",87.206106,128.866105,83.463573,0.000000,6.653966,0.597519,4,5
"1358",52.634535,150.573304,47.575448,4.793709,12.432094,1.434282,4,6
"1359",82.322798,160.357891,78.973728,7.928683,4.976198,4.516282,6,8
"1360",74.189071,205.056729,71.842981,1.798892,6.034929,17.172386,8,11
"1361",85.067868,166.983785,81.995653,3.256303,3.735365,3.637376,4,5
"1362",73.496631,190.145306,71.732029,0.679086,22.032287,0.651934,7,8
"1364",89.115385,328.919586,89.106928,0.738782,2.716295,6.850294,11,16
"1366",63.272459,243.382770,61.230450,2.521308,27.574475,5.388030,4,5
"1367",4.831033,264.103764,0.000000,0.000000,71.488075,13.631504,7,11
"1368",48.423369,242.320249,47.666374,3.622748,9.482967,35.379326,8,16
"1369",95.992823,127.841769,93.338793,0.000000,1.024110,1.121311,6,6
"1370",89.941563,212.174972,89.470329,1.105602,2.817039,5.998320,8,13
"1371",2.352263,178.594806,0.000000,1.079579,88.913497,3.450840,4,6
"1372",74.760713,202.588374,74.746207,1.719246,17.012469,1.322790,4,6
"1373",61.840404,160.228414,51.979369,0.000000,18.017110,16.576820,7,9
"1376",92.359075,231.209796,91.230319,0.694571,2.857660,0.045017,3,4
"1377",84.596300,141.440612,83.408234,4.807671,9.142978,0.371181,3,5
