MirexMajMin
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",90.203922,172.863864,90.128365,0.000000,2.102735,3.170072,3,6
"1302",75.435310,152.328747,75.204755,5.799022,2.266636,13.807113,6,12
"1305",72.228345,280.118277,72.123207,1.707604,22.488751,3.513381,3,11
"1306",74.379536,144.247435,74.021371,1.352174,16.541378,6.177735,9,13
"1309",52.131195,211.202647,51.146430,2.387904,20.449672,21.688418,3,13
"1310",79.031866,126.102248,78.900651,0.074886,5.518411,11.577668,9,15
"1311",25.844930,323.683265,25.817132,64.689250,2.274942,6.547770,2,9
"1312",66.980978,147.644082,55.586781,4.412324,11.982965,11.307845,6,11
"1313",67.583585,167.444898,67.233437,4.135604,6.710420,3.084864,4,13
"1318",62.032259,189.092744,61.741144,3.833915,14.360457,10.413045,6,16
"1319",53.353798,84.627163,52.770742,2.507018,10.651908,32.848593,4,9
"1321",82.867874,138.830927,82.642082,1.152040,6.919530,5.026064,9,10
"1322",58.498675,190.856372,58.193000,4.057713,20.625325,13.241508,2,11
"1324",88.743679,237.533605,88.609572,1.303820,2.545115,5.568976,5,12
"1327",16.815236,171.937959,15.994817,9.259853,15.006659,53.863226,5,23
"1329",81.314486,216.737959,81.206013,0.677993,11.009970,2.407460,6,11
"1330",62.186096,198.542154,62.110111,8.920020,12.124241,12.585289,4,14
"1331",78.174650,128.040249,77.989069,4.497383,9.796129,5.585614,4,15
"1332",82.723523,253.866667,82.550882,2.773493,10.977073,2.842467,6,11
"1333",91.349603,142.106122,91.218884,0.000000,3.504447,2.907388,7,9
"1334",84.857836,160.792092,83.321342,3.725646,5.451714,3.408623,8,11
"1335",61.281142,189.717936,61.114383,0.177618,8.757239,25.780687,8,11
"1336",73.116741,182.229116,72.777481,4.443364,6.978474,11.921572,3,10
"1337",58.540620,163.023596,58.398187,1.749710,9.821276,23.593581,9,18
"1339",80.180187,243.304626,80.044135,3.517338,5.402321,9.746202,13,18
"1340",66.505825,215.652019,65.399671,5.764259,17.577477,9.032627,5,11
"1342",75.392514,188.081633,75.343132,3.627616,11.974462,3.717775,5,11
"1344",78.233251,156.792477,78.083306,2.606895,6.538392,9.792875,9,16
"1345",68.127933,113.343336,67.825759,6.212224,6.037842,14.657505,5,15
"1346",76.189662,210.827269,76.160751,3.396308,5.689540,11.516306,9,13
"1347",75.193488,121.736372,74.721445,1.018762,8.574218,12.260457,13,17
"1350",75.969745,239.194764,75.798649,0.767627,15.564671,2.008733,3,10
"1353",0.052797,120.945113,0.000000,0.000000,95.047725,2.198557,8,12
"1354",78.150546,193.558651,77.878789,4.023771,7.377913,9.783051,6,10
"1355",74.490079,112.550771,74.141937,14.505170,7.893502,2.657375,4,9
"1357",83.391213,128.866105,83.188503,0.000000,6.265248,1.261307,4,9
"1358",47.831048,150.573304,47.027965,3.377241,14.333907,2.495252,4,12
"1359",72.248386,160.357891,72.058335,1.911371,15.365524,7.170899,6,10
"1360",70.307792,205.056729,70.270990,0.225663,9.240072,17.112462,8,10
"1361",78.563038,166.983785,78.012032,5.197499,4.887000,4.528166,4,10
"1362",76.312764,190.145306,76.082268,0.000000,18.631125,0.381943,7,8
"1364",87.115812,328.919586,87.057572,0.000000,5.450982,6.903746,11,15
"1366",62.941807,243.382770,62.494595,0.000000,31.156634,3.063034,4,4
"1367",2.839810,264.103764,0.000000,0.014055,70.955156,14.150368,7,14
"1368",54.276990,242.320249,54.142575,3.672054,4.589996,33.746789,8,13
"1369",90.097323,127.841769,90.060997,0.000000,2.499233,2.923984,6,8
