MirexMajMin
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",92.848992,172.863864,90.811763,0.000000,1.772163,2.817246,3,6
"1302",81.720843,152.328747,78.823556,3.538147,3.755351,8.566169,6,8
"1305",76.498721,280.118277,76.492771,5.719013,5.853642,11.767517,3,9
"1306",75.885778,144.247435,74.718912,0.000000,14.194358,9.050547,9,14
"1309",59.003123,211.202647,56.290862,0.549236,31.653880,7.519852,3,8
"1310",61.454383,126.102248,58.492654,1.609881,4.791677,31.177405,9,11
"1311",50.471612,323.683265,49.962261,41.961964,2.168044,5.114922,2,7
"1312",61.274510,147.644082,49.769856,2.346914,19.779923,11.374163,6,7
"1313",69.677423,167.444898,67.945331,0.241383,6.770493,3.708029,4,6
"1318",67.575757,189.092744,64.185666,1.532243,14.056620,7.083560,6,10
"1319",56.402471,84.627163,55.182528,0.000000,8.177958,35.417775,4,6
"1321",81.727282,138.830927,79.493615,0.461548,7.931226,7.853326,9,9
"1322",62.606399,190.856372,61.292985,0.000000,16.260876,20.887346,2,8
"1324",91.265616,237.533605,89.900081,0.000000,2.016442,6.110960,5,5
"1327",60.640598,171.937959,54.765153,1.804624,9.319622,9.975174,5,9
"1329",80.391778,216.737959,79.963630,0.000000,14.784142,0.553664,6,7
"1330",81.535460,198.542154,79.390185,0.838624,9.029711,5.955871,4,6
"1331",90.482450,128.040249,89.279508,0.000000,6.089472,1.116836,4,6
"1332",89.652921,253.866667,89.041177,0.387971,9.281206,0.435296,6,8
"1333",93.237161,142.106122,93.237161,0.000000,2.800891,1.592667,7,7
"1334",79.792623,160.792092,77.008634,12.349520,3.816541,2.758974,8,9
"1335",67.204399,189.717936,64.445200,0.187162,11.037251,20.160313,8,10
"1336",76.632886,182.229116,74.943938,1.279902,6.512329,13.384722,3,9
"1337",75.772473,163.023596,73.212516,0.670003,8.527881,11.120850,9,13
"1339",85.949333,243.304626,84.755109,0.105527,4.701516,8.313899,13,14
"1340",74.230719,215.652019,72.649405,2.373563,14.265460,8.485607,5,9
"1342",66.024746,188.081633,63.578131,8.679829,12.402186,10.002838,5,11
"1344",90.027341,156.792477,87.849165,0.566631,3.604910,4.838394,9,11
"1345",91.311191,113.343336,89.169203,0.381303,2.488960,2.653032,5,10
"1346",84.760244,210.827269,84.677437,3.114941,3.344780,5.612721,9,12
"1347",78.436825,121.736372,76.590301,0.379276,10.252274,9.279231,13,14
"1350",73.217714,239.194764,71.474706,7.591245,13.954497,1.119231,3,6
"1353",2.398457,120.945113,0.000000,0.000000,96.361583,0.884699,8,10
"1354",80.182150,193.558651,79.476638,1.311057,10.386765,7.889064,6,8
"1355",85.671984,112.550771,85.657478,0.248777,2.799190,0.292697,4,7
"1357",84.864807,128.866105,84.713179,0.000000,5.546010,0.434560,4,5
"1358",52.831496,150.573304,49.841849,1.458459,15.690981,0.243077,4,4
"1359",88.179572,160.357891,84.691202,0.000000,6.032631,5.782296,6,7
"1360",71.550028,205.056729,69.179554,0.090952,6.881197,20.697486,8,8
"1361",90.033171,166.983785,87.065756,0.000000,4.259938,1.299003,4,5
"1362",77.994595,190.145306,76.130071,0.000000,18.817551,0.147715,7,7
"1364",90.446886,328.919586,90.331108,0.000000,3.628023,5.453169,11,16
"1366",62.963772,243.382770,60.932035,0.000000,31.220841,4.561388,4,4
"1367",76.002802,264.103764,70.490977,0.001904,6.155500,7.804794,7,10
"1368",59.944334,242.320249,59.216226,1.488716,7.369577,28.076895,8,11
"1369",93.600651,127.841769,90.449913,0.000000,1.168925,3.865376,6,7
"1370",88.039281,212.174972,87.595481,1.565762,5.822712,4.434102,8,14
"1371",2.710617,178.594806,0.000000,0.000000,88.994607,4.449310,4,6
"1372",72.820394,202.588374,72.810824,1.719246,19.122290,1.148352,4,8
"1373",53.176530,160.228414,46.625661,0.523138,24.232167,17.887814,7,11
"1376",92.383012,231.209796,91.063952,0.000000,2.963476,0.800139,3,4
"1377",90.739752,141.440612,89.551686,0.000000,8.814687,0.000000,3,4
"1378",88.130648,126.380408,73.302077,0.000000,2.462479,5.397221,4,4
"1380",94.015623,245.420408,93.167931,0.000000,5.073927,0.361349,5,5
"1382",87.182909,221.648980,86.096065,0.333861,10.030188,1.325143,4,10
"1383",42.773517,216.560839,41.736740,3.366260,48.039198,1.614363,6,9
"1384",80.577959,175.438367,78.834687,0.000000,4.170377,9.350511,4,4
"1385",93.925294,164.529402,92.076580,0.427237,4.732873,0.648558,5,7
"1386",82.631617,196.675918,81.592060,0.657928,1.791121,13.692372,7,8
"1390",79.303699,228.370975,78.918361,5.599192,11.275195,2.435318,5,6
"1391",79.857647,295.706122,76.078178,5.471422,6.499825,8.009250,6,13
"1392",64.231650,224.689632,63.235557,12.510395,9.317517,12.310955,6,9
"1394",87.519460,141.852177,83.929683,0.000000,5.588483,3.172316,4,11
"1396",0.469110,244.492744,0.000000,0.000000,69.536251,25.887019,3,6
"1397",65.867511,236.173061,64.282630,3.981323,9.233965,19.974092,12,15
"1398",83.013328,152.534308,79.863671,0.678216,5.867972,8.505709,7,8
