MirexMajMin
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",87.000828,172.863864,86.636471,0.000000,8.119940,0.644761,3,4
"1302",65.991463,152.328747,65.722799,10.922209,4.874774,15.557743,6,9
"1305",21.302667,280.118277,21.238975,0.000000,38.690131,39.903836,3,6
"1306",86.948402,144.247435,86.654626,0.000000,10.866374,1.263842,9,10
"1309",59.590906,211.202647,59.486461,3.437033,20.195863,12.894472,3,8
"1310",49.768491,126.102248,49.572828,6.298861,11.291492,28.908436,9,9
"1311",0.078910,323.683265,0.000000,88.917415,0.355097,10.052996,2,5
"1312",46.405835,147.644082,46.201384,0.478122,24.039630,12.562916,6,5
"1313",66.929382,167.444898,66.873913,1.892876,6.661418,5.736119,4,9
"1318",68.357716,189.092744,68.333157,0.000000,15.516638,6.498767,6,9
"1319",66.007548,84.627163,65.520524,0.000000,7.636489,25.621248,4,7
"1321",69.666300,138.830927,69.381969,3.590670,7.665018,15.102059,9,9
"1322",0.141432,190.856372,0.000000,38.621899,30.402960,29.416347,2,9
"1324",89.999045,237.533605,89.776959,0.000000,4.041525,4.208999,5,4
"1327",22.597004,171.937959,22.451827,14.107947,9.591095,47.946677,5,12
"1329",81.915659,216.737959,81.813882,0.024168,11.355591,2.107795,6,6
"1330",82.395835,198.542154,82.261374,0.693736,10.729174,2.055376,4,5
"1331",73.240308,128.040249,73.231241,3.850806,13.399115,7.387033,4,13
"1332",92.581077,253.866667,92.390143,0.000000,6.365047,0.457326,6,7
"1333",89.966756,142.106122,89.795187,0.000000,4.110465,3.725067,7,8
"1334",81.332138,160.792092,81.014436,3.907133,8.037551,3.193702,8,9
"1335",70.126440,189.717936,70.045355,0.175995,5.515219,20.093357,8,7
"1336",81.088414,182.229116,80.940286,0.000000,9.269280,5.911325,3,5
"1337",67.092504,163.023596,66.944730,0.000000,7.719818,18.898207,9,9
"1339",73.191790,243.304626,73.101125,9.477111,7.772599,8.359160,13,13
"1340",68.418858,215.652019,68.357135,9.300995,14.219651,5.896254,5,7
"1342",67.377513,188.081633,67.303439,4.885736,12.715049,9.758760,5,8
"1344",82.327160,156.792477,82.088359,5.415049,3.861173,5.656887,9,9
"1345",84.076089,113.343336,83.901954,0.768239,7.138772,2.924365,5,8
"1346",80.503805,210.827269,80.364757,0.887040,4.628470,10.882638,9,10
"1347",72.485802,121.736372,72.423848,3.610838,10.208211,10.560872,13,11
"1350",81.283589,239.194764,81.107640,0.000000,11.493393,1.538647,3,4
"1353",0.235185,120.945113,0.000000,0.000000,97.246282,0.000000,8,8
"1354",70.465025,193.558651,70.307233,1.339795,14.130267,13.286230,6,8
