MirexMajMinBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",73.431101,172.863864,70.974557,14.393823,6.906031,3.126761,5,8
"1302",49.140178,152.328747,46.217703,24.116238,2.586491,23.384934,7,11
"1305",32.669336,280.118277,32.502279,3.815072,24.070793,38.869055,3,26
"1306",48.770282,144.247435,47.629866,18.919640,16.542180,15.452220,10,26
"1309",22.226538,211.202647,20.580688,12.246793,19.353628,43.299350,3,17
"1310",35.738366,126.102248,32.951692,19.163331,9.195595,34.760999,12,25
"1311",21.850187,323.683265,21.193960,48.046858,7.784006,22.048789,2,21
"1312",52.317738,147.644082,49.560232,4.598770,17.682129,11.448784,7,15
"1313",46.499227,167.444898,44.372077,20.047071,7.572113,8.603493,4,19
"1318",43.912995,189.092744,43.593783,12.493096,11.341983,22.919701,8,25
"1319",18.084578,84.627163,16.862839,8.405719,26.122104,47.387599,4,15
"1321",54.989482,138.830927,52.678215,5.747624,14.225548,23.088329,9,15
"1322",28.304022,190.856372,26.763169,19.009549,24.319587,28.002948,2,26
"1324",69.178240,237.533605,67.381783,11.194070,5.225023,13.264505,5,20
"1327",15.475191,171.937959,14.398179,7.760897,18.407318,52.958947,5,20
"1329",55.062395,216.737959,51.973371,25.804980,7.256376,10.266710,7,16
"1330",31.619175,198.542154,29.079153,28.734182,17.026266,18.856326,4,24
"1331",47.644304,128.040249,45.777083,14.507915,12.436222,24.560010,4,27
"1332",69.550942,253.866667,68.868579,11.181458,10.721246,7.916591,9,10
"1333",57.498468,142.106122,55.850314,23.397587,6.552350,11.830467,7,15
"1334",71.204776,160.792092,68.551387,13.329387,9.686413,4.585636,8,16
"1335",38.131273,189.717936,34.265025,12.664544,8.925170,38.140557,11,16
"1336",59.002089,182.229116,57.405650,7.263639,10.618982,20.832621,5,15
"1337",41.731390,163.023596,39.259049,9.155170,18.751687,25.134916,11,17
"1339",63.908194,243.304626,62.618189,15.901625,6.517495,12.016721,14,25
"1340",45.301564,215.652019,44.411397,15.638562,19.453979,18.270097,5,23
"1342",31.015073,188.081633,28.343872,40.545001,10.962566,14.165714,5,25
"1344",44.803586,156.792477,41.825055,16.997369,17.693596,19.913089,9,29
"1345",59.483359,113.343336,55.742893,12.237926,4.129635,22.622876,5,17
"1346",63.127059,210.827269,62.163888,14.014518,4.606583,15.791374,9,20
"1347",57.580707,121.736372,54.516426,10.158872,11.243291,20.632680,15,16
"1350",62.463889,239.194764,61.122456,8.570847,17.008741,7.437635,3,12
