MirexMajMinBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",85.216325,172.863864,84.851968,1.074601,7.008015,2.466589,5,5
"1302",71.248204,152.328747,70.979540,6.329434,3.388184,16.380367,7,9
"1305",50.023204,280.118277,49.959512,0.347075,3.219621,46.306733,3,9
"1306",75.477542,144.247435,75.183766,0.359149,10.471127,12.770800,10,12
"1309",51.500640,211.202647,51.396195,2.439276,23.161945,19.016413,3,10
"1310",31.054030,126.102248,30.858367,8.474328,10.266707,46.472214,12,9
"1311",0.078910,323.683265,0.000000,90.549424,0.552372,8.223711,2,4
"1312",46.894692,147.644082,46.690242,0.000000,20.255753,16.336057,7,6
"1313",66.752878,167.444898,66.697409,0.000000,9.815429,4.651487,4,7
"1318",62.497190,189.092744,62.472630,0.846231,13.559516,13.470185,8,10
"1319",60.504608,84.627163,60.017585,0.000000,5.891727,32.868950,4,6
"1321",69.822570,138.830927,69.538239,7.181340,7.006988,12.013148,9,9
"1322",0.523242,190.856372,0.381810,24.376535,10.761319,62.921543,2,13
"1324",85.981264,237.533605,85.759178,0.000000,4.692209,7.576096,5,7
"1327",17.483090,171.937959,17.337912,12.471725,16.378970,47.908938,5,11
"1329",77.301323,216.737959,77.199546,0.000000,5.244455,12.857434,7,7
"1330",70.740500,198.542154,70.606039,0.878401,3.645718,20.609502,4,7
"1331",79.648830,128.040249,79.639762,3.130391,12.004890,3.093152,4,10
"1332",79.392584,253.866667,79.201650,5.111722,4.331229,10.567915,9,7
"1333",88.417452,142.106122,88.245883,0.000000,4.485373,4.899463,7,8
"1334",82.176684,160.792092,81.858982,3.907133,4.529272,5.857435,8,10
"1335",64.827368,189.717936,64.746283,0.718970,3.803510,26.561163,11,8
"1336",70.051727,182.229116,69.903599,4.651541,8.064999,13.500751,5,6
"1337",54.791358,163.023596,54.643583,9.432419,6.528020,22.958733,11,12
"1339",66.033884,243.304626,65.943220,11.196400,7.651460,13.918915,14,14
"1340",57.768524,215.652019,57.706801,11.506404,11.835463,16.725367,5,9
"1342",59.488514,188.081633,59.414440,4.885736,10.647258,19.715550,5,7
"1344",77.937940,156.792477,77.699139,1.922339,2.931652,14.468338,9,9
"1345",79.367175,113.343336,79.193040,0.000000,5.384866,10.155424,5,10
"1346",79.263701,210.827269,79.124653,0.887040,7.268771,9.482441,9,11
"1347",72.579838,121.736372,72.517884,3.523721,10.142562,10.619602,15,13
"1350",75.935243,239.194764,75.759294,0.221927,8.398423,9.760036,3,7
"1353",0.235185,120.945113,0.000000,0.000000,97.246282,0.000000,8,8
"1354",74.591846,193.558651,74.434054,1.339795,8.250629,15.039047,7,7
"1355",60.068356,112.550771,59.882681,2.009212,5.576215,31.513254,4,7
"1357",73.352166,128.866105,73.253063,0.000000,6.236364,11.225631,4,6
"1358",34.297514,150.573304,34.081619,8.200432,8.780413,16.171902,10,6
"1359",81.788140,160.357891,81.634288,0.470603,6.415641,7.985597,8,8
"1360",68.347997,205.056729,68.265900,0.000000,12.610742,15.972545,8,8
"1361",75.039128,166.983785,74.747112,1.201339,7.124837,9.551409,5,6
"1362",56.815527,190.145306,56.688831,1.092946,33.929511,3.384049,8,7
"1364",76.414953,328.919586,76.287882,4.842897,3.218142,15.056319,15,13
"1366",60.423300,243.382770,60.295696,0.756946,16.981175,18.680447,6,5
"1367",0.193424,264.103764,0.000000,0.045246,57.081146,27.993188,7,9
"1368",44.252015,242.320249,44.204103,6.808254,30.343129,14.795928,10,9
"1369",86.115871,127.841769,85.931970,1.408736,1.219949,6.923559,7,9
"1370",83.677519,212.174972,83.666575,0.764368,5.018465,10.079358,8,10
"1371",0.493434,178.594806,0.374796,0.000000,75.714148,17.354973,6,7
"1372",61.785964,202.588374,61.532376,3.631219,18.838718,10.798399,4,8
"1373",23.915855,160.228414,23.863322,6.752019,15.376109,44.079082,11,11
"1376",86.610339,231.209796,86.469740,0.000000,6.484844,1.872984,3,5
"1377",66.658463,141.440612,66.373816,1.108131,19.871095,11.458893,3,6
"1378",65.347265,126.380408,65.039517,0.000000,5.035517,11.086744,4,6
"1380",81.031924,245.420408,80.843881,10.421619,4.241499,3.096210,6,7
"1382",76.012282,221.648980,75.780500,0.544752,2.384348,19.075656,4,6
"1383",31.913716,216.560839,31.827938,6.951339,9.280409,50.337577,8,8
"1384",79.532090,175.438367,79.326941,0.000000,5.085790,7.942844,4,4
"1385",90.350227,164.529402,90.307888,1.049265,2.921820,3.872313,6,7
"1386",77.316106,196.675918,77.149344,8.806695,1.571918,10.200313,9,7
"1390",65.298162,228.370975,64.984236,4.066857,3.871711,25.305262,8,7
"1391",65.406299,295.706122,65.351516,3.303007,7.060779,20.319632,6,11
"1392",57.938825,224.689632,57.871652,20.614939,6.896345,11.991489,6,8
"1394",73.806369,141.852177,73.372587,3.842061,5.736207,9.739628,5,9
"1396",0.104469,244.492744,0.000000,0.000000,93.997076,1.994718,4,6
"1397",54.264383,236.173061,54.107075,9.392975,7.220813,26.751147,18,13
"1398",71.488896,152.534308,71.304631,0.000000,7.781284,15.829652,8,6
"1399",58.455788,169.038367,58.189643,18.773215,9.333778,8.133677,2,6
"1400",64.197356,190.275918,64.032611,1.567666,12.155847,13.537639,12,11
"1401",42.104344,306.580839,41.949080,3.920362,14.904631,29.729036,3,10
"1402",58.144984,242.570273,58.084783,7.549653,7.505768,14.350407,9,11
"1403",76.133428,137.247347,75.875423,0.000000,17.482153,2.823675,5,9
"1404",33.216250,32.312557,32.605435,0.000000,26.380309,9.724249,2,4
"1406",82.425769,184.398367,82.383270,0.466449,8.118770,5.475858,7,6
"1407",62.685098,152.476735,62.555655,7.692389,4.841423,21.383225,7,9
"1408",68.347997,205.056729,68.265900,0.000000,12.610742,15.972545,8,8
"1411",87.321083,231.314286,87.205643,0.000000,1.533340,5.397641,7,6
"1414",77.592032,111.359206,77.229862,0.000000,11.478004,8.895445,7,16
"1415",86.153870,250.253061,86.000774,3.762686,5.545406,3.248314,9,7
"1416",70.032096,555.997124,70.017479,3.099372,10.852612,12.315471,21,13
"1417",78.068898,197.667392,77.918000,0.786959,7.915364,11.829098,13,12
"1420",68.384704,109.626825,68.109353,0.889983,5.118985,25.103281,7,7
"1423",50.035761,240.567615,49.950097,0.533682,22.372974,26.652193,9,10
"1425",55.944426,174.328228,55.811229,18.936188,3.738350,19.207244,21,12
"1426",58.445619,195.074599,58.302782,14.596416,5.639827,19.452324,13,11
"1428",58.823036,374.413405,58.702103,12.653097,5.735331,20.633873,21,12
"1429",80.361659,171.143810,80.176802,0.269397,6.567009,8.629922,6,5
"1431",88.346727,155.689705,87.966471,0.000000,3.231663,7.887335,8,9
"1433",63.307039,167.118639,63.109045,3.216530,13.303787,18.555384,2,6
"1434",64.792622,224.714065,64.618251,31.353859,1.458533,0.287032,3,5
"1435",58.602210,168.596039,58.402508,3.983523,7.774575,20.441669,19,15
"1437",92.065667,228.780408,91.938799,1.202710,0.405978,4.678897,1,6
"1438",77.712504,139.251974,77.462382,0.479716,6.936212,12.296746,7,6
"1439",14.046237,170.762449,13.854168,73.878410,5.658658,3.742458,4,5
"1440",65.675314,224.072528,65.479718,9.103723,9.704795,7.950176,8,11
"1441",81.065814,153.208163,80.762698,0.000000,8.588519,5.069622,4,5
"1443",71.453924,240.457143,71.352529,11.327137,5.252224,9.308608,5,6
"1445",80.647593,248.568730,80.526155,0.863857,4.959162,12.168617,4,6
"1447",0.206081,184.502857,0.000000,0.000000,71.017345,23.792215,4,8
"1448",47.370808,103.593511,47.023383,3.224020,5.867278,33.522529,9,8
"1449",44.559929,210.834286,44.269452,0.000000,15.501371,37.370750,6,8
"1450",64.988154,209.407643,64.716910,2.738798,11.698750,16.004636,13,12
"1452",52.769752,251.324405,52.561874,8.952948,6.370167,5.025509,5,7
"1453",70.253116,204.224701,70.209058,2.002960,5.682846,12.859756,8,7
"1455",70.931977,208.959654,70.826411,9.740990,4.739108,8.443922,17,12
"1456",88.958687,143.203265,88.662769,0.000000,6.799732,1.353926,4,6
