MirexMajMinBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",91.838322,172.863864,88.618665,1.296536,3.553513,1.932458,5,5
"1302",71.849556,152.328747,69.002108,10.846253,2.400821,13.750935,7,8
"1305",98.369530,280.118277,98.225794,0.000000,0.835987,0.771161,3,5
"1306",66.746811,144.247435,65.597928,0.979330,16.202625,14.336875,10,13
"1309",65.620529,211.202647,63.460478,1.199120,16.635146,14.322179,3,10
"1310",42.328894,126.102248,38.803394,5.245068,7.089348,42.157883,12,10
"1311",43.594428,323.683265,43.517927,48.723159,1.177567,5.910441,2,8
"1312",65.559770,147.644082,54.102419,2.882116,11.966504,14.338876,7,10
"1313",70.819678,167.444898,69.347911,0.754667,6.443445,4.197574,4,6
"1318",63.455107,189.092744,61.679928,5.685447,14.017738,8.549187,8,12
"1319",52.384263,84.627163,51.456196,0.000000,6.235153,41.086913,4,5
"1321",83.077649,138.830927,80.609844,0.259014,9.665412,5.205446,9,8
"1322",28.692290,190.856372,28.508276,32.575740,18.223736,17.310094,2,6
"1324",87.076062,237.533605,86.935272,0.000000,2.500212,8.591999,5,6
"1327",36.488179,171.937959,32.847574,32.184221,6.700362,12.343151,5,14
"1329",80.518599,216.737959,80.422011,0.000000,8.922885,5.956539,7,5
"1330",76.248267,198.542154,74.085826,3.878561,12.032131,5.466706,4,8
"1331",79.826453,128.040249,79.423253,6.876469,9.638612,0.511868,4,5
"1332",82.985506,253.866667,82.449398,7.115095,7.179392,2.408034,9,8
"1333",87.207917,142.106122,84.905783,0.293160,3.891920,8.498623,7,7
"1334",86.335345,160.792092,83.231667,6.039108,3.920280,2.700307,8,9
"1335",62.506573,189.717936,58.623591,2.864222,8.075227,26.266885,11,10
"1336",79.102408,182.229116,76.681394,3.085857,3.259188,13.094451,5,9
"1337",61.380735,163.023596,55.745566,0.730067,8.852198,26.372549,11,10
"1339",84.242433,243.304626,83.095852,2.320471,4.994337,8.140291,14,16
"1340",66.286410,215.652019,64.900769,6.093223,19.359999,7.420044,5,9
"1342",69.229440,188.081633,66.397891,4.856735,8.211507,15.196851,5,8
"1344",87.550272,156.792477,84.571740,1.203246,3.676797,7.495927,9,12
"1345",90.959048,113.343336,87.726600,2.728051,1.777700,2.500979,5,5
"1346",82.179316,210.827269,82.118138,1.508382,4.615789,8.520595,9,13
"1347",76.407946,121.736372,73.247143,4.286606,7.006005,12.051668,15,16
"1350",77.976681,239.194764,76.309788,0.000000,17.829891,-0.000000,3,3
"1353",2.394295,120.945113,0.000000,0.000000,95.920893,0.990460,8,11
"1354",77.393643,193.558651,77.230321,1.525774,9.614211,10.693218,7,7
"1355",75.546784,112.550771,75.487471,16.763791,3.587792,0.768172,4,7
"1357",89.171422,128.866105,84.736718,0.000000,5.978340,0.000000,4,4
"1358",38.232974,150.573304,34.826267,11.995574,15.705909,4.706616,10,6
"1359",91.336002,160.357891,87.889643,0.893307,5.173353,1.492596,8,6
"1360",70.371043,205.056729,67.729442,0.193246,8.979306,19.947194,8,9
"1361",86.570666,166.983785,82.554036,3.228176,4.821741,2.020744,5,5
"1362",74.347496,190.145306,71.814858,1.259044,21.061300,0.485978,8,7
"1364",84.751749,328.919586,84.633696,4.961451,3.880493,5.936659,15,14
"1366",59.366208,243.382770,59.006762,0.000000,16.809097,20.898404,6,4
"1367",5.402020,264.103764,0.000000,0.014399,72.820428,12.284752,7,9
"1368",52.738874,242.320249,51.796173,2.585810,7.895695,33.873736,10,9
"1369",94.066314,127.841769,90.303868,0.000000,2.551225,2.629120,7,6
"1370",85.029195,212.174972,84.728455,1.144192,4.979446,8.676672,8,12
"1371",3.766618,178.594806,1.039203,0.000000,76.866749,15.534523,6,7
"1372",74.859272,202.588374,73.138861,0.000000,19.606669,2.055182,4,6
"1373",56.499821,160.228414,48.720632,4.413589,8.219534,27.488732,11,10
"1376",90.870047,231.209796,90.706381,0.000000,4.121186,0.000000,3,3
"1377",84.989494,141.440612,83.927760,2.985230,10.467604,0.306584,3,7
"1378",71.278080,126.380408,66.941750,0.000000,3.492120,9.025025,4,4
"1380",81.649345,245.420408,81.319124,10.471217,4.736852,2.076016,6,6
"1382",84.075248,221.648980,82.606725,0.553141,13.898453,0.726937,4,8
"1383",41.740890,216.560839,40.313296,10.609402,16.716842,30.757724,8,10
"1384",80.839826,175.438367,78.444479,0.000000,4.909772,9.001324,4,5
"1385",94.093313,164.529402,92.244599,0.339738,4.502293,0.559153,6,7
"1386",76.921820,196.675918,75.420911,1.955110,1.813679,18.166212,9,8
"1390",72.665952,228.370975,72.333359,11.847185,3.273987,10.773535,8,8
"1391",73.697588,295.706122,70.170154,5.296587,8.530114,11.974124,6,14
"1392",65.224146,224.689632,63.878273,14.386911,9.198698,9.910541,6,9
"1394",84.684426,141.852177,80.296654,3.519596,4.928853,2.374776,5,7
"1396",0.840910,244.492744,0.000000,0.000000,88.893595,7.098199,4,5
"1397",57.273810,236.173061,57.095725,10.751930,8.203100,19.592050,18,15
"1398",83.343689,152.534308,78.652469,0.512548,4.909776,10.566352,8,8
"1399",64.394303,169.038367,61.545951,17.328882,8.918471,5.865846,2,5
"1400",69.824606,190.275918,66.824785,0.279270,17.359289,6.830419,12,12
"1401",57.260112,306.580839,49.252613,1.953318,10.489698,25.862084,3,14
"1402",68.586002,242.570273,57.778177,9.718317,6.866447,7.805790,9,7
"1403",83.462059,137.247347,80.213609,0.000000,14.230279,1.623032,5,4
"1404",73.066661,32.312557,49.011932,0.000000,14.344036,5.354026,2,5
"1406",90.243418,184.398367,87.406959,3.943953,2.134865,2.958571,7,6
"1407",81.206390,152.476735,77.926726,5.261662,13.037295,0.247010,7,8
"1408",70.382765,205.056729,67.729442,0.193246,8.979306,19.947194,8,9
"1411",89.974773,231.314286,88.094087,0.000000,1.015003,5.027534,7,6
"1414",78.109562,111.359206,77.795691,5.267880,10.193740,4.346000,7,15
"1415",96.527244,250.253061,95.420736,0.078225,1.665073,1.393146,9,9
"1416",78.523879,555.997124,76.738686,3.905429,10.433272,5.207547,21,21
"1417",76.290368,197.667392,76.171315,7.061702,3.865438,11.350966,13,16
"1420",66.466790,109.626825,65.921381,0.889983,17.869427,14.540810,7,6
"1423",71.642639,240.567615,71.548380,2.909470,15.074820,9.976277,9,9
"1425",58.215945,174.328228,58.057253,17.755602,4.627289,17.252866,21,15
"1426",63.479731,195.074599,63.334383,18.664079,8.123582,7.875258,13,12
"1428",62.685452,374.413405,62.281155,15.882387,5.553006,14.007857,21,15
"1429",80.532208,171.143810,80.313432,0.000000,7.556472,7.568175,6,5
"1431",91.759359,155.689705,91.582078,1.739316,4.076239,1.687836,8,10
"1433",50.780096,167.118639,49.092373,0.000000,0.000000,49.092373,2,1
"1434",98.785417,224.714065,96.818897,0.000000,0.286926,0.131240,3,3
"1435",62.853955,168.596039,59.538808,2.175960,11.168100,17.719407,19,18
"1437",46.180635,228.780408,44.704802,50.725884,2.795698,-0.000000,1,4
"1438",84.529625,139.251974,81.896117,1.052715,4.721260,9.504964,7,8
"1439",94.248763,170.762449,93.748991,0.000000,1.008454,2.376251,4,4
"1440",59.221132,224.072528,58.819820,15.050942,6.299198,12.068452,8,8
"1441",91.362633,153.208163,87.247828,0.000000,7.173011,0.000000,4,6
"1443",75.831596,240.457143,75.691764,10.869589,10.001032,0.678113,5,4
