MirexRoot
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",90.267977,174.001633,90.192914,0.000000,5.238330,0.000000,3,5
"1302",78.620572,158.850612,78.399483,0.000000,18.798030,-0.000000,6,8
"1305",71.419872,289.986667,71.318311,0.000000,28.520316,0.000000,4,10
"1306",74.291694,154.697143,73.957723,0.000000,24.263774,0.000000,9,10
"1309",46.189857,258.638367,45.385703,0.000000,51.080422,-0.000000,4,7
"1310",78.418192,132.054807,78.292892,0.000000,17.955802,-0.000000,7,7
"1311",90.534180,323.683265,90.506382,0.000000,8.822712,0.000000,2,5
"1312",71.393302,147.644082,59.999105,0.000000,23.290810,0.000000,5,7
"1313",71.719189,167.444898,71.369042,0.000000,9.795284,-0.000000,4,7
"1318",63.467348,228.988390,63.226953,0.000000,28.803137,-0.000000,7,10
"1319",43.333955,223.869388,43.113548,0.000000,56.424610,0.000000,5,9
"1321",70.752114,168.751020,70.566355,0.000000,25.928722,-0.000000,7,9
"1322",57.520891,208.796735,57.241480,0.000000,34.916936,0.000000,2,6
"1324",90.047498,237.533605,89.913392,0.000000,8.114091,0.000000,5,7
"1327",26.075089,171.937959,25.254670,0.000000,68.869885,-0.000000,4,11
"1329",81.992479,216.737959,81.884006,0.000000,13.417430,-0.000000,6,6
"1330",71.106116,198.542154,71.030131,0.000000,24.709530,-0.000000,4,8
"1331",82.672033,128.040249,82.486452,0.000000,15.381742,0.000000,4,10
"1332",85.118786,256.600816,84.947985,0.000000,14.205053,0.000000,6,6
"1333",91.349603,142.106122,91.218884,0.000000,6.411835,0.000000,6,8
"1334",91.235225,260.702041,90.287568,0.000000,6.670715,0.000000,7,8
"1335",59.157797,224.574694,59.016921,0.000000,37.460251,0.000000,6,8
"1336",77.238552,182.987755,76.900699,0.000000,19.236275,-0.000000,4,8
"1337",56.161848,186.174694,56.037126,0.000000,38.326109,0.000000,8,11
"1339",83.697525,243.304626,83.561473,0.000000,15.148522,0.000000,10,10
"1340",71.463277,261.520136,70.551133,0.000000,27.613314,0.000000,5,8
"1342",79.020130,188.081633,78.970748,0.000000,15.692236,0.000000,5,8
"1344",71.429368,177.449796,71.296879,0.000000,26.071327,-0.000000,8,10
"1345",67.185071,150.204082,66.957052,0.000000,29.068742,-0.000000,5,10
"1346",70.609755,261.982041,70.586489,0.000000,26.808493,0.000000,7,8
"1347",76.212250,121.736372,75.740207,0.000000,20.834675,-0.000000,9,11
"1350",76.467422,240.039184,76.296928,0.000000,17.863368,0.000000,3,7
"1353",0.092198,163.160816,0.053062,0.000000,97.905708,0.000000,9,9
"1354",80.990903,200.635578,80.728732,0.000000,18.367824,0.000000,6,7
"1355",85.862744,241.136327,85.700248,0.000000,13.925409,0.000000,4,6
"1357",84.958825,147.382857,84.781582,0.000000,7.100008,-0.000000,4,6
"1358",51.501325,154.321610,50.717748,0.000000,17.312460,-0.000000,4,9
"1359",75.094126,166.373878,74.910947,0.000000,21.721518,-0.000000,5,7
"1360",70.033006,209.240816,69.996940,0.000000,26.915253,0.000000,8,8
"1361",78.257466,179.435102,77.744695,0.000000,15.391787,0.000000,4,7
"1362",76.312764,190.145306,76.082268,0.000000,19.013069,0.000000,7,8
"1364",85.458843,342.360816,85.402889,0.000000,14.032484,0.000000,9,11
"1366",63.936230,255.764898,63.510669,0.000000,33.362665,-0.000000,4,4
"1367",2.824316,266.866939,0.013910,0.000000,85.259743,0.000000,6,8
"1368",56.997802,246.364354,56.865594,0.000000,39.348996,-0.000000,8,8
