MirexRoot
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",93.385021,174.001633,91.522032,0.000000,3.909212,0.000000,3,5
"1302",80.076134,158.850612,79.055194,0.000000,18.004551,0.000000,6,8
"1305",60.358206,289.986667,60.304180,0.000000,39.534447,0.000000,4,7
"1306",75.577614,154.697143,74.823144,0.000000,24.088811,-0.000000,9,9
"1309",49.158793,258.638367,47.953107,0.000000,48.791808,0.000000,4,7
"1310",60.780728,132.054807,57.952503,0.000000,38.296191,0.000000,7,7
"1311",90.427304,323.683265,89.984505,0.000000,9.344589,0.000000,2,5
"1312",52.691525,147.644082,52.681987,0.000000,30.607928,-0.000000,5,6
"1313",69.970920,167.444898,68.479104,0.000000,11.492634,0.000000,4,6
"1318",63.339048,228.988390,63.119478,0.000000,27.392805,0.000000,7,8
"1319",60.313437,223.869388,59.867021,0.000000,39.671137,-0.000000,5,9
"1321",72.369126,168.751020,71.165566,0.000000,25.329511,0.000000,7,7
"1322",49.684938,208.796735,48.302380,0.000000,50.272762,0.000000,2,6
"1324",90.366734,237.533605,89.098027,0.000000,8.929456,-0.000000,5,5
"1327",34.312616,171.937959,33.727354,0.000000,59.326075,0.000000,4,8
"1329",80.473897,216.737959,80.128798,0.000000,15.172637,0.000000,6,6
"1330",81.962050,198.542154,79.791592,0.000000,15.327103,0.000000,4,6
"1331",89.507474,128.040249,89.499469,0.000000,8.368726,0.000000,4,8
"1332",90.994486,256.600816,90.389260,0.000000,8.765493,0.000000,6,5
"1333",93.044657,142.106122,93.044657,0.000000,4.586062,-0.000000,6,6
"1334",94.035391,260.702041,92.517784,0.000000,4.278726,-0.000000,7,7
"1335",64.986247,224.574694,62.695386,0.000000,33.781787,-0.000000,6,8
"1336",76.366089,182.987755,74.733327,0.000000,21.403646,-0.000000,4,8
"1337",69.307605,186.174694,68.086530,0.000000,26.249119,-0.000000,8,9
"1339",84.996459,243.304626,84.534230,0.000000,14.175765,0.000000,10,10
"1340",75.482790,261.520136,74.412074,0.000000,23.752373,-0.000000,5,6
"1342",70.454809,188.081633,68.082630,0.000000,26.580354,0.000000,5,6
"1344",77.407525,177.449796,75.756468,0.000000,21.611738,0.000000,8,9
"1345",76.970512,150.204082,75.323365,0.000000,20.702430,-0.000000,5,8
"1346",78.880837,261.982041,78.814199,0.000000,18.570301,0.000000,7,8
"1347",76.793513,121.736372,75.135922,0.000000,21.595165,0.000000,9,12
"1350",80.414763,240.039184,78.677887,0.000000,15.482408,0.000000,3,4
"1353",1.633768,163.160816,0.027490,0.000000,97.931280,-0.000000,9,10
"1354",77.711263,200.635578,77.030637,0.000000,22.065919,0.000000,6,7
"1355",92.059225,241.136327,91.684883,0.000000,7.769232,-0.000000,4,6
"1357",85.566283,147.382857,85.543989,0.000000,6.337602,-0.000000,4,5
"1358",51.233823,154.321610,48.887030,0.000000,19.143178,0.000000,4,3
"1359",87.300419,166.373878,84.352915,0.000000,12.279550,-0.000000,5,6
"1360",73.343511,209.240816,71.087347,0.000000,25.824846,0.000000,8,7
"1361",81.433333,179.435102,81.433333,0.000000,11.703150,0.000000,4,6
"1362",75.289484,190.145306,75.155215,0.000000,19.940122,-0.000000,7,7
"1364",89.359492,342.360816,89.248259,0.000000,10.187114,-0.000000,9,12
"1366",64.897517,255.764898,62.964140,0.000000,33.909193,-0.000000,4,4
"1367",70.004564,266.866939,68.270764,0.000000,17.002889,-0.000000,6,8
"1368",54.221911,246.364354,53.619408,0.000000,42.595182,-0.000000,8,8
"1369",90.577866,129.697959,87.903993,0.000000,7.644849,-0.000000,7,8
"1370",88.307805,224.966531,87.889239,0.000000,11.561906,0.000000,6,9
"1371",3.909971,246.831020,2.122910,0.000000,93.133430,-0.000000,5,7
"1372",73.895370,207.229388,73.886015,0.000000,21.031139,0.000000,4,6
"1373",57.923855,206.080000,53.472363,0.000000,38.420982,0.000000,8,8
"1376",93.529147,231.209796,92.188462,0.000000,2.639105,-0.000000,3,3
"1377",91.360826,141.440612,90.172760,0.000000,8.490558,0.000000,3,4
"1378",75.384691,126.380408,72.614951,0.000000,8.546826,-0.000000,4,4
"1380",94.074322,245.420408,93.287750,0.000000,5.315458,-0.000000,5,5
"1382",83.175935,221.648980,82.111649,0.000000,15.673608,0.000000,4,6
"1383",52.123608,220.499592,51.087210,0.000000,45.277754,0.000000,7,7
"1384",80.493331,175.438367,78.989460,0.000000,13.366116,-0.000000,4,4
"1385",94.481628,164.989388,92.638068,0.000000,5.259137,-0.000000,5,5
"1386",79.230203,196.675918,78.332320,0.000000,19.401852,-0.000000,7,7
"1390",84.704541,235.075918,84.330194,0.000000,13.948412,-0.000000,5,5
"1391",84.886767,295.706122,81.107298,0.000000,14.951377,0.000000,5,10
"1392",72.287072,239.777959,71.295338,0.000000,26.244304,0.000000,6,6
"1394",84.927882,141.852177,83.241495,0.000000,9.448988,0.000000,4,8
"1396",0.489531,301.426939,0.000000,0.000000,96.346997,0.000000,3,4
"1397",67.695497,236.173061,66.160927,0.000000,31.303114,-0.000000,8,10
"1398",85.482739,152.534308,82.510090,0.000000,12.405477,0.000000,7,7
"1399",78.022613,169.038367,78.022613,0.000000,16.407701,0.000000,2,5
"1400",70.546473,190.275918,68.004943,0.000000,23.288819,0.000000,8,9
"1401",55.923299,306.580839,52.756064,0.000000,37.678319,0.000000,3,6
"1402",68.616601,247.879728,65.288484,0.000000,22.470070,-0.000000,7,7
"1403",81.373168,137.247347,78.620950,0.000000,17.560302,-0.000000,5,6
"1404",73.988831,346.827755,73.155577,0.000000,23.915475,-0.000000,5,8
"1406",93.318017,184.398367,91.447596,0.000000,4.959146,-0.000000,5,6
"1407",87.627844,152.476735,85.275528,0.000000,11.197166,-0.000000,7,9
"1408",73.424757,209.240816,71.192489,0.000000,25.719704,0.000000,8,7
"1411",87.348516,231.314286,87.348516,0.000000,6.788109,-0.000000,6,7
