MirexRoot
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",87.085827,174.001633,86.723853,0.000000,8.707390,0.000000,3,4
"1302",73.755858,158.850612,73.498225,0.000000,23.699288,-0.000000,6,6
"1305",20.577727,289.986667,20.516202,0.000000,79.322425,-0.000000,4,6
"1306",82.954959,154.697143,82.681028,0.000000,16.185897,0.000000,9,10
"1309",53.964082,258.638367,53.878793,0.000000,42.866122,-0.000000,4,6
"1310",53.856540,132.054807,53.669697,0.000000,42.578997,0.000000,7,6
"1311",88.996326,323.683265,88.917415,0.000000,10.408092,-0.000000,2,5
"1312",46.883957,147.644082,46.679506,0.000000,36.602546,-0.000000,5,5
"1313",68.822258,167.444898,68.766789,0.000000,12.397536,0.000000,4,6
"1318",68.087675,228.988390,68.067394,0.000000,23.962695,0.000000,7,7
"1319",59.563251,223.869388,59.379146,0.000000,40.117524,-0.000000,5,6
"1321",64.071951,168.751020,63.838033,0.000000,32.657044,-0.000000,7,8
"1322",35.432684,208.796735,35.303404,0.000000,63.271738,0.000000,2,8
"1324",89.999045,237.533605,89.776959,0.000000,8.250524,0.000000,5,4
"1327",36.704951,171.937959,36.559774,0.000000,57.537772,0.000000,4,7
"1329",81.939827,216.737959,81.838049,0.000000,13.463386,0.000000,6,5
"1330",83.089572,198.542154,82.955110,0.000000,12.784550,-0.000000,4,4
"1331",77.091114,128.040249,77.082046,0.000000,20.786148,-0.000000,4,9
"1332",92.303255,256.600816,92.114356,0.000000,7.106550,0.000000,6,6
"1333",89.966756,142.106122,89.795187,0.000000,7.835532,-0.000000,6,7
"1334",90.100662,260.702041,89.904714,0.000000,7.722478,-0.000000,7,8
"1335",68.549795,224.574694,68.481296,0.000000,27.995877,-0.000000,6,6
"1336",80.800810,182.987755,80.653297,0.000000,15.483677,-0.000000,4,5
"1337",62.271933,186.174694,62.142534,0.000000,32.220701,-0.000000,8,8
"1339",82.668900,243.304626,82.578236,0.000000,16.131759,0.000000,10,10
"1340",77.361530,261.520136,77.310633,0.000000,20.853814,0.000000,5,6
"1342",72.263249,188.081633,72.189175,0.000000,22.473809,-0.000000,5,7
"1344",77.527947,177.449796,77.316945,0.000000,20.051261,0.000000,8,8
"1345",71.673404,150.204082,71.542002,0.000000,24.483792,0.000000,5,8
"1346",70.109755,261.982041,69.997857,0.000000,27.397124,0.000000,7,7
