MirexRoot
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",93.371717,174.001633,91.046088,0.000000,4.385155,0.000000,3,4
"1302",77.193471,158.850612,74.591403,0.000000,22.053886,0.000000,6,7
"1305",85.738628,289.986667,85.633306,0.000000,13.470375,0.000000,4,7
"1306",53.935744,154.697143,52.847699,0.000000,44.254935,-0.000000,9,10
"1309",29.617232,258.638367,28.230320,0.000000,67.659625,0.000000,4,6
"1310",56.868734,132.054807,53.881123,0.000000,41.940079,-0.000000,7,6
"1311",91.021965,323.683265,90.351059,0.000000,8.552726,0.000000,2,3
"1312",54.978572,147.644082,51.164710,0.000000,32.075666,0.000000,5,5
"1313",72.044998,167.444898,69.664406,0.000000,10.930348,0.000000,4,5
"1318",54.238435,228.988390,53.924711,0.000000,38.105378,0.000000,7,8
"1319",49.898552,223.869388,49.436710,0.000000,49.042588,0.000000,5,7
"1321",71.842077,168.751020,69.787547,0.000000,26.106657,-0.000000,7,6
"1322",55.210898,208.796735,53.786040,0.000000,44.182446,0.000000,2,5
"1324",87.973368,237.533605,86.228433,0.000000,11.039664,0.000000,5,5
"1327",56.644934,171.937959,55.702971,0.000000,37.099382,0.000000,4,9
"1329",84.811869,216.737959,80.757028,0.000000,14.526146,-0.000000,6,6
"1330",68.585018,198.542154,66.079618,0.000000,28.527850,0.000000,4,7
"1331",85.327143,128.040249,83.195337,0.000000,13.473484,-0.000000,4,5
"1332",87.074939,256.600816,86.318468,0.000000,12.243183,-0.000000,6,6
"1333",95.894408,142.106122,93.525423,0.000000,3.268141,0.000000,6,7
"1334",90.465258,260.702041,88.821972,0.000000,7.687869,0.000000,7,8
"1335",67.024281,224.574694,63.905622,0.000000,30.812236,0.000000,6,7
"1336",85.675160,182.987755,83.416673,0.000000,12.720300,-0.000000,4,5
"1337",58.488365,186.174694,56.307301,0.000000,36.662564,0.000000,8,8
"1339",88.240059,243.304626,87.047891,0.000000,10.727463,0.000000,10,11
"1340",67.118076,261.520136,66.487097,0.000000,31.677350,0.000000,5,6
"1342",75.896974,188.081633,72.978427,0.000000,21.683291,-0.000000,5,6
"1344",79.022040,177.449796,76.534185,0.000000,19.354672,0.000000,8,10
"1345",80.684049,150.204082,77.864732,0.000000,17.136221,-0.000000,5,6
"1346",80.893753,261.982041,79.618077,0.000000,17.776904,-0.000000,7,6
"1347",78.011023,121.736372,74.889971,0.000000,19.965395,-0.000000,9,11
"1350",75.869000,240.039184,73.909243,0.000000,20.251052,-0.000000,3,5
"1353",2.180402,163.160816,0.223615,0.000000,97.426805,-0.000000,9,8
"1354",69.108859,200.635578,68.205415,0.000000,29.264835,0.000000,6,6
"1355",60.584703,241.136327,60.210360,0.000000,36.116893,0.000000,4,9
"1357",75.024768,147.382857,71.145173,0.000000,20.736418,-0.000000,4,4
"1358",55.460126,154.321610,52.473262,0.000000,15.221780,0.000000,4,3
"1359",79.425942,166.373878,76.197972,0.000000,18.127413,0.000000,5,5
"1360",70.855968,209.240816,67.834745,0.000000,27.799407,-0.000000,8,6
"1361",84.208683,179.435102,81.235407,0.000000,11.901076,-0.000000,4,4
"1362",74.119915,190.145306,72.211123,0.000000,21.187707,0.000000,7,8
"1364",85.138265,342.360816,84.573638,0.000000,13.584499,-0.000000,9,10
"1366",63.190339,255.764898,61.702578,0.000000,34.126934,0.000000,4,4
"1367",2.877958,266.866939,0.806911,0.000000,84.466742,0.000000,6,7
"1368",50.691337,246.364354,49.495777,0.000000,46.621834,-0.000000,8,7
"1369",91.675338,129.697959,87.379880,0.000000,6.660198,0.000000,7,8
"1370",85.681914,224.966531,85.237474,0.000000,12.648198,-0.000000,6,6
"1371",3.689172,246.831020,2.214065,0.000000,93.042275,0.000000,5,8
"1372",76.249475,207.229388,74.617754,0.000000,19.253224,0.000000,4,4
"1373",41.790246,206.080000,40.873891,0.000000,50.085248,0.000000,8,8
"1376",94.776919,231.209796,91.245695,0.000000,3.581759,-0.000000,3,3
"1377",67.839577,141.440612,66.651510,0.000000,30.148834,-0.000000,3,4
"1378",62.562787,126.380408,59.688730,0.000000,19.512170,0.000000,4,4
"1380",94.723462,245.420408,93.735939,0.000000,4.188098,-0.000000,5,5
"1382",78.811048,221.648980,77.767376,0.000000,19.424288,0.000000,4,5
"1383",45.856054,220.499592,44.706284,0.000000,52.384298,-0.000000,7,8
"1384",79.410892,175.438367,77.451020,0.000000,14.904556,0.000000,4,5
"1385",89.725732,164.989388,87.882173,0.000000,8.272497,-0.000000,5,5
"1386",69.715500,196.675918,68.053091,0.000000,29.639713,0.000000,7,8
"1390",74.136780,235.075918,73.037521,0.000000,24.761739,0.000000,5,6
"1391",56.765581,295.706122,56.718651,0.000000,39.202270,0.000000,5,7
"1392",73.069104,239.777959,71.115998,0.000000,26.392431,-0.000000,6,6
"1394",79.020933,141.852177,77.098384,0.000000,15.592098,0.000000,4,7
"1396",0.881070,301.426939,0.000000,0.000000,96.109860,0.000000,3,4
"1397",70.979593,236.173061,68.460571,0.000000,27.515159,0.000000,8,9
"1398",78.771543,152.534308,74.856566,0.000000,18.093789,-0.000000,7,6
"1399",79.859658,169.038367,77.362727,0.000000,16.749554,0.000000,2,3
"1400",67.893625,190.275918,65.850716,0.000000,24.676396,0.000000,8,8
"1401",44.746852,306.580839,44.283635,0.000000,44.006126,0.000000,3,6
"1402",69.929375,247.879728,68.880589,0.000000,18.877966,-0.000000,7,8
"1403",75.205876,137.247347,72.350909,0.000000,23.310129,0.000000,5,6
"1404",55.324824,346.827755,54.191268,0.000000,42.829769,0.000000,5,6
"1406",93.704369,184.398367,91.394682,0.000000,5.028330,0.000000,5,6
"1407",77.634938,152.476735,74.107631,0.000000,21.195433,0.000000,7,8
"1408",70.855968,209.240816,67.834745,0.000000,27.799407,-0.000000,8,6
"1411",88.567102,231.314286,88.539311,0.000000,5.597314,-0.000000,6,7
"1414",86.221926,119.405578,84.042451,0.000000,12.245748,-0.000000,7,9
"1415",97.726698,250.253061,96.283877,0.000000,1.597043,0.000000,7,7
"1416",70.083985,570.801633,70.074939,0.000000,26.306350,0.000000,10,11
"1417",86.762291,210.496916,85.306218,0.000000,12.400676,-0.000000,9,8
"1420",67.122558,123.872653,66.433679,0.000000,32.458205,0.000000,6,6
"1423",54.201848,245.733878,53.796712,0.000000,44.939874,-0.000000,8,9
"1425",70.166683,191.033469,69.290010,0.000000,28.097640,0.000000,12,10
"1426",78.734736,236.408163,77.082188,0.000000,19.870894,-0.000000,8,9
"1428",78.287621,392.594286,77.850965,0.000000,19.978821,-0.000000,10,11
"1429",81.832210,194.168163,79.350730,0.000000,16.783324,-0.000000,5,6
"1431",92.407571,155.689705,91.866638,0.000000,5.971139,0.000000,8,8
"1433",75.389655,174.654694,73.652725,0.000000,24.435105,-0.000000,2,4
"1434",88.053096,234.031020,85.861631,0.000000,9.779536,-0.000000,3,7
"1435",58.784348,180.741224,56.044949,0.000000,35.188821,0.000000,12,11
"1437",92.109149,228.780408,90.335533,0.000000,7.314875,0.000000,1,7
"1438",76.423059,171.363265,74.824050,0.000000,21.886480,-0.000000,6,7
"1439",96.393851,170.762449,94.257295,0.000000,2.680799,0.000000,4,5
"1440",77.930469,249.391020,76.650944,0.000000,16.375434,0.000000,6,7
"1441",85.019508,153.208163,81.097940,0.000000,13.322899,-0.000000,4,4
"1443",80.957608,240.457143,79.591625,0.000000,17.510578,0.000000,4,6
"1445",78.116657,248.568730,77.023145,0.000000,20.915087,-0.000000,3,5
"1447",1.795534,184.502857,0.000000,0.000000,94.335288,-0.000000,4,7
"1448",62.459798,196.503288,59.921271,0.000000,34.615626,-0.000000,6,7
"1449",43.678387,210.834286,41.078910,0.000000,55.565259,0.000000,5,6
"1450",63.494452,219.102608,61.901332,0.000000,33.481553,0.000000,10,10
"1452",61.345876,255.895510,58.387278,0.000000,13.885733,0.000000,4,5
"1453",76.865695,227.552653,73.865487,0.000000,17.830083,0.000000,5,5
"1455",79.307790,272.998685,77.097639,0.000000,18.118793,-0.000000,12,11
"1456",90.136917,143.203265,87.941213,0.000000,8.118287,-0.000000,4,4
"1457",78.178648,271.621224,76.473618,0.000000,19.753639,-0.000000,6,8
"1459",78.734697,203.781224,77.791921,0.000000,20.401620,0.000000,5,7
"1460",81.592516,158.380408,79.875275,0.000000,17.405244,-0.000000,3,3
"1461",62.482698,196.503288,59.944172,0.000000,34.592725,-0.000000,6,7
"1462",90.037061,211.173878,88.822041,0.000000,9.085429,-0.000000,4,5
"1464",63.294687,148.845714,60.970589,0.000000,35.934703,-0.000000,3,5
"1465",68.033621,221.100408,65.818520,0.000000,30.046806,0.000000,12,10
"1466",61.976456,215.693061,59.958282,0.000000,37.451406,0.000000,6,6
"1467",72.678344,406.413061,72.089654,0.000000,26.048164,0.000000,7,7
"1468",54.900986,240.640000,53.728602,0.000000,44.559297,0.000000,7,8
"1469",90.916909,231.575510,89.768074,0.000000,7.669854,0.000000,6,6
"1470",2.274917,178.782041,0.000000,0.000000,96.382964,-0.000000,5,5
"1471",88.088751,221.701224,86.356900,0.000000,10.075719,-0.000000,6,7
"1472",31.551136,130.533878,27.928962,0.000000,67.054043,0.000000,3,5
"1473",59.566007,388.466939,59.014058,0.000000,32.912833,-0.000000,8,12
"1475",68.108029,174.132245,66.707473,0.000000,30.502892,0.000000,6,9
"1476",73.725678,257.384490,72.636666,0.000000,22.916054,-0.000000,5,9
"1477",79.745713,263.888980,77.579436,0.000000,18.691417,0.000000,5,6
"1478",92.189621,173.871020,92.042719,0.000000,6.777659,0.000000,8,8
"1480",89.913355,170.277710,87.179392,0.000000,9.156747,-0.000000,6,8
"1482",83.033277,254.667755,81.971543,0.000000,16.386826,0.000000,5,6
"1483",51.372658,168.150204,49.126960,0.000000,47.468225,-0.000000,6,6
"1484",76.343293,174.106122,72.926599,0.000000,19.042965,-0.000000,8,10
"1488",77.591251,155.324082,74.672388,0.000000,21.626266,-0.000000,5,5
"1489",66.493826,192.976395,64.469446,0.000000,31.257071,-0.000000,6,8
"1490",80.682186,105.038367,78.103979,0.000000,18.581360,0.000000,4,5
"1491",75.051461,160.862041,72.469821,0.000000,15.600667,-0.000000,11,9
"1493",52.908580,187.420907,50.973723,0.000000,45.219010,-0.000000,7,8
"1494",73.614275,213.211429,72.391808,0.000000,26.134806,-0.000000,4,7
"1496",84.848845,192.470204,81.038820,0.000000,14.862063,0.000000,4,5
"1497",64.557872,215.745306,62.346033,0.000000,33.472386,-0.000000,8,8
"1498",64.204975,193.645714,63.034359,0.000000,33.983007,0.000000,12,11
"1499",55.182444,379.663673,55.168307,0.000000,37.736017,0.000000,5,7
"1500",90.885088,225.378277,89.619093,0.000000,7.829487,0.000000,5,8
"1501",70.670305,187.794286,68.243945,0.000000,18.795219,-0.000000,2,7
"1502",87.336335,206.414853,85.321047,0.000000,10.533568,-0.000000,5,6
"1503",80.301812,235.493878,78.158721,0.000000,18.027409,-0.000000,4,6
"1504",83.882468,145.162449,80.865289,0.000000,15.542895,-0.000000,8,8
"1505",83.498405,163.213061,81.946596,0.000000,14.599232,0.000000,7,7
"1506",77.197753,180.610612,75.809633,0.000000,22.490295,-0.000000,10,10
"1507",37.815687,241.371429,36.752418,0.000000,62.013306,0.000000,4,9
"1508",92.194860,156.604082,90.711013,0.000000,6.858632,-0.000000,4,5
"1509",0.916902,207.229388,0.000000,0.000000,94.135728,0.000000,6,8
"1510",87.329356,172.120816,84.415541,0.000000,8.756370,-0.000000,4,5
"1511",69.474322,430.088707,67.176460,0.000000,22.212170,-0.000000,4,8
"1512",26.886255,107.546122,23.315093,0.000000,71.110549,0.000000,3,4
"1514",80.653177,244.297143,79.248996,0.000000,15.098725,-0.000000,8,8
"1515",64.972403,176.404898,62.991223,0.000000,34.116940,0.000000,5,7
"1516",79.885847,267.232676,78.744683,0.000000,19.641489,0.000000,4,6
"1517",49.278649,313.626122,47.410096,0.000000,45.390609,-0.000000,3,4
"1518",30.826529,250.331429,29.750183,0.000000,67.113352,0.000000,12,10
"1519",53.530631,146.050612,50.543688,0.000000,46.169361,-0.000000,4,7
"1522",85.506367,179.069388,84.924473,0.000000,13.241765,-0.000000,9,10
