MirexRoot
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",0.128523,174.001633,0.000000,0.000000,95.431243,0.000000,3,2
"1302",0.133215,158.850612,0.000000,0.000000,97.197512,0.000000,6,2
"1305",0.958168,289.986667,0.888625,0.000000,98.950003,0.000000,4,2
"1306",5.791377,154.697143,5.667818,0.000000,93.244137,0.000000,9,2
"1309",15.963753,258.638367,15.886282,0.000000,80.858633,0.000000,4,2
"1310",2.573387,132.054807,2.412994,0.000000,93.835701,0.000000,7,2
"1311",0.056619,323.683265,0.000000,0.000000,99.329094,0.000000,2,2
"1312",8.865278,147.644082,8.731794,0.000000,74.558121,-0.000000,5,2
"1313",8.981786,167.444898,8.853446,0.000000,72.310879,0.000000,4,2
"1318",14.134933,228.988390,14.036505,0.000000,77.993585,0.000000,7,2
"1319",18.696848,223.869388,18.601083,0.000000,80.937075,-0.000000,5,2
"1321",18.534771,168.751020,18.403796,0.000000,78.091281,-0.000000,7,2
"1322",0.112423,208.796735,0.000000,0.000000,98.575142,0.000000,2,2
"1324",21.879463,237.533605,21.784484,0.000000,76.242999,0.000000,5,2
"1327",6.039646,171.937959,5.921604,0.000000,88.202951,0.000000,4,2
"1329",5.235120,216.737959,5.147937,0.000000,90.153499,-0.000000,6,2
"1330",14.807673,198.542154,14.684699,0.000000,81.054961,-0.000000,4,2
"1331",2.016693,128.040249,1.867326,0.000000,96.000868,0.000000,4,2
"1332",0.918393,256.600816,0.838184,0.000000,98.405344,-0.000000,6,2
"1333",0.130974,142.106122,0.000000,0.000000,97.630719,0.000000,6,2
"1334",4.580297,260.702041,4.495510,0.000000,93.131683,0.000000,7,2
"1335",9.447465,224.574694,9.347857,0.000000,87.129316,-0.000000,6,2
"1336",0.109710,182.987755,0.000000,0.000000,96.136973,0.000000,4,2
"1337",6.243427,186.174694,6.145297,0.000000,88.217938,0.000000,8,2
"1339",13.265578,243.304626,13.186818,0.000000,85.523177,-0.000000,10,2
"1340",8.254993,261.520136,8.177317,0.000000,89.987130,-0.000000,5,2
"1342",7.652826,188.081633,7.554128,0.000000,87.108856,0.000000,5,2
"1344",6.845283,177.449796,6.712966,0.000000,90.655240,0.000000,8,2
"1345",16.941255,150.204082,16.806051,0.000000,79.219744,0.000000,5,2
"1346",10.263943,261.982041,10.187586,0.000000,87.207395,-0.000000,7,2
"1347",2.492512,121.736372,2.287667,0.000000,94.516103,-0.000000,9,2
"1350",0.092978,240.039184,0.000000,0.000000,94.160295,0.000000,3,2
"1353",12.932727,163.160816,12.808423,0.000000,85.150347,0.000000,9,2
"1354",13.060686,200.635578,12.937289,0.000000,86.159267,-0.000000,6,2
"1355",0.085564,241.136327,0.000000,0.000000,99.625658,0.000000,4,2
"1357",27.600747,147.382857,27.454965,0.000000,64.426626,0.000000,4,2
"1358",5.046906,154.321610,4.895528,0.000000,63.134680,0.000000,4,2
"1359",0.870676,166.373878,0.743326,0.000000,95.889139,0.000000,5,2
"1360",15.081358,209.240816,14.978694,0.000000,81.933500,0.000000,8,2
"1361",0.098700,179.435102,0.000000,0.000000,93.136482,0.000000,4,2
"1362",10.948942,190.145306,10.840443,0.000000,84.254894,0.000000,7,2
"1364",18.891222,342.360816,18.835194,0.000000,80.600179,0.000000,9,2
"1366",0.080503,255.764898,0.000000,0.000000,96.873333,0.000000,4,2
"1367",17.763738,266.866939,17.685444,0.000000,67.588208,-0.000000,6,2
"1368",6.439183,246.364354,6.363542,0.000000,89.851048,0.000000,8,2
"1369",0.869380,129.697959,0.732941,0.000000,94.815901,-0.000000,7,2
"1370",6.203725,224.966531,6.115920,0.000000,93.439640,0.000000,6,2
"1371",7.040229,246.831020,6.963650,0.000000,88.292690,0.000000,5,2
"1372",14.224367,207.229388,14.127668,0.000000,80.789485,0.000000,4,2
"1373",11.270172,206.080000,11.167299,0.000000,81.112481,-0.000000,8,2
"1376",26.903345,231.209796,26.809146,0.000000,68.018421,-0.000000,3,2
"1377",8.980724,141.440612,8.827577,0.000000,89.984357,0.000000,3,2
"1378",0.160949,126.380408,0.000000,0.000000,81.161777,0.000000,4,2
"1380",0.088586,245.420408,0.000000,0.000000,98.603208,-0.000000,5,2
"1382",20.711398,221.648980,20.610346,0.000000,77.174910,0.000000,4,2
"1383",0.476243,220.499592,0.390713,0.000000,98.035180,0.000000,7,2
"1384",0.125610,175.438367,0.000000,0.000000,92.355576,0.000000,4,2
"1385",8.770188,164.989388,8.664491,0.000000,89.491949,0.000000,5,2
"1386",8.652466,196.675918,8.556411,0.000000,89.177761,0.000000,7,2
"1390",1.483291,235.075918,1.405479,0.000000,96.873127,0.000000,5,2
