MirexSevenths
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",76.155837,172.863864,74.376036,17.136090,1.822981,2.066065,4,7
"1302",34.721937,152.328747,32.008462,49.214697,1.114643,14.213091,6,9
"1305",94.975032,280.118277,94.960871,4.039689,0.006723,0.825659,3,5
"1306",61.559543,144.247435,60.682428,9.229059,11.058419,15.154738,9,16
"1309",62.764301,211.202647,59.359429,4.770998,6.905684,18.797309,3,11
"1310",35.882144,113.025541,32.398584,35.052355,0.671828,24.665523,10,17
"1311",33.168445,323.683265,32.830378,58.176283,3.666720,4.655712,3,10
"1312",59.902161,147.644082,48.417826,7.532659,14.083306,13.233678,7,10
"1313",65.577741,167.444898,63.247854,5.291019,4.802101,4.043828,4,5
"1318",48.946232,189.092744,45.243938,13.109130,5.404791,23.984141,7,16
"1319",74.591576,64.550385,73.810190,1.516512,12.725259,10.346310,3,7
"1321",72.425004,136.437412,70.529614,9.974688,4.502509,10.658166,10,14
"1322",11.673398,190.856372,10.248433,49.008339,8.124021,17.515097,2,7
"1324",89.061658,237.533605,87.809790,0.000000,1.954759,8.262934,5,5
"1327",31.676069,171.937959,28.126068,51.377336,5.082952,6.575409,5,10
"1329",49.482292,216.737959,48.941105,31.787564,1.116593,13.456174,7,10
"1330",83.315758,198.542154,79.672781,0.855725,9.333573,5.374259,4,5
"1331",84.256392,128.040249,82.124587,1.585439,8.089233,0.000000,4,5
"1332",83.976885,253.866667,83.303732,4.345354,10.110521,0.188522,6,8
"1333",84.837128,142.106122,82.894128,9.668519,3.284178,1.783894,7,8
"1334",56.041854,160.792092,53.049457,36.531344,3.643965,2.577523,9,15
"1335",60.646415,159.743979,57.450868,16.509619,6.911167,14.175810,10,13
"1336",79.730761,180.680405,78.187840,2.065023,3.044393,12.790384,4,6
"1337",67.795205,163.023596,63.960618,3.051818,6.852381,18.094848,12,19
"1339",68.744292,243.304626,67.677881,20.342974,4.714749,5.974391,13,23
"1340",57.486524,215.652019,56.287771,18.711415,12.466256,10.308593,6,13
"1342",66.590400,188.081633,61.599250,15.276538,6.808946,8.213921,5,14
"1344",79.991427,156.792477,77.947454,9.300187,1.088376,8.685452,9,14
"1345",76.681149,102.862939,73.328064,18.762437,1.157181,0.949043,7,8
"1346",51.697836,210.827269,51.674575,37.258209,1.298250,6.531870,15,26
"1347",61.094164,120.125068,59.823512,18.753355,5.830611,12.353419,18,17
"1350",80.900857,239.194764,78.890285,1.675557,9.891472,3.682365,4,4
"1353",2.200020,120.945113,0.000000,0.000000,86.902728,10.343554,10,14
"1354",83.501514,193.558651,82.909664,3.605514,3.984717,8.563630,7,12
"1355",60.898678,112.550771,60.872622,6.089444,1.667721,0.631474,4,6
"1357",84.536748,128.866105,80.794214,4.543493,4.898219,0.479131,4,6
"1358",28.402195,150.573304,23.343108,26.603241,9.787264,6.501920,5,6
"1359",66.731149,160.357891,63.382078,25.443879,0.992434,5.650447,8,12
"1360",45.284214,205.056729,42.938123,28.537044,1.924002,23.450019,9,17
"1361",80.635258,166.983785,77.563042,7.539199,1.251761,6.270696,5,8
"1362",70.889681,190.145306,67.484229,5.691570,16.681785,5.237753,8,7
"1364",73.925015,328.919586,73.916558,17.096010,1.247566,7.152166,14,21
"1366",62.612623,243.382770,60.570614,1.170576,29.161166,5.811907,4,5
"1367",5.525483,230.910828,0.000000,0.000000,21.014199,61.966351,8,17
"1368",37.395704,236.936121,36.621506,17.163910,3.654553,38.623991,9,26
"1369",51.289390,127.841769,48.635360,43.340913,0.749740,2.758202,6,11
"1370",75.125492,193.112375,74.607741,15.310138,0.994143,8.419181,9,17
"1371",3.744766,178.594806,0.000000,0.000000,72.537794,20.081310,6,7
"1372",70.206063,202.588374,69.293183,5.973969,10.729870,8.803691,6,8
"1373",53.052253,153.250021,42.742186,9.443640,13.012113,21.374076,8,10
"1376",80.582984,231.209796,79.454227,11.584718,1.928501,1.860121,5,8
"1377",90.874553,141.440612,89.686487,0.000000,2.278592,5.764985,3,5
"1378",70.940202,126.380408,62.552503,12.077356,1.798691,4.733227,4,8
"1380",94.866270,245.420408,93.951347,0.947354,3.253890,0.450617,5,7
"1382",77.878152,221.648980,75.990491,12.049598,8.839059,0.906108,4,7
"1383",34.877218,216.560839,33.946952,13.137456,30.111097,21.201758,7,12
"1384",73.060825,175.438367,71.445804,7.839404,3.686878,9.383490,5,6
"1385",80.615387,164.529402,79.119496,13.902972,2.172016,2.711733,7,7
"1386",80.811153,196.675918,79.875137,1.866046,1.042984,14.950006,7,9
"1390",64.685984,228.370975,64.035324,22.703686,9.085326,2.403730,7,10
"1391",60.566615,295.706122,56.765840,28.433042,2.857023,8.002769,6,20
"1392",36.909139,224.689632,35.973128,39.004851,4.029960,18.366485,7,18
"1394",79.763714,141.852177,75.313887,12.607112,0.962975,3.806509,5,7
"1396",3.371445,244.492744,0.000000,0.000000,41.129134,54.862660,5,7
"1397",39.043949,236.173061,37.312989,31.648223,5.459496,21.634968,12,27
"1398",56.469257,135.027152,52.229881,32.098199,1.210100,8.718158,9,10
"1399",48.597978,104.873310,43.645939,23.257126,14.967826,9.151698,2,11
"1400",63.824809,190.275918,61.165030,6.223177,2.165820,21.739735,14,22
"1401",30.375347,306.580839,25.900740,26.518039,8.534668,28.490056,4,17
"1402",76.183082,235.468865,64.133386,6.644795,9.397082,2.381850,8,9
"1403",3.858504,137.247347,0.833056,0.000000,84.949137,3.641186,5,6
"1404",44.337314,32.312557,24.517397,13.791433,4.446547,19.703177,2,9
"1406",77.840877,179.598050,75.984495,17.514960,1.970312,0.868774,7,11
"1407",40.965668,152.476735,38.649423,46.785774,2.604557,8.432940,11,12
"1408",45.284214,205.056729,42.938123,28.537044,1.924002,23.450019,9,17
"1411",88.298892,231.314286,86.286787,1.592671,1.307252,4.949915,8,7
"1414",19.953470,111.359206,18.861887,68.854408,1.356912,8.530104,11,15
"1415",96.985634,250.253061,96.187218,0.045102,1.095907,1.228953,11,11
"1416",78.114382,542.655604,76.391810,5.370467,9.106415,1.763588,18,21
"1417",52.630827,197.667392,51.590232,33.976705,2.808733,10.073750,17,19
"1420",60.401702,109.626825,59.884755,19.751386,2.645829,16.939631,7,9
"1423",40.628756,234.128247,40.611296,32.360781,4.982015,21.541349,10,20
"1425",63.756664,174.328228,63.737464,12.555010,12.130432,9.270105,22,18
"1426",71.351518,173.526183,71.323763,15.339091,1.252925,9.832827,15,23
"1428",67.140532,374.413405,66.713494,12.947999,3.863738,14.192389,18,25
"1429",60.770549,171.143810,59.845454,23.085374,4.432646,7.797652,6,8
"1431",79.701916,155.689705,79.644298,13.802910,1.425762,4.212501,14,21
"1433",1.139726,167.118639,0.000000,49.092373,0.000000,49.092373,2,1
"1434",43.995068,224.714065,42.695604,54.077678,0.000000,0.269784,3,7
"1435",28.208072,168.596039,22.504017,38.331294,3.426403,24.401360,24,26
"1437",4.237866,228.780408,2.884862,92.323343,1.199841,1.818338,1,6
"1438",66.398105,139.251974,63.745888,18.038085,1.566908,13.824175,7,11
"1439",36.234394,170.762449,34.912412,59.786440,0.405117,2.029726,4,7
"1440",45.531927,224.072528,42.017298,31.919133,4.059050,13.450399,9,11
"1441",87.824390,153.208163,84.597954,4.964578,4.514940,0.343367,5,7
"1443",83.716236,232.831128,83.150529,5.873584,3.442728,4.683275,5,10
"1445",85.525143,248.568730,84.564150,3.534172,7.202993,3.216476,3,7
"1447",1.987943,184.502857,0.000000,0.000000,69.484019,25.038258,4,6
"1448",68.324630,103.593511,65.830953,0.000000,9.535136,14.271123,7,6
"1449",39.203785,210.834286,37.831008,9.333130,0.393433,49.584001,8,12
"1450",30.891687,209.407643,29.624967,41.432411,4.806108,19.323328,12,30
"1452",60.610198,251.324405,47.091610,15.974398,0.772314,9.072177,7,8
"1453",64.693529,198.594840,63.753398,10.251845,0.723233,15.753677,9,14
"1455",76.747346,208.959654,74.876322,11.562362,3.098549,4.213198,20,19
"1456",59.228913,143.203265,56.985064,33.214502,2.926754,3.690107,5,7
"1457",64.558887,236.109997,60.580985,23.163387,1.017265,10.898194,9,13
"1459",88.497509,201.812344,87.545535,0.949022,4.532241,5.577736,6,7
"1460",83.351725,158.380408,81.469921,5.734385,8.178537,2.289538,3,4
"1461",68.324630,103.593511,65.830953,0.000000,9.535136,14.271123,7,6
"1462",91.274176,211.173878,91.073452,2.212199,4.207899,1.291429,4,5
"1464",14.959352,143.301328,13.709737,76.053021,2.486894,5.147479,3,7
"1465",63.243139,210.799443,61.193604,15.908401,4.659251,13.962657,22,24
"1466",62.990257,215.693061,62.198363,13.734509,4.441739,17.035078,6,11
"1467",62.359892,382.085272,62.349407,15.013814,3.294493,18.108895,10,19
"1468",50.791095,240.640000,49.810377,3.549594,0.671472,44.796173,9,11
