MirexSevenths
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",78.307921,172.863864,78.232363,11.896001,1.704414,3.568394,4,11
"1302",34.791252,152.328747,34.560696,46.443080,0.880075,15.193674,6,20
"1305",64.860503,280.118277,64.755364,9.075446,0.056552,25.945580,3,21
"1306",52.790109,144.247435,52.431944,22.941600,6.819348,15.899765,9,22
"1309",50.581245,211.202647,49.596479,3.937855,15.564110,26.573980,3,25
"1310",41.331393,113.025541,41.184997,36.005150,4.340438,14.086529,10,23
"1311",12.266071,323.683265,12.238273,78.268109,0.717367,8.105345,3,12
"1312",56.474841,147.644082,45.080644,14.918461,8.861817,14.428992,7,16
"1313",65.290371,167.444898,64.940224,6.428818,5.188176,4.607108,4,16
"1318",30.989275,189.092744,30.698161,34.876899,2.251904,22.521598,7,29
"1319",61.290351,64.550385,60.525949,11.238997,5.049488,21.583835,3,14
"1321",65.095006,136.437412,64.865252,18.668503,4.533174,7.598048,10,18
"1322",1.084312,190.856372,0.778636,61.472077,0.000000,33.866833,2,16
"1324",85.100689,237.533605,84.966582,4.946809,1.574873,6.539218,5,21
"1327",12.939623,171.937959,12.119204,13.135466,8.058845,60.811040,5,38
"1329",57.258754,216.737959,57.150281,24.733725,6.252439,7.164991,7,17
"1330",35.780735,198.542154,35.704751,35.325380,7.474903,17.234627,4,25
"1331",63.199754,128.040249,63.014172,19.472280,4.786379,10.595363,4,27
"1332",78.592858,253.866667,78.420217,6.904158,7.615599,6.203942,6,22
"1333",80.155787,142.106122,80.025068,11.193816,3.035514,3.376321,7,12
"1334",57.677889,160.792092,56.141395,30.905594,4.732699,4.127638,9,20
"1335",57.551727,159.743979,57.353677,11.854700,6.443180,19.395906,10,15
"1336",52.163331,180.680405,51.821163,25.633382,2.831042,15.802055,4,18
"1337",54.563867,163.023596,54.421433,5.726464,7.403718,26.011139,12,28
"1339",70.947065,243.304626,70.811013,12.750459,4.066035,11.082487,13,29
"1340",49.657200,215.652019,48.551047,22.612883,10.147047,16.463057,6,24
"1342",62.335262,188.081633,62.285879,16.684868,8.587270,7.104967,5,19
"1344",49.853605,156.792477,49.703660,30.986541,3.186611,13.144656,9,26
"1345",69.077652,102.862939,68.744690,12.535975,4.989550,7.926510,7,19
"1346",52.587460,210.827269,52.558548,26.998510,2.312598,14.893247,15,29
"1347",56.410053,120.125068,55.931678,19.483119,6.222995,14.891147,18,22
"1350",56.573834,239.194764,56.402738,20.163537,8.180792,9.392612,4,15
"1353",0.052797,120.945113,0.000000,0.000000,68.603400,28.642882,10,17
"1354",71.811318,193.558651,71.539561,10.362999,6.041301,11.119663,7,19
"1355",28.371096,112.550771,28.022954,60.624152,1.177393,9.373485,4,14
"1357",75.311274,128.866105,75.108564,8.079939,5.335853,2.190701,4,11
"1358",15.454213,150.573304,14.651130,35.754077,2.927828,13.901331,5,20
"1359",54.219107,160.357891,54.029056,19.940650,3.510731,19.025691,8,19
"1360",51.397783,205.056729,51.360981,19.135673,2.806109,23.546425,9,19
"1361",73.758733,166.983785,73.207727,10.001803,1.359691,8.055475,5,16
"1362",53.771000,190.145306,53.540504,22.541764,10.158992,8.854076,8,16
"1364",70.989846,328.919586,70.931605,16.125967,2.850580,9.504148,14,26
"1366",60.414163,243.382770,59.966951,2.527644,30.973458,3.246211,4,8
"1367",3.248027,230.910828,0.000000,0.016076,22.562422,60.402053,8,23
"1368",49.937631,236.936121,49.800162,7.854599,2.599883,35.809316,9,23
"1369",49.774081,127.841769,49.737755,40.323242,2.042835,3.380382,6,14
"1370",66.857024,193.112375,66.754819,17.243821,1.796984,13.686625,9,23
"1371",2.445902,178.594806,0.000000,0.849349,66.588021,26.006547,6,10
"1372",62.702414,202.588374,62.557711,11.231546,10.733542,10.277914,6,16
"1373",40.913573,153.250021,40.199550,17.557338,4.516666,27.344831,8,22
"1376",70.674349,231.209796,70.620369,19.179964,2.396074,2.631160,5,13
"1377",26.856772,141.440612,26.506457,62.288611,1.315341,8.701524,3,11
"1378",45.454197,126.380408,44.962718,25.019381,3.225525,7.954153,4,14
"1380",88.411735,245.420408,88.001352,3.699367,5.303530,1.598959,5,12
"1382",59.007289,221.648980,57.921713,27.615318,4.959209,7.289017,4,19
"1383",40.800082,216.560839,40.198302,11.327005,23.692615,23.179342,7,17
"1384",59.389929,175.438367,59.343605,15.919565,5.446300,11.646106,5,14
"1385",80.795695,164.529402,80.442872,8.778575,1.920550,6.938724,7,13
"1386",67.387321,196.675918,67.244170,11.996942,0.803335,17.689725,7,20
"1390",44.273095,228.370975,43.826989,38.027369,7.462024,8.911683,7,24
"1391",20.020709,295.706122,16.487324,49.760408,1.854375,27.901417,6,40
"1392",45.748988,224.689632,45.435085,25.502400,1.503134,24.933806,7,23
"1394",61.513435,141.852177,60.775785,19.236047,1.715307,10.963344,5,18
"1396",0.146019,244.492744,0.000000,0.000000,68.037772,27.403185,5,9
"1397",47.913077,236.173061,47.803699,17.793557,10.259407,21.615347,12,29
"1398",49.887341,135.027152,49.730775,32.252705,1.151054,11.121804,9,15
"1399",34.682716,104.873310,33.799845,32.734942,4.427528,20.060275,2,12
"1400",52.542088,190.275918,51.095996,19.043937,2.382952,18.770877,14,21
"1401",14.190256,306.580839,13.634828,35.602500,6.062035,35.203746,4,22
"1402",68.094074,235.468865,57.715488,12.172373,6.093477,10.284372,8,26
"1403",56.131419,137.247347,55.611181,20.382472,6.630780,13.556819,5,16
"1404",36.344274,32.312557,24.370524,25.566563,1.969110,16.803797,2,13
"1406",81.532133,179.598050,81.462640,10.345436,3.336938,1.204297,7,12
"1407",22.348928,152.476735,22.248039,61.494278,0.287215,12.443161,11,12
"1408",51.397783,205.056729,51.360981,19.135673,2.806109,23.546425,9,19
"1411",84.713176,231.314286,83.108307,3.918749,1.851340,5.258229,8,13
"1414",19.015538,111.359206,18.882733,64.837979,2.593014,11.289585,11,29
"1415",95.361387,250.253061,95.180455,0.260303,1.557761,1.558660,11,13
"1416",68.539775,542.655604,67.203138,14.058807,9.235889,4.925760,18,45
"1417",32.143283,197.667392,31.927776,49.784316,6.770406,9.931683,17,37
"1420",34.053661,109.626825,33.910690,38.608448,0.893797,25.808667,7,18
"1423",46.902897,234.128247,46.775207,18.045286,10.066842,24.608105,10,19
"1425",58.364408,174.328228,58.216227,15.645198,10.520757,13.310830,22,28
"1426",68.035336,173.526183,67.965085,19.338074,1.420827,9.024621,15,24
"1428",63.259024,374.413405,63.025685,15.040177,4.373228,15.285314,18,28
"1429",59.934316,171.143810,59.634135,16.642339,8.292579,10.667051,6,11
"1431",68.305941,155.689705,67.992800,24.804743,1.165997,5.121930,14,25
"1433",59.941829,167.118639,59.761203,4.522213,0.162027,33.044589,2,11
"1434",11.806725,224.714065,11.436025,74.351500,0.276565,11.643252,3,22
"1435",30.798021,168.596039,30.524292,31.898126,6.271554,21.908303,24,33
"1437",27.228439,228.780408,27.099033,66.884880,1.542717,2.699754,1,13
"1438",57.384799,139.251974,56.284264,21.459604,3.016602,16.414586,7,14
"1439",38.467144,170.762449,37.894336,57.653171,0.200606,1.385582,4,8
"1440",44.566908,224.072528,44.045285,29.455732,5.180406,13.556590,9,23
"1441",73.780934,153.208163,73.445612,14.282778,2.339070,4.353380,5,15
"1443",64.959157,232.831128,64.833250,22.535147,4.130785,5.581123,5,18
"1445",69.097898,248.568730,68.827351,16.908115,6.037857,6.744467,3,12
"1447",0.325641,184.502857,0.000000,0.000000,76.517690,18.291870,4,13
"1448",40.889095,103.593511,40.559817,20.358464,11.701676,17.017254,7,17
"1449",37.484938,210.834286,37.398207,18.804891,2.668703,38.269770,8,20
"1450",19.880705,209.407643,19.748067,41.379873,3.520483,30.538392,12,50
"1452",48.530958,251.324405,44.479640,18.558296,0.265728,9.606834,7,13
"1453",60.883531,198.594840,60.791456,8.525751,2.776699,18.398622,9,17
"1455",76.769478,208.959654,76.157506,6.525975,5.992631,5.074319,20,27
"1456",51.532212,143.203265,51.414656,34.673903,2.093200,8.634669,5,13
"1457",54.983446,236.109997,51.248840,19.451794,1.010992,23.948205,9,31
