MirexSevenths
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",90.269147,172.863864,87.928211,2.437068,3.620679,1.415216,4,4
"1302",2.713474,152.328747,0.000000,80.459016,0.000000,16.042643,6,9
"1305",2.575754,280.118277,2.466722,27.713476,1.055668,67.836238,3,6
"1306",70.612039,144.247435,69.445172,0.767063,22.563544,4.116961,9,13
"1309",1.698410,211.202647,0.000000,28.111844,0.000000,66.854991,3,7
"1310",54.430562,113.025541,50.939950,24.192097,0.940517,19.075680,10,11
"1311",8.826884,323.683265,8.155978,70.441703,5.740323,14.565781,3,6
"1312",46.939991,147.644082,43.126129,10.716225,16.187929,13.210093,7,6
"1313",70.837500,167.444898,68.456908,1.364229,5.306487,5.467130,4,8
"1318",46.921498,189.092744,46.541584,14.756170,19.231304,9.819504,7,10
"1319",1.601730,64.550385,0.000000,69.158402,0.000000,29.239868,3,7
"1321",7.405657,136.437412,4.864536,67.201881,0.945655,22.545174,10,10
"1322",52.274079,190.856372,50.715285,0.000000,9.519923,37.586634,2,7
"1324",88.285795,237.533605,86.540860,0.000000,2.619530,8.107706,5,6
"1327",0.941963,171.937959,0.000000,57.788151,0.000000,35.014202,5,12
"1329",59.386608,216.737959,55.331768,24.366378,13.137919,2.447109,7,6
"1330",69.279208,198.542154,66.773808,5.870281,12.118402,9.844977,4,10
"1331",2.131806,128.040249,0.000000,59.400736,0.000000,37.268085,4,14
"1332",88.298937,253.866667,87.534319,0.000000,11.551494,0.000000,6,5
"1333",94.554723,142.106122,92.185737,0.000000,2.178085,2.429742,7,9
"1334",79.104639,160.792092,76.440278,7.771786,9.182311,2.750747,9,10
"1335",36.923116,159.743979,32.538777,35.411020,7.556772,17.373505,10,8
"1336",86.379717,180.680405,84.092388,1.290219,2.623564,8.081469,4,5
"1337",16.019260,163.023596,13.528461,46.259550,1.640968,30.542531,12,12
"1339",68.003786,243.304626,66.811618,18.864827,4.865410,7.233499,13,16
"1340",53.547872,215.652019,52.178823,17.000378,19.754080,8.840753,6,8
"1342",74.824085,188.081633,71.905537,4.885929,9.575052,8.295200,5,7
"1344",12.426290,156.792477,9.610661,72.246585,0.427982,13.061989,9,13
"1345",81.189369,102.862939,77.072504,2.540713,4.253154,10.186882,7,9
"1346",36.514681,210.827269,34.929477,47.848437,3.664340,10.320651,15,10
"1347",50.650243,120.125068,47.487327,26.401976,3.809551,17.087504,18,16
"1350",77.384451,239.194764,75.417776,0.000000,14.894115,3.827789,4,4
"1353",2.639801,120.945113,0.000000,0.000000,83.722700,13.107602,10,8
"1354",11.626085,193.558651,10.689609,57.487720,3.940123,25.280010,7,8
"1355",73.899753,112.550771,73.097737,2.014097,4.148803,15.516212,4,9
"1357",76.274775,128.866105,71.837722,0.000000,18.877336,0.000000,4,4
"1358",17.473825,150.573304,14.412607,38.852436,0.504393,13.121420,5,4
"1359",6.635781,160.357891,3.286711,74.267313,0.000000,16.558473,8,6
"1360",38.289718,205.056729,35.206848,37.782602,5.485550,17.070069,9,8
"1361",50.753790,166.983785,47.558807,37.926444,3.556646,3.582800,5,4
"1362",68.660240,190.145306,66.751448,5.400895,16.346353,4.900135,8,8
"1364",73.118384,328.919586,72.530683,17.961566,2.641768,5.241669,14,11
"1366",63.507230,243.382770,61.943779,0.000000,31.080531,2.593027,4,5
"1367",2.393538,230.910828,0.000000,0.932559,24.933372,57.114620,8,8
"1368",1.243134,236.936121,0.000000,33.079120,0.000000,62.884002,9,9
"1369",91.231694,127.841769,86.873867,0.000000,4.877442,2.202233,6,8
"1370",59.372819,193.112375,58.855068,24.293126,2.429799,11.958918,9,10
"1371",2.038705,178.594806,0.000000,0.000000,65.025801,28.418115,6,10
"1372",73.912551,202.588374,72.243449,2.459468,10.902315,8.125340,6,5
"1373",41.023548,153.250021,39.791298,11.053135,16.630010,20.368036,8,11
"1376",75.148586,231.209796,71.617362,19.247726,3.169875,0.792491,5,4
"1377",58.743993,141.440612,57.555926,9.005925,27.400322,2.838171,3,5
"1378",2.874057,126.380408,0.000000,61.768417,0.000000,17.432484,4,5
"1380",94.691770,245.420408,93.704247,0.000000,3.769172,0.450617,5,5
"1382",81.492337,221.648980,80.448665,8.681180,7.989884,0.071936,4,6
"1383",43.849179,216.560839,42.678497,7.710473,46.147493,0.501204,7,11
"1384",79.151718,175.438367,77.191846,0.259174,4.928294,9.976262,5,5
"1385",64.655167,164.529402,62.806453,24.562821,3.740273,5.034372,7,6
"1386",70.076376,196.675918,68.413967,0.000000,5.864044,23.414793,7,7
"1390",73.341214,228.370975,72.209680,10.377722,12.195309,2.951936,7,6
"1391",0.046930,295.706122,0.000000,69.165996,0.000000,26.754925,6,13
"1392",24.191452,224.689632,22.107191,42.361709,3.030303,29.875221,7,8
"1394",48.630832,141.852177,46.708284,23.005512,8.005624,14.971064,5,11
"1396",1.086242,244.492744,0.000000,0.000000,57.456843,37.772231,5,6
"1397",72.422646,236.173061,69.903624,1.122419,17.374729,7.574959,12,14
"1398",33.586592,135.027152,29.164012,47.818474,1.447164,13.606672,9,7
"1399",57.664764,104.873310,53.640126,13.863182,18.639711,4.366955,2,8
"1400",64.906238,190.275918,62.863328,2.702301,20.281569,4.679914,14,12
"1401",44.992078,306.580839,44.528860,1.386611,16.856395,25.517895,4,8
"1402",64.065566,235.468865,62.961501,7.422427,12.399992,4.329424,8,13
"1403",77.840868,137.247347,74.985901,0.000000,18.995687,1.679450,5,8
"1404",25.217691,32.312557,13.050640,4.187399,34.596114,16.875842,2,5
"1406",82.289742,179.598050,79.918321,13.069041,2.176000,1.164043,7,6
"1407",22.897586,152.476735,19.370280,61.605546,0.812443,13.514796,11,9
"1408",38.289718,205.056729,35.206848,37.782602,5.485550,17.070069,9,8
"1411",87.168639,231.314286,87.140847,1.590510,2.070791,3.334477,8,7
"1414",22.277289,111.359206,19.940333,64.061244,4.510979,7.507444,11,14
"1415",93.964012,250.253061,92.521192,3.762686,1.071274,0.525769,11,9
"1416",71.319146,542.655604,71.309631,5.983402,11.870627,7.029936,18,18
"1417",56.051530,197.667392,54.500951,30.081995,8.304763,4.962865,17,9
"1420",58.553593,109.626825,57.775195,17.189564,2.064660,21.746691,7,7
"1423",45.082517,234.128247,44.657299,13.915181,22.392380,17.709099,10,9
"1425",59.910881,174.328228,58.950200,13.356769,14.149918,10.735570,22,14
"1426",37.152240,173.526183,34.900847,49.035153,0.797547,11.115401,15,11
"1428",65.229068,374.413405,64.771209,13.414778,8.313634,11.224784,18,14
"1429",72.089423,171.143810,69.274105,7.383932,8.393060,10.562864,6,6
"1431",61.359262,155.689705,60.818329,30.619735,5.081824,1.317889,14,8
"1433",48.626320,167.118639,46.811066,15.122314,1.700168,34.420796,2,8
"1434",3.613642,224.714065,1.331316,81.043057,0.000000,13.086071,3,11
"1435",34.150955,168.596039,31.214217,25.429942,10.609981,23.348135,24,15
"1437",76.758184,228.780408,74.984568,13.145793,5.463755,4.056291,1,7
"1438",55.887644,139.251974,53.919907,26.340633,3.166100,13.637616,7,7
"1439",18.674204,170.762449,16.537648,74.428432,0.327229,5.644785,4,7
"1440",59.976860,224.072528,58.552758,19.823609,8.279528,5.582517,9,10
"1441",83.327559,153.208163,79.405990,1.691950,13.322899,-0.000000,5,4
"1443",77.635875,232.831128,76.225152,3.212495,10.070738,7.498905,5,6
"1445",84.860482,248.568730,83.766970,0.000000,13.270103,0.901159,3,4
"1447",1.795534,184.502857,0.000000,0.000000,89.963376,4.371912,4,10
"1448",64.422130,103.593511,59.606879,0.000000,16.172956,13.857376,7,10
"1449",42.822699,210.834286,40.223221,30.458527,6.205269,19.757152,8,8
"1450",5.982641,209.407643,4.315764,59.744118,1.234256,29.874988,12,20
"1452",14.382248,251.324405,11.620511,45.780134,2.860267,11.507799,7,5
"1453",34.518796,198.594840,31.081118,40.684889,7.342443,11.376222,9,6
"1455",70.743143,208.959654,67.855655,11.077223,4.802825,10.014728,20,14
"1456",42.234798,143.203265,40.039094,48.233815,3.698309,4.088281,5,4
"1457",25.714311,236.109997,23.752842,58.638137,1.805975,11.462877,9,10
"1459",2.708471,201.812344,1.756497,80.044558,0.154458,16.220405,6,7
"1460",72.453106,158.380408,70.735865,9.139409,14.157953,3.247291,3,3
"1461",64.465569,103.593511,59.650318,0.000000,16.110211,13.876682,7,10
"1462",87.269967,211.173878,86.054947,4.279512,6.911292,0.661719,4,6
"1464",2.414018,143.301328,0.000000,78.059726,0.000000,18.725831,3,3
"1465",42.674926,210.799443,40.351582,21.410541,6.595547,27.305611,22,14
"1466",79.087533,215.693061,77.069359,0.316637,14.864475,5.159215,6,7
"1467",66.584536,382.085272,65.958362,10.039796,18.857095,3.206398,10,7
"1468",1.172384,240.640000,0.000000,46.190983,0.000000,52.096916,9,11
"1469",77.622598,228.593308,76.458776,12.675138,5.869709,2.400880,10,9
"1470",2.426239,167.631587,0.000000,0.000000,65.080359,31.062009,5,7
"1471",79.066226,213.660215,77.269197,9.875870,7.384973,1.768322,11,10
"1472",56.241418,130.533878,52.619245,20.889947,10.400772,11.073041,3,6
"1473",43.270331,190.077581,42.142298,6.250944,10.680375,24.523313,12,14
"1475",28.678453,162.582985,27.178407,47.091715,0.446650,22.295429,7,10
"1476",49.831387,238.665214,48.656961,26.261939,3.957438,16.327568,8,13
"1477",85.662895,263.888980,83.496619,2.395363,2.433849,7.945022,7,9
"1478",87.998907,170.463460,87.849069,5.761389,2.789211,2.397129,12,10
"1480",85.815312,170.277710,83.081350,6.167677,4.981222,2.105890,7,9
"1482",76.704300,254.224315,75.640714,8.985693,7.282622,6.446476,5,8
