MirexSevenths
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",0.129369,172.863864,0.000000,0.000000,92.562201,2.838971,4,2
"1302",0.138918,152.328747,0.000000,0.000000,0.000000,97.077526,6,2
"1305",0.071993,280.118277,0.000000,0.919930,4.221087,94.691925,3,2
"1306",5.286376,144.247435,5.153866,0.000000,90.875113,2.804154,9,2
"1309",0.094870,211.202647,0.000000,19.454312,0.000000,76.559517,3,2
"1310",0.187398,113.025541,0.000000,2.819251,51.256845,41.541019,10,2
"1311",0.056619,323.683265,0.000000,0.000000,0.000000,99.329094,3,2
"1312",7.096000,147.644082,6.962516,1.769278,64.388296,10.169826,7,2
"1313",0.128340,167.444898,0.000000,8.853446,57.710728,14.600152,4,2
"1318",4.822126,189.092744,4.702930,0.000000,63.279229,22.366402,7,2
"1319",0.332125,64.550385,0.000000,0.000000,0.000000,98.398270,3,2
"1321",0.161994,136.437412,0.000000,20.052957,7.307322,68.304699,10,2
"1322",0.122990,190.856372,0.000000,0.000000,0.000000,98.441207,2,2
"1324",21.879463,237.533605,21.784484,0.000000,66.962507,9.280491,5,2
"1327",0.118042,171.937959,0.000000,5.921604,0.000000,88.202951,5,2
"1329",5.235120,216.737959,5.147937,0.000000,63.748533,26.404966,7,2
"1330",0.122973,198.542154,0.000000,14.684699,77.060028,3.994933,4,2
"1331",0.149367,128.040249,0.000000,1.867326,0.000000,96.000868,4,2
"1332",0.928284,253.866667,0.847212,0.000000,98.388170,0.000000,6,2
"1333",0.130974,142.106122,0.000000,0.000000,65.924216,31.706503,7,2
"1334",5.400390,160.792092,5.262920,2.025925,79.483547,9.380431,9,2
"1335",0.140033,159.743979,0.000000,9.862334,44.176490,41.008640,10,2
"1336",0.111111,180.680405,0.000000,0.000000,76.841616,19.246024,4,2
"1337",1.548208,163.023596,1.436142,0.000000,12.327601,79.799011,12,2
"1339",4.828894,243.304626,4.750134,8.436684,55.333670,30.189507,13,2
"1340",6.569323,215.652019,6.475127,0.000000,65.081135,26.217772,6,2
"1342",7.652826,188.081633,7.554128,0.000000,82.192755,4.916101,5,2
"1344",0.149749,156.792477,0.000000,7.597395,0.000000,89.424073,9,2
"1345",9.733304,102.862939,9.535874,7.443600,69.363532,7.853719,7,2
"1346",4.425218,210.827269,4.330334,4.460691,17.950926,70.020954,15,2
"1347",0.207594,120.125068,0.000000,2.318352,50.189137,44.253407,18,2
"1350",0.093306,239.194764,0.000000,0.000000,90.311891,3.827789,4,2
"1353",14.207022,120.945113,14.039329,0.000000,70.099350,13.107602,10,2
"1354",1.516266,193.558651,1.388357,11.182400,15.576059,70.916708,7,2
"1355",0.183319,112.550771,0.000000,0.000000,82.652203,16.545781,4,2
"1357",24.261265,128.866105,24.094536,0.000000,66.620522,0.000000,4,2
"1358",0.155147,150.573304,0.000000,4.077460,14.917000,48.239905,5,2
"1359",0.132128,160.357891,0.000000,0.771213,3.286711,92.448205,8,2
"1360",0.104759,205.056729,0.000000,15.284327,54.073564,27.491297,9,2
"1361",0.106059,166.983785,0.000000,0.000000,51.115453,41.509244,5,2
"1362",4.504714,190.145306,4.396214,6.444228,77.095272,7.159622,8,2
"1364",13.538320,328.919586,13.480003,6.124887,59.127603,20.679807,14,2
"1366",0.084598,243.382770,0.000000,0.000000,92.027330,4.686933,4,2
"1367",3.984188,230.910828,3.893703,16.093078,5.324600,57.669170,8,2
"1368",0.078651,236.936121,0.000000,6.616761,0.000000,89.447198,9,2
"1369",0.138420,127.841769,0.000000,0.000000,75.350517,20.133697,6,2
"1370",0.102288,193.112375,0.000000,7.124750,51.994516,40.362983,9,2
"1371",2.941982,178.594806,2.836144,6.788127,67.082181,16.737465,6,2
"1372",7.275431,202.588374,7.176517,7.274796,72.948741,7.400658,6,2
"1373",0.138336,153.250021,0.000000,14.178226,61.368753,14.071404,8,2
"1376",26.007699,231.209796,25.913501,0.895645,48.873849,19.144572,5,2
"1377",0.153147,141.440612,0.000000,8.827577,87.353970,2.630386,3,2
"1378",0.160949,126.380408,0.000000,0.000000,0.000000,81.161777,4,2
"1380",0.088586,245.420408,0.000000,0.000000,96.919097,1.684111,5,2
"1382",20.711398,221.648980,20.610346,0.000000,68.445821,8.729089,4,2
"1383",0.087085,216.560839,0.000000,0.397820,94.782447,3.216997,7,2
"1384",0.125610,175.438367,0.000000,0.000000,72.729060,19.626515,5,2
"1385",8.794707,164.529402,8.688715,0.000000,59.921161,29.541409,7,2
"1386",0.096056,196.675918,0.000000,8.556411,51.625705,37.552057,7,2
"1390",0.501977,228.370975,0.421880,0.000000,85.619405,12.186781,7,2
"1391",0.046930,295.706122,0.000000,0.000000,0.000000,96.034886,6,2
"1392",0.333642,224.689632,0.246874,11.989955,24.890621,60.246975,7,2
"1394",0.181299,141.852177,0.000000,0.000000,57.190081,35.500402,5,2
"1396",15.385508,244.492744,15.315592,0.000000,45.787697,34.888505,5,2
"1397",9.651776,236.173061,9.561985,4.267948,65.476848,18.165230,12,2
"1398",4.491998,135.027152,4.335505,5.829038,26.312755,57.779040,9,2
"1399",0.173893,104.873310,0.000000,0.000000,91.022590,0.000000,2,2
"1400",7.640368,190.275918,7.536877,5.375246,55.360040,23.021599,14,2
"1401",0.070728,306.580839,0.000000,0.000000,54.475361,36.027749,4,2
"1402",17.540935,235.468865,17.429783,0.000000,58.187803,11.495759,8,2
"1403",0.148161,137.247347,0.000000,0.644593,94.558219,0.978439,5,2
"1404",0.621291,32.312557,0.000000,0.000000,68.709994,0.000000,2,2
"1406",15.264411,179.598050,15.143381,4.182932,67.010827,10.012172,7,2
"1407",5.863943,152.476735,5.732293,0.000000,14.450430,76.289970,11,2
"1408",0.104759,205.056729,0.000000,15.284327,54.073564,27.491297,9,2
"1411",0.099123,231.314286,0.000000,2.914547,52.925442,38.296635,8,2
"1414",8.188102,111.359206,7.972064,5.425356,17.992349,66.213542,11,2
"1415",11.577740,250.253061,11.508186,0.000000,67.403530,19.645463,11,2
"1416",7.696117,542.655604,7.660250,0.136927,74.041625,14.354794,18,2
"1417",1.719636,197.667392,1.633169,1.789599,54.895753,40.130900,17,2
"1420",0.185769,109.626825,0.000000,9.605531,46.224902,43.391169,7,2
"1423",0.087934,234.128247,0.000000,2.808289,61.120343,35.566809,10,2
"1425",0.121305,174.328228,0.000000,3.037032,73.433973,21.222006,22,2
"1426",0.123995,173.526183,0.000000,0.000000,42.815001,54.933606,15,2
"1428",11.334837,374.413405,11.287487,0.325241,46.744330,39.367346,18,2
"1429",0.109945,171.143810,0.000000,3.527449,56.839154,35.276526,6,2
"1431",2.328846,155.689705,2.164606,6.198795,53.526421,37.195648,14,2
"1433",0.107525,167.118639,0.000000,0.000000,49.092373,49.092373,2,2
"1434",0.091681,224.714065,0.000000,8.654651,1.382046,87.680977,3,2
"1435",0.108677,168.596039,0.000000,6.210633,29.619732,54.771910,24,2
"1437",37.297380,228.780408,37.208470,0.000000,61.017913,0.000000,1,2
"1438",0.133043,139.251974,0.000000,10.870117,30.108689,56.196250,7,2
"1439",0.110357,170.762449,0.000000,0.000000,17.479315,79.654380,4,2
"1440",15.724466,224.072528,15.637878,19.540581,44.749974,12.309979,9,2
"1441",6.687178,153.208163,6.564363,0.000000,86.164527,1.691950,5,2
"1443",23.603980,232.831128,23.508141,1.397724,69.707021,2.537229,5,2
"1445",22.414229,248.568730,22.330658,0.000000,76.187132,-0.000000,3,2
"1447",7.300281,184.502857,7.201173,0.000000,87.608387,0.000000,4,2
"1448",5.188192,103.593511,4.992921,16.244983,59.142583,9.256724,7,2
"1449",0.086934,210.834286,0.000000,0.000000,56.764968,40.376604,8,2
"1450",0.110601,209.407643,0.000000,3.954834,5.550020,85.681961,12,2
"1452",2.416850,251.324405,2.338262,3.622555,7.035284,59.914397,7,2
"1453",1.225017,198.594840,1.109378,0.000000,37.575924,51.807225,9,2
"1455",5.712687,208.959654,5.611861,1.403390,63.760270,22.974909,20,2
