MirexSeventhsBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",75.594023,172.863864,73.814222,17.697904,1.725317,2.163730,7,7
"1302",34.721937,152.328747,32.008462,49.214697,1.114643,14.213091,7,9
"1305",94.975032,280.118277,94.960871,4.039689,0.006723,0.825659,3,5
"1306",61.559543,144.247435,60.682428,9.229059,10.680720,15.532436,10,16
"1309",62.764301,211.202647,59.359429,4.770998,6.905684,18.797309,3,11
"1310",35.882144,113.025541,32.398584,35.052355,0.671828,24.665523,13,17
"1311",33.168445,323.683265,32.830378,58.176283,3.666720,4.655712,3,10
"1312",58.055659,147.644082,46.571324,9.379161,11.453145,15.863838,8,10
"1313",65.577741,167.444898,63.247854,5.291019,4.802101,4.043828,4,5
"1318",48.946232,189.092744,45.243938,13.109130,4.497467,24.891465,9,16
"1319",74.591576,64.550385,73.810190,1.516512,12.725259,10.346310,3,7
"1321",72.425004,136.437412,70.529614,9.974688,4.502509,10.658166,10,14
"1322",11.673398,190.856372,10.248433,49.008339,8.124021,17.515097,2,7
"1324",89.061658,237.533605,87.809790,0.000000,1.954759,8.262934,5,5
"1327",31.676069,171.937959,28.126068,51.377336,5.082952,6.575409,5,10
"1329",49.482292,216.737959,48.941105,31.787564,0.893521,13.679245,9,10
"1330",83.315758,198.542154,79.672781,0.855725,9.333573,5.374259,4,5
"1331",84.256392,128.040249,82.124587,1.585439,8.089233,0.000000,4,5
"1332",78.778453,253.866667,78.105300,9.543786,8.844119,1.454925,9,8
"1333",84.837128,142.106122,82.894128,9.668519,3.284178,1.783894,7,8
"1334",56.041854,160.792092,53.049457,36.531344,3.643965,2.577523,9,15
"1335",60.646415,159.743979,57.450868,16.509619,6.576446,14.510531,11,13
"1336",79.441825,180.680405,77.898904,2.353959,2.830574,13.004204,6,6
"1337",67.075605,163.023596,63.241018,3.771419,6.852381,18.094848,12,19
"1339",67.121782,243.304626,66.055371,21.965484,4.314264,6.374876,14,23
"1340",57.486524,215.652019,56.287771,18.711415,12.466256,10.308593,6,13
"1342",66.590400,188.081633,61.599250,15.276538,6.808946,8.213921,5,14
"1344",79.991427,156.792477,77.947454,9.300187,1.088376,8.685452,9,14
"1345",75.830274,102.862939,72.477189,19.613313,1.157181,0.949043,7,8
"1346",51.697836,210.827269,51.674575,37.258209,1.298250,6.531870,16,26
"1347",59.928097,120.125068,58.657445,19.919421,2.514386,15.669644,20,17
"1350",80.900857,239.194764,78.890285,1.675557,9.891472,3.682365,4,4
"1353",2.200020,120.945113,0.000000,0.000000,86.902728,10.343554,10,14
"1354",83.281678,193.558651,82.689827,3.825351,3.974079,8.574267,8,12
"1355",60.898678,112.550771,60.872622,6.089444,1.667721,0.631474,4,6
"1357",84.536748,128.866105,80.794214,4.543493,4.898219,0.479131,4,6
"1358",24.630394,150.573304,19.571307,30.375042,7.079479,9.209705,11,6
"1359",66.731149,160.357891,63.382078,25.443879,0.992434,5.650447,10,12
"1360",45.284214,205.056729,42.938123,28.537044,1.924002,23.450019,9,17
"1361",79.519850,166.983785,76.447635,8.654606,1.251761,6.270696,6,8
"1362",69.619599,190.145306,66.214148,6.961651,16.510126,5.409411,10,7
"1364",69.541867,328.919586,69.533410,21.479158,1.228258,7.171474,18,21
"1366",61.082791,243.382770,59.040782,2.700408,15.316772,19.656301,6,5
"1367",5.525483,230.910828,0.000000,0.000000,19.570156,63.410395,8,17
"1368",36.932630,236.936121,36.158433,17.626983,3.245476,39.033067,11,26
"1369",51.289390,127.841769,48.635360,43.340913,0.660317,2.847624,7,11
"1370",75.125492,193.112375,74.607741,15.310138,0.994143,8.419181,9,17
"1371",3.744766,178.594806,0.000000,0.000000,68.090167,24.528937,8,7
"1372",70.206063,202.588374,69.293183,5.973969,10.729870,8.803691,6,8
"1373",51.984159,153.250021,41.674092,10.511734,5.449516,28.936673,11,10
"1376",80.582984,231.209796,79.454227,11.584718,1.928501,1.860121,5,8
"1377",90.874553,141.440612,89.686487,0.000000,2.278592,5.764985,3,5
"1378",70.940202,126.380408,62.552503,12.077356,1.798691,4.733227,4,8
"1380",84.827880,245.420408,83.912957,10.985744,1.874860,1.829648,6,7
"1382",77.878152,221.648980,75.990491,12.049598,8.839059,0.906108,4,7
"1383",34.017786,216.560839,33.087520,13.996889,0.858990,50.453864,8,12
"1384",73.060825,175.438367,71.445804,7.839404,3.686878,9.383490,5,6
"1385",80.615387,164.529402,79.119496,13.902972,2.172016,2.711733,8,7
"1386",77.382377,196.675918,76.446361,5.294822,1.042984,14.950006,9,9
"1390",60.798715,228.370975,60.148055,26.590954,2.950801,8.538254,10,10
"1391",59.935858,295.706122,56.135083,29.063799,2.734169,8.125624,7,20
"1392",36.909139,224.689632,35.973128,39.004851,4.029960,18.366485,7,18
"1394",75.927354,141.852177,71.477526,16.443473,0.856342,3.913142,6,7
"1396",3.371445,244.492744,0.000000,0.000000,41.129134,54.862660,6,7
"1397",37.391914,236.173061,35.660954,33.300258,4.309540,22.784924,18,27
"1398",56.469257,135.027152,52.229881,32.098199,1.210100,8.718158,9,10
"1399",48.597978,104.873310,43.645939,23.257126,14.967826,9.151698,2,11
"1400",63.824809,190.275918,61.165030,6.223177,2.165820,21.739735,14,22
"1401",29.930615,306.580839,25.456008,26.962771,8.534668,28.490056,4,17
"1402",66.941491,235.468865,54.891795,15.886387,5.813702,5.965231,10,9
"1403",3.858504,137.247347,0.833056,0.000000,84.949137,3.641186,5,6
"1404",44.337314,32.312557,24.517397,13.791433,4.446547,19.703177,2,9
"1406",75.713625,179.598050,73.857244,19.642211,1.424752,1.414335,8,11
"1407",40.965668,152.476735,38.649423,46.785774,2.604557,8.432940,11,12
"1408",45.284214,205.056729,42.938123,28.537044,1.924002,23.450019,9,17
"1411",88.298892,231.314286,86.286787,1.592671,0.594415,5.662752,9,7
"1414",19.953470,111.359206,18.861887,68.854408,1.356912,8.530104,11,15
"1415",96.985634,250.253061,96.187218,0.045102,1.095907,1.228953,11,11
"1416",77.260359,542.655604,75.537787,6.224489,8.020682,2.849321,26,21
"1417",52.630827,197.667392,51.590232,33.976705,2.808733,10.073750,19,19
"1420",59.511719,109.626825,58.994772,20.641369,2.645829,16.939631,8,9
"1423",37.902953,234.128247,37.885494,35.086583,4.982015,21.541349,12,20
