MirexSeventhsBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",70.958762,172.863864,68.502218,16.866162,6.856358,3.176434,7,8
"1302",2.922474,152.328747,0.000000,70.333941,0.000000,25.971425,7,11
"1305",1.588373,280.118277,1.421315,34.896035,0.704907,62.234941,3,26
"1306",48.770282,144.247435,47.629866,18.919640,16.542180,15.452220,10,26
"1309",1.645849,211.202647,0.000000,32.827482,0.000000,62.652978,3,17
"1310",20.741756,113.025541,17.632673,32.662557,6.756701,38.565184,13,25
"1311",11.601120,323.683265,10.944892,58.295926,3.450937,26.381858,3,22
"1312",41.174745,147.644082,38.417239,15.741764,17.682129,11.448784,8,15
"1313",46.499227,167.444898,44.372077,20.047071,7.007122,9.168484,4,19
"1318",34.656565,189.092744,34.337354,21.749525,8.492688,25.768995,9,25
"1319",1.601730,64.550385,0.000000,31.982485,0.000000,66.415785,3,15
"1321",4.276720,136.437412,1.924907,56.466526,0.029108,37.244436,10,14
"1322",28.304022,190.856372,26.763169,19.009549,24.319587,28.002948,2,26
"1324",69.178240,237.533605,67.381783,11.194070,5.225023,13.264505,5,20
"1327",1.077011,171.937959,0.000000,22.159076,0.000000,71.366265,5,20
"1329",40.036992,216.737959,36.947968,40.830382,5.908845,11.614240,9,17
"1330",31.619175,198.542154,29.079153,28.734182,17.026266,18.856326,4,24
"1331",2.995432,128.040249,1.128212,59.156787,0.000000,36.996232,4,28
"1332",69.550942,253.866667,68.868579,11.181458,10.721246,7.916591,9,10
"1333",56.631034,142.106122,54.982880,24.265021,6.552350,11.830467,7,16
"1334",67.149946,160.792092,64.496558,17.384216,9.089961,5.182088,9,16
"1335",30.031836,159.743979,25.440135,26.821972,3.250320,37.356162,11,13
"1336",58.038045,180.680405,56.427922,8.577564,9.787419,21.294736,6,15
"1337",11.769411,163.023596,9.297070,39.117148,2.418490,41.468113,12,17
"1339",60.039431,243.304626,58.749426,19.770388,6.400265,12.133951,14,25
"1340",36.408933,215.652019,35.518766,24.531193,17.173969,20.550106,6,23
"1342",31.015073,188.081633,28.343872,40.545001,10.962566,14.165714,5,25
"1344",6.233384,156.792477,3.254852,55.567572,0.605802,37.000883,9,30
"1345",62.835338,102.862939,58.713767,14.332529,3.691790,17.458639,7,17
"1346",30.742637,210.827269,29.779466,46.398940,2.450554,17.947403,16,20
"1347",44.328383,120.125068,41.222999,22.978469,4.803820,27.499721,20,16
"1350",62.101860,239.194764,60.760427,8.932876,13.668053,10.778323,4,12
"1353",2.429636,120.945113,0.000000,0.342745,59.135034,37.669698,10,20
"1354",5.305181,193.558651,4.391878,55.857930,2.546316,35.042681,8,19
"1355",39.376315,112.550771,38.574298,10.337827,17.245055,25.810305,4,24
"1357",53.847430,128.866105,49.444116,20.806659,14.105583,6.357374,4,13
"1358",7.017693,150.573304,4.159759,33.589064,0.136274,28.502319,11,22
"1359",6.650494,160.357891,3.264748,64.429140,0.000000,27.806063,10,10
"1360",38.028479,205.056729,34.889488,36.277109,3.181560,21.190428,9,18
"1361",28.086502,166.983785,24.967522,50.306651,5.681438,11.669087,6,13
"1362",57.143121,190.145306,55.112212,12.635051,15.243034,10.784921,10,15
"1364",54.630431,328.919586,54.134494,20.282053,3.966744,20.649881,18,33
"1366",46.798789,243.382770,45.165210,12.016558,16.640529,21.692150,6,12
"1367",22.720112,230.910828,20.678928,35.322968,2.540335,24.438319,8,23
"1368",1.292754,236.936121,0.000000,27.184683,0.000000,68.759219,11,27
"1369",59.759038,127.841769,55.243251,24.618593,4.025738,10.797965,7,20
"1370",29.362359,193.112375,28.936322,51.423184,4.112641,13.629139,9,30
"1371",1.883320,178.594806,0.000000,0.830488,28.375141,64.238287,8,13
"1372",48.328876,202.588374,46.387572,16.735121,17.740075,12.770284,6,9
"1373",29.700344,153.250021,28.481965,14.559944,7.800920,37.262875,11,18
"1376",57.508276,231.209796,53.377865,29.174435,3.812942,8.128518,5,18
"1377",52.100249,141.440612,50.922956,19.817860,15.451250,11.294822,3,11
"1378",2.773400,126.380408,0.000000,45.022979,0.000000,34.487119,4,9
"1380",88.329275,245.420408,87.156924,4.756218,3.135900,3.253748,6,10
"1382",37.820937,221.648980,36.759801,33.174027,14.559074,13.292354,4,11
"1383",33.993209,216.560839,32.790141,13.320524,11.772188,39.372994,8,17
"1384",62.576155,175.438367,60.988567,10.332264,7.744448,13.290296,5,9
"1385",57.093713,164.529402,55.396042,27.762993,3.583301,10.131774,8,16
"1386",70.914885,196.675918,69.502041,3.278530,2.252265,22.701337,9,20
"1390",46.626186,228.370975,45.598817,33.450088,2.711850,16.459645,10,13
"1391",0.064345,295.706122,0.000000,57.248006,0.000000,38.760803,7,26
"1392",11.519261,224.689632,10.234285,55.709630,4.036428,27.394083,7,16
"1394",35.683635,141.852177,33.803275,32.199100,7.589430,19.098678,6,13
"1396",49.578131,244.492744,48.493383,38.271024,5.200255,3.877527,6,10
"1397",50.725192,236.173061,48.216817,16.282478,9.414826,22.313144,18,27
"1398",17.461177,135.027152,12.636578,50.517852,1.748591,27.251234,9,7
"1399",40.180039,104.873310,37.276855,26.672232,16.953948,10.119555,2,9
"1400",51.322578,190.275918,49.330972,10.077142,9.873779,21.885316,14,22
"1401",21.829680,306.580839,21.381618,12.211372,27.815292,27.574389,4,18
"1402",51.720076,235.468865,50.384639,11.440061,7.575228,17.713416,10,17
"1403",3.144526,137.247347,0.833056,0.000000,65.810480,29.537715,5,11
"1404",28.673190,32.312557,20.650804,0.000000,11.228145,36.831045,2,9
"1406",53.167306,179.598050,51.494343,30.180443,4.085049,10.589476,8,17
"1407",14.809183,152.476735,11.297046,67.163292,0.045982,17.842903,11,17
"1408",38.023449,205.056729,34.884458,36.277109,3.186590,21.190428,9,18
"1411",48.977065,231.314286,48.772572,26.936950,9.398655,9.028448,9,15
"1414",18.590847,111.359206,16.238772,58.039783,7.165315,14.676657,11,24
"1415",68.714482,250.253061,67.281892,23.594907,2.866757,4.026731,11,19
"1416",47.937206,542.655604,47.907902,20.912357,9.858835,17.514503,26,39
"1417",32.276407,197.667392,30.725828,38.347855,7.307801,21.520019,19,29
"1420",22.880749,109.626825,22.404990,36.977603,10.758044,28.537340,8,12
"1423",38.525058,234.128247,38.020499,21.541249,8.876290,30.430769,12,27
"1425",40.112636,174.328228,39.032591,26.567827,5.417385,26.481640,29,33
"1426",33.557769,173.526183,31.306376,47.092122,0.202766,16.609968,19,16
"1428",49.140514,374.413405,48.715505,24.021758,3.262975,21.724165,26,26
"1429",60.412740,171.143810,58.098685,17.733906,6.600930,13.209608,7,14
"1431",53.704450,155.689705,52.814990,27.507746,4.407801,14.023504,14,14
"1433",7.591830,167.118639,5.776576,37.488658,0.874518,53.832921,2,22
"1434",3.021439,224.714065,0.818169,83.769376,0.140034,11.662385,3,21
"1435",26.199876,168.596039,23.933230,24.574348,7.951452,34.143245,28,31
"1437",62.316808,228.780408,60.558069,31.915116,2.049277,3.438701,1,12
"1438",1.934942,139.251974,0.000000,0.184264,50.549568,46.441223,8,16
"1439",18.544067,170.762449,16.246722,65.583823,1.209973,13.826134,4,13
"1440",45.982947,224.072528,44.566642,23.227694,11.948634,12.495442,9,18
"1441",52.998922,153.208163,49.908842,20.088430,14.488358,9.935210,5,19
"1443",53.262218,232.831128,52.072124,16.210458,13.615379,15.252155,6,12
"1445",63.298882,248.568730,62.242594,18.812395,8.163112,8.702482,4,12
"1447",74.291931,184.502857,72.604730,7.325911,7.309594,7.464327,4,14
"1448",32.900624,103.593511,28.746324,9.000950,20.108060,31.781878,9,15
"1449",20.659007,210.834286,17.800580,24.044163,5.891011,48.200940,8,17
"1450",4.277597,209.407643,3.253988,44.068926,2.600368,45.263532,14,34
"1452",10.176310,251.324405,7.257513,48.434254,0.701485,15.994084,7,13
"1453",20.024242,198.594840,19.109072,37.749540,6.318412,27.082153,12,8
"1455",58.974898,208.959654,55.861793,12.760556,7.830934,17.297149,21,17
"1456",23.474246,143.203265,21.312578,52.301704,12.069512,10.479669,5,13
"1457",15.300908,236.109997,13.697749,36.263921,2.050207,43.562029,9,25
"1459",2.290266,201.812344,1.345824,72.427629,0.249217,24.912217,6,14
"1460",44.405161,158.380408,42.911943,31.357215,7.601468,15.295949,3,19
"1461",32.900624,103.593511,28.746324,9.000950,20.108060,31.781878,9,15
"1462",41.481535,211.173878,40.269543,37.410716,12.423124,7.904259,4,22
"1464",2.084269,143.301328,0.000000,62.737624,0.000000,34.308111,3,19
"1465",37.540972,210.799443,35.644490,26.314000,1.745084,31.994770,25,30
"1466",50.083064,215.693061,48.605929,13.261157,8.317759,27.224844,6,19
"1467",55.495601,382.085272,54.729974,12.803240,19.524325,11.004112,11,20
"1468",0.624381,240.640000,0.000000,29.728899,0.000000,69.075395,10,20
"1469",49.981255,228.593308,48.991529,27.576813,2.557514,18.736773,13,23
"1470",2.405461,167.631587,0.000000,0.000000,15.101022,81.132298,5,21
"1471",46.406938,213.660215,44.550797,21.954600,16.097719,14.038374,13,21
"1472",41.204513,130.533878,37.873409,22.725667,8.602814,25.817182,3,15
"1473",13.482048,190.077581,12.315828,16.734796,11.253880,43.292426,14,28
"1475",1.443393,162.582985,0.000000,0.033432,27.692070,69.709072,7,11
"1476",30.396732,238.665214,29.246856,42.098543,5.297906,18.781317,8,19
"1477",54.967330,263.888980,52.800253,29.398888,1.766710,12.386292,7,18
"1478",51.845969,170.463460,51.699124,30.927753,4.788056,11.668400,14,20
"1480",65.123375,170.277710,62.733484,15.530993,8.953937,9.148488,7,18
"1482",29.587985,254.224315,28.633240,48.799468,5.138970,15.957243,5,19
"1483",61.760673,166.512486,59.492888,12.508632,8.176127,16.552573,14,16
"1484",3.864869,174.106122,0.598727,51.275240,0.000000,40.418175,9,34
"1488",23.606159,155.324082,20.798926,18.034761,12.012751,45.703472,8,29
"1489",44.425305,192.976395,42.377388,17.011644,6.732251,30.370064,10,30
"1490",48.509800,105.038367,46.669559,32.071134,6.048999,11.991098,5,10
"1491",60.837915,159.570723,58.330576,7.690099,1.949428,20.300993,18,20
"1493",41.859701,180.049365,40.080652,13.251258,15.522656,27.141487,10,23
"1494",25.287726,213.211429,24.126839,45.361636,13.808633,15.480425,6,19
"1496",25.929250,179.661378,21.990925,53.840821,2.563543,17.314918,4,21
"1497",39.139670,215.745306,36.950676,11.939380,8.325767,38.578128,10,18
"1498",23.112325,177.114964,21.832451,31.003818,6.452960,37.676920,26,29
"1499",11.523440,377.919507,11.369239,37.039635,18.882122,25.525630,5,22
"1500",6.840223,218.047449,5.527718,60.592396,6.048045,25.093832,5,20
"1501",58.592349,114.113605,55.228169,0.312833,19.614411,5.774129,2,7
"1502",49.410167,206.414853,47.908700,24.366893,15.652533,7.926488,6,11
"1503",53.603947,235.493878,51.477599,10.676858,13.083842,20.469394,4,19
"1504",59.567366,145.162449,56.326290,31.465684,6.276329,2.658584,8,19
"1505",44.593071,151.999184,43.064368,30.454804,3.161835,20.510502,16,17
"1506",43.367936,118.965670,42.102521,26.982078,15.825529,12.348398,17,17
