MirexSeventhsBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",89.515751,172.863864,87.640499,3.825731,1.497129,2.437813,7,6
"1302",5.129099,152.328747,4.064449,78.375447,0.101768,14.392196,7,12
"1305",14.772004,280.118277,14.716075,44.705658,0.230693,40.180517,3,14
"1306",73.649852,144.247435,72.840726,4.429035,18.657247,2.906125,10,15
"1309",1.476481,211.202647,0.000000,49.466399,0.000000,46.547430,3,12
"1310",52.084884,113.025541,48.780492,10.909836,2.845245,33.081542,13,15
"1311",21.498165,323.683265,21.055367,68.929138,2.931045,6.413544,3,9
"1312",40.284859,147.644082,40.275321,12.406666,14.627217,15.980711,8,9
"1313",69.224406,167.444898,67.732590,0.746514,7.608280,3.884354,4,9
"1318",46.265749,189.092744,45.999854,19.778233,16.230016,8.027583,9,14
"1319",3.982958,64.550385,2.434729,65.905512,0.107617,29.950412,3,10
"1321",18.487520,136.437412,16.998910,62.379308,0.927607,15.359152,10,18
"1322",52.978142,190.856372,51.465625,0.000000,11.218273,35.757309,2,9
"1324",90.366734,237.533605,89.098027,0.000000,1.596227,7.333229,5,5
"1327",15.761357,171.937959,15.176096,18.551259,3.971941,55.354134,5,12
"1329",63.725561,216.737959,63.380463,16.748335,7.562025,7.610612,9,9
"1330",81.126472,198.542154,78.956014,0.835578,9.226837,6.100266,4,7
"1331",59.698609,128.040249,59.690604,29.808864,2.578877,5.789848,4,12
"1332",86.249403,253.866667,85.637658,5.186595,7.132888,1.188508,9,5
"1333",83.089029,142.106122,83.089029,9.955628,2.792454,1.793608,7,8
"1334",72.104928,160.792092,69.644337,20.003670,3.693440,2.592221,9,10
"1335",41.418118,159.743979,38.197531,33.516198,4.630679,18.703056,11,8
"1336",70.090574,180.680405,68.436960,7.047263,5.312007,15.291410,6,12
"1337",26.418163,163.023596,25.023682,43.545326,2.299861,22.662381,12,20
"1339",75.003111,243.304626,74.540881,9.993349,3.486284,10.689481,14,20
"1340",55.492505,215.652019,54.194054,20.226335,17.625504,5.728141,6,10
"1342",61.869131,188.081633,59.496952,8.585678,13.836845,12.743509,5,8
"1344",21.908214,156.792477,20.039632,64.721896,2.048746,10.211196,9,16
"1345",83.890579,102.862939,81.485358,5.009574,1.597506,6.104288,7,13
"1346",48.110912,210.827269,48.028105,39.492874,1.525456,7.703444,16,19
"1347",47.207118,120.125068,45.527292,29.275114,2.747375,19.137458,20,15
"1350",71.221824,239.194764,69.478816,9.394631,10.742969,4.523263,4,5
"1353",2.166947,120.945113,0.000000,0.000000,83.375960,13.870322,10,12
"1354",11.016644,193.558651,10.311133,68.173088,2.067900,18.511403,8,8
"1355",93.480705,112.550771,92.678688,1.939616,4.500292,0.060711,4,6
"1357",84.085957,128.866105,84.060460,0.000000,5.009480,1.645118,4,5
"1358",9.029921,150.573304,6.624708,43.232150,0.447688,16.929820,11,4
"1359",15.636758,160.357891,12.578675,71.187224,0.526275,12.213955,10,10
"1360",34.219285,205.056729,31.917084,39.060942,4.708757,21.162405,9,10
"1361",70.479234,166.983785,70.479234,15.803219,1.505828,4.836416,6,8
"1362",67.819997,190.145306,67.685728,7.469487,15.059583,4.880539,10,7
"1364",71.973111,328.919586,71.857333,17.655011,1.639231,8.260725,18,23
"1366",63.506675,243.382770,61.474938,0.172568,16.677587,18.389172,6,5
"1367",27.767651,230.910828,25.763873,39.151993,1.655811,16.408873,8,15
"1368",1.190379,236.936121,0.563901,53.037988,0.283183,42.178887,11,12
"1369",67.732394,127.841769,65.019697,24.160612,1.918776,4.385128,7,11
"1370",72.809806,193.112375,72.322197,18.238238,2.094133,6.706043,9,16
"1371",2.469848,178.594806,0.000000,0.000000,70.381622,23.062294,8,7
"1372",70.650112,202.588374,70.640542,3.326213,12.904688,7.929270,6,8
"1373",38.015346,153.250021,32.029289,17.048954,6.561466,33.902606,11,10
"1376",74.024171,231.209796,72.683485,19.504977,2.103865,0.535240,5,3
"1377",85.513560,141.440612,84.325494,5.847266,3.014328,5.476230,3,4
"1378",4.455127,126.380408,1.685388,70.929563,0.000000,8.546826,4,6
"1380",83.683267,245.420408,82.896695,10.391055,3.249690,2.065769,6,6
"1382",74.111655,221.648980,73.047369,9.064280,11.659978,4.013629,4,10
"1383",38.698178,216.560839,37.642930,12.571179,13.294349,32.790393,8,9
"1384",78.430510,175.438367,76.926639,2.062821,4.047736,9.318379,5,5
"1385",73.578881,164.529402,71.730167,21.043443,2.515954,2.601762,8,7
"1386",75.330908,196.675918,74.433026,3.899295,2.160659,17.241193,9,9
"1390",70.617551,228.370975,70.232213,14.813635,2.057095,11.125124,10,6
"1391",12.894906,295.706122,9.115436,71.991862,0.892056,14.059321,7,16
