MirexSeventhsBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",59.555807,172.863864,59.191451,26.735118,3.669392,5.805211,7,8
"1302",67.834092,152.328747,67.565428,9.743547,2.603018,17.165533,7,12
"1305",48.441839,280.118277,48.378147,1.928441,0.215379,49.310975,3,11
"1306",29.403219,144.247435,29.109443,46.433472,0.378128,22.863799,10,20
"1309",50.781013,211.202647,50.676569,3.158902,23.122975,19.055383,3,14
"1310",15.620537,113.025541,15.402236,27.118492,1.965155,51.131232,13,12
"1311",0.078910,323.683265,0.000000,90.549424,0.552372,8.223711,3,5
"1312",16.245661,147.644082,16.041210,30.649031,2.118343,34.473468,8,7
"1313",61.896690,167.444898,61.841221,4.856189,5.441522,9.025394,4,8
"1318",28.670495,189.092744,28.645935,34.672925,5.146856,21.882845,9,15
"1319",75.531909,64.550385,74.893410,3.791139,6.923603,12.790118,3,7
"1321",49.753617,136.437412,49.464298,26.930372,3.199100,16.071207,10,14
"1322",0.141432,190.856372,0.000000,24.758345,0.000000,73.682861,2,15
"1324",80.407568,237.533605,80.185482,5.573696,0.387569,11.880736,5,8
"1327",13.244415,171.937959,13.099238,16.710400,11.657355,52.630553,5,17
"1329",49.696789,216.737959,49.595012,27.604534,1.961730,16.140159,9,8
"1330",63.578750,198.542154,63.444289,8.040152,2.324960,21.930260,4,10
"1331",73.161605,128.040249,73.152537,9.617616,6.151323,8.946718,4,15
"1332",72.553561,253.866667,72.362627,11.950745,1.875069,13.024074,9,11
"1333",38.806197,142.106122,38.634628,49.611255,2.033033,7.351803,7,11
"1334",46.726606,160.792092,46.408904,39.357211,3.432093,6.954614,9,13
"1335",57.905612,159.743979,57.809313,12.642737,3.695222,20.900191,11,8
"1336",33.424780,180.680405,33.275382,41.690225,0.342890,20.779144,6,8
"1337",52.491173,163.023596,52.343398,11.732604,5.843371,23.643382,12,15
"1339",53.264146,243.304626,53.173482,23.966138,4.000492,17.569883,14,24
"1340",45.361569,215.652019,45.299846,23.913358,5.038280,23.522550,6,15
"1342",56.350997,188.081633,56.276923,8.023254,8.976133,21.386675,5,9
