MirexSeventhsBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",87.550632,172.863864,84.666525,3.438280,2.015750,5.280617,7,7
"1302",29.693543,152.328747,26.846094,53.967626,1.595687,13.590710,7,15
"1305",94.243592,280.118277,94.099856,4.022386,0.000000,1.710700,3,6
"1306",56.771491,144.247435,55.622608,11.721665,7.158673,24.125072,10,18
"1309",60.897744,211.202647,58.737692,3.907222,15.082378,17.109346,3,15
"1310",33.596240,113.025541,29.662851,15.506851,5.067935,41.818785,13,12
"1311",12.497282,323.683265,12.420781,79.384084,0.000000,7.524229,3,9
"1312",60.161491,147.644082,48.704140,8.978831,10.936091,14.670853,8,10
"1313",66.622382,167.444898,64.979435,4.595213,6.302951,3.938308,4,7
"1318",47.464014,189.092744,46.877659,18.878449,2.954371,21.466935,9,17
"1319",58.372212,64.550385,57.155493,10.724997,4.357364,26.160416,3,12
"1321",59.630318,136.437412,57.119221,21.600166,4.243243,12.702348,10,15
"1322",5.555635,190.856372,3.996841,68.154306,0.695745,25.101251,2,7
"1324",80.526668,237.533605,80.385878,6.417928,2.240902,8.982775,5,10
"1327",82.981518,171.937959,80.752589,6.383694,1.990027,2.795318,5,11
"1329",61.381282,216.737959,61.284694,19.142883,2.498731,12.375128,9,6
"1330",76.503061,198.542154,74.340621,6.032709,8.469324,6.620570,4,11
"1331",80.224322,128.040249,79.821121,9.209141,6.876459,0.543480,4,6
"1332",81.817535,253.866667,81.281428,7.962433,7.551651,2.356407,9,7
"1333",81.102840,142.106122,78.800705,10.860682,3.509871,4.418227,7,9
"1334",70.061559,160.792092,66.957880,21.166614,4.875341,2.891526,9,15
"1335",54.403979,159.743979,49.792405,22.111695,7.443328,15.700036,11,12
"1336",70.482626,180.680405,68.040860,12.228641,2.867624,12.950516,6,14
"1337",66.109909,163.023596,60.474740,1.628292,7.720675,21.876671,12,15
"1339",76.262382,243.304626,75.115802,9.393965,4.831638,9.209545,14,18
"1340",50.419771,215.652019,49.303103,20.145103,15.157487,13.168342,6,13
