MirexSeventhsBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"1301",86.851749,172.863864,84.510813,6.476342,3.236350,1.177667,7,6
"1302",12.753149,152.328747,10.039675,67.745315,1.574730,17.141939,7,13
"1305",85.399049,280.118277,85.290017,3.360097,0.369499,10.052492,3,12
"1306",47.840834,144.247435,46.673967,4.788800,6.847053,38.582920,10,14
"1309",31.056416,211.202647,29.358007,5.212791,52.543177,7.852860,3,10
"1310",44.031976,113.025541,40.541364,17.121350,1.161016,36.324515,13,12
"1311",0.854728,323.683265,0.183822,90.167237,0.000000,8.552726,3,5
"1312",43.196027,147.644082,39.382166,11.782545,14.703422,17.372244,8,9
"1313",70.246575,167.444898,67.865984,1.798422,4.799338,6.131010,4,8
"1318",35.840768,189.092744,35.460853,14.102617,12.415424,28.369668,9,14
"1319",68.914745,64.550385,67.313015,7.216198,15.334929,8.534128,3,6
"1321",22.649407,136.437412,20.108285,60.804622,0.248800,14.395538,10,12
"1322",55.097518,190.856372,53.538724,2.931084,7.561008,33.791025,2,6
"1324",87.973368,237.533605,86.228433,0.000000,2.430239,8.609425,5,6
"1327",4.323700,171.937959,3.381737,52.321234,5.872919,31.226462,5,21
"1329",60.909337,216.737959,56.854497,23.902531,8.382629,6.143517,9,9
"1330",51.913475,198.542154,49.408076,16.671543,7.861936,20.665914,4,18
"1331",45.476413,128.040249,43.344607,39.850730,0.707947,12.765537,4,15
"1332",78.530579,253.866667,77.765960,8.705388,8.474818,3.599992,9,9
"1333",83.429689,142.106122,81.060703,12.464719,1.781923,1.486218,7,10
"1334",60.028862,160.792092,57.364501,28.413211,3.974673,6.392737,9,12
"1335",52.362651,159.743979,47.978311,18.946762,8.072253,17.882747,11,11
"1336",77.301427,180.680405,75.014098,8.794051,2.426509,9.852984,6,6
"1337",27.270516,163.023596,24.779717,34.783678,18.965580,13.442535,12,15
"1339",62.811321,243.304626,61.619152,25.428738,4.447687,6.279776,14,20
"1340",51.318951,215.652019,50.553767,13.820850,14.652963,18.746455,6,14
"1342",70.513475,188.081633,67.594927,5.383500,9.422174,12.261117,5,9
"1344",23.551348,156.792477,20.735719,60.624534,0.081560,13.905403,9,19
"1345",79.874022,102.862939,75.757157,7.822477,1.907049,8.566570,7,12
"1346",45.649127,210.827269,44.063923,42.625727,3.441325,6.631930,16,12
"1347",52.743347,120.125068,49.580431,24.972725,3.641011,16.592191,20,16
"1350",76.065096,239.194764,74.098421,0.000000,14.484753,5.556506,4,5
"1353",2.639801,120.945113,0.000000,0.000000,77.446592,19.383711,10,9
"1354",42.463371,193.558651,41.526895,28.076675,6.237454,21.556438,8,11
"1355",33.671380,112.550771,32.869364,32.631288,8.167123,21.109075,4,17
"1357",72.029733,128.866105,67.592680,0.000000,17.833943,5.288435,4,5
"1358",7.771024,150.573304,4.709806,48.808596,0.249143,13.123311,11,5
