Inner
File,DirectionalHammingMeasure,UnderSegmentation,OverSegmentation
"1301",0.917252,0.047624,0.082748
"1302",0.858226,0.133008,0.141774
"1305",0.281719,0.013411,0.718281
"1306",0.820301,0.109181,0.179699
"1309",0.736013,0.238562,0.263987
"1310",0.829997,0.170003,0.091315
"1311",0.466068,0.029744,0.533932
"1312",0.792938,0.138015,0.207062
"1313",0.853343,0.146657,0.120530
"1318",0.743910,0.256090,0.154229
"1319",0.710930,0.289070,0.236709
"1321",0.831649,0.168351,0.093278
"1322",0.447273,0.552727,0.112415
"1324",0.899675,0.100325,0.087217
"1327",0.318591,0.061857,0.681409
"1329",0.807471,0.107871,0.192529
"1330",0.776697,0.124792,0.223303
"1331",0.747490,0.056792,0.252510
"1332",0.675277,0.079593,0.324723
"1333",0.941485,0.047747,0.058515
"1334",0.638863,0.070844,0.361137
"1335",0.763698,0.236302,0.162223
"1336",0.857839,0.112596,0.142161
"1337",0.803283,0.188992,0.196717
"1339",0.902227,0.068162,0.097773
"1340",0.852275,0.147725,0.131211
"1342",0.881552,0.073128,0.118448
"1344",0.778334,0.118368,0.221666
"1345",0.823387,0.134986,0.176613
"1346",0.798832,0.132876,0.201168
"1347",0.870098,0.129902,0.080160
"1350",0.827515,0.172485,0.153140
"1353",0.816696,0.183304,0.082755
"1354",0.884100,0.106211,0.115900
"1355",0.861409,0.128718,0.138591
"1357",0.694043,0.305957,0.056277
"1358",0.620342,0.379658,0.161623
"1359",0.849010,0.113294,0.150990
"1360",0.847052,0.152948,0.141807
"1361",0.806247,0.069195,0.193753
"1362",0.865826,0.134174,0.119205
"1364",0.848626,0.125956,0.151374
"1366",0.376993,0.623007,0.044585
"1367",0.773072,0.090512,0.226928
"1368",0.546978,0.132063,0.453022
"1369",0.858642,0.055594,0.141358
"1370",0.876809,0.109887,0.123191
"1371",0.671429,0.146052,0.328571
"1372",0.746934,0.253066,0.096645
"1373",0.667586,0.332414,0.163280
"1376",0.897957,0.086364,0.102043
"1377",0.729093,0.270907,0.118052
"1378",0.825552,0.128172,0.174448
"1380",0.868377,0.047288,0.131623
"1382",0.812171,0.081743,0.187829
"1383",0.640588,0.359412,0.201179
"1384",0.852371,0.081214,0.147629
"1385",0.919184,0.066078,0.080816
"1386",0.841162,0.125525,0.158838
"1390",0.670938,0.297370,0.329062
"1391",0.578089,0.063229,0.421911
"1392",0.693006,0.055141,0.306994
"1394",0.801333,0.072310,0.198667
"1396",0.846981,0.125517,0.153019
"1397",0.850104,0.132066,0.149896
"1398",0.876495,0.123505,0.117731
"1399",0.600619,0.399381,0.081957
"1400",0.892259,0.079780,0.107741
"1401",0.690400,0.309600,0.111970
"1402",0.678641,0.321359,0.124283
"1403",0.792870,0.123928,0.207130
"1404",0.552884,0.447116,0.109135
"1406",0.898164,0.101836,0.055710
"1407",0.697877,0.302123,0.118668
"1408",0.847274,0.152726,0.141807
"1411",0.920687,0.079313,0.050216
"1414",0.881180,0.115664,0.118820
"1415",0.970783,0.029217,0.020845
"1416",0.849959,0.150041,0.146729
"1417",0.725913,0.274087,0.075421
"1420",0.773046,0.210864,0.226954
"1423",0.782485,0.217515,0.179901
"1425",0.684533,0.315467,0.149662
"1426",0.925045,0.074955,0.055195
"1428",0.844372,0.114543,0.155628
"1429",0.732835,0.267165,0.123526
"1431",0.889555,0.110445,0.084310
"1433",0.722820,0.277180,0.143507
"1434",0.296088,0.042289,0.703912
"1435",0.784083,0.189988,0.215917
"1437",0.159346,0.016442,0.840654
"1438",0.849549,0.148704,0.150451
"1439",0.789104,0.015137,0.210896
"1440",0.780734,0.219266,0.128861
"1441",0.918261,0.066395,0.081739
"1443",0.803216,0.196784,0.104564
"1445",0.859332,0.140668,0.111907
"1447",0.794364,0.047937,0.205636
"1448",0.743219,0.256781,0.189088
"1449",0.838415,0.137395,0.161585
"1450",0.594728,0.095819,0.405272
"1452",0.724247,0.141205,0.275753
"1453",0.785975,0.214025,0.151576
"1455",0.773155,0.226845,0.071071
"1456",0.822596,0.177404,0.144573
"1457",0.723175,0.276825,0.200414
"1459",0.876948,0.098400,0.123052
"1460",0.757726,0.242274,0.033946
"1461",0.743219,0.256781,0.189088
"1462",0.914405,0.054265,0.085595
"1464",0.808011,0.171027,0.191989
"1465",0.881301,0.110990,0.118699
"1466",0.835585,0.164415,0.158232
"1467",0.853752,0.145803,0.146248
"1468",0.708066,0.275972,0.291934
"1469",0.896352,0.103648,0.096528
"1470",0.647572,0.352428,0.143940
"1471",0.879850,0.120150,0.084777
"1472",0.878956,0.072768,0.121044
"1473",0.621834,0.378166,0.097709
"1475",0.722235,0.277765,0.087922
"1476",0.836304,0.112495,0.163696
"1477",0.924043,0.062543,0.075957
"1478",0.899495,0.100505,0.084604
"1480",0.876421,0.073815,0.123579
"1482",0.781109,0.068582,0.218891
"1483",0.909163,0.090837,0.081639
"1484",0.685012,0.058363,0.314988
"1488",0.703332,0.090556,0.296668
"1489",0.876177,0.112223,0.123823
"1490",0.823469,0.148450,0.176531
"1491",0.797278,0.202722,0.088228
"1493",0.708184,0.291816,0.119190
"1494",0.652045,0.052331,0.347955
"1496",0.874470,0.034994,0.125530
"1497",0.825801,0.174199,0.091264
"1498",0.793122,0.206878,0.139311
"1499",0.604471,0.180962,0.395529
"1500",0.747195,0.034915,0.252805
"1501",0.576010,0.331988,0.423990
"1502",0.846166,0.119788,0.153834
"1503",0.875202,0.092774,0.124798
"1504",0.933743,0.035205,0.066257
"1505",0.847953,0.152047,0.099799
"1506",0.571230,0.428770,0.110021
"1507",0.756540,0.243460,0.196390
"1508",0.794699,0.063153,0.205301
"1509",0.872314,0.127686,0.095760
"1510",0.879588,0.106915,0.120412
"1511",0.798580,0.201420,0.094739
"1512",0.814611,0.174887,0.185389
"1514",0.879124,0.120876,0.109846
