Inner
File,DirectionalHammingMeasure,UnderSegmentation,OverSegmentation
"1301",0.790758,0.103961,0.209242
"1302",0.739512,0.260488,0.198700
"1305",0.140453,0.020878,0.859547
"1306",0.769563,0.168294,0.230437
"1309",0.663522,0.336478,0.219422
"1310",0.816351,0.183649,0.180078
"1311",0.091459,0.013881,0.908541
"1312",0.611260,0.388740,0.280240
"1313",0.765056,0.120238,0.234944
"1318",0.780368,0.201850,0.219632
"1319",0.695128,0.218559,0.304872
"1321",0.639685,0.360315,0.120633
"1322",0.619169,0.166378,0.380831
"1324",0.609074,0.104714,0.390926
"1327",0.331757,0.073494,0.668243
"1329",0.643652,0.145677,0.356348
"1330",0.509274,0.127989,0.490726
"1331",0.568252,0.111190,0.431748
"1332",0.761285,0.178012,0.238715
"1333",0.792760,0.207240,0.146800
"1334",0.510205,0.061635,0.489795
"1335",0.627791,0.372209,0.122650
"1336",0.746872,0.253128,0.147232
"1337",0.756898,0.243102,0.233158
"1339",0.845446,0.154554,0.134828
"1340",0.851692,0.143261,0.148308
"1342",0.617447,0.072047,0.382553
"1344",0.586721,0.103951,0.413279
"1345",0.739116,0.187445,0.260884
"1346",0.800665,0.199335,0.167021
"1347",0.739001,0.260999,0.148379
"1350",0.802077,0.197923,0.197921
"1353",0.794133,0.205867,0.182799
"1354",0.781053,0.218947,0.213065
"1355",0.612222,0.085717,0.387778
"1357",0.737241,0.262759,0.215806
"1358",0.678939,0.308523,0.321061
"1359",0.782336,0.217664,0.110007
"1360",0.879292,0.120708,0.119157
"1361",0.766482,0.233518,0.223531
"1362",0.790880,0.197413,0.209120
"1364",0.672230,0.090405,0.327770
"1366",0.548346,0.451654,0.142593
"1367",0.682538,0.095770,0.317462
"1368",0.483395,0.139938,0.516605
"1369",0.618859,0.039425,0.381141
"1370",0.736069,0.127582,0.263931
"1371",0.562801,0.115947,0.437199
"1372",0.599520,0.400480,0.081224
"1373",0.645270,0.354730,0.217653
"1376",0.718132,0.067975,0.281868
"1377",0.560923,0.154489,0.439077
"1378",0.684713,0.257278,0.315287
"1380",0.936323,0.063677,0.053982
"1382",0.699233,0.125516,0.300767
"1383",0.547253,0.452747,0.177186
"1384",0.731234,0.129089,0.268766
"1385",0.778265,0.066855,0.221735
"1386",0.786001,0.152854,0.213999
"1390",0.635969,0.327768,0.364031
"1391",0.530904,0.121033,0.469096
"1392",0.617638,0.126162,0.382362
"1394",0.780113,0.185190,0.219887
"1396",0.835261,0.136223,0.164739
"1397",0.838950,0.161050,0.139834
"1398",0.715991,0.284009,0.118353
"1399",0.660527,0.339473,0.210645
"1400",0.828138,0.142325,0.171862
"1401",0.635273,0.364727,0.158271
"1402",0.649643,0.350357,0.197732
"1403",0.626320,0.185427,0.373680
"1404",0.698824,0.301176,0.103357
"1406",0.756295,0.114920,0.243705
"1407",0.690074,0.309926,0.125936
"1408",0.879243,0.120757,0.119206
"1411",0.696055,0.138081,0.303945
"1414",0.774822,0.172056,0.225178
"1415",0.755387,0.084941,0.244613
"1416",0.699349,0.167534,0.300651
"1417",0.715546,0.284454,0.120713
"1420",0.704496,0.295504,0.264997
"1423",0.781394,0.164037,0.218606
"1425",0.708300,0.291700,0.236062
"1426",0.831472,0.168528,0.084206
"1428",0.824885,0.175115,0.099118
"1429",0.748597,0.251403,0.209505
"1431",0.793891,0.175559,0.206109
"1433",0.716145,0.200878,0.283855
"1434",0.166330,0.027233,0.833670
"1435",0.712936,0.206512,0.287064
"1437",0.076645,0.002801,0.923355
"1438",0.790545,0.192338,0.209455
"1439",0.372646,0.024908,0.627354
"1440",0.799889,0.200111,0.182817
"1441",0.624033,0.106567,0.375967
"1443",0.670961,0.329039,0.112618
"1445",0.775150,0.130702,0.224850
"1447",0.641857,0.059443,0.358143
"1448",0.608014,0.391986,0.195686
"1449",0.779074,0.118382,0.220926
"1450",0.572479,0.156342,0.427521
"1452",0.471576,0.175299,0.528424
"1453",0.569898,0.430102,0.112892
"1455",0.628844,0.371156,0.113596
"1456",0.602643,0.134556,0.397357
"1457",0.683860,0.316140,0.207503
"1459",0.815896,0.184104,0.157825
"1460",0.657518,0.097154,0.342482
"1461",0.608014,0.391986,0.195686
"1462",0.679698,0.087929,0.320302
"1464",0.463312,0.065975,0.536688
"1465",0.788426,0.211574,0.163938
"1466",0.737954,0.141822,0.262046
"1467",0.760933,0.192347,0.239067
