Inner
File,DirectionalHammingMeasure,UnderSegmentation,OverSegmentation
"1301",0.937595,0.042137,0.062405
"1302",0.848544,0.151456,0.075553
"1305",0.219305,0.014538,0.780695
"1306",0.807024,0.192976,0.105492
"1309",0.664719,0.335281,0.238175
"1310",0.797480,0.202520,0.110208
"1311",0.643013,0.094373,0.356987
"1312",0.599797,0.400203,0.153166
"1313",0.861538,0.138462,0.106351
"1318",0.703549,0.296451,0.126844
"1319",0.710669,0.289331,0.242877
"1321",0.803385,0.196615,0.113777
"1322",0.683636,0.316364,0.117962
"1324",0.884530,0.115470,0.026197
"1327",0.629162,0.117904,0.370838
"1329",0.722341,0.277659,0.023043
"1330",0.839644,0.112401,0.160356
"1331",0.895509,0.059509,0.104491
"1332",0.842592,0.079954,0.157408
"1333",0.955374,0.044626,0.039007
"1334",0.802276,0.094804,0.197724
"1335",0.709134,0.290866,0.123813
"1336",0.893316,0.102459,0.106684
"1337",0.803115,0.181569,0.196885
"1339",0.936484,0.054513,0.063516
"1340",0.863183,0.116256,0.136817
"1342",0.884040,0.115960,0.102134
"1344",0.834273,0.150326,0.165727
"1345",0.743376,0.256624,0.066061
"1346",0.863446,0.136554,0.127122
"1347",0.859179,0.140821,0.082351
"1350",0.812039,0.187961,0.104836
"1353",0.838973,0.161027,0.054831
"1354",0.848693,0.151307,0.076442
"1355",0.933885,0.066115,0.057439
"1357",0.710281,0.289719,0.070530
"1358",0.344682,0.655318,0.048142
"1359",0.853642,0.146358,0.101079
"1360",0.885023,0.114977,0.106114
"1361",0.853942,0.146058,0.100844
"1362",0.778069,0.221931,0.085748
"1364",0.839374,0.160626,0.062954
"1366",0.379458,0.620542,0.038333
"1367",0.843549,0.122589,0.156451
"1368",0.506360,0.136701,0.493640
"1369",0.899376,0.034706,0.100624
"1370",0.867019,0.132981,0.065699
"1371",0.724501,0.160059,0.275499
"1372",0.713326,0.286674,0.106853
"1373",0.555220,0.444780,0.108367
"1376",0.923534,0.076466,0.038305
"1377",0.562193,0.437807,0.013441
"1378",0.888454,0.111546,0.107879
"1380",0.949908,0.047709,0.050092
"1382",0.841737,0.070891,0.158263
"1383",0.461311,0.538689,0.112996
"1384",0.924212,0.075788,0.057557
"1385",0.926623,0.058933,0.073377
"1386",0.845492,0.145837,0.154508
"1390",0.548838,0.451162,0.096057
"1391",0.855460,0.088308,0.144540
"1392",0.742495,0.063951,0.257505
"1394",0.862529,0.049081,0.137471
"1396",0.745547,0.254453,0.073690
"1397",0.859903,0.140097,0.119554
"1398",0.886535,0.113465,0.098961
"1399",0.351500,0.648500,0.019243
"1400",0.885383,0.088487,0.114617
"1401",0.650492,0.349508,0.120628
"1402",0.603396,0.396604,0.105795
"1403",0.865817,0.134183,0.099411
"1404",0.674495,0.325505,0.092828
"1406",0.896083,0.103917,0.048199
