Inner
File,DirectionalHammingMeasure,UnderSegmentation,OverSegmentation
"1301",0.928337,0.060445,0.071663
"1302",0.813602,0.186398,0.157338
"1305",0.980298,0.012990,0.019702
"1306",0.793088,0.138802,0.206912
"1309",0.711084,0.160012,0.288916
"1310",0.637926,0.362074,0.077532
"1311",0.545866,0.044112,0.454134
"1312",0.757863,0.222191,0.242137
"1313",0.807794,0.192206,0.106089
"1318",0.702666,0.297334,0.109835
"1319",0.678145,0.321855,0.131600
"1321",0.797151,0.202849,0.104578
"1322",0.559650,0.440350,0.108123
"1324",0.838333,0.161667,0.098026
"1327",0.479822,0.098126,0.520178
"1329",0.740113,0.259887,0.066361
"1330",0.839373,0.144888,0.160627
"1331",0.810124,0.189876,0.109460
"1332",0.685008,0.083756,0.314992
"1333",0.815548,0.184452,0.057473
"1334",0.668252,0.083169,0.331748
"1335",0.744629,0.255371,0.168906
"1336",0.880951,0.116078,0.119049
"1337",0.766152,0.233848,0.132774
"1339",0.932706,0.067294,0.059848
"1340",0.848219,0.103419,0.151781
"1342",0.910319,0.075535,0.089681
"1344",0.870638,0.125399,0.129362
"1345",0.639679,0.360321,0.080865
"1346",0.833757,0.166243,0.144309
"1347",0.844736,0.155264,0.090353
"1350",0.785925,0.214075,0.110773
"1353",0.857875,0.142125,0.111684
"1354",0.799488,0.200512,0.094260
"1355",0.892948,0.089645,0.107052
"1357",0.694156,0.305844,0.068894
"1358",0.560072,0.439928,0.196530
"1359",0.895203,0.104797,0.085592
"1360",0.791106,0.208894,0.129479
"1361",0.851701,0.117887,0.148299
"1362",0.806582,0.193418,0.130576
"1364",0.828319,0.171681,0.097454
"1366",0.340844,0.659156,0.026241
"1367",0.795056,0.111077,0.204944
"1368",0.513263,0.108449,0.486737
"1369",0.941149,0.058851,0.044539
"1370",0.867703,0.132297,0.062287
"1371",0.756666,0.117402,0.243334
"1372",0.724540,0.275460,0.113356
"1373",0.547898,0.452102,0.122773
"1376",0.905151,0.094849,0.044473
"1377",0.711009,0.073865,0.288991
"1378",0.839603,0.140031,0.160397
"1380",0.936155,0.060970,0.063845
"1382",0.842558,0.096663,0.157442
"1383",0.454393,0.545607,0.152356
"1384",0.921575,0.078425,0.071509
"1385",0.926519,0.057231,0.073481
"1386",0.838819,0.161181,0.159683
"1390",0.620352,0.379648,0.290802
"1391",0.614116,0.080327,0.385884
"1392",0.761031,0.074210,0.238969
"1394",0.874575,0.061721,0.125425
"1396",0.719175,0.280825,0.074522
"1397",0.862338,0.137662,0.110081
"1398",0.875216,0.124784,0.102045
"1399",0.557747,0.442253,0.070781
"1400",0.837352,0.162648,0.119616
"1401",0.629976,0.370024,0.104924
"1402",0.593692,0.406308,0.078095
"1403",0.881888,0.118112,0.083149
"1404",0.743900,0.256100,0.139368
"1406",0.900082,0.099918,0.044822
"1407",0.725212,0.274788,0.173276
"1408",0.791106,0.208894,0.129364
"1411",0.917287,0.082713,0.045740
"1414",0.836288,0.163712,0.112768
"1415",0.975695,0.024305,0.022572
"1416",0.805024,0.194976,0.134103
"1417",0.801762,0.198238,0.131859
"1420",0.657769,0.342231,0.158038
"1423",0.778315,0.221685,0.152136
"1425",0.602293,0.397707,0.097997
"1426",0.863921,0.136079,0.083671
"1428",0.829550,0.170450,0.116777
"1429",0.718079,0.281921,0.073522
"1431",0.916415,0.083585,0.058749
"1433",0.253613,0.746387,0.046153
"1434",0.884314,0.021622,0.115686
"1435",0.691262,0.308738,0.186346
"1437",0.261947,0.002978,0.738053
"1438",0.832151,0.167849,0.101088
"1439",0.942488,0.057512,0.025596
