Inner
File,DirectionalHammingMeasure,UnderSegmentation,OverSegmentation
"1301",0.383191,0.060655,0.616809
"1302",0.425086,0.096211,0.574914
"1305",0.060409,0.007775,0.939591
"1306",0.318680,0.058216,0.681320
"1309",0.419324,0.096935,0.580676
"1310",0.496392,0.113573,0.503608
"1311",0.065031,0.008172,0.934969
"1312",0.374959,0.100371,0.625041
"1313",0.314875,0.052263,0.685125
"1318",0.591908,0.164842,0.408092
"1319",0.318880,0.071889,0.681120
"1321",0.436123,0.106132,0.563877
"1322",0.261214,0.050407,0.738786
"1324",0.187314,0.034889,0.812686
"1327",0.133336,0.013285,0.866664
"1329",0.241877,0.044538,0.758123
"1330",0.279997,0.054243,0.720003
"1331",0.263480,0.053017,0.736520
"1332",0.257960,0.046361,0.742040
"1333",0.266198,0.039574,0.733802
"1334",0.220482,0.042908,0.779518
"1335",0.464969,0.142633,0.535031
"1336",0.416433,0.102449,0.583567
"1337",0.366739,0.092793,0.633261
"1339",0.392493,0.078925,0.607507
"1340",0.447976,0.124217,0.552024
"1342",0.393764,0.063358,0.606236
"1344",0.354310,0.040657,0.645690
"1345",0.393321,0.064243,0.606679
"1346",0.393139,0.070569,0.606861
"1347",0.458587,0.139421,0.541413
"1350",0.343320,0.089919,0.656680
"1353",0.419758,0.091190,0.580242
"1354",0.361488,0.071398,0.638512
"1355",0.516400,0.110616,0.483600
"1357",0.401225,0.077799,0.598775
"1358",0.435015,0.127637,0.564985
"1359",0.293539,0.039426,0.706461
"1360",0.382965,0.084281,0.617035
"1361",0.287410,0.038110,0.712590
"1362",0.359460,0.092547,0.640540
"1364",0.293924,0.062209,0.706076
"1366",0.624943,0.212136,0.375057
"1367",0.317031,0.053972,0.682969
"1368",0.197688,0.038606,0.802312
"1369",0.247634,0.032463,0.752366
"1370",0.455649,0.099845,0.544351
"1371",0.284848,0.031334,0.715152
"1372",0.547312,0.187449,0.452688
"1373",0.326609,0.085956,0.673391
"1376",0.291454,0.037268,0.708546
"1377",0.271497,0.045437,0.728503
"1378",0.351079,0.124132,0.648921
"1380",0.452382,0.107514,0.547618
"1382",0.155954,0.021898,0.844046
"1383",0.473962,0.143457,0.526038
"1384",0.493776,0.149277,0.506224
"1385",0.220341,0.028424,0.779659
"1386",0.376756,0.113090,0.623244
"1390",0.251781,0.061933,0.748219
"1391",0.173565,0.026156,0.826435
"1392",0.282792,0.044933,0.717208
"1394",0.278202,0.053474,0.721798
"1396",0.213897,0.043657,0.786103
"1397",0.374987,0.074678,0.625013
"1398",0.556508,0.135784,0.443492
"1399",0.381820,0.110415,0.618180
"1400",0.274226,0.044379,0.725774
"1401",0.407129,0.126325,0.592871
"1402",0.501330,0.173696,0.498670
"1403",0.379610,0.056906,0.620390
"1404",0.428778,0.100251,0.571222
"1406",0.395141,0.062922,0.604859
"1407",0.410010,0.082230,0.589990
"1408",0.382965,0.084281,0.617035
"1411",0.468448,0.086557,0.531552
"1414",0.342185,0.078561,0.657815
"1415",0.184747,0.025235,0.815253
"1416",0.393751,0.092753,0.606249
