MirexMajMin
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",47.333515,164.310204,45.256452,2.202353,26.012249,21.866652,5,11
"chord_mrx_09_000001",96.381568,200.129245,93.656632,0.048221,0.000000,0.000000,1,2
"chord_mrx_09_000002",77.368158,182.143129,75.075392,3.944017,6.713490,10.626064,5,8
"chord_mrx_09_000003",57.102658,153.469388,51.454955,0.294672,21.171666,21.066737,4,11
"chord_mrx_09_000004",67.103308,236.088889,66.393173,3.673735,14.359785,13.138102,13,17
"chord_mrx_09_000005",70.538557,194.841000,67.698414,4.668687,5.321774,13.302242,12,16
"chord_mrx_09_000006",64.329019,183.771429,61.514846,1.207695,22.147663,11.154970,4,13
"chord_mrx_09_000007",80.336544,112.875102,75.471030,4.812895,7.260622,7.339102,8,8
"chord_mrx_09_000008",73.927795,172.329805,73.535615,3.999676,8.702417,10.606175,10,14
"chord_mrx_09_000009",73.773455,164.022857,73.613623,3.255044,15.723691,6.669638,8,12
"chord_mrx_09_000010",57.125798,149.394286,53.628581,17.186422,12.712929,12.623924,8,11
"chord_mrx_09_000011",70.646978,211.487347,67.674340,1.128469,14.231072,13.468885,7,15
"chord_mrx_09_000012",48.724022,147.513469,45.839838,20.613550,21.262096,7.601596,3,14
"chord_mrx_09_000013",72.622936,277.080816,71.042224,1.213050,19.738243,5.162275,8,13
"chord_mrx_09_000014",75.123303,263.332325,73.835878,1.475447,10.746574,8.116056,5,11
"chord_mrx_09_000015",69.723088,111.962523,69.537116,2.279620,18.829762,8.657626,10,12
"chord_mrx_09_000016",69.218919,180.192653,66.840254,1.371334,11.695992,17.374185,9,11
"chord_mrx_09_000017",0.746436,132.465487,0.000000,0.000000,90.751841,8.329065,8,9
"chord_mrx_09_000018",76.943007,101.459592,75.178420,0.000000,8.330819,4.088566,3,9
"chord_mrx_09_000019",44.997955,145.075374,41.090626,6.782275,30.371074,16.880469,5,8
"chord_mrx_09_000020",49.018087,129.509298,48.235876,3.015573,13.337382,30.447239,6,8
"chord_mrx_09_000021",72.756610,200.943000,70.579873,5.430312,15.419098,4.087049,5,7
"chord_mrx_09_000022",70.156519,157.152653,66.666648,1.529158,26.269450,1.393094,4,7
"chord_mrx_09_000023",74.186427,110.184490,70.358030,6.924825,8.044793,9.794629,4,11
"chord_mrx_09_000024",83.007791,154.955465,80.068090,0.779127,9.228657,6.702881,8,10
"chord_mrx_09_000025",67.946665,183.133000,66.434969,0.877281,26.485831,3.689538,6,11
"chord_mrx_09_000026",77.322435,174.158367,77.213098,1.335625,13.652642,5.477784,3,9
"chord_mrx_09_000027",76.284761,160.198986,74.622751,3.327245,13.006844,7.183006,5,9
"chord_mrx_09_000028",58.986344,347.205000,57.390366,2.931963,20.209799,15.731155,17,20
"chord_mrx_09_000029",61.095536,110.064000,59.374129,4.720510,18.976976,12.806238,8,16
"chord_mrx_09_000030",19.406266,121.376000,19.066164,0.000000,2.580191,1.199183,3,5
"chord_mrx_09_000031",20.272103,229.683084,19.816485,1.248695,72.431191,2.136749,3,6
