MirexMajMinBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",76.132934,164.310204,75.833111,6.387564,6.829786,8.744812,5,11
"chord_mrx_09_000001",96.648206,200.129245,96.616299,0.188257,0.000000,0.000000,1,2
"chord_mrx_09_000002",78.010948,182.143129,77.944020,5.036256,6.015704,7.812501,6,19
"chord_mrx_09_000003",67.622753,153.469388,67.336317,3.909460,6.028457,16.455552,4,15
"chord_mrx_09_000004",80.427678,236.088889,80.368666,1.831577,4.728801,10.664016,15,23
"chord_mrx_09_000005",74.015941,194.841000,73.917421,4.792123,0.682128,11.599443,13,27
"chord_mrx_09_000006",73.550887,183.771429,73.217632,0.311642,14.003385,9.491431,7,7
"chord_mrx_09_000007",74.776507,112.875102,74.111611,2.888836,5.917012,11.938749,8,13
"chord_mrx_09_000008",66.971906,172.329805,66.139878,13.879500,1.637352,15.187152,15,19
"chord_mrx_09_000009",86.327133,164.022857,86.243963,6.248729,2.983078,3.839491,12,14
"chord_mrx_09_000010",69.611656,149.394286,69.580571,8.792111,9.670784,8.108390,8,11
"chord_mrx_09_000011",82.465062,211.487347,82.223516,0.562424,2.896073,11.247817,8,10
"chord_mrx_09_000012",74.438475,147.513469,73.714394,3.440974,12.667442,6.724261,3,13
"chord_mrx_09_000013",78.428755,277.080816,76.861394,5.697233,3.718960,10.704148,9,28
"chord_mrx_09_000014",77.109516,263.332325,76.946388,5.671149,6.413183,5.660654,7,15
"chord_mrx_09_000015",68.768476,111.962523,68.690704,11.323374,7.460665,12.034697,12,14
"chord_mrx_09_000016",68.996965,180.192653,68.971192,17.997732,0.620659,9.692181,13,12
"chord_mrx_09_000017",0.205966,132.465487,0.000000,0.000000,91.718313,7.535251,9,12
"chord_mrx_09_000018",84.533280,101.459592,84.304421,0.000000,2.377947,0.915437,3,4
"chord_mrx_09_000019",65.010442,145.075374,64.588299,7.142136,18.029601,6.087870,6,8
"chord_mrx_09_000020",65.997047,129.509298,65.342632,6.626253,4.711658,18.355527,6,11
"chord_mrx_09_000021",77.933850,200.943000,77.723363,4.271780,10.830810,3.635810,6,12
"chord_mrx_09_000022",74.729549,157.152653,74.493142,0.000000,19.645533,2.371454,4,4
"chord_mrx_09_000023",88.836910,110.184490,88.641978,0.790304,4.067640,2.473183,4,6
"chord_mrx_09_000024",86.696693,154.955465,86.391376,1.168824,3.589076,5.629479,10,11
"chord_mrx_09_000025",78.208413,183.133000,77.417142,3.707745,9.692815,6.537117,6,18
"chord_mrx_09_000026",92.674941,174.158367,91.843317,0.889630,3.355957,1.590246,3,8
"chord_mrx_09_000027",71.550393,160.198986,71.505098,18.070703,2.711766,5.852278,8,8
"chord_mrx_09_000028",73.699816,347.205000,73.657069,5.657869,5.320145,11.822917,31,34
"chord_mrx_09_000029",83.706759,110.064000,83.661186,0.830865,2.294114,9.091688,10,13
"chord_mrx_09_000030",40.928033,121.376000,19.742964,0.000000,2.184305,0.918269,3,4
"chord_mrx_09_000031",9.691113,229.683084,9.670894,11.727044,64.188212,10.104107,4,8
"chord_mrx_09_000032",51.484381,20.206598,51.254556,11.051942,14.958977,21.123621,7,11
"chord_mrx_09_000033",86.923562,151.092245,86.570097,3.427079,3.173974,3.415927,12,16
"chord_mrx_09_000034",81.363246,158.066939,81.019868,6.604435,5.738488,2.643431,5,12
"chord_mrx_09_000035",76.325050,169.921000,76.232009,7.217239,1.627790,10.052463,13,16
"chord_mrx_09_000036",78.684720,217.887347,78.449018,5.813329,4.950154,9.542004,9,11
"chord_mrx_09_000037",69.312729,121.392510,68.891913,12.031980,4.504552,10.662555,6,11
"chord_mrx_09_000038",85.185819,195.343673,85.058037,4.647673,5.114526,4.005961,9,17
"chord_mrx_09_000039",68.272380,342.547000,59.297489,7.150744,7.586729,13.569076,10,26
"chord_mrx_09_000040",81.070819,228.600000,81.020230,7.176541,3.021506,6.923018,12,15
"chord_mrx_09_000041",76.345706,166.997912,75.358498,4.372888,3.691853,12.653015,8,16
"chord_mrx_09_000042",85.423331,127.686531,85.005073,1.418440,1.726907,8.347525,4,7
"chord_mrx_09_000043",66.108100,161.149388,58.113094,4.704526,3.220622,19.002869,7,17
"chord_mrx_09_000044",76.624431,152.581224,76.196937,3.777401,7.774788,9.197372,7,22
"chord_mrx_09_000045",56.056229,136.681362,55.721694,25.119502,2.815099,14.955806,9,16
"chord_mrx_09_000046",76.462623,175.827000,76.406669,6.607599,5.733291,9.920450,15,24
"chord_mrx_09_000047",78.216862,40.620408,77.223651,0.101430,3.738046,11.845693,4,8
"chord_mrx_09_000048",83.772767,148.511640,82.991012,2.498512,8.891988,2.342440,7,9
"chord_mrx_09_000049",58.657107,167.627755,58.378801,9.782318,14.297132,14.369571,5,9
"chord_mrx_09_000050",12.177546,194.089796,12.061527,2.094688,38.609570,44.106106,10,14
"chord_mrx_09_000051",63.525216,150.282449,62.719839,7.006218,12.061670,13.453944,6,16
"chord_mrx_09_000052",62.253242,72.751020,62.253242,17.580633,8.095639,11.332405,7,8
"chord_mrx_09_000053",47.673136,31.681117,45.025435,0.000000,16.590825,8.169395,1,8
"chord_mrx_09_000054",59.551982,206.007440,58.391027,8.882091,11.247087,16.176809,6,14
"chord_mrx_09_000055",85.768522,167.122720,85.596585,3.938692,3.777647,3.456827,4,11
"chord_mrx_09_000056",75.246103,192.496327,75.220470,12.433174,3.653406,5.984566,6,16
"chord_mrx_09_000057",84.871237,228.571429,84.731554,2.897222,2.858264,6.804366,7,11
"chord_mrx_09_000058",78.446263,117.860212,77.943881,10.135186,2.463432,3.244181,4,10
"chord_mrx_09_000059",71.635603,202.317000,71.588364,6.814182,3.862602,16.758166,11,23
"chord_mrx_09_000060",77.841136,156.708571,77.663329,0.000000,2.518038,19.433078,8,16
"chord_mrx_09_000061",82.532169,140.576508,82.331892,4.239470,3.111707,7.026838,10,12
"chord_mrx_09_000062",83.822327,254.549169,83.630154,9.048356,2.465044,3.719795,7,10
"chord_mrx_09_000063",51.136806,136.048617,45.401348,13.831459,10.535226,5.054446,13,14
"chord_mrx_09_000064",69.100571,215.800000,68.618003,8.788073,2.131934,16.346902,9,16
"chord_mrx_09_000065",64.859388,189.515466,64.672541,9.236647,3.100571,21.549735,9,14
"chord_mrx_09_000066",73.439921,295.093000,73.412790,1.338160,4.909175,11.814766,13,19
"chord_mrx_09_000067",71.526771,138.370612,70.769529,5.658980,16.875584,2.697952,6,10
"chord_mrx_09_000068",72.927862,197.741135,72.904377,7.282535,4.567624,13.645728,10,24
"chord_mrx_09_000069",91.318880,116.424853,91.124911,0.957320,3.236278,1.841633,10,13
"chord_mrx_09_000070",89.264183,139.706676,88.765567,2.256638,3.221503,4.495341,10,11
"chord_mrx_09_000071",80.689424,164.101224,80.530240,4.534666,10.356527,1.952224,6,9
"chord_mrx_09_000072",82.508577,151.914612,80.338125,5.758301,6.368235,3.150748,5,10
"chord_mrx_09_000073",30.867714,304.150793,30.845765,12.596035,28.893127,27.065300,2,23
"chord_mrx_09_000074",78.002070,148.741224,77.912307,1.258664,5.029675,14.973742,11,18
"chord_mrx_09_000075",85.581825,147.670204,84.738615,1.272732,5.336897,5.316782,7,11
"chord_mrx_09_000076",75.632913,159.674920,75.558386,10.219181,5.034963,8.179267,16,19
"chord_mrx_09_000077",86.440274,137.607256,86.140759,1.788544,1.477460,6.429456,9,15
"chord_mrx_09_000078",82.932385,147.983673,82.663678,3.777536,2.895443,7.537654,7,11
"chord_mrx_09_000079",77.685339,140.088890,77.619039,1.806692,4.500623,15.752566,11,14
"chord_mrx_09_000080",65.600610,167.862000,65.505547,8.961716,3.122583,20.610462,12,15
"chord_mrx_09_000081",83.643964,175.804082,82.306668,2.938749,5.406017,5.520910,5,17
"chord_mrx_09_000082",75.796932,157.648980,75.717764,8.122202,6.888454,5.939404,9,12
"chord_mrx_09_000083",85.679890,155.173152,85.548956,2.243125,8.812071,2.575980,9,16
"chord_mrx_09_000084",66.009439,171.101456,62.447658,19.824204,8.162372,3.654874,5,20
"chord_mrx_09_000085",84.602698,163.317551,76.622499,3.515945,9.333930,2.041115,7,11
"chord_mrx_09_000086",74.793384,225.821231,68.469020,5.628154,5.966841,6.629951,13,20
"chord_mrx_09_000087",88.653497,257.642000,87.998284,0.951353,2.641197,2.243633,5,11
"chord_mrx_09_000088",71.766136,145.008617,71.606008,3.354683,2.432176,19.250208,13,19
"chord_mrx_09_000089",71.851575,212.140000,69.531654,5.261935,3.369897,10.473393,17,22
"chord_mrx_09_000090",86.008405,123.367620,85.432168,2.809345,3.275318,4.777493,7,13
