MirexMajMinBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",35.319319,164.310204,33.242256,14.216549,15.840108,32.038794,5,17
"chord_mrx_09_000001",92.252687,200.129245,89.527751,4.177102,0.000000,0.000000,1,3
"chord_mrx_09_000002",51.004383,182.143129,48.711618,30.307791,5.607602,11.731952,6,13
"chord_mrx_09_000003",18.272540,153.469388,12.624837,39.124790,9.104158,33.134246,4,21
"chord_mrx_09_000004",49.132007,236.088889,48.421872,21.645037,6.386414,21.111474,15,33
"chord_mrx_09_000005",63.411355,194.841000,60.571212,11.795888,3.937068,14.686947,13,20
"chord_mrx_09_000006",60.206165,183.771429,57.391991,5.330550,11.887268,21.415365,7,19
"chord_mrx_09_000007",76.425451,112.875102,71.559937,8.723988,6.505220,8.094504,8,12
"chord_mrx_09_000008",65.662062,172.329805,65.269882,12.265408,2.852837,16.455755,15,26
"chord_mrx_09_000009",67.945585,164.022857,67.785753,9.082914,7.168920,15.224408,12,18
"chord_mrx_09_000010",41.325194,149.394286,37.827978,32.987026,9.808782,15.528070,8,23
"chord_mrx_09_000011",48.630930,211.487347,45.658292,23.144517,4.345825,23.354132,8,23
"chord_mrx_09_000012",41.878978,147.513469,38.994794,27.458594,13.805691,15.058001,3,22
"chord_mrx_09_000013",64.410026,277.080816,62.829314,9.425960,11.961630,12.938888,9,21
"chord_mrx_09_000014",65.733043,263.332325,64.445619,10.865707,7.026522,11.836107,7,19
"chord_mrx_09_000015",57.184733,111.962523,56.998761,14.817974,7.184484,20.302904,12,19
"chord_mrx_09_000016",49.164754,180.192653,46.786089,21.425499,1.310536,27.759641,13,14
"chord_mrx_09_000017",0.746436,132.465487,0.000000,0.000000,64.525727,34.555178,9,15
"chord_mrx_09_000018",71.969647,101.459592,70.205060,4.973360,3.036745,9.382640,3,12
"chord_mrx_09_000019",30.202152,145.075374,26.294823,21.578078,17.118958,30.132584,6,12
