MirexMajMinBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",83.646071,164.310204,82.185055,2.584929,6.224162,6.801225,5,7
"chord_mrx_09_000001",98.626553,200.129245,96.417164,0.387392,0.000000,0.000000,1,2
"chord_mrx_09_000002",92.238963,182.143129,90.119869,0.000000,4.592800,2.085048,6,6
"chord_mrx_09_000003",85.612301,153.469388,83.612567,0.000000,9.241421,0.847074,4,5
"chord_mrx_09_000004",79.041093,236.088889,78.826628,3.573878,4.512843,10.699382,15,15
"chord_mrx_09_000005",80.711965,194.841000,78.537371,0.895089,0.843765,10.696414,13,17
"chord_mrx_09_000006",76.020189,183.771429,74.147770,1.784239,13.454461,7.610163,7,4
"chord_mrx_09_000007",84.894853,112.875102,80.529602,0.000000,9.012709,5.231753,8,9
"chord_mrx_09_000008",69.221656,172.329805,66.634976,13.723741,2.004808,14.430303,15,15
"chord_mrx_09_000009",86.592982,164.022857,86.280308,6.000381,3.595122,3.467764,12,10
"chord_mrx_09_000010",84.561424,149.394286,80.984121,1.448333,6.439333,7.280070,8,8
"chord_mrx_09_000011",81.549129,211.487347,79.779056,3.705050,5.152819,8.262706,8,7
"chord_mrx_09_000012",89.251852,147.513469,86.149364,0.681446,9.050791,0.640467,3,7
"chord_mrx_09_000013",85.048249,277.080816,83.378549,3.677259,6.164587,3.845118,9,13
"chord_mrx_09_000014",86.424357,263.332325,82.065291,2.646846,3.937908,3.337773,7,7
"chord_mrx_09_000015",72.444688,111.962523,72.023679,13.213683,4.692400,9.507447,12,12
"chord_mrx_09_000016",65.294801,180.192653,62.984469,15.885519,0.775206,17.625691,13,9
"chord_mrx_09_000017",0.381924,132.465487,0.000000,0.000000,96.653561,2.600003,9,8
"chord_mrx_09_000018",87.898400,101.459592,86.262683,0.000000,1.335122,0.000000,3,3
"chord_mrx_09_000019",78.536161,145.075374,76.207000,0.834049,14.863599,3.903348,6,5
"chord_mrx_09_000020",70.459743,129.509298,66.842006,2.824615,3.888373,21.469886,6,8
"chord_mrx_09_000021",87.976690,200.943000,87.143120,1.089861,7.934091,0.295109,6,5
"chord_mrx_09_000022",82.676226,157.152653,80.211712,0.000000,15.480955,0.773170,4,4
"chord_mrx_09_000023",94.966076,110.184490,91.527598,0.000000,2.850552,1.589672,4,5
"chord_mrx_09_000024",90.660478,154.955465,87.767222,0.381766,5.080032,3.502712,10,8
"chord_mrx_09_000025",82.768807,183.133000,80.610267,0.513288,8.118690,8.190768,6,13
"chord_mrx_09_000026",94.111362,174.158367,92.792158,0.643093,4.203210,0.000000,3,4
"chord_mrx_09_000027",72.778984,160.198986,71.836452,15.943190,3.325831,6.886934,8,8
"chord_mrx_09_000028",73.534079,347.205000,72.729943,5.937126,5.900261,11.890382,31,21
"chord_mrx_09_000029",83.787614,110.064000,81.431712,6.248183,2.026094,5.529510,10,12
"chord_mrx_09_000030",71.931848,121.376000,20.001483,0.000000,2.628197,0.000000,3,3
"chord_mrx_09_000031",21.650002,229.683084,20.718283,2.690500,69.230142,0.322183,4,4
"chord_mrx_09_000032",70.125926,20.206598,68.515022,7.652025,17.185070,4.569354,7,7
"chord_mrx_09_000033",89.406043,151.092245,86.624799,4.917526,2.275302,2.769451,12,13
"chord_mrx_09_000034",89.615729,158.066939,87.270558,0.000000,4.928790,3.806875,5,5
"chord_mrx_09_000035",82.350622,169.921000,80.973511,7.019144,2.956668,4.180178,13,14
"chord_mrx_09_000036",79.991143,217.887347,79.499927,6.802439,8.461456,4.035017,9,6
"chord_mrx_09_000037",83.191525,121.392510,80.125572,6.148645,1.491575,8.325208,6,7
"chord_mrx_09_000038",91.684466,195.343673,91.390793,0.000000,6.911507,0.547672,9,10
"chord_mrx_09_000039",67.999720,342.547000,57.017577,2.839318,8.858346,18.848508,10,12
"chord_mrx_09_000040",80.379703,228.600000,79.675416,8.763342,3.566929,6.135608,12,10
"chord_mrx_09_000041",83.325394,166.997912,82.255969,1.385804,5.017643,7.416839,8,11
"chord_mrx_09_000042",85.714235,127.686531,82.717418,3.726706,0.462741,9.591079,4,3
"chord_mrx_09_000043",86.686908,161.149388,77.142354,3.812058,7.957137,0.213005,7,8
"chord_mrx_09_000044",89.509896,152.581224,87.044574,3.502538,4.260936,2.567440,7,10
"chord_mrx_09_000045",77.742081,136.681362,76.828099,14.420153,1.085039,6.248052,9,9
"chord_mrx_09_000046",81.713844,175.827000,80.710016,6.422791,5.359814,6.145814,15,15
"chord_mrx_09_000047",86.055093,40.620408,78.963914,3.486959,6.593038,1.846363,4,5
"chord_mrx_09_000048",89.437024,148.511640,86.160975,0.677312,6.121660,3.478093,7,7
"chord_mrx_09_000049",80.403238,167.627755,77.767546,1.180921,14.087953,4.014848,5,6
"chord_mrx_09_000050",12.990083,194.089796,12.783520,1.695744,40.942995,38.811981,10,10
"chord_mrx_09_000051",78.774698,150.282449,75.811978,4.290788,9.172811,5.966095,6,10
"chord_mrx_09_000052",61.204082,72.751020,61.204082,16.146428,20.395655,1.578903,7,7
"chord_mrx_09_000053",63.015780,31.681117,48.207498,0.000000,21.578156,0.000000,1,2
"chord_mrx_09_000054",58.117748,206.007440,56.731529,4.913753,14.931180,18.774294,6,6
"chord_mrx_09_000055",93.447598,167.122720,90.860136,0.656436,4.436957,0.815948,4,5
"chord_mrx_09_000056",1.831893,192.496327,0.000000,0.045824,92.045267,5.200525,6,8
"chord_mrx_09_000057",95.382268,228.571429,93.924767,0.000000,2.467538,0.899100,7,7
"chord_mrx_09_000058",92.483630,117.860212,89.473095,0.000000,2.351403,1.870634,4,6
"chord_mrx_09_000059",72.763534,202.317000,72.073034,10.543355,2.389814,14.017112,11,13
"chord_mrx_09_000060",88.186135,156.708571,88.007459,0.963543,1.161118,9.591602,8,12
"chord_mrx_09_000061",86.683297,140.576508,83.700306,3.570965,3.843775,5.572588,10,9
"chord_mrx_09_000062",79.274796,254.549169,78.590891,13.566167,2.548008,4.103347,7,6
"chord_mrx_09_000063",75.628685,136.048617,53.396645,10.692979,5.491633,4.138804,13,11
"chord_mrx_09_000064",77.514365,215.800000,76.226135,4.847544,3.117702,11.746061,9,12
"chord_mrx_09_000065",59.975041,189.515466,59.449210,18.916540,2.780910,17.412834,9,9
"chord_mrx_09_000066",77.501330,295.093000,76.702599,2.285720,5.316290,7.170282,13,10
"chord_mrx_09_000067",88.122475,138.370612,85.086706,2.725944,6.367823,1.821572,6,7
"chord_mrx_09_000068",75.930074,197.741135,75.183065,3.221418,12.409026,7.586755,10,12
"chord_mrx_09_000069",94.372968,116.424853,91.836691,0.000000,3.705072,1.643796,10,11
"chord_mrx_09_000070",92.212904,139.706676,91.543263,1.060999,4.987431,1.103590,10,11
"chord_mrx_09_000071",76.704967,164.101224,74.253753,3.475229,17.956734,1.664326,6,7
"chord_mrx_09_000072",89.494216,151.914612,87.296956,0.914988,7.156803,0.246663,5,4
"chord_mrx_09_000073",60.761403,304.150793,60.434564,2.048289,10.902524,26.014849,2,9
"chord_mrx_09_000074",84.799879,148.741224,84.231186,1.277659,3.742921,9.905582,11,12
"chord_mrx_09_000075",88.474487,147.670204,85.442490,3.595110,4.179253,3.371753,7,6
"chord_mrx_09_000076",76.598805,159.674920,75.790087,13.249510,2.803834,7.125164,16,13
"chord_mrx_09_000077",94.976395,137.607256,91.470855,0.203254,2.258910,1.903200,9,10
"chord_mrx_09_000078",94.156986,147.983673,91.613417,0.585098,2.447367,2.215182,7,7
"chord_mrx_09_000079",91.077691,140.088890,91.077691,3.440673,2.663323,2.202052,11,12
"chord_mrx_09_000080",67.705020,167.862000,66.747686,4.582335,4.558506,22.311780,12,10
"chord_mrx_09_000081",86.112699,175.804082,82.686111,2.576926,6.280843,4.628464,5,5
"chord_mrx_09_000082",91.129675,157.648980,87.984092,0.000000,7.550097,1.133635,9,9
"chord_mrx_09_000083",88.399886,155.173152,88.092264,1.947600,7.398168,1.742098,9,13
"chord_mrx_09_000084",85.381105,171.101456,81.592929,4.300800,9.107062,0.021615,5,8
"chord_mrx_09_000085",88.138671,163.317551,80.110150,1.535537,8.228645,1.634510,7,8
"chord_mrx_09_000086",75.989516,225.821231,73.321639,4.114242,4.065383,6.740408,13,14
"chord_mrx_09_000087",91.640338,257.642000,91.200581,0.000000,1.962413,0.671474,5,7
"chord_mrx_09_000088",82.425212,145.008617,79.475211,2.038055,2.078570,13.051240,13,14
"chord_mrx_09_000089",76.151598,212.140000,69.696898,6.680023,1.717734,10.566607,17,16
"chord_mrx_09_000090",91.451592,123.367620,88.277309,1.074334,1.660926,5.543054,7,8
"chord_mrx_09_000091",81.609715,158.850612,78.612803,1.141382,14.610091,1.837484,9,10
"chord_mrx_09_000092",85.772163,186.107000,84.365983,6.845524,3.847786,2.265363,12,13
"chord_mrx_09_000093",89.140089,119.353469,85.296942,0.000000,7.257088,3.471667,13,13
"chord_mrx_09_000094",78.646547,167.444898,78.016550,7.788393,6.704898,6.384826,6,6
"chord_mrx_09_000095",60.863913,158.870455,60.298055,8.031848,6.078715,24.758055,12,5
"chord_mrx_09_000096",90.598085,145.614919,88.157906,2.686636,1.965448,3.745727,10,8
"chord_mrx_09_000097",83.158707,114.451157,79.399263,0.000000,7.578683,9.133577,7,7
"chord_mrx_09_000098",84.978869,124.551837,80.840515,2.356685,6.121088,6.464732,8,5
"chord_mrx_09_000099",85.760536,160.417959,83.218605,0.000000,9.344696,3.610470,5,6
"chord_mrx_09_000100",83.858890,119.145091,80.190580,3.695158,2.481005,9.189946,8,10
"chord_mrx_09_000101",91.015594,92.708571,91.015594,2.863507,2.442874,3.162255,9,8
"chord_mrx_09_000102",81.362714,118.987755,77.098408,7.801891,6.221090,3.685054,5,6
"chord_mrx_09_000103",70.506180,215.066122,70.039499,6.460894,13.520628,9.171971,12,8
"chord_mrx_09_000104",89.107282,149.741757,81.612625,2.423432,4.844459,1.660099,6,5
"chord_mrx_09_000105",92.740318,129.776327,90.083110,0.000000,6.047789,0.215756,6,7
"chord_mrx_09_000106",93.739445,184.131714,92.911140,2.446440,2.640569,0.846462,7,6
"chord_mrx_09_000107",60.479849,153.561421,59.770348,21.241728,3.662005,13.947015,8,7
"chord_mrx_09_000108",82.965112,129.270000,81.288002,0.063433,3.116732,8.470643,8,10
"chord_mrx_09_000109",90.117580,146.494694,87.438823,0.042088,5.213947,2.368686,4,6
"chord_mrx_09_000110",80.064558,177.266939,79.513446,0.000000,19.526142,0.000000,3,2
"chord_mrx_09_000111",88.701808,125.342112,85.972788,3.454385,0.949497,5.717919,5,8
