MirexMajMinBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",79.298459,164.310204,79.030432,8.429606,4.481062,5.917766,5,7
"chord_mrx_09_000001",96.578308,200.129245,96.311451,0.000000,0.493105,0.000000,1,2
"chord_mrx_09_000002",91.740240,182.143129,91.498454,0.000000,3.424332,1.751408,6,5
"chord_mrx_09_000003",84.546388,153.469388,84.109509,0.612767,8.675685,0.590071,4,6
"chord_mrx_09_000004",77.772278,236.088889,77.772278,5.363875,4.090047,10.312765,15,13
"chord_mrx_09_000005",71.907914,194.841000,71.586144,2.742994,2.447938,14.214040,13,13
"chord_mrx_09_000006",73.450933,183.771429,73.200871,1.107557,12.975200,9.737819,7,6
"chord_mrx_09_000007",85.459129,112.875102,85.023090,0.712468,6.221357,2.940436,8,10
"chord_mrx_09_000008",63.868953,172.329805,63.673579,17.548414,3.729736,11.892155,15,10
"chord_mrx_09_000009",89.610730,164.022857,89.610730,2.588144,4.045678,2.985772,12,9
"chord_mrx_09_000010",79.582289,149.394286,79.180121,6.815490,5.526703,4.629543,8,8
"chord_mrx_09_000011",69.278604,211.487347,69.025098,4.616485,10.798466,12.457823,8,9
"chord_mrx_09_000012",76.952389,147.513469,76.623798,0.051702,17.632970,2.238599,3,6
"chord_mrx_09_000013",82.479644,277.080816,82.313793,0.002881,9.069780,5.826865,9,12
"chord_mrx_09_000014",65.175219,263.332325,65.033037,0.127857,14.198488,15.331991,7,7
"chord_mrx_09_000015",52.239358,111.962523,52.169808,16.392870,20.940875,10.002852,12,8
"chord_mrx_09_000016",51.280488,180.192653,51.036086,30.142803,0.586907,15.515534,13,9
"chord_mrx_09_000017",0.201584,132.465487,0.000000,0.000000,94.313790,4.939774,9,7
"chord_mrx_09_000018",82.584967,101.459592,82.470538,0.000000,3.824197,1.303070,3,4
"chord_mrx_09_000019",47.051117,145.075374,46.604965,11.677141,28.106834,9.458966,6,7
