MirexMajMinBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",76.329894,164.310204,74.252831,7.852832,10.597090,5.030069,5,6
"chord_mrx_09_000001",98.789133,200.129245,95.826460,0.000000,0.899419,-0.000000,1,3
"chord_mrx_09_000002",89.062553,182.143129,86.554340,0.794247,3.237982,6.048504,6,5
"chord_mrx_09_000003",77.087615,153.469388,71.075646,0.000000,11.279540,10.995678,4,10
"chord_mrx_09_000004",75.442680,236.088889,73.574178,5.863640,6.635789,11.388757,15,13
"chord_mrx_09_000005",69.584944,194.841000,66.029224,7.832540,3.070709,14.058643,13,14
"chord_mrx_09_000006",70.651473,183.771429,67.675562,3.900837,16.678439,7.502703,7,5
"chord_mrx_09_000007",85.512203,112.875102,80.426084,0.000000,6.885458,7.239868,8,7
"chord_mrx_09_000008",67.601989,172.329805,64.949987,17.365174,3.499208,10.972246,15,13
"chord_mrx_09_000009",85.682750,164.022857,85.026325,2.527964,6.789608,4.770338,12,10
"chord_mrx_09_000010",73.138311,149.394286,69.290167,6.562861,10.820024,9.153906,8,9
"chord_mrx_09_000011",76.771272,211.487347,73.701102,3.930786,5.672634,12.914000,8,10
"chord_mrx_09_000012",76.579598,147.513469,73.637210,3.115388,16.552440,2.175654,3,8
"chord_mrx_09_000013",74.666960,277.080816,72.950507,6.348410,11.680097,6.138665,9,11
"chord_mrx_09_000014",53.768084,263.332325,53.195361,4.029129,20.718069,16.748814,7,15
"chord_mrx_09_000015",52.611044,111.962523,52.190035,17.284148,19.608959,10.166505,12,6
"chord_mrx_09_000016",53.688615,180.192653,50.970387,18.114840,2.961376,25.146587,13,9
"chord_mrx_09_000017",0.746436,132.465487,0.000000,0.000000,96.126485,3.031255,9,7
"chord_mrx_09_000018",85.038482,101.459592,82.890604,0.000000,3.908494,0.630793,3,6
"chord_mrx_09_000019",55.039051,145.075374,50.886958,0.675268,28.521021,14.838745,6,6
"chord_mrx_09_000020",60.613860,129.509298,56.689790,1.195530,9.070484,27.703643,6,7
"chord_mrx_09_000021",83.676465,200.943000,81.499729,0.335916,11.646089,1.049054,6,5
"chord_mrx_09_000022",84.074343,157.152653,80.584472,0.000000,14.973034,0.466963,4,4
"chord_mrx_09_000023",94.294241,110.184490,90.267345,0.000000,2.211698,2.643238,4,5
"chord_mrx_09_000024",80.786924,154.955465,77.565679,2.246049,8.060668,8.651688,10,10
"chord_mrx_09_000025",78.258424,183.133000,76.127186,0.000000,16.159294,5.201138,6,11
"chord_mrx_09_000026",88.837477,174.158367,87.423037,0.020592,10.235521,-0.000000,3,4
"chord_mrx_09_000027",72.437857,160.198986,71.347887,16.428669,6.089260,4.274030,8,9
"chord_mrx_09_000028",65.740125,347.205000,64.086635,10.112470,7.267176,13.435866,31,19
"chord_mrx_09_000029",69.859355,110.064000,67.649731,5.877489,7.287578,14.369821,10,10
"chord_mrx_09_000030",20.349987,121.376000,18.606644,0.000000,2.589474,1.223471,3,4
"chord_mrx_09_000031",18.818820,229.683084,17.919755,2.690500,71.323351,0.000000,4,3
