MirexMajMinBass
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",7.195279,164.310204,7.106907,0.000000,70.430939,20.385091,5,2
"chord_mrx_09_000001",52.759570,200.129245,52.681304,0.000000,44.123252,0.000000,1,2
"chord_mrx_09_000002",1.576387,182.143129,1.483939,0.000000,65.774017,29.550526,6,2
"chord_mrx_09_000003",11.044484,153.469388,10.932808,0.000000,83.055223,0.000000,4,2
"chord_mrx_09_000004",9.607959,236.088889,9.529460,0.000000,60.899976,27.183294,15,2
"chord_mrx_09_000005",0.074933,194.841000,0.000000,0.000000,51.777603,39.213513,13,2
"chord_mrx_09_000006",15.722929,183.771429,15.642161,3.296185,71.987527,6.098216,7,2
"chord_mrx_09_000007",11.487391,112.875102,11.341121,0.000000,63.319890,20.252870,8,2
"chord_mrx_09_000008",11.698488,172.329805,11.594108,2.439614,52.246248,30.563912,15,2
"chord_mrx_09_000009",7.781360,164.022857,7.669877,1.241954,71.403993,19.027751,12,2
"chord_mrx_09_000010",0.651220,149.394286,0.528534,10.392921,50.206887,35.023514,8,2
"chord_mrx_09_000011",20.079821,211.487347,19.992181,2.920790,54.616613,19.400246,8,2
"chord_mrx_09_000012",6.820186,147.513469,6.712081,0.000000,89.834989,-0.000000,3,2
"chord_mrx_09_000013",11.122332,277.080816,11.064653,0.000000,81.708907,4.441511,9,2
"chord_mrx_09_000014",0.145589,263.332325,0.088185,0.023046,91.318580,3.261562,7,2
"chord_mrx_09_000015",3.495027,111.962523,3.334040,2.185540,67.824379,26.165482,12,2
"chord_mrx_09_000016",2.647176,180.192653,2.566899,5.001455,39.938326,49.775084,13,2
"chord_mrx_09_000017",17.153528,132.465487,17.017705,0.000000,74.943770,7.292089,9,2
"chord_mrx_09_000018",0.172080,101.459592,0.000000,0.000000,87.597804,0.000000,3,2
"chord_mrx_09_000019",0.101974,145.075374,0.000000,0.000000,67.976827,27.871080,6,2
"chord_mrx_09_000020",0.116436,129.509298,0.000000,19.166614,52.260649,23.608806,6,2
"chord_mrx_09_000021",1.015114,200.943000,0.926531,0.000000,94.282558,1.384970,6,2
"chord_mrx_09_000022",0.118135,157.152653,0.000000,0.000000,94.330756,2.179373,4,2
"chord_mrx_09_000023",5.847838,110.184490,5.694921,0.000000,69.673868,20.604316,4,2
"chord_mrx_09_000024",6.303632,154.955465,6.208042,0.319658,77.548944,12.702112,10,2
"chord_mrx_09_000025",1.204043,183.133000,1.116675,0.000000,96.370944,0.000000,6,2
"chord_mrx_09_000026",0.085191,174.158367,0.000000,0.000000,97.679149,-0.000000,3,2
"chord_mrx_09_000027",16.017995,160.198986,15.914922,1.831422,47.073359,33.320142,8,2
"chord_mrx_09_000028",0.860235,347.205000,0.817609,4.377731,56.935591,34.327069,31,2
"chord_mrx_09_000029",27.641082,110.064000,27.511157,2.435874,42.327300,23.603522,10,2
"chord_mrx_09_000030",0.600943,121.376000,0.459234,0.000000,22.386304,0.000000,3,2
"chord_mrx_09_000031",4.293316,229.683084,0.000000,0.000000,0.000000,0.000000,0,0
"chord_mrx_09_000032",3.218246,20.206598,3.218246,3.588338,83.564665,8.017846,7,2
"chord_mrx_09_000033",7.650144,151.092245,7.542762,0.000000,32.121000,56.923315,12,2
"chord_mrx_09_000034",4.823258,158.066939,4.715114,0.000000,57.498888,33.792221,5,2
"chord_mrx_09_000035",2.620218,169.921000,2.527233,6.365370,31.801661,54.435238,13,2
"chord_mrx_09_000036",0.081394,217.887347,0.000000,5.831950,57.749096,35.317408,9,2
"chord_mrx_09_000037",0.153088,121.392510,0.000000,0.000000,44.482969,51.608031,6,2
"chord_mrx_09_000038",8.421959,195.343673,8.341755,9.516741,72.642477,8.348998,9,2
"chord_mrx_09_000039",0.635533,342.547000,0.592911,0.000000,42.017300,44.993826,10,2
"chord_mrx_09_000040",10.732918,228.600000,10.662052,1.720122,60.889129,24.869991,12,2
"chord_mrx_09_000041",13.341676,166.997912,13.244119,0.583959,69.261500,12.986676,8,2
"chord_mrx_09_000042",16.776276,127.686531,16.648987,6.579248,6.442158,66.827551,4,2
"chord_mrx_09_000043",4.116606,161.149388,4.021220,0.114800,83.987268,2.332158,7,2
"chord_mrx_09_000044",4.628290,152.581224,4.520004,0.000000,81.226490,11.641843,7,2
"chord_mrx_09_000045",0.108386,136.681362,0.000000,0.547594,44.796731,53.279379,9,2
"chord_mrx_09_000046",1.789771,175.827000,1.707303,3.383809,50.930233,42.646664,15,2
