MirexRoot
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",80.503062,164.310204,78.969013,0.000000,18.908518,-0.000000,4,5
"chord_mrx_09_000001",96.388065,236.721633,94.484296,0.000000,2.814211,0.000000,2,2
"chord_mrx_09_000002",91.122277,182.909388,88.345501,0.000000,8.446059,0.000000,5,6
"chord_mrx_09_000003",89.353132,153.469388,86.376004,0.000000,7.204514,-0.000000,4,5
"chord_mrx_09_000004",90.464149,242.416327,90.290346,0.000000,7.384696,0.000000,11,10
"chord_mrx_09_000005",85.466514,203.413000,80.590719,0.000000,10.762832,-0.000000,9,10
"chord_mrx_09_000006",79.204914,183.771429,76.761133,0.000000,20.251824,0.000000,4,4
"chord_mrx_09_000007",87.170787,112.875102,83.261792,0.000000,11.627442,-0.000000,6,6
"chord_mrx_09_000008",80.627130,183.013878,78.076712,0.000000,18.931609,-0.000000,10,9
"chord_mrx_09_000009",92.289679,164.022857,92.068456,0.000000,7.275120,-0.000000,7,8
"chord_mrx_09_000010",90.220770,149.394286,86.740526,0.000000,9.411330,-0.000000,6,6
"chord_mrx_09_000011",81.450380,211.487347,79.119990,0.000000,17.782005,-0.000000,7,7
"chord_mrx_09_000012",84.559986,147.513469,81.156623,0.000000,10.500689,-0.000000,3,5
"chord_mrx_09_000013",79.067068,277.080816,76.462788,0.000000,13.234673,0.000000,8,8
"chord_mrx_09_000014",76.131186,269.688163,71.788463,0.000000,5.766471,0.000000,5,5
"chord_mrx_09_000015",75.255304,138.292245,74.935514,0.000000,24.667325,0.000000,9,7
"chord_mrx_09_000016",90.768542,180.192653,88.508157,0.000000,8.759953,-0.000000,7,7
"chord_mrx_09_000017",0.241135,162.115918,0.000000,0.000000,99.390085,0.000000,7,7
"chord_mrx_09_000018",96.930844,101.459592,85.714958,0.000000,1.882846,0.000000,3,3
"chord_mrx_09_000019",84.971054,147.826939,82.551374,0.000000,13.373817,-0.000000,5,5
"chord_mrx_09_000020",80.597035,130.089796,76.880529,0.000000,18.177691,-0.000000,6,7
"chord_mrx_09_000021",86.594153,204.560000,85.907313,0.000000,10.746969,0.000000,5,6
"chord_mrx_09_000022",82.384344,157.152653,79.951899,0.000000,16.558230,-0.000000,4,4
"chord_mrx_09_000023",98.286080,110.184490,94.259185,0.000000,1.675370,-0.000000,4,5
"chord_mrx_09_000024",97.410834,156.186122,94.559583,0.000000,2.233116,-0.000000,7,7
"chord_mrx_09_000025",86.208384,183.133000,83.779548,0.000000,11.368241,-0.000000,6,7
"chord_mrx_09_000026",95.441594,174.158367,94.767859,0.000000,2.911291,-0.000000,3,3
"chord_mrx_09_000027",89.996823,184.346122,88.531578,0.000000,9.851925,0.000000,5,5
"chord_mrx_09_000028",78.970563,358.293000,77.368243,0.000000,17.507180,0.000000,12,12
