MirexRoot
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",82.520498,164.310204,82.220675,0.000000,15.574599,0.000000,4,7
"chord_mrx_09_000001",81.867500,236.721633,81.840525,0.000000,15.457982,0.000000,2,1
"chord_mrx_09_000002",82.699296,182.909388,82.632648,0.000000,14.189203,-0.000000,5,8
"chord_mrx_09_000003",71.532214,153.469388,71.245777,0.000000,22.484009,-0.000000,4,9
"chord_mrx_09_000004",81.558990,242.416327,81.501518,0.000000,16.154367,-0.000000,11,12
"chord_mrx_09_000005",79.545120,203.413000,79.450752,0.000000,11.920006,-0.000000,9,12
"chord_mrx_09_000006",73.862528,183.771429,73.529274,0.000000,23.494815,-0.000000,4,6
"chord_mrx_09_000007",77.665343,112.875102,77.000447,0.000000,17.855761,0.000000,6,8
"chord_mrx_09_000008",78.009310,183.013878,77.225854,0.000000,19.802278,-0.000000,10,10
"chord_mrx_09_000009",92.575862,164.022857,92.492693,0.000000,6.822570,0.000000,7,8
"chord_mrx_09_000010",78.403767,149.394286,78.372682,0.000000,17.779174,0.000000,6,6
"chord_mrx_09_000011",83.027486,211.487347,82.785940,0.000000,14.143890,-0.000000,7,8
"chord_mrx_09_000012",77.879449,147.513469,77.155367,0.000000,19.391703,0.000000,3,7
"chord_mrx_09_000013",84.125989,277.080816,82.558627,0.000000,14.423107,0.000000,8,11
"chord_mrx_09_000014",81.457196,269.688163,81.297912,0.000000,13.518571,0.000000,5,10
"chord_mrx_09_000015",67.426396,138.292245,67.363432,0.000000,32.239408,-0.000000,9,8
"chord_mrx_09_000016",86.994697,180.192653,86.968924,0.000000,10.312841,0.000000,7,8
"chord_mrx_09_000017",0.168296,162.115918,0.000000,0.000000,99.390085,0.000000,7,7
"chord_mrx_09_000018",84.533280,101.459592,84.304421,0.000000,3.293384,-0.000000,3,4
"chord_mrx_09_000019",70.809572,147.826939,70.395286,0.000000,25.529905,0.000000,5,5
"chord_mrx_09_000020",72.299234,130.089796,71.647739,0.000000,23.410481,-0.000000,6,7
"chord_mrx_09_000021",81.354840,204.560000,81.148074,0.000000,15.376251,-0.000000,5,6
"chord_mrx_09_000022",74.729549,157.152653,74.493142,0.000000,22.016987,0.000000,4,4
"chord_mrx_09_000023",89.627214,110.184490,89.432282,0.000000,6.540823,0.000000,4,5
"chord_mrx_09_000024",87.173188,156.186122,86.870276,0.000000,9.933861,0.000000,7,8
"chord_mrx_09_000025",81.916158,183.133000,81.124887,0.000000,16.229933,-0.000000,6,11
"chord_mrx_09_000026",93.564572,174.158367,92.732947,0.000000,4.946202,-0.000000,3,5
"chord_mrx_09_000027",87.680496,184.346122,87.641134,0.000000,10.742369,-0.000000,5,6
"chord_mrx_09_000028",79.300553,358.293000,79.259128,0.000000,17.308485,0.000000,12,12
"chord_mrx_09_000029",81.791422,122.280000,81.750403,0.000000,14.539260,-0.000000,7,8
"chord_mrx_09_000030",41.044700,122.773000,20.100690,0.000000,3.622767,0.000000,3,4
"chord_mrx_09_000031",21.349091,230.426122,21.328938,0.000000,74.375216,0.000000,3,5
"chord_mrx_09_000032",58.433177,23.144490,58.232525,0.000000,40.085157,0.000000,5,7
"chord_mrx_09_000033",90.350641,151.092245,89.997176,0.000000,6.589901,0.000000,11,12
"chord_mrx_09_000034",87.967681,158.066939,87.624303,0.000000,8.381920,-0.000000,5,8
"chord_mrx_09_000035",82.966469,171.800000,82.874447,0.000000,12.308324,0.000000,8,9
"chord_mrx_09_000036",84.498048,217.887347,84.262347,0.000000,14.492158,0.000000,6,6
"chord_mrx_09_000037",80.064353,124.551837,79.654211,0.000000,16.535943,-0.000000,4,7
"chord_mrx_09_000038",89.833493,195.343673,89.705711,0.000000,9.120487,0.000000,8,9
"chord_mrx_09_000039",75.423123,342.547000,66.448232,0.000000,21.155805,0.000000,8,11
"chord_mrx_09_000040",88.247360,228.600000,88.196771,0.000000,9.944524,-0.000000,6,8
"chord_mrx_09_000041",78.345695,174.915918,77.403176,0.000000,18.850696,0.000000,7,10
"chord_mrx_09_000042",86.841771,127.686531,86.423513,0.000000,10.074432,0.000000,3,4
"chord_mrx_09_000043",70.945559,162.925714,63.037720,0.000000,22.166484,-0.000000,5,10
"chord_mrx_09_000044",80.401832,152.581224,79.974337,0.000000,16.972160,0.000000,5,9
"chord_mrx_09_000045",78.080598,145.737143,77.766850,0.000000,20.931492,0.000000,8,9
"chord_mrx_09_000046",83.070222,175.827000,83.014268,0.000000,15.653741,-0.000000,8,10
"chord_mrx_09_000047",78.318293,40.620408,77.325081,0.000000,15.583739,0.000000,3,7
"chord_mrx_09_000048",84.834621,152.555102,84.073586,0.000000,12.737196,-0.000000,6,7
"chord_mrx_09_000049",68.439424,167.627755,68.161119,0.000000,28.666703,-0.000000,3,6
"chord_mrx_09_000050",14.272234,194.089796,14.156215,0.000000,82.715676,0.000000,6,8
"chord_mrx_09_000051",70.531434,150.282449,69.726057,0.000000,25.515615,0.000000,5,8
"chord_mrx_09_000052",79.833875,72.751020,79.833875,0.000000,19.428044,-0.000000,6,6
"chord_mrx_09_000053",80.987515,181.211429,80.524618,0.000000,14.193021,0.000000,2,7
"chord_mrx_09_000054",66.940412,217.965714,65.843150,0.000000,29.144801,-0.000000,6,8
"chord_mrx_09_000055",89.229609,170.814694,89.061387,0.000000,7.778182,-0.000000,3,6
"chord_mrx_09_000056",87.679277,192.496327,87.653643,0.000000,9.637972,0.000000,6,6
"chord_mrx_09_000057",87.768458,228.571429,87.628776,0.000000,9.662630,-0.000000,6,6
"chord_mrx_09_000058",83.061805,136.986122,82.629566,0.000000,12.024615,-0.000000,5,8
"chord_mrx_09_000059",78.186318,210.747000,78.140969,0.000000,20.921414,-0.000000,8,10
"chord_mrx_09_000060",76.281284,181.890612,76.128094,0.000000,23.539729,0.000000,7,10
"chord_mrx_09_000061",87.368951,147.774694,87.178430,0.000000,9.691740,-0.000000,6,6
"chord_mrx_09_000062",92.903847,255.738776,92.712568,0.000000,6.156069,0.000000,6,6
"chord_mrx_09_000063",65.098242,139.833469,59.518025,0.000000,15.582844,0.000000,8,8
"chord_mrx_09_000064",77.888644,215.800000,77.406076,0.000000,18.478836,0.000000,7,8
"chord_mrx_09_000065",73.256814,191.686531,73.072083,0.000000,25.503726,-0.000000,5,8
"chord_mrx_09_000066",74.996181,297.667000,74.969285,0.000000,16.579325,-0.000000,7,9
"chord_mrx_09_000067",77.185751,138.370612,76.428509,0.000000,19.573536,-0.000000,5,6
"chord_mrx_09_000068",79.563467,208.457143,79.541189,0.000000,18.941311,0.000000,7,11
"chord_mrx_09_000069",87.838982,124.342857,87.657364,0.000000,9.683617,0.000000,10,10
"chord_mrx_09_000070",91.046638,140.434286,90.550606,0.000000,8.194976,0.000000,8,8
"chord_mrx_09_000071",85.224090,164.101224,85.064906,0.000000,12.308751,0.000000,5,5
"chord_mrx_09_000072",87.791068,152.737959,85.632316,0.000000,10.006729,-0.000000,4,5
"chord_mrx_09_000073",43.473316,305.084082,43.451434,0.000000,55.950627,0.000000,2,9
