MirexRoot
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",49.535868,164.310204,47.458804,0.000000,47.878902,0.000000,4,9
"chord_mrx_09_000001",81.523689,236.721633,79.219974,0.000000,15.457982,-0.000000,2,1
"chord_mrx_09_000002",81.390463,182.909388,79.107303,0.000000,17.266913,0.000000,5,5
"chord_mrx_09_000003",57.397330,153.469388,51.749627,0.000000,42.238404,-0.000000,4,7
"chord_mrx_09_000004",69.900256,242.416327,69.208656,0.000000,28.419703,-0.000000,11,12
"chord_mrx_09_000005",74.215987,203.413000,71.495529,0.000000,19.875229,0.000000,9,10
"chord_mrx_09_000006",65.536714,183.771429,62.722541,0.000000,33.302633,0.000000,4,8
"chord_mrx_09_000007",85.149439,112.875102,80.283925,0.000000,14.599725,0.000000,6,7
"chord_mrx_09_000008",74.118117,183.013878,73.748832,0.000000,23.279300,-0.000000,10,11
"chord_mrx_09_000009",77.028499,164.022857,76.868667,0.000000,22.393328,-0.000000,7,8
"chord_mrx_09_000010",74.312220,149.394286,70.815004,0.000000,25.336853,-0.000000,6,7
"chord_mrx_09_000011",71.775447,211.487347,68.802809,0.000000,27.699957,0.000000,7,10
"chord_mrx_09_000012",69.337571,147.513469,66.453387,0.000000,28.863692,-0.000000,3,8
"chord_mrx_09_000013",73.835986,277.080816,72.255274,0.000000,24.900518,0.000000,8,9
"chord_mrx_09_000014",75.333940,269.688163,74.076857,0.000000,20.084104,-0.000000,5,7
"chord_mrx_09_000015",64.008444,138.292245,63.857879,0.000000,35.578733,0.000000,9,8
"chord_mrx_09_000016",70.590253,180.192653,68.211588,0.000000,29.070177,0.000000,7,7
"chord_mrx_09_000017",0.609915,162.115918,0.000000,0.000000,98.801312,-0.000000,7,7
"chord_mrx_09_000018",76.943007,101.459592,75.178420,0.000000,12.419385,-0.000000,3,7
"chord_mrx_09_000019",52.677765,147.826939,48.843165,0.000000,46.372030,0.000000,5,6
"chord_mrx_09_000020",52.236681,130.089796,51.457960,0.000000,43.600260,-0.000000,6,6
