MirexRoot
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",86.231000,164.310204,84.769984,0.000000,13.025386,0.000000,4,6
"chord_mrx_09_000001",83.708387,236.721633,81.840525,0.000000,15.457982,-0.000000,2,1
"chord_mrx_09_000002",92.229784,182.909388,90.119568,0.000000,6.691565,-0.000000,5,6
"chord_mrx_09_000003",85.612301,153.469388,83.612567,0.000000,10.088496,-0.000000,4,5
"chord_mrx_09_000004",82.529279,242.416327,82.320412,0.000000,15.354630,0.000000,11,10
"chord_mrx_09_000005",81.125592,203.413000,79.042637,0.000000,12.310423,0.000000,9,11
"chord_mrx_09_000006",77.804428,183.771429,75.932008,0.000000,21.064624,-0.000000,4,4
"chord_mrx_09_000007",84.894853,112.875102,80.529602,0.000000,14.244461,-0.000000,6,7
"chord_mrx_09_000008",78.502699,183.013878,76.067025,0.000000,20.913975,0.000000,10,11
"chord_mrx_09_000009",92.593363,164.022857,92.280689,0.000000,7.062886,0.000000,7,7
"chord_mrx_09_000010",86.009756,149.394286,82.432453,0.000000,13.719403,0.000000,6,6
"chord_mrx_09_000011",85.254179,211.487347,83.484106,0.000000,13.415525,0.000000,7,7
"chord_mrx_09_000012",89.933298,147.513469,86.830810,0.000000,9.691258,-0.000000,3,6
"chord_mrx_09_000013",88.725507,277.080816,87.055808,0.000000,10.009704,-0.000000,8,9
"chord_mrx_09_000014",89.328765,269.688163,85.072432,0.000000,7.104212,0.000000,5,5
"chord_mrx_09_000015",75.652724,138.292245,75.311872,0.000000,24.232488,0.000000,9,9
"chord_mrx_09_000016",81.180320,180.192653,78.869988,0.000000,18.400897,-0.000000,7,7
"chord_mrx_09_000017",0.312072,162.115918,0.000000,0.000000,99.390085,0.000000,7,7
"chord_mrx_09_000018",87.898400,101.459592,86.262683,0.000000,1.335122,0.000000,3,3
"chord_mrx_09_000019",79.706909,147.826939,77.421102,0.000000,18.464922,-0.000000,5,5
"chord_mrx_09_000020",73.403571,130.089796,69.801977,0.000000,25.245104,-0.000000,6,7
"chord_mrx_09_000021",88.811596,204.560000,87.992765,0.000000,8.531971,-0.000000,5,5
"chord_mrx_09_000022",82.676226,157.152653,80.211712,0.000000,16.254125,-0.000000,4,4
"chord_mrx_09_000023",94.966076,110.184490,91.527598,0.000000,4.440224,0.000000,4,4
"chord_mrx_09_000024",91.035574,156.186122,88.165116,0.000000,8.592369,-0.000000,7,7
"chord_mrx_09_000025",83.282096,183.133000,81.123555,0.000000,16.309458,-0.000000,6,9
"chord_mrx_09_000026",94.754455,174.158367,93.435251,0.000000,4.203210,0.000000,3,3
"chord_mrx_09_000027",85.188600,184.346122,84.369528,0.000000,13.885849,0.000000,5,6
"chord_mrx_09_000028",79.048991,358.293000,78.269740,0.000000,18.297594,-0.000000,12,12
"chord_mrx_09_000029",90.551194,122.280000,88.430651,0.000000,7.280831,-0.000000,7,8
"chord_mrx_09_000030",71.981625,122.773000,20.642161,0.000000,2.867894,0.000000,3,3
"chord_mrx_09_000031",24.584476,230.426122,23.655762,0.000000,69.328045,0.000000,3,4
"chord_mrx_09_000032",73.021682,23.144490,71.615261,0.000000,25.081620,0.000000,5,6
"chord_mrx_09_000033",94.323569,151.092245,91.542324,0.000000,5.044753,0.000000,11,11
"chord_mrx_09_000034",89.615729,158.066939,87.270558,0.000000,8.735665,0.000000,5,5
"chord_mrx_09_000035",89.486030,171.800000,88.123981,0.000000,7.058789,0.000000,8,8
"chord_mrx_09_000036",86.793582,217.887347,86.302365,0.000000,12.496474,-0.000000,6,6
"chord_mrx_09_000037",88.679223,124.551837,85.691040,0.000000,10.499114,-0.000000,4,6
"chord_mrx_09_000038",91.684466,195.343673,91.390793,0.000000,7.459179,-0.000000,8,9
"chord_mrx_09_000039",70.839038,342.547000,59.856896,0.000000,27.706855,0.000000,8,9
"chord_mrx_09_000040",89.143045,228.600000,88.438758,0.000000,9.702537,0.000000,6,7
"chord_mrx_09_000041",82.157564,174.915918,81.136549,0.000000,15.117323,0.000000,7,9
"chord_mrx_09_000042",89.440941,127.686531,86.444125,0.000000,10.053820,0.000000,3,3
"chord_mrx_09_000043",90.462121,162.925714,81.021629,0.000000,8.221497,-0.000000,5,7
"chord_mrx_09_000044",93.012434,152.581224,90.547111,0.000000,6.828376,-0.000000,5,7
"chord_mrx_09_000045",86.435479,145.737143,85.578289,0.000000,13.091206,0.000000,8,7
"chord_mrx_09_000046",88.136634,175.827000,87.132807,0.000000,11.505628,0.000000,8,10
"chord_mrx_09_000047",89.542052,40.620408,82.450873,0.000000,8.439401,-0.000000,3,5
"chord_mrx_09_000048",88.576889,152.555102,85.387671,0.000000,11.141385,0.000000,6,6
"chord_mrx_09_000049",81.584158,167.627755,78.948467,0.000000,18.102801,0.000000,3,5
"chord_mrx_09_000050",14.685827,194.089796,14.479264,0.000000,79.754976,0.000000,6,6
"chord_mrx_09_000051",83.065486,150.282449,80.102766,0.000000,15.138906,-0.000000,5,9
"chord_mrx_09_000052",77.350510,72.751020,77.350510,0.000000,21.974558,-0.000000,6,6
"chord_mrx_09_000053",86.609504,181.211429,84.020579,0.000000,10.697060,0.000000,2,4
"chord_mrx_09_000054",62.146102,217.965714,60.835936,0.000000,34.769891,-0.000000,6,5
