MirexRoot
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",80.218833,164.310204,79.950806,0.000000,17.908060,-0.000000,4,6
"chord_mrx_09_000001",79.967011,236.721633,79.741405,0.000000,17.557102,0.000000,2,3
"chord_mrx_09_000002",85.003522,182.909388,84.762750,0.000000,11.925377,-0.000000,5,5
"chord_mrx_09_000003",58.014362,153.469388,57.577483,0.000000,36.410548,-0.000000,4,8
"chord_mrx_09_000004",77.402954,242.416327,77.402954,0.000000,20.200248,-0.000000,11,11
"chord_mrx_09_000005",75.769935,203.413000,75.461725,0.000000,15.909033,-0.000000,9,10
"chord_mrx_09_000006",71.740831,183.771429,71.490769,0.000000,25.530678,0.000000,4,6
"chord_mrx_09_000007",83.941058,112.875102,83.505019,0.000000,11.392332,-0.000000,6,8
"chord_mrx_09_000008",65.157646,183.013878,64.973676,0.000000,32.054455,0.000000,10,10
"chord_mrx_09_000009",87.178588,164.022857,87.178588,0.000000,12.051735,-0.000000,7,7
"chord_mrx_09_000010",80.803656,149.394286,80.401488,0.000000,15.750368,-0.000000,6,6
"chord_mrx_09_000011",75.289133,211.487347,75.035627,0.000000,21.862246,-0.000000,7,8
"chord_mrx_09_000012",74.890382,147.513469,74.561791,0.000000,21.985279,0.000000,3,5
"chord_mrx_09_000013",80.081070,277.080816,79.915219,0.000000,17.298100,0.000000,8,8
"chord_mrx_09_000014",65.897062,269.688163,65.758231,0.000000,29.050714,0.000000,5,9
"chord_mrx_09_000015",61.693342,138.292245,61.637033,0.000000,37.963348,0.000000,9,6
"chord_mrx_09_000016",42.435412,180.192653,42.191009,0.000000,55.090320,-0.000000,7,7
"chord_mrx_09_000017",0.164715,162.115918,0.000000,0.000000,99.390085,0.000000,7,8
"chord_mrx_09_000018",84.517400,101.459592,84.402970,0.000000,3.194834,-0.000000,3,3
"chord_mrx_09_000019",56.727322,147.826939,56.289474,0.000000,39.635717,-0.000000,5,6
"chord_mrx_09_000020",77.698439,130.089796,77.296833,0.000000,17.761387,0.000000,6,6
"chord_mrx_09_000021",87.933064,204.560000,87.703596,0.000000,8.939917,0.000000,5,8
"chord_mrx_09_000022",76.263393,157.152653,75.983160,0.000000,20.519083,0.000000,4,4
"chord_mrx_09_000023",86.178464,110.184490,85.656890,0.000000,10.316215,0.000000,4,5
"chord_mrx_09_000024",75.521391,156.186122,75.124433,0.000000,21.677115,-0.000000,7,6
"chord_mrx_09_000025",71.031609,183.133000,71.025270,0.000000,26.462349,0.000000,6,8
"chord_mrx_09_000026",87.281321,174.158367,86.963004,0.000000,10.716145,0.000000,3,6
"chord_mrx_09_000027",80.076431,184.346122,79.874898,0.000000,18.508605,-0.000000,5,5
"chord_mrx_09_000028",74.700960,358.293000,74.533163,0.000000,22.034451,-0.000000,12,12
"chord_mrx_09_000029",79.699791,122.280000,79.411911,0.000000,16.877752,-0.000000,7,7
"chord_mrx_09_000030",14.007806,122.773000,13.629548,0.000000,10.093909,0.000000,3,4
"chord_mrx_09_000031",22.281430,230.426122,21.979120,0.000000,73.741408,0.000000,3,5
"chord_mrx_09_000032",57.972584,23.144490,56.566163,0.000000,41.577805,-0.000000,5,6
"chord_mrx_09_000033",86.821044,151.092245,86.383054,0.000000,10.204023,0.000000,11,11
