MirexRoot
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",75.676217,164.310204,73.953741,0.000000,23.969195,-0.000000,4,5
"chord_mrx_09_000001",86.136547,236.721633,84.310929,0.000000,12.987578,0.000000,2,2
"chord_mrx_09_000002",83.324550,182.909388,80.857658,0.000000,15.889204,0.000000,5,6
"chord_mrx_09_000003",74.958761,153.469388,74.651521,0.000000,19.031280,-0.000000,4,3
"chord_mrx_09_000004",81.407013,242.416327,81.050474,0.000000,16.576713,0.000000,11,10
"chord_mrx_09_000005",80.238382,203.413000,77.313763,0.000000,14.056995,-0.000000,9,10
"chord_mrx_09_000006",74.957153,183.771429,74.715159,0.000000,22.308930,0.000000,4,4
"chord_mrx_09_000007",89.872553,112.875102,84.875171,0.000000,9.852428,-0.000000,6,6
"chord_mrx_09_000008",77.449425,183.013878,74.490530,0.000000,22.472749,-0.000000,10,10
"chord_mrx_09_000009",91.612798,164.022857,91.586254,0.000000,7.740234,-0.000000,7,8
"chord_mrx_09_000010",83.420678,149.394286,79.744336,0.000000,16.407520,0.000000,6,6
"chord_mrx_09_000011",92.882053,211.487347,90.011251,0.000000,6.918579,-0.000000,7,7
"chord_mrx_09_000012",90.331202,147.513469,86.878272,0.000000,9.297365,-0.000000,3,5
"chord_mrx_09_000013",86.681889,277.080816,84.186812,0.000000,12.749126,-0.000000,8,9
"chord_mrx_09_000014",89.182315,269.688163,87.583391,0.000000,7.233093,0.000000,5,5
"chord_mrx_09_000015",57.053307,138.292245,56.692188,0.000000,42.742279,0.000000,9,5
"chord_mrx_09_000016",64.485892,180.192653,62.256835,0.000000,35.024930,0.000000,7,7
"chord_mrx_09_000017",0.444560,162.115918,0.000000,0.000000,99.348669,0.000000,7,7
"chord_mrx_09_000018",96.927834,101.459592,84.525639,0.000000,0.359378,0.000000,3,3
"chord_mrx_09_000019",83.607016,147.826939,80.512204,0.000000,15.412988,0.000000,5,5
"chord_mrx_09_000020",73.465426,130.089796,69.847835,0.000000,24.933857,-0.000000,6,6
"chord_mrx_09_000021",85.749368,204.560000,85.610710,0.000000,10.891534,0.000000,5,6
"chord_mrx_09_000022",85.997332,157.152653,82.904423,0.000000,13.605706,0.000000,4,4
"chord_mrx_09_000023",95.309986,110.184490,91.346750,0.000000,4.236470,0.000000,4,4
"chord_mrx_09_000024",89.261427,156.186122,86.094451,0.000000,10.571575,-0.000000,7,7
"chord_mrx_09_000025",80.686961,183.133000,78.174580,0.000000,15.801952,-0.000000,6,7
"chord_mrx_09_000026",95.853312,174.158367,94.798678,0.000000,2.880471,0.000000,3,3
"chord_mrx_09_000027",94.394102,184.346122,93.624821,0.000000,4.758682,0.000000,5,5
