MirexRoot
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",74.557032,164.310204,72.479969,0.000000,25.252853,-0.000000,4,5
"chord_mrx_09_000001",83.761228,236.721633,81.256524,0.000000,15.975468,0.000000,2,2
"chord_mrx_09_000002",68.080882,182.909388,65.583177,0.000000,31.065993,0.000000,5,5
"chord_mrx_09_000003",66.573921,153.469388,60.561952,0.000000,32.788912,0.000000,4,8
"chord_mrx_09_000004",80.712312,242.416327,78.892580,0.000000,18.636020,-0.000000,11,10
"chord_mrx_09_000005",75.489767,203.413000,72.083888,0.000000,19.286870,0.000000,9,11
"chord_mrx_09_000006",74.801843,183.771429,71.825932,0.000000,23.931608,0.000000,4,5
"chord_mrx_09_000007",85.199178,112.875102,80.113059,0.000000,14.438351,0.000000,6,6
"chord_mrx_09_000008",76.759383,183.013878,74.262201,0.000000,22.712007,0.000000,10,10
"chord_mrx_09_000009",85.276871,164.022857,84.620447,0.000000,14.493789,0.000000,7,6
"chord_mrx_09_000010",77.256192,149.394286,73.408049,0.000000,22.418910,0.000000,6,7
"chord_mrx_09_000011",66.829321,211.487347,63.759152,0.000000,32.459371,0.000000,7,9
"chord_mrx_09_000012",78.487288,147.513469,75.544900,0.000000,19.935792,0.000000,3,6
"chord_mrx_09_000013",77.843821,277.080816,76.127369,0.000000,20.990310,0.000000,8,7
"chord_mrx_09_000014",73.245471,269.688163,71.102690,0.000000,22.501529,0.000000,5,10
"chord_mrx_09_000015",60.225056,138.292245,59.884204,0.000000,39.508304,0.000000,9,5
"chord_mrx_09_000016",40.687007,180.192653,37.968779,0.000000,59.224411,0.000000,7,6
"chord_mrx_09_000017",0.609915,162.115918,0.000000,0.000000,98.882949,0.000000,7,7
"chord_mrx_09_000018",85.638710,101.459592,83.490832,0.000000,3.939059,0.000000,3,4
"chord_mrx_09_000019",53.653487,147.826939,49.578678,0.000000,45.437833,-0.000000,5,5
"chord_mrx_09_000020",61.226635,130.089796,57.320076,0.000000,37.363202,-0.000000,6,6
"chord_mrx_09_000021",83.190751,204.560000,81.052503,0.000000,13.574990,-0.000000,5,5
"chord_mrx_09_000022",82.704240,157.152653,79.214369,0.000000,16.810099,0.000000,4,4
"chord_mrx_09_000023",90.591289,110.184490,86.564394,0.000000,8.557887,0.000000,4,5
"chord_mrx_09_000024",79.901045,156.186122,76.705182,0.000000,19.846290,0.000000,7,7
"chord_mrx_09_000025",76.419324,183.133000,74.288086,0.000000,23.199533,0.000000,6,8
"chord_mrx_09_000026",76.789427,174.158367,75.374986,0.000000,22.304163,0.000000,3,5
"chord_mrx_09_000027",85.108949,184.346122,84.161751,0.000000,14.221752,0.000000,5,7
"chord_mrx_09_000028",74.637517,358.293000,73.035197,0.000000,21.819572,-0.000000,12,12
"chord_mrx_09_000029",75.732745,122.280000,73.743867,0.000000,21.921819,0.000000,7,7
"chord_mrx_09_000030",20.700806,122.773000,18.977300,0.000000,4.325055,0.000000,3,4
"chord_mrx_09_000031",19.908331,230.426122,19.012165,0.000000,72.947452,0.000000,3,4
"chord_mrx_09_000032",56.724032,23.144490,55.317611,0.000000,41.098426,0.000000,5,5
"chord_mrx_09_000033",93.967120,151.092245,91.023723,0.000000,5.563354,-0.000000,11,11
"chord_mrx_09_000034",87.980314,158.066939,83.986537,0.000000,10.960579,-0.000000,5,5
"chord_mrx_09_000035",79.686845,171.800000,77.344587,0.000000,16.370780,-0.000000,8,9
"chord_mrx_09_000036",79.261561,217.887347,78.160015,0.000000,20.519419,-0.000000,6,6
"chord_mrx_09_000037",85.695541,124.551837,81.885694,0.000000,13.279502,-0.000000,4,6
"chord_mrx_09_000038",87.949058,195.343673,86.799029,0.000000,10.027757,0.000000,8,8
"chord_mrx_09_000039",65.806152,342.547000,64.026834,0.000000,23.305123,0.000000,8,9
"chord_mrx_09_000040",85.349519,228.600000,83.490814,0.000000,13.562992,0.000000,6,6
"chord_mrx_09_000041",64.625174,174.915918,63.492141,0.000000,32.696522,0.000000,7,8
"chord_mrx_09_000042",79.716320,127.686531,76.214265,0.000000,19.978340,-0.000000,3,5
"chord_mrx_09_000043",59.443944,162.925714,58.711949,0.000000,31.440560,0.000000,5,8
"chord_mrx_09_000044",78.005758,152.581224,75.394094,0.000000,21.577209,0.000000,5,8
"chord_mrx_09_000045",72.628844,145.737143,71.338068,0.000000,26.945044,0.000000,8,7
"chord_mrx_09_000046",90.885928,175.827000,89.553937,0.000000,9.031605,-0.000000,8,8
"chord_mrx_09_000047",86.188964,40.620408,79.097785,0.000000,10.930853,0.000000,3,3
"chord_mrx_09_000048",77.293306,152.555102,74.104089,0.000000,21.425329,0.000000,6,7
"chord_mrx_09_000049",79.151945,167.627755,76.444820,0.000000,20.376620,-0.000000,3,5
"chord_mrx_09_000050",13.845577,194.089796,13.639014,0.000000,80.502486,0.000000,6,7
"chord_mrx_09_000051",78.002454,150.282449,74.657777,0.000000,18.656866,0.000000,5,7
"chord_mrx_09_000052",68.423618,72.751020,68.423618,0.000000,30.860213,0.000000,6,6
"chord_mrx_09_000053",57.260863,181.211429,54.202000,0.000000,39.743934,0.000000,2,7
"chord_mrx_09_000054",72.448798,217.965714,70.037540,0.000000,25.568287,0.000000,6,5
"chord_mrx_09_000055",90.492977,170.814694,87.332545,0.000000,9.354102,0.000000,3,3
"chord_mrx_09_000056",84.760511,192.496327,82.052127,0.000000,13.869184,0.000000,6,6
"chord_mrx_09_000057",88.031615,228.571429,85.323020,0.000000,10.999167,-0.000000,6,5
"chord_mrx_09_000058",70.608101,136.986122,65.262281,0.000000,28.509992,0.000000,5,5
"chord_mrx_09_000059",72.931999,210.747000,72.076945,0.000000,26.098118,0.000000,8,9
"chord_mrx_09_000060",68.829877,181.890612,68.591848,0.000000,28.230081,0.000000,7,8
"chord_mrx_09_000061",77.755584,147.774694,74.888564,0.000000,20.720928,-0.000000,6,6
"chord_mrx_09_000062",87.701724,255.738776,86.996794,0.000000,10.637014,0.000000,6,5
"chord_mrx_09_000063",71.249948,139.833469,59.502321,0.000000,17.386242,0.000000,8,7
"chord_mrx_09_000064",72.873957,215.800000,70.991659,0.000000,24.499537,0.000000,7,7
"chord_mrx_09_000065",65.511893,191.686531,64.087702,0.000000,33.595217,0.000000,5,5
"chord_mrx_09_000066",73.656468,297.667000,71.465094,0.000000,18.817336,0.000000,7,8
"chord_mrx_09_000067",76.091455,138.370612,72.623821,0.000000,23.235544,0.000000,5,6
"chord_mrx_09_000068",68.829393,208.457143,67.311893,0.000000,29.091616,0.000000,7,8
"chord_mrx_09_000069",86.503571,124.342857,84.715888,0.000000,12.648891,0.000000,10,9
"chord_mrx_09_000070",89.536705,140.434286,88.282287,0.000000,9.909546,-0.000000,8,8
"chord_mrx_09_000071",86.444174,164.101224,83.817831,0.000000,12.872490,0.000000,5,6
"chord_mrx_09_000072",88.761844,152.737959,84.574376,0.000000,10.444584,0.000000,4,4
"chord_mrx_09_000073",54.535585,305.084082,53.937647,0.000000,44.459817,-0.000000,2,8
"chord_mrx_09_000074",84.246804,148.741224,83.421191,0.000000,15.340938,-0.000000,8,7
"chord_mrx_09_000075",90.410812,147.670204,87.378643,0.000000,8.993438,0.000000,4,4
"chord_mrx_09_000076",86.658899,161.358367,85.661215,0.000000,13.075530,-0.000000,9,8
"chord_mrx_09_000077",91.646234,142.053878,87.962377,0.000000,7.975446,0.000000,9,9
"chord_mrx_09_000078",90.620478,147.983673,87.494790,0.000000,9.053023,-0.000000,6,6
"chord_mrx_09_000079",80.637293,146.311837,80.637293,0.000000,18.721397,0.000000,9,8
"chord_mrx_09_000080",61.059516,172.173000,59.304885,0.000000,38.770887,-0.000000,6,6
"chord_mrx_09_000081",91.570647,175.804082,88.712874,0.000000,7.459470,0.000000,3,4
"chord_mrx_09_000082",89.945844,157.648980,86.613667,0.000000,9.812583,0.000000,8,8
"chord_mrx_09_000083",89.731915,157.727347,89.394404,0.000000,9.799004,0.000000,7,6
"chord_mrx_09_000084",88.032835,175.516735,84.693815,0.000000,11.578439,0.000000,4,6
"chord_mrx_09_000085",77.120026,163.317551,73.897744,0.000000,18.073735,-0.000000,6,7
"chord_mrx_09_000086",79.800670,250.514286,77.379777,0.000000,14.737339,0.000000,7,8
"chord_mrx_09_000087",86.629073,258.733000,84.337522,0.000000,8.615059,0.000000,5,5
"chord_mrx_09_000088",70.838024,145.867755,67.500871,0.000000,28.510753,-0.000000,9,8
"chord_mrx_09_000089",78.479375,213.307000,73.941783,0.000000,14.653059,-0.000000,9,10
"chord_mrx_09_000090",85.734118,129.567347,82.517307,0.000000,13.764667,0.000000,7,7
"chord_mrx_09_000091",84.158414,158.850612,80.360174,0.000000,15.610498,0.000000,7,7
"chord_mrx_09_000092",81.320961,186.107000,79.465576,0.000000,17.848872,0.000000,9,9
"chord_mrx_09_000093",82.578083,119.353469,78.734936,0.000000,16.390074,0.000000,9,8
"chord_mrx_09_000094",77.192508,167.444898,76.171610,0.000000,22.701882,0.000000,4,4
"chord_mrx_09_000095",57.293729,167.888980,56.505166,0.000000,41.687699,0.000000,5,5
"chord_mrx_09_000096",90.014249,149.603265,86.661788,0.000000,9.769930,0.000000,6,7
"chord_mrx_09_000097",72.423262,118.700408,68.798400,0.000000,27.115340,0.000000,6,6
"chord_mrx_09_000098",91.293028,124.551837,87.154283,0.000000,8.018942,-0.000000,5,5
"chord_mrx_09_000099",80.850304,160.417959,78.308373,0.000000,17.220208,-0.000000,5,6
"chord_mrx_09_000100",69.971460,121.730612,65.622522,0.000000,29.209828,-0.000000,6,7
"chord_mrx_09_000101",90.688480,96.888163,90.688480,0.000000,8.590934,0.000000,7,7
"chord_mrx_09_000102",88.736712,118.987755,84.261716,0.000000,10.599939,0.000000,5,5
"chord_mrx_09_000103",68.426684,215.066122,67.681019,0.000000,31.472451,0.000000,5,7
"chord_mrx_09_000104",83.219839,154.697143,80.082981,0.000000,9.551831,-0.000000,5,5
"chord_mrx_09_000105",92.000805,129.776327,88.361252,0.000000,7.461309,-0.000000,6,6
"chord_mrx_09_000106",82.226021,188.839184,81.418365,0.000000,17.372967,-0.000000,6,6
"chord_mrx_09_000107",72.315811,168.045714,71.309378,0.000000,27.104319,0.000000,7,4
"chord_mrx_09_000108",71.772343,138.173000,68.587206,0.000000,23.907710,0.000000,6,5
"chord_mrx_09_000109",86.596558,146.494694,82.402387,0.000000,12.671397,-0.000000,3,6
"chord_mrx_09_000110",71.478985,177.266939,70.518574,0.000000,27.153333,-0.000000,3,4
"chord_mrx_09_000111",88.424904,149.890612,85.559398,0.000000,8.662647,-0.000000,4,6
"chord_mrx_09_000112",86.401296,123.324082,85.986694,0.000000,11.602041,-0.000000,5,7
"chord_mrx_09_000113",85.314372,202.605714,82.443287,0.000000,13.654693,0.000000,4,4
"chord_mrx_09_000114",56.708507,161.332245,56.360005,0.000000,37.210729,0.000000,4,5
"chord_mrx_09_000115",62.169527,333.792653,58.899838,0.000000,19.478795,-0.000000,9,7
"chord_mrx_09_000116",74.328817,117.733878,73.519707,0.000000,25.054299,-0.000000,5,9
"chord_mrx_09_000117",87.026432,165.433469,84.226064,0.000000,11.882058,-0.000000,5,5
"chord_mrx_09_000118",70.962687,128.026122,67.037132,0.000000,28.281667,-0.000000,5,5
"chord_mrx_09_000119",70.952545,156.708571,68.009505,0.000000,28.688992,-0.000000,7,7
"chord_mrx_09_000120",53.157152,241.040000,53.045138,0.000000,21.204364,-0.000000,6,8
