MirexRoot
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",7.195279,164.310204,7.106907,0.000000,90.816030,0.000000,4,2
"chord_mrx_09_000001",44.604005,236.721633,44.537837,0.000000,52.760670,0.000000,2,2
"chord_mrx_09_000002",1.569783,182.909388,1.477722,0.000000,95.344129,0.000000,5,2
"chord_mrx_09_000003",11.044484,153.469388,10.932808,0.000000,83.055223,0.000000,4,2
"chord_mrx_09_000004",10.978618,242.416327,10.902168,0.000000,86.772874,0.000000,11,2
"chord_mrx_09_000005",0.071775,203.413000,0.000000,0.000000,91.370758,0.000000,9,2
"chord_mrx_09_000006",19.019114,183.771429,18.938346,0.000000,78.085743,0.000000,4,2
"chord_mrx_09_000007",11.487391,112.875102,11.341121,0.000000,83.572760,0.000000,6,2
"chord_mrx_09_000008",13.312741,183.013878,13.214455,0.000000,83.813677,-0.000000,10,2
"chord_mrx_09_000009",9.023314,164.022857,8.911832,0.000000,90.431744,0.000000,7,2
"chord_mrx_09_000010",11.044141,149.394286,10.921455,0.000000,85.230401,0.000000,6,2
"chord_mrx_09_000011",23.000611,211.487347,22.912971,0.000000,74.016859,0.000000,7,2
"chord_mrx_09_000012",6.820186,147.513469,6.712081,0.000000,89.834989,-0.000000,3,2
"chord_mrx_09_000013",11.122332,277.080816,11.064653,0.000000,86.150418,0.000000,8,2
"chord_mrx_09_000014",0.164661,269.688163,0.108610,0.000000,94.707874,-0.000000,5,2
"chord_mrx_09_000015",4.599033,138.292245,4.468697,0.000000,95.134143,-0.000000,9,2
"chord_mrx_09_000016",7.648631,180.192653,7.568354,0.000000,89.713411,0.000000,7,2
"chord_mrx_09_000017",14.016208,162.115918,13.905227,0.000000,85.484858,0.000000,7,2
"chord_mrx_09_000018",0.172080,101.459592,0.000000,0.000000,87.597804,0.000000,3,2
"chord_mrx_09_000019",0.100076,147.826939,0.000000,0.000000,95.925191,-0.000000,5,2
"chord_mrx_09_000020",19.197004,130.089796,19.081087,0.000000,75.977133,-0.000000,6,2
"chord_mrx_09_000021",0.997165,204.560000,0.910149,0.000000,95.744134,-0.000000,5,2
"chord_mrx_09_000022",0.118135,157.152653,0.000000,0.000000,96.510129,0.000000,4,2
"chord_mrx_09_000023",5.847838,110.184490,5.694921,0.000000,90.278183,0.000000,4,2
"chord_mrx_09_000024",6.571102,156.186122,6.476265,0.000000,90.327872,0.000000,7,2
"chord_mrx_09_000025",1.204043,183.133000,1.116675,0.000000,96.370944,0.000000,6,2
"chord_mrx_09_000026",0.085191,174.158367,0.000000,0.000000,97.679149,-0.000000,3,2
"chord_mrx_09_000027",25.831018,184.346122,25.741446,0.000000,72.642057,0.000000,5,2
"chord_mrx_09_000028",5.435462,358.293000,5.394155,0.000000,91.173459,0.000000,12,2
"chord_mrx_09_000029",27.072211,122.280000,26.955267,0.000000,69.334396,0.000000,7,2
"chord_mrx_09_000030",0.594105,122.773000,0.454009,0.000000,23.269448,0.000000,3,2
"chord_mrx_09_000031",4.279471,230.426122,0.000000,0.000000,0.000000,0.000000,0,0
"chord_mrx_09_000032",10.635071,23.144490,10.635071,0.000000,87.281500,0.000000,5,2
"chord_mrx_09_000033",7.650144,151.092245,7.542762,0.000000,89.044315,0.000000,11,2
"chord_mrx_09_000034",4.823258,158.066939,4.715114,0.000000,91.291109,0.000000,5,2
"chord_mrx_09_000035",8.887311,171.800000,8.795343,0.000000,86.387427,-0.000000,8,2
"chord_mrx_09_000036",5.913344,217.887347,5.831950,0.000000,93.066504,-0.000000,6,2
"chord_mrx_09_000037",0.149205,124.551837,0.000000,0.000000,96.190153,0.000000,4,2
"chord_mrx_09_000038",17.938700,195.343673,17.858496,0.000000,80.991475,0.000000,8,2
"chord_mrx_09_000039",0.635533,342.547000,0.592911,0.000000,87.011125,0.000000,8,2
"chord_mrx_09_000040",12.453040,228.600000,12.382174,0.000000,85.759121,0.000000,6,2
"chord_mrx_09_000041",13.295257,174.915918,13.202116,0.000000,83.051756,0.000000,7,2
"chord_mrx_09_000042",23.355524,127.686531,23.228235,0.000000,73.269709,0.000000,3,2
"chord_mrx_09_000043",4.185273,162.925714,4.090927,0.000000,86.468580,0.000000,5,2
"chord_mrx_09_000044",4.628290,152.581224,4.520004,0.000000,92.868332,0.000000,5,2
"chord_mrx_09_000045",0.615219,145.737143,0.513568,0.000000,98.195656,0.000000,8,2
"chord_mrx_09_000046",5.173580,175.827000,5.091112,0.000000,93.576897,0.000000,8,2
"chord_mrx_09_000047",6.423914,40.620408,6.002431,0.000000,86.906390,0.000000,3,2
"chord_mrx_09_000048",10.519888,152.555102,10.397898,0.000000,86.412884,-0.000000,6,2
"chord_mrx_09_000049",0.098883,167.627755,0.000000,0.000000,97.230000,0.000000,3,2
"chord_mrx_09_000050",1.536337,194.089796,0.000000,0.000000,0.000000,0.000000,0,0
"chord_mrx_09_000051",10.343722,150.282449,10.248934,0.000000,84.992737,0.000000,5,2
"chord_mrx_09_000052",1.939698,72.751020,1.939698,0.000000,97.832924,0.000000,6,2
"chord_mrx_09_000053",38.985835,181.211429,38.907237,0.000000,55.810402,0.000000,2,2
"chord_mrx_09_000054",1.324851,217.965714,1.250199,0.000000,94.355628,0.000000,6,2
"chord_mrx_09_000055",11.054029,170.814694,10.967564,0.000000,85.872005,0.000000,3,2
"chord_mrx_09_000056",2.403798,192.496327,2.329860,0.000000,94.961755,-0.000000,6,2
"chord_mrx_09_000057",0.078938,228.571429,0.000000,0.000000,97.291406,0.000000,6,2
"chord_mrx_09_000058",21.898393,136.986122,21.771284,0.000000,72.882896,0.000000,5,2
"chord_mrx_09_000059",7.754972,210.747000,7.687592,0.000000,91.374791,0.000000,8,2
"chord_mrx_09_000060",3.823437,181.890612,3.823437,0.000000,95.844185,-0.000000,7,2
"chord_mrx_09_000061",5.111624,147.774694,5.015062,0.000000,91.855108,0.000000,6,2
"chord_mrx_09_000062",3.953410,255.738776,3.883114,0.000000,95.082520,-0.000000,6,2
"chord_mrx_09_000063",22.606297,139.833469,0.000000,0.000000,0.000000,0.000000,0,0
"chord_mrx_09_000064",6.948475,215.800000,6.865065,0.000000,89.072377,0.000000,7,2
"chord_mrx_09_000065",25.327101,191.686531,25.239181,0.000000,73.336627,0.000000,5,2
"chord_mrx_09_000066",0.205935,297.667000,0.147816,0.000000,91.400794,-0.000000,7,2
"chord_mrx_09_000067",10.453430,138.370612,10.333743,0.000000,85.668302,-0.000000,5,2
"chord_mrx_09_000068",3.506189,208.457143,3.422650,0.000000,95.059850,0.000000,7,2
"chord_mrx_09_000069",1.084371,124.342857,0.953397,0.000000,96.411382,0.000000,10,2
"chord_mrx_09_000070",7.293947,140.434286,7.162010,0.000000,91.583572,0.000000,8,2
"chord_mrx_09_000071",9.458807,164.101224,9.356295,0.000000,88.017362,0.000000,5,2
"chord_mrx_09_000072",0.119786,152.737959,0.000000,0.000000,95.639045,0.000000,4,2
"chord_mrx_09_000073",0.052471,305.084082,0.000000,0.000000,99.402061,0.000000,2,2
"chord_mrx_09_000074",5.141654,148.741224,5.020488,0.000000,94.153899,0.000000,8,2
"chord_mrx_09_000075",1.277916,147.670204,1.157916,0.000000,95.507110,0.000000,4,2
