MirexSevenths
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",77.326505,148.276825,75.626578,7.923894,4.009621,10.087934,5,8
"chord_mrx_09_000001",35.151657,200.129245,32.899796,63.277801,0.000000,0.626959,1,4
"chord_mrx_09_000002",83.988999,182.143129,81.200542,7.110925,4.273148,4.193448,6,12
"chord_mrx_09_000003",84.078048,153.469388,81.100920,5.275084,4.601467,2.603047,7,6
"chord_mrx_09_000004",75.748529,236.088889,75.570068,15.355861,3.558817,3.127985,18,28
"chord_mrx_09_000005",80.217716,194.841000,75.127412,5.751869,0.916132,9.177740,19,23
"chord_mrx_09_000006",64.750311,183.771429,62.306529,14.454604,14.689913,5.561911,5,7
"chord_mrx_09_000007",79.887326,112.875102,75.978331,7.283461,7.691349,3.936093,9,7
"chord_mrx_09_000008",70.041984,171.101752,67.314004,12.840462,1.612751,15.032822,15,17
"chord_mrx_09_000009",70.539849,164.022857,70.318626,21.749830,2.899782,4.375338,9,15
"chord_mrx_09_000010",81.779339,149.394286,78.299094,8.441431,4.909413,4.501918,8,10
"chord_mrx_09_000011",57.912756,201.753890,55.469938,22.722180,4.631216,13.958377,11,17
"chord_mrx_09_000012",77.036186,147.513469,73.632823,7.523800,9.571024,0.929666,3,7
"chord_mrx_09_000013",67.472928,277.080816,64.868648,11.594140,4.931111,8.303562,11,23
"chord_mrx_09_000014",55.993824,263.332325,51.546284,19.561260,2.538762,3.366890,6,7
"chord_mrx_09_000015",69.366737,111.962523,68.971743,13.634084,6.248556,10.655058,10,16
"chord_mrx_09_000016",33.371390,107.637134,29.587336,53.071447,3.403213,9.387474,9,14
"chord_mrx_09_000017",0.295109,132.465487,0.000000,0.000000,87.668573,11.584991,8,11
"chord_mrx_09_000018",66.938500,101.459592,55.722614,29.992344,0.398541,1.484305,4,7
"chord_mrx_09_000019",82.799884,145.075374,80.334312,1.936611,12.584710,0.992275,5,8
"chord_mrx_09_000020",55.039128,129.509298,51.305963,25.470938,0.999817,17.259352,9,13
"chord_mrx_09_000021",84.381143,200.943000,83.681940,3.178016,9.265314,0.468790,6,8
"chord_mrx_09_000022",58.122620,157.152653,55.690175,24.261724,8.534487,8.023743,4,6
"chord_mrx_09_000023",97.056324,110.184490,93.029429,1.229756,0.862691,0.812679,4,6
"chord_mrx_09_000024",75.678979,154.652170,72.799448,21.919451,0.224158,1.817830,11,16
"chord_mrx_09_000025",80.793194,183.133000,78.364358,5.415190,4.524580,6.843660,9,17
"chord_mrx_09_000026",80.443899,170.912160,79.757367,14.911115,1.521346,1.445240,3,5
"chord_mrx_09_000027",86.197020,160.198986,84.510916,4.521904,3.299032,5.807994,6,8
"chord_mrx_09_000028",68.303081,337.995000,66.604536,13.164692,5.496531,9.309605,26,34
"chord_mrx_09_000029",76.079372,110.064000,73.369131,14.633304,1.247456,6.044665,10,14
"chord_mrx_09_000030",88.286811,121.376000,18.399848,0.000000,2.520268,0.000000,3,3
"chord_mrx_09_000031",24.465251,229.683084,22.647529,0.000000,69.185939,0.000000,3,3
"chord_mrx_09_000032",61.638559,19.022380,59.927370,15.304741,12.604911,10.296756,8,10
"chord_mrx_09_000033",85.517778,151.092245,82.872212,8.093838,2.425947,3.195081,12,19
"chord_mrx_09_000034",92.389099,158.066939,90.102804,0.000000,2.916760,2.972067,5,6
"chord_mrx_09_000035",81.011540,147.142000,78.976091,10.087534,1.556320,3.755556,14,21
"chord_mrx_09_000036",59.097283,217.887347,58.580824,26.316516,0.785518,13.203182,8,15
"chord_mrx_09_000037",90.214286,121.392510,87.094788,0.000000,3.194082,5.802130,5,6
"chord_mrx_09_000038",80.309485,195.343673,79.954381,13.603461,4.255485,1.036644,10,18
"chord_mrx_09_000039",65.910175,333.425000,53.799505,6.053535,2.651271,24.677214,12,21
"chord_mrx_09_000040",83.846019,228.600000,83.097988,6.810586,1.828521,6.404199,12,16
"chord_mrx_09_000041",51.954821,166.997912,50.441125,34.551931,2.797338,8.251083,9,13
"chord_mrx_09_000042",81.525139,117.330432,78.133450,3.851196,0.091666,14.089473,4,7
"chord_mrx_09_000043",36.199264,161.149388,26.654711,33.302933,5.592085,0.251746,7,9
"chord_mrx_09_000044",64.025418,152.581224,61.710835,28.229454,3.481090,1.388263,8,11
"chord_mrx_09_000045",55.868781,136.681362,54.804815,38.539389,0.193436,5.069309,10,17
"chord_mrx_09_000046",77.639953,175.827000,76.818122,10.277147,2.086141,9.468398,15,23
"chord_mrx_09_000047",89.436625,40.620408,82.345446,0.000000,5.406012,0.000000,3,3
"chord_mrx_09_000048",86.676085,148.511640,83.400036,5.217017,6.570887,1.290501,7,7
"chord_mrx_09_000049",75.578239,167.627755,73.002204,5.673631,14.739746,3.480581,3,5
"chord_mrx_09_000050",9.378572,194.089796,9.172009,4.920246,34.766648,41.202011,10,15
"chord_mrx_09_000051",52.290145,150.282449,49.440545,30.175244,10.808902,4.816980,9,10
"chord_mrx_09_000052",56.687351,72.751020,56.687351,22.261105,10.899330,9.442918,6,8
"chord_mrx_09_000053",14.697806,31.681117,0.000000,0.000000,0.000000,69.785655,1,1
"chord_mrx_09_000054",65.218352,206.007440,61.965090,12.866579,16.902793,0.961654,5,7
"chord_mrx_09_000055",49.921643,167.122720,47.355123,45.284841,2.899926,1.211636,6,9
"chord_mrx_09_000056",60.506252,192.496327,58.599032,33.755902,1.127772,3.808909,7,10
"chord_mrx_09_000057",66.991256,225.309026,65.528186,24.516133,1.462102,5.745765,9,10
"chord_mrx_09_000058",60.902213,117.860212,57.115335,30.188869,1.119564,5.326513,7,9
"chord_mrx_09_000059",80.334327,202.317000,79.747624,5.761750,3.342774,8.610250,11,17
"chord_mrx_09_000060",83.302860,156.708571,83.060372,7.831735,2.620296,6.211319,7,14
"chord_mrx_09_000061",78.112847,138.919232,75.041472,14.007312,2.697092,4.850665,13,12
"chord_mrx_09_000062",71.834594,253.399781,71.123157,15.782947,8.060484,3.914124,7,10
"chord_mrx_09_000063",57.145104,133.587302,34.330417,25.088263,7.425850,4.430986,12,15
"chord_mrx_09_000064",69.963160,214.713000,68.386637,12.817575,0.976187,11.792486,10,20
"chord_mrx_09_000065",29.643763,189.515466,29.437975,27.107247,14.856383,27.157889,10,9
"chord_mrx_09_000066",62.132454,290.848000,61.275305,15.543170,2.129979,12.402011,15,17
"chord_mrx_09_000067",85.750178,138.370612,82.075683,4.072445,9.383805,0.350006,6,7
"chord_mrx_09_000068",74.516226,192.737235,73.704573,10.907290,5.110556,8.632272,11,21
"chord_mrx_09_000069",88.078350,116.424853,85.318752,7.216431,2.890764,1.759611,10,14
"chord_mrx_09_000070",68.105049,139.706676,67.370987,26.736609,0.329346,4.302107,10,15
"chord_mrx_09_000071",84.816857,164.101224,82.190514,6.705125,6.694235,1.767719,7,6
"chord_mrx_09_000072",47.946396,151.914612,43.561805,44.723899,6.237262,0.942935,6,7
"chord_mrx_09_000073",11.900702,304.150793,11.425582,62.977749,3.591980,21.404915,2,10
"chord_mrx_09_000074",55.758218,137.757028,55.173216,34.088156,1.079872,8.748914,14,18
"chord_mrx_09_000075",75.576452,144.771973,72.573553,16.127337,4.971973,2.812913,6,8
"chord_mrx_09_000076",51.074648,159.674920,50.209566,43.915473,0.591321,4.199003,12,19
"chord_mrx_09_000077",81.518533,137.607256,78.060228,13.759317,0.931226,3.085447,12,17
"chord_mrx_09_000078",78.267647,147.983673,75.609200,16.233827,1.628017,3.396777,8,16
"chord_mrx_09_000079",43.013701,86.999931,43.013701,25.268218,0.928769,30.569225,12,17
"chord_mrx_09_000080",74.707200,157.531000,73.572186,8.972837,4.123633,10.858180,9,22
"chord_mrx_09_000081",77.702049,175.804082,74.130413,12.710511,5.918995,3.412425,5,7
"chord_mrx_09_000082",72.269502,157.648980,69.072382,18.045250,4.613951,4.924345,11,16
"chord_mrx_09_000083",74.859880,155.173152,74.494259,17.857696,3.102186,3.725991,10,14
"chord_mrx_09_000084",25.538378,171.101456,21.750202,67.830515,1.791001,1.567129,5,10
"chord_mrx_09_000085",82.075306,163.317551,74.046784,9.974929,5.374688,1.622598,7,9
"chord_mrx_09_000086",71.517208,225.821231,63.748309,15.283778,2.007098,5.632661,13,21
"chord_mrx_09_000087",87.704256,257.642000,86.755653,4.038161,1.320825,1.706244,7,12
"chord_mrx_09_000088",60.202618,145.008617,57.428469,22.464927,2.301596,14.448083,15,18
"chord_mrx_09_000089",72.128311,212.140000,62.807580,11.873763,3.556614,10.345527,18,24
"chord_mrx_09_000090",91.132565,123.367620,88.002865,4.017012,1.247385,2.720951,7,9
"chord_mrx_09_000091",80.734397,158.850612,77.688950,2.565262,13.551186,2.312699,10,13
"chord_mrx_09_000092",77.367083,160.081000,74.913950,17.586097,3.060326,1.329327,9,14
"chord_mrx_09_000093",69.815854,116.532244,65.879665,17.470221,6.571259,5.566398,13,16
"chord_mrx_09_000094",37.816271,167.444898,37.076062,42.897018,5.268916,13.646426,7,10
"chord_mrx_09_000095",53.317382,154.934673,52.672352,14.731101,12.416676,19.312722,5,12
"chord_mrx_09_000096",73.602999,145.614919,70.917155,17.027085,1.227829,7.358048,10,13
"chord_mrx_09_000097",73.067956,108.312164,69.229371,6.311047,5.353317,15.108117,7,11
"chord_mrx_09_000098",85.236001,124.551837,81.097255,3.276840,9.224241,1.972315,6,7
"chord_mrx_09_000099",80.507144,160.417959,77.965213,2.379704,9.392949,4.462934,5,6
"chord_mrx_09_000100",72.684654,119.145091,68.788682,10.820183,2.760638,13.171445,8,12
"chord_mrx_09_000101",79.406484,92.708571,79.406484,14.542007,3.669988,2.027548,11,11
"chord_mrx_09_000102",18.389189,118.987755,14.377010,72.139042,2.330592,5.985012,5,11
"chord_mrx_09_000103",42.025458,215.066122,41.551802,34.101377,1.272144,22.218848,8,15
"chord_mrx_09_000104",85.273276,149.741757,76.119230,10.677724,2.651664,1.048597,7,7
"chord_mrx_09_000105",76.808745,129.776327,74.139979,15.620272,4.839312,1.704712,10,11
"chord_mrx_09_000106",88.125496,183.876294,87.296041,5.458154,2.544249,3.457547,6,10
"chord_mrx_09_000107",78.151281,145.120967,77.603793,7.070528,8.950692,5.191517,8,19
"chord_mrx_09_000108",54.852481,123.916000,53.482198,30.201104,0.956293,8.022370,11,15
"chord_mrx_09_000109",81.150910,146.494694,78.530176,12.506463,3.104536,0.953087,7,9
"chord_mrx_09_000110",0.826371,177.266939,0.000000,72.296342,0.000000,26.581312,3,2
"chord_mrx_09_000111",66.075750,125.342112,62.724432,25.414023,1.549243,6.450771,5,12
"chord_mrx_09_000112",87.077560,118.267344,85.300820,7.249855,2.332599,1.274862,7,10
"chord_mrx_09_000113",73.425624,190.101768,71.368696,17.355924,2.645692,5.551106,8,15
"chord_mrx_09_000114",66.941068,159.208797,60.426052,0.926122,11.301834,4.691939,6,5
"chord_mrx_09_000115",64.595956,315.765042,43.850733,24.249913,1.054743,8.496708,13,24
"chord_mrx_09_000116",73.147350,113.439539,72.835397,8.913216,3.999959,13.411688,9,11
"chord_mrx_09_000117",91.366979,163.204352,88.663275,5.028895,0.837758,2.594136,7,9
"chord_mrx_09_000118",66.232116,128.026122,62.285140,26.844169,4.658230,1.591737,5,8
"chord_mrx_09_000119",82.762761,156.708571,80.740810,14.269194,1.479677,0.391689,10,14
"chord_mrx_09_000120",66.308411,211.581000,41.041020,15.759922,1.333296,12.908531,10,32
"chord_mrx_09_000121",57.616565,232.874000,54.853698,14.694212,11.074658,13.585888,10,18
"chord_mrx_09_000122",70.018116,105.743806,67.782659,13.750926,6.017715,9.787844,12,13
"chord_mrx_09_000123",90.332942,152.176427,87.758929,5.264597,2.229824,0.227232,5,8
"chord_mrx_09_000124",64.345840,201.742335,63.384424,28.476522,1.541248,5.100662,13,13
"chord_mrx_09_000125",76.432406,171.322630,73.219736,13.325450,1.343607,6.809482,10,16
"chord_mrx_09_000126",85.588282,126.828262,82.074436,9.243645,3.948282,1.102582,8,8
"chord_mrx_09_000127",75.399640,100.653000,72.755904,11.754245,6.024659,6.635669,9,12
"chord_mrx_09_000128",83.482484,158.992759,81.090956,11.215199,1.657522,3.123301,11,15
