MirexSevenths
File,Pairwise score (%),Duration (s),All correct (%),Root correct (%),Type correct (%),All wrong (%),Unique ref chords,Unique test chords
"chord_mrx_09_000000",67.401359,148.276825,67.069116,14.145157,3.495208,12.847392,5,19
"chord_mrx_09_000001",45.416745,200.129245,45.384838,51.419718,0.000000,0.000000,1,4
"chord_mrx_09_000002",57.351067,182.143129,57.284139,25.696137,2.694440,11.133766,6,22
"chord_mrx_09_000003",33.651625,153.469388,33.365189,37.880589,1.830670,20.653339,7,24
"chord_mrx_09_000004",61.851653,236.088889,61.792641,20.407602,2.896264,12.496553,18,35
"chord_mrx_09_000005",66.186331,194.841000,66.087811,12.621733,1.097571,11.184000,19,34
"chord_mrx_09_000006",40.107685,183.771429,39.774430,33.754843,14.414423,9.080392,5,12
"chord_mrx_09_000007",63.513712,112.875102,62.848816,14.151631,1.797379,16.058381,9,14
"chord_mrx_09_000008",64.447432,171.101752,63.609432,16.984272,1.275177,14.952350,15,28
"chord_mrx_09_000009",67.107439,164.022857,67.024270,25.468423,2.816394,4.006176,9,19
"chord_mrx_09_000010",37.969404,149.394286,37.938318,40.434363,5.480382,12.298793,8,21
"chord_mrx_09_000011",53.780028,201.753890,53.526829,30.839778,1.312593,11.102512,11,16
"chord_mrx_09_000012",43.021202,147.513469,42.297121,34.858247,5.043881,14.347822,3,22
"chord_mrx_09_000013",47.628341,277.080816,46.060980,36.497648,4.379948,10.043159,11,45
"chord_mrx_09_000014",15.765737,263.332325,15.602609,67.014928,0.761391,11.312445,6,23
"chord_mrx_09_000015",77.374614,111.962523,77.296843,2.717236,5.135415,14.359948,10,19
"chord_mrx_09_000016",59.786100,107.637134,59.742955,21.129278,3.479898,11.097339,9,18
"chord_mrx_09_000017",0.205966,132.465487,0.000000,0.000000,66.591260,32.662304,8,23
"chord_mrx_09_000018",55.871572,101.459592,55.642713,28.661708,1.875664,1.417720,4,8
"chord_mrx_09_000019",34.693252,145.075374,34.271108,37.459327,12.797091,11.320381,5,12
"chord_mrx_09_000020",28.528474,129.509298,27.874059,44.094826,1.128663,21.938521,9,17
"chord_mrx_09_000021",74.968650,200.943000,74.758163,7.236981,7.208563,7.258057,6,21
"chord_mrx_09_000022",64.399823,157.152653,64.163416,10.329726,15.743202,6.273785,4,10
"chord_mrx_09_000023",75.708227,110.184490,75.513295,13.918987,0.832651,5.708172,4,10
"chord_mrx_09_000024",70.926567,154.652170,70.620651,17.111267,0.518119,8.522401,11,19
"chord_mrx_09_000025",70.135237,183.133000,69.343967,11.780920,5.702870,10.527063,9,24
"chord_mrx_09_000026",35.298197,170.912160,34.450777,58.144144,0.471778,4.568369,3,12
"chord_mrx_09_000027",73.690677,160.198986,73.645383,15.930418,1.959299,6.604746,6,14
"chord_mrx_09_000028",65.261752,337.995000,65.217841,16.254976,4.320189,10.568479,26,49
"chord_mrx_09_000029",66.545342,110.064000,66.499769,17.992282,2.505015,8.880786,10,16
"chord_mrx_09_000030",38.059947,121.376000,16.874878,2.868086,1.876712,1.225862,3,5
"chord_mrx_09_000031",18.854504,229.683084,18.834285,2.563653,67.676488,6.615830,3,12
"chord_mrx_09_000032",39.970823,19.022380,39.726690,26.431094,9.771273,22.359753,8,16
"chord_mrx_09_000033",79.903824,151.092245,79.550358,10.446817,2.981873,3.608029,12,23
"chord_mrx_09_000034",72.309163,158.066939,71.965785,15.658518,3.902244,4.479676,5,16
"chord_mrx_09_000035",70.461854,147.142000,70.354410,11.578554,1.337803,11.104734,14,24
"chord_mrx_09_000036",57.349651,217.887347,57.113949,27.148397,3.543448,10.948711,8,20
"chord_mrx_09_000037",43.815525,121.392510,43.394709,37.529184,1.386742,13.780364,5,16
"chord_mrx_09_000038",62.422933,195.343673,62.295151,27.410560,2.529006,6.591482,10,29
"chord_mrx_09_000039",56.285942,333.425000,47.065511,18.555599,5.530632,16.113160,12,40
"chord_mrx_09_000040",80.690162,228.600000,80.639573,7.557198,3.460371,6.484153,12,18
"chord_mrx_09_000041",38.440781,166.997912,37.453573,42.277813,1.967611,14.377258,9,26
"chord_mrx_09_000042",80.361261,117.330432,79.906086,5.319107,0.747564,10.216082,4,8
"chord_mrx_09_000043",38.088694,161.149388,30.093688,32.723932,0.869218,21.354274,7,31
"chord_mrx_09_000044",29.064573,152.581224,28.637078,51.337259,2.602966,14.369194,8,35
"chord_mrx_09_000045",52.421234,136.681362,52.086698,28.754498,0.945859,16.825046,10,22
"chord_mrx_09_000046",55.868493,175.827000,55.812539,27.201729,2.762977,12.890764,15,34
"chord_mrx_09_000047",68.600536,40.620408,67.607325,9.717756,5.056161,10.527578,3,10
"chord_mrx_09_000048",69.142803,148.511640,68.361047,17.128476,7.297713,3.936715,7,16
"chord_mrx_09_000049",26.874039,167.627755,26.595734,41.565385,3.492698,25.174005,3,15
"chord_mrx_09_000050",8.694465,194.089796,8.578446,5.577769,27.997839,54.717837,10,25
"chord_mrx_09_000051",32.535257,150.282449,31.729881,37.996176,7.056811,18.458803,9,26
"chord_mrx_09_000052",51.876129,72.751020,51.876129,27.957746,9.596043,9.832001,6,13
"chord_mrx_09_000053",12.122575,31.681117,9.474874,35.550561,8.890806,15.869414,1,12
"chord_mrx_09_000054",49.397718,206.007440,48.236763,19.036355,12.500207,14.923689,5,22
"chord_mrx_09_000055",44.610998,167.122720,44.439061,45.096216,2.025409,5.209065,6,21
"chord_mrx_09_000056",56.847262,192.496327,56.821628,30.832015,3.997189,5.640783,7,20
"chord_mrx_09_000057",67.434433,225.309026,67.292728,20.887060,1.149267,7.923131,9,15
"chord_mrx_09_000058",59.928626,117.860212,59.426245,28.652823,1.136377,4.571236,7,15
"chord_mrx_09_000059",55.431463,202.317000,55.384224,23.018323,1.749724,18.871044,11,35
"chord_mrx_09_000060",59.993844,156.708571,59.816037,17.847291,0.413841,21.537274,7,23
"chord_mrx_09_000061",73.036234,138.919232,72.833568,14.770572,1.461782,7.604736,13,20
"chord_mrx_09_000062",62.328282,253.399781,62.135237,30.510064,3.013259,3.199634,7,18
"chord_mrx_09_000063",43.477104,133.587302,37.635971,22.188883,2.949669,11.584066,12,23
"chord_mrx_09_000064",56.860658,214.713000,56.375647,21.422303,0.984833,17.081297,10,28
"chord_mrx_09_000065",61.557967,189.515466,61.371120,12.538068,5.102250,19.548056,10,16
"chord_mrx_09_000066",47.093322,290.848000,47.065796,28.776163,2.716762,12.791744,15,30
"chord_mrx_09_000067",39.476566,138.370612,38.719325,37.709184,3.723232,15.850304,6,16
"chord_mrx_09_000068",60.059735,192.737235,60.035640,19.676291,3.523113,15.123687,11,35
"chord_mrx_09_000069",83.679481,116.424853,83.485512,8.596719,2.355024,2.722888,10,16
"chord_mrx_09_000070",68.622086,139.706676,68.123471,22.898734,1.785692,5.931152,10,13
"chord_mrx_09_000071",65.745765,164.101224,65.586580,19.478325,8.519103,3.789648,7,16
"chord_mrx_09_000072",34.224086,151.914612,32.053635,54.042791,3.751326,5.767657,6,18
"chord_mrx_09_000073",18.704155,304.150793,18.682206,24.759594,17.297337,38.661090,2,34
"chord_mrx_09_000074",56.169210,137.757028,56.072290,26.916810,1.165774,14.953682,14,29
"chord_mrx_09_000075",58.327228,144.771973,57.467138,28.264166,5.276744,5.590214,6,16
